sample_idx,true_label,pred_label,correct,confidence
0,3,8,0,0.9218483567237854
1,8,2,0,0.6968397498130798
2,8,2,0,0.6745551824569702
3,0,0,1,0.6689093112945557
4,6,2,0,0.4657955765724182
5,6,2,0,0.5594891905784607
6,1,2,0,0.8618382811546326
7,6,9,0,0.5611065626144409
8,3,3,1,0.5583140850067139
9,1,2,0,0.7585157155990601
10,0,2,0,0.8213528990745544
11,9,3,0,0.6305797696113586
12,5,2,0,0.4926333427429199
13,7,2,0,0.8409515619277954
14,9,2,0,0.5844323039054871
15,8,2,0,0.6068044900894165
16,5,3,0,0.7794761061668396
17,7,2,0,0.7084800004959106
18,8,3,0,0.4545038342475891
19,6,2,0,0.4704625606536865
20,7,3,0,0.43582382798194885
21,0,3,0,0.487540602684021
22,4,2,0,0.6241388320922852
23,9,5,0,0.7358030676841736
24,5,3,0,0.6026231646537781
25,2,8,0,0.8823874592781067
26,4,2,0,0.48854801058769226
27,0,3,0,0.7051428556442261
28,9,2,0,0.4755118191242218
29,6,2,0,0.89557945728302
30,6,2,0,0.7665116786956787
31,5,5,1,0.6569542288780212
32,4,2,0,0.45308834314346313
33,5,2,0,0.5936077833175659
34,9,2,0,0.7914159297943115
35,2,2,1,0.6803799867630005
36,4,2,0,0.927355945110321
37,1,9,0,0.5809037089347839
38,9,3,0,0.5388319492340088
39,5,2,0,0.575176477432251
40,4,9,0,0.6562342047691345
41,6,8,0,0.48484471440315247
42,5,2,0,0.7857714295387268
43,6,2,0,0.6116424202919006
44,0,2,0,0.7428787350654602
45,9,0,0,0.6007905006408691
46,3,2,0,0.39650529623031616
47,9,8,0,0.953136146068573
48,7,2,0,0.4628041088581085
49,6,2,0,0.6149206757545471
50,9,2,0,0.7043827176094055
51,8,2,0,0.586884081363678
52,0,2,0,0.7920796871185303
53,3,2,0,0.722607433795929
54,8,2,0,0.5842801332473755
55,8,2,0,0.5963990688323975
56,7,2,0,0.8320581316947937
57,7,2,0,0.6887559294700623
58,4,3,0,0.5542559027671814
59,6,9,0,0.7503406405448914
60,7,3,0,0.5483866333961487
61,3,3,1,0.8605966567993164
62,6,2,0,0.4772566258907318
63,3,2,0,0.9009904265403748
64,6,2,0,0.8795121908187866
65,2,9,0,0.537470281124115
66,1,3,0,0.5040222406387329
67,2,6,0,0.4127899408340454
68,3,2,0,0.771129846572876
69,7,2,0,0.7074235081672668
70,2,8,0,0.9843515753746033
71,6,8,0,0.628669261932373
72,8,3,0,0.49703705310821533
73,8,3,0,0.8157128691673279
74,0,2,0,0.42540213465690613
75,2,3,0,0.6138089299201965
76,9,3,0,0.5092741847038269
