sample_idx,true_label,pred_label,correct,confidence
0,3,3,1,0.5833155512809753
1,8,8,1,0.7812947630882263
2,8,8,1,0.7804880142211914
3,0,0,1,0.5324634313583374
4,6,6,1,0.9667534828186035
5,6,6,1,0.825863242149353
6,1,1,1,0.921543538570404
7,6,6,1,0.9381403923034668
8,3,3,1,0.8870894312858582
9,1,1,1,0.7125564217567444
10,0,0,1,0.9035465717315674
11,9,9,1,0.9918912649154663
12,5,5,1,0.8999786376953125
13,7,7,1,0.9854039549827576
14,9,9,1,0.9225300550460815
15,8,8,1,0.6162899732589722
16,5,5,1,0.9327501654624939
17,7,7,1,0.6644567847251892
18,8,8,1,0.8018931150436401
19,6,6,1,0.986453115940094
20,7,7,1,0.9367849826812744
21,0,0,1,0.9220889806747437
22,4,4,1,0.7316772937774658
23,9,9,1,0.8694537281990051
24,5,4,0,0.9073591232299805
25,2,2,1,0.8640608191490173
26,4,4,1,0.6110652089118958
27,0,0,1,0.5964102745056152
28,9,9,1,0.9096803069114685
29,6,6,1,0.9242262244224548
30,6,6,1,0.8782622814178467
31,5,5,1,0.9706778526306152
32,4,4,1,0.8546547889709473
33,5,3,0,0.5752891898155212
34,9,9,1,0.9826629757881165
35,2,3,0,0.6430338621139526
36,4,4,1,0.749008059501648
37,1,1,1,0.9600034952163696
38,9,9,1,0.9842899441719055
39,5,5,1,0.9821807146072388
40,4,0,0,0.8387880921363831
41,6,6,1,0.9892392158508301
42,5,5,1,0.49967655539512634
43,6,6,1,0.8838401436805725
44,0,0,1,0.6180906295776367
45,9,9,1,0.9676287770271301
46,3,3,1,0.6495900750160217
47,9,9,1,0.6174784302711487
48,7,7,1,0.9615086913108826
49,6,2,0,0.6831304430961609
50,9,9,1,0.8943718671798706
51,8,8,1,0.8948072195053101
52,0,2,0,0.6464064121246338
53,3,3,1,0.6084860563278198
54,8,8,1,0.9948759078979492
55,8,8,1,0.9339843392372131
56,7,7,1,0.5290850400924683
57,7,5,0,0.6452403664588928
58,4,5,0,0.5888432264328003
59,6,5,0,0.6057409644126892
60,7,7,1,0.9755882024765015
61,3,5,0,0.7807362675666809
62,6,6,1,0.7028622627258301
63,3,3,1,0.5965391993522644
64,6,6,1,0.8946717381477356
65,2,2,1,0.8796828389167786
66,1,1,1,0.874474287033081
67,2,2,1,0.8857865929603577
68,3,3,1,0.6698974370956421
69,7,7,1,0.49687767028808594
70,2,0,0,0.8877410888671875
71,6,6,1,0.5367306470870972
72,8,8,1,0.993101179599762
73,8,8,1,0.9086617827415466
74,0,0,1,0.6805493831634521
75,2,2,1,0.9653444290161133
76,9,0,0,0.7894668579101562
77,3,3,1,0.683371901512146
78,3,5,0,0.7456003427505493
79,8,8,1,0.9753040671348572
80,8,8,1,0.9918324947357178
81,1,9,0,0.4493584632873535
82,1,1,1,0.9529562592506409
83,7,7,1,0.7976944446563721
84,2,2,1,0.9231889247894287
85,5,7,0,0.7973817586898804
86,2,2,1,0.6602231860160828
87,7,7,1,0.33717820048332214
88,8,8,1,0.8370267152786255
89,9,9,1,0.9545815587043762
90,0,0,1,0.8136143088340759
91,3,3,1,0.47061726450920105
92,8,8,1,0.9928668737411499
93,6,6,1,0.9777734875679016
94,4,4,1,0.9409874677658081
95,6,3,0,0.4509389400482178
96,6,6,1,0.911010205745697
97,0,0,1,0.8241422176361084
98,0,0,1,0.9467625617980957
99,7,7,1,0.6856492161750793
100,4,7,0,0.7869867086410522
101,5,5,1,0.5383139848709106
102,6,6,1,0.9872716069221497
103,3,3,1,0.928669273853302
104,1,1,1,0.9593247771263123
105,1,1,1,0.9965679049491882
106,3,3,1,0.4458211660385132
107,6,6,1,0.9947484135627747
108,8,3,0,0.6630281805992126
109,7,5,0,0.7824283838272095
110,4,4,1,0.8466045260429382
111,0,0,1,0.9417744278907776
112,6,2,0,0.7908415198326111
113,2,2,1,0.8016801476478577
