sample_idx,true_label,pred_label,correct,confidence
0,3,3,1,0.5951308012008667
1,8,8,1,0.7692812085151672
2,8,8,1,0.8266734480857849
3,0,1,0,0.8501017093658447
4,6,4,0,0.6217491030693054
5,6,6,1,0.6818379163742065
6,1,1,1,0.48135313391685486
7,6,2,0,0.4961070120334625
8,3,3,1,0.8693180084228516
9,1,1,1,0.549821138381958
10,0,0,1,0.5791143774986267
11,9,1,0,0.8238995671272278
12,5,7,0,0.8428497910499573
13,7,7,1,0.6507980227470398
14,9,9,1,0.9476040005683899
15,8,2,0,0.6040599346160889
16,5,3,0,0.5812636017799377
17,7,7,1,0.8756719827651978
18,8,8,1,0.9789453148841858
19,6,9,0,0.6399588584899902
20,7,7,1,0.9711243510246277
21,0,0,1,0.9726126194000244
22,4,4,1,0.8756987452507019
23,9,9,1,0.9804620146751404
24,5,7,0,0.5766255259513855
25,2,9,0,0.5817466378211975
26,4,4,1,0.879421591758728
27,0,2,0,0.6253271102905273
28,9,9,1,0.8914067149162292
29,6,6,1,0.8544206023216248
30,6,6,1,0.9240007400512695
31,5,3,0,0.7404093146324158
32,4,4,1,0.6159567832946777
33,5,1,0,0.40827763080596924
34,9,9,1,0.898064136505127
35,2,3,0,0.8552122712135315
36,4,1,0,0.4093157649040222
37,1,1,1,0.9606157541275024
38,9,9,1,0.7765843272209167
39,5,3,0,0.49533578753471375
40,4,0,0,0.7358319163322449
41,6,6,1,0.967033863067627
42,5,7,0,0.6021925806999207
43,6,6,1,0.920222282409668
44,0,2,0,0.4303215444087982
45,9,9,1,0.5786455869674683
46,3,3,1,0.6187791228294373
47,9,9,1,0.4803404211997986
48,7,7,1,0.9086945056915283
49,6,6,1,0.9698757529258728
50,9,9,1,0.5173890590667725
51,8,8,1,0.9765610694885254
52,0,2,0,0.6306560039520264
53,3,3,1,0.7659832239151001
54,8,8,1,0.7845515608787537
55,8,8,1,0.41028618812561035
56,7,7,1,0.4037937819957733
57,7,3,0,0.5896030068397522
58,4,3,0,0.5609347224235535
59,6,3,0,0.4456496238708496
60,7,7,1,0.957657516002655
61,3,5,0,0.8288305401802063
62,6,6,1,0.7958953380584717
63,3,3,1,0.4481161832809448
64,6,3,0,0.5403150916099548
65,2,6,0,0.7087361812591553
66,1,0,0,0.5068212747573853
67,2,0,0,0.4911470115184784
68,3,4,0,0.45894095301628113
69,7,9,0,0.6441441178321838
70,2,2,1,0.6779557466506958
71,6,3,0,0.7527773380279541
72,8,0,0,0.6283735632896423
73,8,8,1,0.984237015247345
74,0,0,1,0.7194356322288513
75,2,3,0,0.645560085773468
76,9,0,0,0.7838356494903564
77,3,9,0,0.5517046451568604
78,3,3,1,0.6720374226570129
79,8,8,1,0.8838273882865906
80,8,8,1,0.9893807172775269
81,1,8,0,0.4839373230934143
82,1,1,1,0.9682268500328064
83,7,7,1,0.6625171899795532
84,2,3,0,0.6572790741920471
85,5,9,0,0.5213006138801575
86,2,2,1,0.3485899865627289
87,7,8,0,0.5531770586967468
88,8,8,1,0.8636229038238525
89,9,9,1,0.9453871250152588
90,0,0,1,0.8614475131034851
91,3,3,1,0.653595507144928
92,8,8,1,0.9778299927711487
93,6,6,1,0.9851375818252563
94,4,4,1,0.36752086877822876
95,6,6,1,0.6212694048881531
96,6,4,0,0.6764706373214722
97,0,8,0,0.3856220245361328
98,0,0,1,0.8375234007835388
99,7,9,0,0.515727162361145
100,4,4,1,0.7246727347373962
101,5,3,0,0.5111915469169617
102,6,1,0,0.3985044062137604
103,3,3,1,0.754707932472229
104,1,9,0,0.7017524242401123
105,1,1,1,0.5897913575172424
106,3,3,1,0.5087333917617798
107,6,6,1,0.9961252808570862
108,8,8,1,0.500239908695221
109,7,7,1,0.5645554065704346
110,4,4,1,0.5985532402992249
111,0,1,0,0.6654580235481262
112,6,2,0,0.7837435007095337
113,2,2,1,0.7821716070175171
114,1,9,0,0.7069274187088013
115,3,2,0,0.48103228211402893
116,0,0,1,0.6568925976753235
117,4,4,1,0.46029147505760193
118,2,3,0,0.7083324193954468
119,7,5,0,0.48300686478614807
120,8,0,0,0.6778809428215027
121,3,3,1,0.3702037036418915
122,1,1,1,0.9310754537582397
123,2,2,1,0.7985422015190125
124,8,8,1,0.8430501818656921
125,0,8,0,0.4144762456417084
126,8,8,1,0.9130483865737915
127,3,2,0,0.4824930727481842
128,5,3,0,0.5990921854972839
129,2,2,1,0.5810310244560242
130,4,4,1,0.7911205291748047
131,1,9,0,0.39226052165031433
132,8,9,0,0.5533241033554077
133,9,9,1,0.9708961844444275
134,1,9,0,0.43758484721183777
135,2,3,0,0.6557591557502747
136,9,7,0,0.6064004898071289
137,7,9,0,0.6213176250457764
138,2,3,0,0.9416396021842957
139,9,3,0,0.4998452365398407
140,6,9,0,0.5626901984214783
141,5,5,1,0.784832239151001
142,6,3,0,0.7764774560928345
143,3,5,0,0.7354313731193542
144,8,8,1,0.9782611727714539
145,7,9,0,0.4654821455478668
146,6,3,0,0.5358496904373169
147,2,3,0,0.6305118799209595
148,5,5,1,0.621504545211792
149,2,3,0,0.5789690613746643
150,8,8,1,0.7189285755157471
151,9,7,0,0.477206289768219
152,6,6,1,0.7444245219230652
153,0,8,0,0.5363371968269348
154,0,3,0,0.508921205997467
155,5,4,0,0.6133778691291809
156,2,3,0,0.8462334871292114
157,9,9,1,0.746669352054596
158,5,3,0,0.8774586319923401
159,4,4,1,0.8562255501747131
160,2,2,1,0.9509118795394897
161,1,1,1,0.8225205540657043
162,6,1,0,0.43617475032806396
163,6,7,0,0.42530059814453125
164,8,0,0,0.705800473690033
165,4,4,1,0.6537248492240906
166,8,8,1,0.6081622838973999
167,4,4,1,0.7791151404380798
168,5,5,1,0.7363594770431519
169,0,8,0,0.764738142490387
170,9,9,1,0.48268741369247437
171,9,9,1,0.5429999828338623
172,9,9,1,0.4620841443538666
173,8,8,1,0.720491886138916
174,9,9,1,0.7087239623069763
175,9,9,1,0.4109684228897095
176,3,3,1,0.7087571024894714
177,7,4,0,0.5520630478858948
178,5,2,0,0.46458786725997925
179,0,0,1,0.9137378931045532
180,0,8,0,0.4142039120197296
181,5,5,1,0.8206215500831604
182,2,2,1,0.9277607202529907
183,2,4,0,0.5001931190490723
184,3,3,1,0.44914230704307556
185,8,2,0,0.48253384232521057
186,6,3,0,0.6069186329841614
187,3,3,1,0.863175630569458
188,4,3,0,0.6487904787063599
189,0,0,1,0.4010762870311737
190,5,1,0,0.3965652883052826
191,8,8,1,0.720018744468689
192,0,0,1,0.8572534322738647
193,1,0,0,0.5524282455444336
194,7,7,1,0.7792199850082397
195,2,6,0,0.3695671558380127
196,8,8,1,0.930909276008606
197,8,0,0,0.40298810601234436
198,7,3,0,0.7472793459892273
199,8,8,1,0.8714300394058228
200,5,3,0,0.756989598274231
201,1,8,0,0.8964247703552246
202,8,8,1,0.9507816433906555
203,7,7,1,0.8992983102798462
204,1,1,1,0.9774545431137085
205,3,3,1,0.8640334606170654
206,0,0,1,0.6167632937431335
207,5,5,1,0.5571821928024292
208,7,1,0,0.6767579317092896
209,9,9,1,0.9258291125297546
210,7,5,0,0.7647608518600464
211,4,4,1,0.6120555400848389
212,5,3,0,0.6334994435310364
213,9,9,1,0.6618933081626892
214,8,8,1,0.6073185205459595
215,0,3,0,0.6716920733451843
216,7,4,0,0.44760897755622864
217,9,9,1,0.3326209485530853
218,8,8,1,0.39448216557502747
219,2,4,0,0.5353418588638306
220,7,2,0,0.4604940116405487
221,6,3,0,0.8943687677383423
222,9,9,1,0.9048982858657837
223,4,5,0,0.4573392868041992
224,3,3,1,0.5164946913719177
225,9,1,0,0.7342207431793213
226,6,7,0,0.4824627637863159
227,4,3,0,0.6710862517356873
228,7,3,0,0.827938973903656
229,6,2,0,0.42276960611343384
230,5,5,1,0.7464701533317566
231,1,1,1,0.9484215974807739
232,5,3,0,0.6266718506813049
233,8,8,1,0.7924256324768066
234,8,8,1,0.9947416186332703
235,0,0,1,0.6314818859100342
236,4,4,1,0.9108322858810425
237,0,3,0,0.6416077613830566
238,5,0,0,0.568221390247345
239,5,3,0,0.6089365482330322
240,1,1,1,0.6374490261077881
241,1,3,0,0.5311467051506042
242,8,8,1,0.5130492448806763
243,9,7,0,0.7053276300430298
244,0,0,1,0.7096328735351562
245,3,3,1,0.376278281211853
246,1,1,1,0.6049151420593262
247,9,2,0,0.7560080289840698
248,2,2,1,0.8464437127113342
249,2,0,0,0.5431178212165833
250,5,4,0,0.5840526819229126
251,3,9,0,0.29372307658195496
252,9,9,1,0.37733030319213867
253,9,9,1,0.7951410412788391
254,4,4,1,0.42082494497299194
255,0,3,0,0.454449325799942
256,3,3,1,0.9349420070648193
257,0,8,0,0.5578234791755676
258,0,8,0,0.7962855100631714
259,9,9,1,0.8074211478233337
260,8,6,0,0.7638822197914124
261,1,1,1,0.4600326716899872
262,5,2,0,0.6866896152496338
263,7,9,0,0.5376226305961609
264,0,0,1,0.6102443337440491
265,8,8,1,0.8160615563392639
266,2,3,0,0.6913166046142578
267,4,3,0,0.4764850437641144
268,7,4,0,0.6308536529541016
269,0,0,1,0.7892116904258728
270,2,2,1,0.9266401529312134
271,3,3,1,0.6983857750892639
272,6,1,0,0.7319246530532837
273,3,3,1,0.9243149757385254
274,8,8,1,0.4802492558956146
275,5,3,0,0.7034044861793518
276,0,0,1,0.324290931224823
277,3,0,0,0.3740779459476471
278,4,3,0,0.532948911190033
279,3,3,1,0.7460222244262695
280,9,9,1,0.8276985883712769
281,0,0,1,0.5834313631057739
282,6,3,0,0.5438936352729797
283,1,1,1,0.9533537030220032
284,0,1,0,0.8179755806922913
285,9,9,1,0.8291321992874146
286,1,8,0,0.6867042779922485
287,0,0,1,0.6284247040748596
288,7,7,1,0.8461336493492126
289,9,9,1,0.5548701286315918
290,1,1,1,0.9832417368888855
291,2,2,1,0.9942330718040466
292,6,6,1,0.8484534025192261
293,9,1,0,0.9696155786514282
294,3,5,0,0.6035900712013245
295,4,2,0,0.609356164932251
296,6,3,0,0.47885143756866455
297,0,3,0,0.5991166234016418
298,0,0,1,0.8783460259437561
299,6,6,1,0.8223069906234741
300,6,6,1,0.9701530933380127
301,6,3,0,0.6510171890258789
302,3,3,1,0.6936319470405579
303,2,8,0,0.635038435459137
304,6,2,0,0.9821693301200867
305,1,9,0,0.6860866546630859
306,8,8,1,0.5003493428230286
307,2,4,0,0.5864026546478271
308,1,9,0,0.7919293642044067
309,6,4,0,0.5401943325996399
310,8,8,1,0.5832432508468628
311,6,3,0,0.6713889837265015
312,8,3,0,0.6774293780326843
313,0,0,1,0.6493760347366333
314,4,5,0,0.436769962310791
315,0,3,0,0.7317438125610352
316,7,7,1,0.5790390968322754
317,7,7,1,0.6964036226272583
318,5,7,0,0.4657779037952423
319,5,2,0,0.44346854090690613
320,3,3,1,0.6100475192070007
321,5,5,1,0.8698709011077881
322,2,2,1,0.8945803046226501
323,3,3,1,0.6850934028625488
324,4,7,0,0.8256891965866089
325,1,7,0,0.45506709814071655
326,7,7,1,0.9360952377319336
327,5,5,1,0.9468629360198975
328,4,4,1,0.9043604731559753
329,6,6,1,0.8783262968063354
330,1,9,0,0.7237093448638916
331,9,9,1,0.8976187109947205
332,3,3,1,0.6014084815979004
333,6,3,0,0.44719254970550537
334,6,2,0,0.7381191253662109
335,9,1,0,0.7490224838256836
336,3,3,1,0.7602894902229309
337,8,8,1,0.8351053595542908
338,0,2,0,0.3302486836910248
339,7,7,1,0.9436867833137512
340,2,3,0,0.5493834018707275
341,6,6,1,0.43238791823387146
342,2,2,1,0.8110352158546448
343,5,1,0,0.5760533809661865
344,8,8,1,0.7889547348022461
345,5,5,1,0.8899798393249512
346,4,9,0,0.386868417263031
347,6,6,1,0.9043067693710327
348,8,3,0,0.4335845112800598
349,9,9,1,0.7547966837882996
350,9,9,1,0.8713246583938599
351,1,1,1,0.8472495079040527
352,0,8,0,0.9108409285545349
353,2,0,0,0.8365889191627502
354,2,5,0,0.7285066246986389
355,7,3,0,0.5636984705924988
356,3,3,1,0.42106714844703674
357,2,2,1,0.6748474836349487
358,8,1,0,0.5978707075119019
359,0,0,1,0.7889173626899719
360,9,9,1,0.9136260747909546
361,5,3,0,0.8865009546279907
362,8,8,1,0.8493316769599915
363,1,9,0,0.37560734152793884
364,9,9,1,0.9124096632003784
365,4,8,0,0.36086779832839966
366,1,1,1,0.8717641830444336
367,3,3,1,0.6810997724533081
368,8,8,1,0.7561720013618469
369,1,1,1,0.5448423624038696
370,4,2,0,0.7111527323722839
371,7,7,1,0.910535991191864
372,9,9,1,0.7896909713745117
373,4,4,1,0.8755795359611511
374,2,2,1,0.8358942270278931
375,7,7,1,0.9051836729049683
376,0,3,0,0.5924234390258789
377,7,3,0,0.4504348337650299
378,0,2,0,0.7796655297279358
379,6,4,0,0.5539935827255249
380,6,8,0,0.6050313115119934
381,9,1,0,0.7458930015563965
382,0,0,1,0.5165565013885498
383,9,0,0,0.667640209197998
384,2,3,0,0.7479844689369202
385,8,0,0,0.8328414559364319
386,7,9,0,0.5885958671569824
387,2,3,0,0.7543984055519104
388,2,3,0,0.9354599714279175
389,5,4,0,0.5284719467163086
390,1,1,1,0.9802525639533997
391,2,2,1,0.7163800001144409
392,6,6,1,0.4426751732826233
393,2,2,1,0.44668635725975037
394,9,9,1,0.8409806489944458
395,6,6,1,0.9630391001701355
396,2,2,1,0.7893193364143372
397,3,3,1,0.8013688921928406
398,0,0,1,0.7086179852485657
399,3,3,1,0.4555656611919403
400,9,9,1,0.7292028069496155
401,8,8,1,0.6448364853858948
402,7,7,1,0.9148061871528625
