sample_idx,true_label,pred_label,correct,confidence
0,3,3,1,0.8879516124725342
1,8,1,0,0.8429284691810608
2,8,9,0,0.40267378091812134
3,0,1,0,0.9233511686325073
4,6,9,0,0.7503464818000793
5,6,3,0,0.8392456769943237
6,1,1,1,0.429056853055954
7,6,6,1,0.8173189163208008
8,3,2,0,0.9338005781173706
9,1,9,0,0.6727630496025085
10,0,5,0,0.46674418449401855
11,9,3,0,0.4951745271682739
12,5,3,0,0.7789052724838257
13,7,1,0,0.5015332102775574
14,9,9,1,0.8305179476737976
15,8,9,0,0.7105200290679932
16,5,5,1,0.7743176221847534
17,7,1,0,0.5888853669166565
18,8,9,0,0.5840086340904236
19,6,2,0,0.7299454212188721
20,7,7,1,0.550773561000824
21,0,0,1,0.5232377052307129
22,4,4,1,0.7222880721092224
23,9,1,0,0.7907261252403259
24,5,0,0,0.31990644335746765
25,2,2,1,0.5978471040725708
26,4,4,1,0.46474847197532654
27,0,7,0,0.6200355291366577
28,9,9,1,0.8998517394065857
29,6,6,1,0.9373887181282043
30,6,6,1,0.8658718466758728
31,5,8,0,0.7239031195640564
32,4,6,0,0.7368276715278625
33,5,6,0,0.4796576499938965
34,9,9,1,0.9374489188194275
35,2,3,0,0.7051031589508057
36,4,3,0,0.5591065287590027
37,1,7,0,0.6448884010314941
38,9,9,1,0.5766710638999939
39,5,3,0,0.5491745471954346
40,4,0,0,0.6955930590629578
41,6,2,0,0.6768825650215149
42,5,1,0,0.6579172611236572
43,6,8,0,0.848800003528595
44,0,2,0,0.8257856369018555
45,9,9,1,0.9466952681541443
46,3,3,1,0.7897917628288269
47,9,6,0,0.7307478189468384
48,7,2,0,0.5454531311988831
49,6,2,0,0.7465069890022278
50,9,1,0,0.4133091866970062
51,8,8,1,0.48468536138534546
52,0,7,0,0.5765748023986816
53,3,6,0,0.5994154810905457
54,8,8,1,0.6483702063560486
55,8,9,0,0.8233492970466614
56,7,2,0,0.3742299973964691
57,7,3,0,0.6550438404083252
58,4,9,0,0.5932837128639221
59,6,3,0,0.5121961832046509
60,7,3,0,0.7024253606796265
61,3,3,1,0.6538453102111816
62,6,3,0,0.6797906160354614
63,3,5,0,0.487998902797699
64,6,6,1,0.9268996715545654
65,2,2,1,0.44755464792251587
66,1,8,0,0.4581400454044342
67,2,1,0,0.5738009810447693
68,3,8,0,0.6716083884239197
69,7,5,0,0.5596757531166077
70,2,6,0,0.7047482132911682
71,6,6,1,0.8602125644683838
72,8,6,0,0.3633842170238495
73,8,1,0,0.7140293121337891
74,0,8,0,0.5435424447059631
75,2,2,1,0.662375271320343
76,9,9,1,0.476945698261261
77,3,3,1,0.7583451271057129
78,3,1,0,0.458368182182312
79,8,3,0,0.4552019238471985
80,8,3,0,0.6055880784988403
81,1,3,0,0.5876407027244568
82,1,1,1,0.9688462615013123
83,7,8,0,0.6114841103553772
84,2,2,1,0.5364363193511963
85,5,9,0,0.6608983874320984
86,2,6,0,0.5203953385353088
87,7,3,0,0.7062339186668396
88,8,8,1,0.9012797474861145
89,9,9,1,0.8244628310203552
90,0,0,1,0.8946508765220642
91,3,2,0,0.5256202816963196
92,8,8,1,0.4761914908885956
93,6,6,1,0.5356900095939636
94,4,2,0,0.5012775659561157
95,6,3,0,0.5218625664710999
96,6,6,1,0.767659604549408
97,0,0,1,0.9449252486228943
98,0,0,1,0.8826318979263306
99,7,0,0,0.4979308545589447
100,4,7,0,0.5543997883796692
101,5,7,0,0.56644606590271
102,6,1,0,0.4898297190666199
103,3,3,1,0.934817910194397
104,1,7,0,0.71961510181427
105,1,9,0,0.8500224947929382
106,3,5,0,0.7119759917259216
107,6,6,1,0.8371731638908386
108,8,7,0,0.5787865519523621
109,7,7,1,0.8623224496841431
110,4,3,0,0.5183790326118469
111,0,7,0,0.6499958038330078
112,6,6,1,0.7377550601959229
113,2,5,0,0.8882966041564941
114,1,9,0,0.5036796927452087
115,3,3,1,0.6195628643035889
116,0,0,1,0.8472836017608643
117,4,0,0,0.25859904289245605
118,2,3,0,0.44108065962791443
119,7,1,0,0.6882163286209106
120,8,3,0,0.7734066843986511
121,3,3,1,0.824306309223175
122,1,6,0,0.5908970236778259
123,2,2,1,0.5741379261016846
124,8,2,0,0.6601229310035706
125,0,9,0,0.4679092466831207
126,8,3,0,0.6591456532478333
127,3,1,0,0.6869073510169983
128,5,3,0,0.8012532591819763
129,2,3,0,0.48416250944137573
130,4,4,1,0.6360146403312683
131,1,3,0,0.5599162578582764
132,8,1,0,0.6144284605979919
133,9,9,1,0.9190360307693481
134,1,9,0,0.37058088183403015
135,2,1,0,0.9475875496864319
136,9,5,0,0.822715699672699
137,7,9,0,0.4979035258293152
138,2,9,0,0.6614748239517212
139,9,3,0,0.7072878479957581
140,6,2,0,0.7775957584381104
141,5,2,0,0.6898135542869568
142,6,3,0,0.3765178322792053
143,3,9,0,0.6152559518814087
144,8,1,0,0.5908002257347107
145,7,3,0,0.4638526439666748
146,6,6,1,0.5653851628303528
147,2,1,0,0.6873227953910828
148,5,6,0,0.3585538864135742
149,2,3,0,0.7164372205734253
150,8,5,0,0.6628668308258057
151,9,1,0,0.4792981743812561
152,6,6,1,0.8705239295959473
153,0,7,0,0.8516247868537903
154,0,0,1,0.7188131213188171
155,5,3,0,0.878364622592926
156,2,3,0,0.8658000230789185
157,9,1,0,0.7232258915901184
158,5,5,1,0.685356080532074
159,4,3,0,0.8480435609817505
160,2,3,0,0.543667733669281
161,1,3,0,0.45625197887420654
162,6,8,0,0.7553614377975464
163,6,2,0,0.8321230411529541
164,8,9,0,0.5140579342842102
165,4,2,0,0.591606616973877
166,8,3,0,0.40815484523773193
167,4,6,0,0.5317198038101196
168,5,8,0,0.5737482905387878
169,0,2,0,0.7213435173034668
170,9,9,1,0.9250722527503967
171,9,9,1,0.32337501645088196
172,9,6,0,0.3210445046424866
173,8,8,1,0.9388773441314697
174,9,9,1,0.8464812636375427
175,9,9,1,0.6835041642189026
176,3,3,1,0.8042190670967102
177,7,7,1,0.6359458565711975
178,5,3,0,0.6067214012145996
179,0,6,0,0.6724304556846619
180,0,6,0,0.7184774279594421
181,5,5,1,0.7307907342910767
182,2,1,0,0.7170222997665405
183,2,2,1,0.4392412304878235
184,3,3,1,0.47759681940078735
185,8,5,0,0.6423360705375671
186,6,6,1,0.9797301292419434
187,3,3,1,0.9070528745651245
188,4,3,0,0.6789194345474243
189,0,9,0,0.5297444462776184
190,5,1,0,0.4236717224121094
191,8,4,0,0.43590301275253296
192,0,5,0,0.8129619359970093
193,1,1,1,0.9108168482780457
194,7,3,0,0.6851143836975098
195,2,5,0,0.33768972754478455
196,8,3,0,0.49996575713157654
197,8,8,1,0.9331539273262024
198,7,3,0,0.7345978617668152
199,8,2,0,0.85235995054245
200,5,3,0,0.5894269943237305
201,1,0,0,0.726759135723114
202,8,7,0,0.5013143420219421
203,7,7,1,0.625029444694519
204,1,1,1,0.9026467204093933
205,3,6,0,0.5653149485588074
206,0,0,1,0.9092264771461487
207,5,8,0,0.39067649841308594
208,7,7,1,0.3807240128517151
209,9,0,0,0.5251253843307495
210,7,7,1,0.5259630680084229
211,4,4,1,0.6148273944854736
212,5,5,1,0.7527061104774475
213,9,9,1,0.769775390625
214,8,2,0,0.5428102612495422
215,0,3,0,0.6628935933113098
216,7,3,0,0.5715790390968323
217,9,9,1,0.8535407781600952
218,8,8,1,0.6301621794700623
219,2,3,0,0.4488205313682556
220,7,3,0,0.6521939635276794
221,6,3,0,0.6195443272590637
222,9,3,0,0.5586795806884766
223,4,4,1,0.4953592121601105
224,3,2,0,0.4895315170288086
225,9,5,0,0.6259668469429016
226,6,2,0,0.655745267868042
227,4,4,1,0.7948702573776245
228,7,6,0,0.664552628993988
229,6,9,0,0.7256817817687988
230,5,3,0,0.7140803337097168
231,1,9,0,0.6970452070236206
232,5,1,0,0.8398652672767639
233,8,1,0,0.835171639919281
234,8,8,1,0.9257539510726929
235,0,0,1,0.897771954536438
236,4,4,1,0.4845261573791504
237,0,0,1,0.7060449719429016
238,5,5,1,0.8333958983421326
239,5,1,0,0.6960548758506775
240,1,1,1,0.918692409992218
241,1,8,0,0.3540516197681427
242,8,1,0,0.593405544757843
243,9,8,0,0.4812621772289276
244,0,1,0,0.5808117389678955
245,3,2,0,0.7044311165809631
246,1,1,1,0.9329765439033508
247,9,3,0,0.4709568917751312
248,2,1,0,0.7252357602119446
