sample_idx,true_label,pred_label,correct,confidence
0,3,3,1,0.7213295102119446
1,8,8,1,0.8085384368896484
2,8,8,1,0.9255487322807312
3,0,8,0,0.6055216193199158
4,6,6,1,0.9005135297775269
5,6,6,1,0.8201642036437988
6,1,3,0,0.7557181119918823
7,6,6,1,0.8607126474380493
8,3,3,1,0.9188116788864136
9,1,1,1,0.6579473614692688
10,0,0,1,0.9288302659988403
11,9,1,0,0.9089805483818054
12,5,3,0,0.6859160661697388
13,7,7,1,0.5563271641731262
14,9,1,0,0.7326386570930481
15,8,8,1,0.9093407988548279
16,5,3,0,0.7454913854598999
17,7,5,0,0.7714376449584961
18,8,1,0,0.6189914345741272
19,6,6,1,0.9826338887214661
20,7,7,1,0.7314274907112122
21,0,2,0,0.5319799780845642
22,4,8,0,0.5798757672309875
23,9,9,1,0.9393864274024963
24,5,4,0,0.8741393089294434
25,2,2,1,0.4947204291820526
26,4,3,0,0.6294838190078735
27,0,4,0,0.3575993776321411
28,9,9,1,0.9308240413665771
29,6,6,1,0.9483053088188171
30,6,6,1,0.7811680436134338
31,5,5,1,0.929486095905304
32,4,4,1,0.8976704478263855
33,5,3,0,0.6287558674812317
34,9,9,1,0.6291615962982178
35,2,1,0,0.7979416847229004
36,4,5,0,0.47150835394859314
37,1,1,1,0.8002228736877441
38,9,9,1,0.8870545029640198
39,5,5,1,0.9375525712966919
40,4,1,0,0.5964198112487793
41,6,6,1,0.7955615520477295
42,5,8,0,0.4683501422405243
43,6,6,1,0.9422103762626648
44,0,0,1,0.7731196880340576
45,9,9,1,0.8562787771224976
46,3,3,1,0.7767084240913391
47,9,6,0,0.4087427854537964
48,7,4,0,0.8916900157928467
49,6,6,1,0.5725238919258118
50,9,3,0,0.4100109338760376
51,8,3,0,0.5243944525718689
52,0,7,0,0.4492712914943695
53,3,6,0,0.5920845866203308
54,8,8,1,0.552160918712616
55,8,2,0,0.5810533165931702
56,7,7,1,0.5627296566963196
57,7,4,0,0.6707450151443481
