sample_idx,true_label,pred_label,correct,confidence
0,3,3,1,0.6266485452651978
1,8,3,0,0.8547748327255249
2,8,0,0,0.7589618563652039
3,0,0,1,0.5165526270866394
4,6,0,0,0.6529200077056885
5,6,2,0,0.3064470589160919
6,1,2,0,0.7121074199676514
7,6,3,0,0.7255134582519531
8,3,0,0,0.7813845872879028
9,1,2,0,0.858292281627655
10,0,8,0,0.2887890636920929
11,9,2,0,0.7440620064735413
12,5,2,0,0.6877092123031616
13,7,3,0,0.8162151575088501
14,9,0,0,0.630259096622467
15,8,2,0,0.6944708228111267
16,5,0,0,0.8499870300292969
17,7,3,0,0.6764010190963745
18,8,3,0,0.4608381986618042
19,6,0,0,0.817407488822937
20,7,3,0,0.5884312391281128
21,0,2,0,0.8495988249778748
22,4,2,0,0.8245017528533936
23,9,0,0,0.5259172320365906
24,5,3,0,0.67955082654953
25,2,3,0,0.8644806146621704
26,4,3,0,0.7647427320480347
27,0,3,0,0.737917423248291
28,9,2,0,0.6761856079101562
29,6,3,0,0.6907327771186829
30,6,0,0,0.7570324540138245
31,5,9,0,0.7736474871635437
32,4,2,0,0.7572856545448303
33,5,2,0,0.754949688911438
34,9,8,0,0.6213588714599609
35,2,8,0,0.5977568626403809
36,4,3,0,0.6523497700691223
37,1,3,0,0.8454980254173279
38,9,0,0,0.590046226978302
39,5,2,0,0.4407503008842468
40,4,3,0,0.6151901483535767
41,6,2,0,0.8162215352058411
42,5,3,0,0.9399024248123169
43,6,2,0,0.4118456542491913
44,0,2,0,0.5366953611373901
45,9,0,0,0.5575522780418396
46,3,0,0,0.6769731640815735
47,9,3,0,0.7114454507827759
48,7,2,0,0.6193751692771912
49,6,2,0,0.6531141400337219
50,9,3,0,0.7330273985862732
51,8,9,0,0.5370233058929443
52,0,3,0,0.8364712595939636
53,3,2,0,0.6796199679374695
54,8,0,0,0.6784773468971252
55,8,0,0,0.6279262900352478
56,7,0,0,0.5512305498123169
57,7,8,0,0.4738657474517822
58,4,0,0,0.8713095188140869
59,6,9,0,0.6852642893791199
60,7,3,0,0.5500684976577759
61,3,0,0,0.6000255942344666
62,6,3,0,0.48293250799179077
63,3,2,0,0.5603355765342712
64,6,2,0,0.583782434463501
65,2,2,1,0.8190701007843018
66,1,2,0,0.8172455430030823
67,2,0,0,0.7122633457183838
68,3,3,1,0.7680587768554688
69,7,3,0,0.7374155521392822
70,2,3,0,0.5501798391342163
71,6,3,0,0.8789718747138977
72,8,0,0,0.881858229637146
73,8,0,0,0.8267251253128052
74,0,2,0,0.7751657962799072
75,2,2,1,0.7014378905296326
76,9,0,0,0.7153529524803162
77,3,0,0,0.7576926350593567
78,3,3,1,0.8312800526618958
79,8,0,0,0.8373267650604248
80,8,3,0,0.7858303785324097
81,1,0,0,0.5644903779029846
82,1,0,0,0.7139648795127869
83,7,2,0,0.4312983453273773
84,2,0,0,0.3938963711261749
85,5,2,0,0.6444699764251709
86,2,2,1,0.7159833312034607
87,7,2,0,0.6455269455909729
88,8,0,0,0.510078489780426
89,9,2,0,0.7637818455696106
90,0,2,0,0.9087904691696167
91,3,2,0,0.73650723695755
92,8,0,0,0.4176728427410126
93,6,2,0,0.6690012812614441
94,4,0,0,0.8170190453529358
95,6,3,0,0.7618997097015381
