sample_idx,true_label,pred_label,correct,confidence
0,3,3,1,0.8554587364196777
1,8,2,0,0.5604063272476196
2,8,2,0,0.513758659362793
3,0,2,0,0.7878475189208984
4,6,2,0,0.6658662557601929
5,6,3,0,0.7848035097122192
6,1,3,0,0.8131738305091858
7,6,2,0,0.48421111702919006
8,3,8,0,0.3419344127178192
9,1,3,0,0.8335391879081726
10,0,3,0,0.5115128755569458
11,9,3,0,0.7024956941604614
12,5,2,0,0.5897605419158936
13,7,3,0,0.6750221252441406
14,9,3,0,0.549648106098175
15,8,3,0,0.6552509665489197
16,5,3,0,0.4910150170326233
17,7,3,0,0.9110896587371826
18,8,2,0,0.6706091165542603
19,6,3,0,0.7334242463111877
20,7,3,0,0.48417046666145325
21,0,2,0,0.5129339694976807
22,4,8,0,0.5818919539451599
23,9,3,0,0.6954814195632935
24,5,0,0,0.5643343329429626
25,2,2,1,0.757784366607666
26,4,3,0,0.8897544741630554
27,0,3,0,0.6357539892196655
28,9,0,0,0.4107650816440582
29,6,2,0,0.5784873366355896
30,6,2,0,0.44250330328941345
31,5,8,0,0.7375546097755432
32,4,3,0,0.5533795356750488
33,5,3,0,0.5554165840148926
34,9,3,0,0.8019229173660278
35,2,3,0,0.8214603662490845
36,4,3,0,0.6442017555236816
37,1,3,0,0.7795485854148865
38,9,3,0,0.631865918636322
39,5,3,0,0.6138911247253418
40,4,3,0,0.6400938630104065
41,6,2,0,0.9117557406425476
42,5,2,0,0.8868151307106018
43,6,3,0,0.803230345249176
44,0,2,0,0.5703598260879517
45,9,3,0,0.708807647228241
46,3,3,1,0.5267021059989929
47,9,3,0,0.7025712132453918
48,7,0,0,0.3062882423400879
49,6,3,0,0.7873600721359253
50,9,8,0,0.5061896443367004
51,8,8,1,0.6262450814247131
52,0,3,0,0.7429662346839905
53,3,3,1,0.27448976039886475
54,8,0,0,0.8276300430297852
55,8,0,0,0.5574536919593811
56,7,2,0,0.7193967700004578
57,7,3,0,0.5662283301353455
58,4,3,0,0.6308639049530029
59,6,0,0,0.8235833048820496
60,7,3,0,0.5811606049537659
61,3,3,1,0.7365910410881042
62,6,3,0,0.46006810665130615
63,3,3,1,0.7732110023498535
64,6,3,0,0.6951483488082886
65,2,3,0,0.719199001789093
66,1,0,0,0.7895402908325195
67,2,2,1,0.6965314745903015
68,3,1,0,0.6583874225616455
69,7,2,0,0.8757759928703308
70,2,3,0,0.7218714952468872
71,6,3,0,0.8097037672996521
72,8,3,0,0.41600459814071655
73,8,0,0,0.6535140872001648
74,0,3,0,0.5306335687637329
75,2,3,0,0.8427932262420654
76,9,3,0,0.7523906826972961
77,3,3,1,0.6818658113479614
78,3,3,1,0.8419398665428162
79,8,3,0,0.7230845093727112
80,8,3,0,0.528891921043396
81,1,8,0,0.8727912306785583
82,1,2,0,0.629790723323822
83,7,0,0,0.5225528478622437
84,2,2,1,0.48998212814331055
85,5,3,0,0.8533076047897339
86,2,2,1,0.6197975277900696
87,7,3,0,0.716498076915741
88,8,3,0,0.745100736618042
89,9,3,0,0.8000606298446655
90,0,3,0,0.5239992737770081
91,3,2,0,0.4990549087524414
92,8,0,0,0.9530289769172668
93,6,8,0,0.7742862105369568
94,4,2,0,0.87223219871521
95,6,2,0,0.7262232303619385
96,6,3,0,0.7139254808425903
97,0,0,1,0.5093817114830017
98,0,3,0,0.8455602526664734
99,7,2,0,0.4241839647293091
100,4,1,0,0.22723670303821564
101,5,3,0,0.8697277307510376
102,6,3,0,0.6529223322868347
103,3,3,1,0.6343737244606018
104,1,3,0,0.5516099333763123
105,1,3,0,0.5862454175949097
106,3,3,1,0.8322976231575012
107,6,8,0,0.29007241129875183
108,8,3,0,0.6227262020111084
109,7,9,0,0.4324514865875244
110,4,3,0,0.8016898036003113
111,0,3,0,0.412213534116745
112,6,3,0,0.8704018592834473
113,2,0,0,0.5338031053543091
114,1,3,0,0.8080962300300598
115,3,3,1,0.5711378455162048
116,0,3,0,0.5907437801361084
117,4,3,0,0.7151294946670532
118,2,3,0,0.8382801413536072
119,7,3,0,0.6286731958389282
120,8,0,0,0.6255159378051758
121,3,3,1,0.5568161606788635
122,1,0,0,0.7452994585037231
123,2,3,0,0.3831467032432556
124,8,3,0,0.6877673268318176
125,0,8,0,0.3449951112270355
126,8,0,0,0.5492255091667175
127,3,3,1,0.8603765368461609
128,5,3,0,0.7374898195266724
129,2,3,0,0.730006992816925
130,4,3,0,0.7714753150939941
131,1,2,0,0.7620612382888794
132,8,3,0,0.3451410233974457
133,9,1,0,0.5433332324028015
134,1,3,0,0.7744795083999634
135,2,3,0,0.6328381896018982
136,9,3,0,0.7529126405715942
137,7,2,0,0.5119919776916504
138,2,2,1,0.5306086540222168
139,9,3,0,0.808278501033783
140,6,3,0,0.5620591044425964
