sample_idx,true_label,pred_label,correct,confidence
0,3,1,0,0.48000094294548035
1,8,8,1,0.8655208945274353
2,8,3,0,0.5176275968551636
3,0,2,0,0.782503068447113
4,6,4,0,0.5318928360939026
5,6,9,0,0.8402575254440308
6,1,3,0,0.5330790877342224
7,6,0,0,0.7132107019424438
8,3,9,0,0.4080972969532013
9,1,1,1,0.6184962391853333
10,0,0,1,0.38066568970680237
11,9,9,1,0.8548967242240906
12,5,6,0,0.9102767109870911
13,7,2,0,0.44017377495765686
14,9,9,1,0.9394975304603577
15,8,2,0,0.6117609143257141
16,5,1,0,0.47974303364753723
17,7,5,0,0.7225056290626526
18,8,1,0,0.7846077084541321
19,6,2,0,0.7011887431144714
20,7,2,0,0.32866159081459045
21,0,0,1,0.9479402303695679
22,4,2,0,0.642242431640625
23,9,9,1,0.8311567306518555
24,5,1,0,0.5632733702659607
25,2,2,1,0.7519762516021729
26,4,6,0,0.7550269961357117
27,0,1,0,0.4807158410549164
28,9,6,0,0.6484344601631165
29,6,6,1,0.5727885961532593
30,6,3,0,0.6307625770568848
31,5,7,0,0.5154786109924316
32,4,2,0,0.7570858597755432
33,5,2,0,0.6345263719558716
34,9,8,0,0.3695797026157379
35,2,1,0,0.6340441107749939
36,4,5,0,0.4575645625591278
37,1,3,0,0.3695622384548187
38,9,1,0,0.8642914891242981
39,5,3,0,0.45915040373802185
40,4,4,1,0.6203689575195312
41,6,6,1,0.9590296149253845
42,5,8,0,0.3786108195781708
43,6,6,1,0.8770011067390442
44,0,2,0,0.9036009907722473
45,9,9,1,0.6881924867630005
46,3,3,1,0.6829897165298462
47,9,6,0,0.5178214907646179
48,7,2,0,0.7773116827011108
49,6,4,0,0.6780230402946472
50,9,1,0,0.7181693315505981
51,8,9,0,0.6379142999649048
52,0,3,0,0.7731984257698059
53,3,6,0,0.9273504018783569
54,8,8,1,0.787937343120575
55,8,8,1,0.9023524522781372
56,7,1,0,0.5866400599479675
57,7,3,0,0.7573737502098083
58,4,2,0,0.6424369215965271
59,6,3,0,0.6293081641197205
60,7,9,0,0.5631943345069885
61,3,2,0,0.7009230852127075
62,6,6,1,0.8139228224754333
63,3,3,1,0.4732503890991211
64,6,3,0,0.7590464353561401
65,2,6,0,0.7153078317642212
66,1,6,0,0.8502671718597412
67,2,2,1,0.8041006326675415
68,3,2,0,0.551063060760498
69,7,9,0,0.3432728946208954
70,2,0,0,0.7319729924201965
71,6,7,0,0.43152984976768494
72,8,0,0,0.569028377532959
73,8,1,0,0.4764409363269806
74,0,2,0,0.7680599093437195
75,2,3,0,0.8375737071037292
76,9,2,0,0.7273452281951904
77,3,3,1,0.5431857705116272
78,3,2,0,0.5611302852630615
79,8,0,0,0.5289855599403381
80,8,8,1,0.8997659087181091
81,1,1,1,0.5295736193656921
82,1,1,1,0.9585781693458557
83,7,0,0,0.5124931335449219
84,2,2,1,0.6092724204063416
85,5,3,0,0.44653886556625366
86,2,9,0,0.44824716448783875
87,7,3,0,0.5775856971740723
