sample_idx,true_label,pred_label,correct,confidence
0,3,8,0,0.4814220070838928
1,8,8,1,0.8676238059997559
2,8,8,1,0.930234432220459
3,0,8,0,0.6971718668937683
4,6,6,1,0.7195578217506409
5,6,6,1,0.5568450689315796
6,1,1,1,0.8363111615180969
7,6,6,1,0.8519096970558167
8,3,3,1,0.8595607280731201
9,1,1,1,0.8291274905204773
10,0,0,1,0.8754305243492126
11,9,9,1,0.9625769853591919
12,5,5,1,0.8667004108428955
13,7,7,1,0.6463878154754639
14,9,9,1,0.8551497459411621
15,8,8,1,0.45209190249443054
16,5,5,1,0.7830625176429749
17,7,8,0,0.5028473138809204
18,8,8,1,0.8520939946174622
19,6,6,1,0.5820783376693726
20,7,7,1,0.8525903820991516
21,0,0,1,0.9257389903068542
22,4,4,1,0.7628656029701233
23,9,9,1,0.9619582295417786
24,5,4,0,0.9541061520576477
25,2,2,1,0.5250502824783325
26,4,5,0,0.486127644777298
27,0,2,0,0.5506083369255066
28,9,9,1,0.8636404871940613
29,6,6,1,0.44570112228393555
30,6,6,1,0.6675068140029907
31,5,5,1,0.9109951257705688
32,4,4,1,0.7699054479598999
33,5,3,0,0.6693722605705261
34,9,9,1,0.9778672456741333
35,2,3,0,0.6271629929542542
36,4,4,1,0.6670658588409424
37,1,1,1,0.8338404297828674
38,9,9,1,0.9673629999160767
39,5,5,1,0.6093605756759644
40,4,1,0,0.514338493347168
41,6,6,1,0.8157133460044861
42,5,5,1,0.5555645227432251
43,6,6,1,0.9223514199256897
44,0,0,1,0.6923659443855286
45,9,9,1,0.9302523732185364
46,3,4,0,0.6008317470550537
47,9,3,0,0.4195267856121063
48,7,7,1,0.9804069399833679
49,6,2,0,0.48310765624046326
50,9,2,0,0.419112890958786
51,8,8,1,0.9016627073287964
52,0,2,0,0.4280707836151123
53,3,3,1,0.6873548030853271
54,8,8,1,0.8742269277572632
55,8,8,1,0.9192250967025757
56,7,5,0,0.6320866346359253
57,7,3,0,0.5862910151481628
58,4,8,0,0.6517617106437683
59,6,5,0,0.5936506390571594
60,7,7,1,0.9639968276023865
61,3,5,0,0.6757092475891113
62,6,6,1,0.8227290511131287
63,3,0,0,0.5585819482803345
64,6,6,1,0.5179210901260376
65,2,2,1,0.5270734429359436
66,1,1,1,0.7438004612922668
67,2,2,1,0.6582562327384949
68,3,4,0,0.5127107501029968
69,7,7,1,0.6143909096717834
70,2,2,1,0.6563209891319275
71,6,6,1,0.5177200436592102
72,8,8,1,0.9779540300369263
73,8,8,1,0.8995664119720459
74,0,0,1,0.6114717721939087
75,2,5,0,0.6531707644462585
76,9,0,0,0.7016342878341675
77,3,4,0,0.30874258279800415
78,3,5,0,0.6073147654533386
79,8,8,1,0.9312923550605774
80,8,8,1,0.892285168170929
81,1,1,1,0.7196372151374817
82,1,2,0,0.44136524200439453
83,7,1,0,0.531970739364624
84,2,2,1,0.9583417177200317
85,5,3,0,0.41636770963668823
86,2,9,0,0.5346857309341431
87,7,6,0,0.3497559428215027
88,8,8,1,0.8118501305580139
89,9,9,1,0.9431883692741394
90,0,8,0,0.7217884659767151
91,3,3,1,0.38788479566574097
92,8,8,1,0.9889479875564575
93,6,6,1,0.9382308721542358
94,4,3,0,0.36614876985549927
95,6,6,1,0.6592062711715698
96,6,6,1,0.9105618000030518
97,0,0,1,0.5567017793655396
98,0,0,1,0.7530507445335388
99,7,1,0,0.7861972451210022
100,4,7,0,0.9473687410354614
101,5,6,0,0.2950926423072815
102,6,6,1,0.8598268032073975
103,3,3,1,0.9008975028991699
104,1,9,0,0.8399897217750549
105,1,1,1,0.9912469387054443
106,3,6,0,0.8199928998947144
107,6,3,0,0.52614825963974
108,8,8,1,0.6440240740776062
109,7,5,0,0.7008106112480164
110,4,4,1,0.921509325504303
111,0,8,0,0.5608344674110413
112,6,2,0,0.5840434432029724
113,2,2,1,0.8546322584152222
114,1,1,1,0.6621565818786621
115,3,3,1,0.5241494178771973
116,0,0,1,0.9484115839004517
117,4,4,1,0.6578765511512756
118,2,6,0,0.5338128805160522
119,7,5,0,0.5062516331672668
120,8,0,0,0.4636647701263428
121,3,3,1,0.44345027208328247
122,1,8,0,0.49358904361724854
123,2,2,1,0.9035192131996155
124,8,8,1,0.6692209243774414
125,0,8,0,0.6250393986701965
126,8,8,1,0.8082278370857239
127,3,6,0,0.5620376467704773
128,5,5,1,0.5015637874603271
129,2,0,0,0.6882602572441101
130,4,4,1,0.7763645648956299
131,1,1,1,0.8469750881195068
132,8,9,0,0.8324118256568909
133,9,9,1,0.3685702979564667
134,1,1,1,0.5550165772438049
135,2,2,1,0.8322708010673523
136,9,9,1,0.599070131778717
137,7,7,1,0.5094186663627625
138,2,2,1,0.521374523639679
139,9,8,0,0.5077489018440247
140,6,6,1,0.5978792905807495
141,5,5,1,0.8657656311988831
142,6,6,1,0.3330458402633667
143,3,5,0,0.8058144450187683
144,8,8,1,0.74400395154953
145,7,2,0,0.6438187956809998
146,6,5,0,0.38651591539382935
147,2,6,0,0.6840400099754333
148,5,3,0,0.5928180813789368
149,2,2,1,0.5953193306922913
150,8,8,1,0.8069899082183838
151,9,3,0,0.5448909997940063
152,6,4,0,0.45785924792289734
153,0,9,0,0.5244082808494568
154,0,3,0,0.4212662875652313
155,5,3,0,0.6783633232116699
156,2,6,0,0.4824139475822449
157,9,9,1,0.7081595063209534
158,5,8,0,0.4711058735847473
159,4,8,0,0.6559951901435852
160,2,0,0,0.7840179800987244
161,1,1,1,0.8560316562652588
162,6,3,0,0.5215268731117249
163,6,6,1,0.8786638975143433
164,8,8,1,0.5859518051147461
165,4,4,1,0.5291202664375305
166,8,8,1,0.8030030131340027
167,4,4,1,0.5231732130050659
168,5,5,1,0.7027354836463928
169,0,0,1,0.454341322183609
170,9,5,0,0.7886180281639099
171,9,9,1,0.4678950607776642
172,9,9,1,0.6833868026733398
173,8,8,1,0.9200331568717957
174,9,9,1,0.9320976138114929
175,9,9,1,0.9718917608261108
176,3,3,1,0.6780459880828857
177,7,7,1,0.7854437828063965
178,5,3,0,0.42935124039649963
179,0,9,0,0.7556236386299133
180,0,0,1,0.48393216729164124
181,5,7,0,0.6255549788475037
182,2,2,1,0.9201623201370239
183,2,6,0,0.5007078051567078
184,3,3,1,0.56137615442276
185,8,8,1,0.9327772855758667
186,6,2,0,0.40692538022994995
187,3,8,0,0.6415790319442749
188,4,3,0,0.5691161751747131
189,0,0,1,0.6499010920524597
190,5,5,1,0.5269038677215576
191,8,8,1,0.662463903427124
192,0,0,1,0.8167307376861572
193,1,1,1,0.8521506190299988
194,7,7,1,0.36847200989723206
195,2,5,0,0.3890877962112427
196,8,8,1,0.7994183301925659
197,8,8,1,0.6879868507385254
198,7,5,0,0.6066172122955322
199,8,8,1,0.9172755479812622
200,5,3,0,0.7438852190971375
201,1,0,0,0.513218104839325
202,8,8,1,0.9818187952041626
203,7,7,1,0.9134690761566162
204,1,3,0,0.4328995645046234
205,3,3,1,0.8749609589576721
206,0,8,0,0.7705604434013367
207,5,4,0,0.559413492679596
208,7,5,0,0.3752399981021881
209,9,9,1,0.9014773368835449
210,7,3,0,0.6638134717941284
211,4,3,0,0.40126824378967285
212,5,5,1,0.6825652718544006
213,9,9,1,0.5930147171020508
214,8,8,1,0.6189230680465698
215,0,0,1,0.7011497616767883
216,7,7,1,0.9796819090843201
217,9,9,1,0.7776864767074585
218,8,2,0,0.4512639343738556
219,2,6,0,0.5358816385269165
220,7,7,1,0.8043403625488281
221,6,3,0,0.817438006401062
222,9,9,1,0.9772987365722656
223,4,3,0,0.5919247269630432
224,3,4,0,0.4254600405693054
225,9,9,1,0.6080024242401123
226,6,0,0,0.3568713068962097
227,4,2,0,0.6633235812187195
228,7,3,0,0.6855446100234985
229,6,2,0,0.4974958002567291
230,5,5,1,0.8631383180618286
231,1,1,1,0.9722447395324707
232,5,5,1,0.6220850348472595
233,8,8,1,0.9306680560112
234,8,8,1,0.6155642867088318
235,0,0,1,0.9054805636405945
236,4,4,1,0.9529091119766235
237,0,9,0,0.4475553035736084
238,5,5,1,0.4942808747291565
239,5,5,1,0.5740407109260559
240,1,1,1,0.9613453149795532
241,1,1,1,0.878604531288147
242,8,8,1,0.7143523693084717
243,9,9,1,0.9226550459861755
244,0,0,1,0.7417110204696655
245,3,3,1,0.5662361979484558
246,1,1,1,0.7232320308685303
247,9,8,0,0.8347761631011963
248,2,2,1,0.9422245621681213
249,2,8,0,0.48293396830558777
250,5,2,0,0.5089368224143982
251,3,5,0,0.8410044312477112
252,9,1,0,0.7384903430938721
253,9,9,1,0.7294607162475586
254,4,4,1,0.44335445761680603
255,0,2,0,0.4830978512763977
256,3,6,0,0.6859055161476135
257,0,0,1,0.7657650113105774
258,0,8,0,0.8958226442337036
259,9,1,0,0.6435178518295288
260,8,3,0,0.4487294852733612
261,1,9,0,0.6771889328956604
262,5,1,0,0.6718469262123108
263,7,3,0,0.6476195454597473
264,0,0,1,0.6137190461158752
265,8,8,1,0.7653551697731018
266,2,2,1,0.4994698166847229
267,4,4,1,0.8812062740325928
268,7,7,1,0.8248977661132812
269,0,2,0,0.6162818074226379
270,2,3,0,0.552890419960022
271,3,5,0,0.5480358004570007
272,6,1,0,0.4859789311885834
273,3,3,1,0.5722793340682983
274,8,8,1,0.8699604868888855
275,5,3,0,0.44650134444236755
276,0,1,0,0.4935060441493988
277,3,4,0,0.5299435257911682
278,4,3,0,0.44773146510124207
279,3,7,0,0.4959413409233093
280,9,8,0,0.3273947238922119
281,0,1,0,0.6667032241821289
282,6,6,1,0.7345715165138245
283,1,1,1,0.8568685054779053
284,0,9,0,0.5837969779968262
285,9,9,1,0.6127893924713135
286,1,1,1,0.5997487902641296
287,0,0,1,0.5744092464447021
288,7,7,1,0.8618683218955994
289,9,9,1,0.8203884959220886
290,1,1,1,0.9661425948143005
291,2,2,1,0.5314146876335144
292,6,6,1,0.8655493259429932
293,9,1,0,0.6618894338607788
294,3,3,1,0.6030546426773071
295,4,8,0,0.436509370803833
296,6,6,1,0.9936577677726746
297,0,0,1,0.8279507756233215
298,0,0,1,0.8291535377502441
299,6,6,1,0.9845388531684875
300,6,6,1,0.8744616508483887
301,6,6,1,0.6559494137763977
302,3,5,0,0.7751451134681702
303,2,2,1,0.6722440123558044
304,6,6,1,0.8307080268859863
305,1,9,0,0.5647763609886169
306,8,9,0,0.7429612278938293
307,2,2,1,0.9257862567901611
308,1,9,0,0.7522144317626953
309,6,2,0,0.5858789086341858
310,8,8,1,0.8757759928703308
311,6,6,1,0.9120554327964783
312,8,3,0,0.39706340432167053
313,0,0,1,0.8826218247413635
314,4,4,1,0.6169579029083252
315,0,0,1,0.8317340612411499
316,7,4,0,0.37749433517456055
317,7,5,0,0.580043613910675
318,5,5,1,0.5596444010734558
319,5,5,1,0.7584508061408997
320,3,3,1,0.662312388420105
321,5,5,1,0.6390110850334167
322,2,2,1,0.7107309103012085
323,3,3,1,0.5084832906723022
324,4,5,0,0.6322149634361267
325,1,1,1,0.7363190054893494
326,7,7,1,0.7833194136619568
327,5,5,1,0.9702895283699036
328,4,8,0,0.8565176725387573
329,6,6,1,0.7014309167861938
330,1,9,0,0.5851888656616211
331,9,9,1,0.6106011867523193
332,3,3,1,0.5574418306350708
333,6,6,1,0.6985782980918884
334,6,6,1,0.7815325856208801
335,9,3,0,0.3353888690471649
336,3,3,1,0.6813523173332214
337,8,8,1,0.9954415559768677
338,0,0,1,0.5338551998138428
339,7,7,1,0.4596286416053772
340,2,1,0,0.5167528986930847
341,6,6,1,0.5984511971473694
342,2,2,1,0.7464020848274231
343,5,4,0,0.34083229303359985
