sample_idx,true_label,pred_label,correct,confidence
0,3,3,1,0.6925968527793884
1,8,2,0,0.6969912052154541
2,8,2,0,0.551494300365448
3,0,2,0,0.6301476955413818
4,6,3,0,0.645700991153717
5,6,2,0,0.7572460174560547
6,1,3,0,0.6272976994514465
7,6,2,0,0.7022581696510315
8,3,0,0,0.6315733194351196
9,1,0,0,0.8323630094528198
10,0,0,1,0.7980815768241882
11,9,3,0,0.6282811760902405
12,5,3,0,0.6646438241004944
13,7,2,0,0.5398598313331604
14,9,3,0,0.6053392291069031
15,8,0,0,0.7247944474220276
16,5,2,0,0.6520367860794067
17,7,2,0,0.6590642929077148
18,8,2,0,0.6720100045204163
19,6,3,0,0.6451651453971863
20,7,2,0,0.5885892510414124
21,0,0,1,0.6007323861122131
22,4,0,0,0.5901914238929749
23,9,2,0,0.5243355631828308
24,5,2,0,0.8442238569259644
25,2,2,1,0.6703429818153381
26,4,3,0,0.6784950494766235
27,0,2,0,0.6989545226097107
28,9,3,0,0.5005573630332947
29,6,2,0,0.652120053768158
30,6,3,0,0.32142260670661926
31,5,0,0,0.9045885801315308
32,4,2,0,0.7414722442626953
33,5,2,0,0.7092146277427673
34,9,3,0,0.4951186180114746
35,2,0,0,0.6478644013404846
36,4,2,0,0.7629418969154358
37,1,3,0,0.6105493307113647
38,9,2,0,0.682905912399292
39,5,0,0,0.7180060148239136
40,4,2,0,0.4973827004432678
41,6,2,0,0.3724074065685272
42,5,3,0,0.4863620400428772
43,6,2,0,0.8545129895210266
44,0,2,0,0.9076446294784546
45,9,2,0,0.6427416205406189
46,3,0,0,0.6058476567268372
47,9,0,0,0.7261666655540466
48,7,2,0,0.6308417916297913
49,6,2,0,0.701441764831543
50,9,2,0,0.8070350289344788
51,8,2,0,0.9132770895957947
52,0,2,0,0.7348734736442566
53,3,2,0,0.6616120338439941
54,8,0,0,0.6752221584320068
55,8,2,0,0.5415592789649963
56,7,2,0,0.8280304074287415
57,7,4,0,0.6138639450073242
58,4,2,0,0.657049834728241
59,6,0,0,0.6127362251281738
60,7,0,0,0.6500723361968994
61,3,3,1,0.7219510078430176
62,6,3,0,0.568879246711731
63,3,2,0,0.5740551948547363
64,6,3,0,0.5598127841949463
65,2,2,1,0.571587324142456
66,1,3,0,0.5887901186943054
67,2,0,0,0.6375913023948669
68,3,3,1,0.627734363079071
69,7,2,0,0.9324613213539124
70,2,2,1,0.656964898109436
71,6,2,0,0.5328143835067749
72,8,0,0,0.6397990584373474
73,8,2,0,0.5831316709518433
74,0,2,0,0.7192806601524353
75,2,2,1,0.7744678854942322
76,9,0,0,0.5462477207183838
77,3,3,1,0.5831791162490845
78,3,2,0,0.8064968585968018
79,8,0,0,0.667140781879425
80,8,0,0,0.6399044394493103
81,1,2,0,0.7083393931388855
82,1,2,0,0.6673387885093689
83,7,0,0,0.47763022780418396
84,2,0,0,0.8355340957641602
85,5,3,0,0.5123062133789062
86,2,2,1,0.7397012114524841
87,7,3,0,0.5051902532577515
88,8,3,0,0.5335050821304321
89,9,0,0,0.5106340050697327
90,0,2,0,0.879725992679596
91,3,2,0,0.8750459551811218
92,8,0,0,0.5082396864891052
93,6,2,0,0.703167736530304
94,4,3,0,0.5472578406333923
95,6,2,0,0.4669232666492462
96,6,3,0,0.6149001121520996
97,0,0,1,0.5496560335159302
98,0,3,0,0.4727253019809723
99,7,2,0,0.6527947783470154
100,4,0,0,0.6450356245040894
101,5,3,0,0.5266373753547668
102,6,2,0,0.6963772773742676
103,3,3,1,0.7038971185684204
104,1,2,0,0.6106018424034119
105,1,0,0,0.7243609428405762
106,3,2,0,0.6331200003623962
107,6,2,0,0.8628795742988586
108,8,3,0,0.8445529341697693
109,7,3,0,0.4885551631450653
110,4,3,0,0.6711339950561523
111,0,3,0,0.528081476688385
112,6,2,0,0.5434570908546448
113,2,2,1,0.7245477437973022
114,1,0,0,0.9581875801086426
115,3,2,0,0.7136093974113464
116,0,0,1,0.5837761759757996
117,4,0,0,0.6016334891319275
118,2,5,0,0.47767117619514465
119,7,2,0,0.632005512714386
120,8,0,0,0.6433137059211731
121,3,3,1,0.6400067806243896
122,1,2,0,0.8405011296272278
123,2,2,1,0.7399216294288635
124,8,2,0,0.6307938098907471
125,0,2,0,0.7044095993041992
126,8,2,0,0.8430461883544922
127,3,3,1,0.833066999912262
128,5,0,0,0.5666367411613464
129,2,0,0,0.6071007251739502
130,4,3,0,0.4658801853656769
