sample_idx,true_label,pred_label,correct,confidence
0,3,2,0,0.6329859495162964
1,8,3,0,0.7842318415641785
2,8,3,0,0.5862006545066833
3,0,3,0,0.5980058312416077
4,6,3,0,0.3817838132381439
5,6,3,0,0.7418397665023804
6,1,0,0,0.6620378494262695
7,6,2,0,0.4156649708747864
8,3,2,0,0.4141847491264343
9,1,3,0,0.5141595005989075
10,0,3,0,0.7448355555534363
11,9,2,0,0.7861981391906738
12,5,3,0,0.5023642778396606
13,7,3,0,0.5640190243721008
14,9,3,0,0.5072364211082458
15,8,0,0,0.26928210258483887
16,5,2,0,0.6565331220626831
17,7,0,0,0.6415767073631287
18,8,5,0,0.5851341485977173
19,6,3,0,0.3591209352016449
20,7,2,0,0.849687933921814
21,0,0,1,0.367868572473526
22,4,0,0,0.7349069714546204
23,9,3,0,0.5635478496551514
24,5,2,0,0.5961857438087463
25,2,2,1,0.42922884225845337
26,4,2,0,0.48351800441741943
27,0,2,0,0.7385474443435669
28,9,5,0,0.6008628010749817
29,6,2,0,0.5286602973937988
30,6,2,0,0.711448073387146
31,5,3,0,0.5321423411369324
32,4,3,0,0.465875506401062
33,5,2,0,0.7445055246353149
34,9,1,0,0.5210010409355164
35,2,3,0,0.6684857606887817
36,4,3,0,0.5792156457901001
37,1,0,0,0.6941532492637634
38,9,8,0,0.5264273285865784
39,5,0,0,0.6000505089759827
40,4,2,0,0.724337637424469
41,6,3,0,0.5076425075531006
42,5,3,0,0.8277986645698547
43,6,2,0,0.7306727170944214
44,0,2,0,0.7865899801254272
45,9,0,0,0.5414761900901794
46,3,3,1,0.7478305697441101
47,9,3,0,0.4891700744628906
48,7,2,0,0.4966156780719757
49,6,2,0,0.4483693242073059
50,9,8,0,0.6110387444496155
51,8,2,0,0.7330968379974365
52,0,0,1,0.6525583267211914
53,3,3,1,0.623051106929779
54,8,0,0,0.6597509980201721
55,8,2,0,0.6272484660148621
56,7,3,0,0.7230448722839355
57,7,0,0,0.43677663803100586
58,4,5,0,0.5405663251876831
59,6,0,0,0.40504318475723267
60,7,0,0,0.5216996669769287
61,3,3,1,0.5276507139205933
62,6,0,0,0.8954229950904846
63,3,3,1,0.576675295829773
64,6,3,0,0.6283784508705139
65,2,2,1,0.8137752413749695
66,1,2,0,0.38988983631134033
67,2,0,0,0.6035643219947815
68,3,2,0,0.6600229144096375
69,7,0,0,0.665192186832428
70,2,2,1,0.5150537490844727
71,6,3,0,0.3708282709121704
72,8,5,0,0.5134018063545227
73,8,3,0,0.5053043961524963
74,0,3,0,0.49156203866004944
75,2,8,0,0.494096964597702
76,9,0,0,0.7495109438896179
77,3,3,1,0.5856345295906067
78,3,3,1,0.5615862607955933
79,8,0,0,0.7236295342445374
80,8,0,0,0.5812645554542542
81,1,5,0,0.7107662558555603
82,1,3,0,0.43702468276023865
83,7,3,0,0.6611392498016357
84,2,0,0,0.6647050976753235
85,5,8,0,0.5093764662742615
86,2,8,0,0.4581506848335266
87,7,0,0,0.6673685312271118
88,8,2,0,0.48751068115234375
89,9,0,0,0.41580554842948914
90,0,0,1,0.878359854221344
91,3,2,0,0.5889673829078674
92,8,3,0,0.5505592226982117
93,6,3,0,0.8011183142662048
94,4,0,0,0.2847535014152527
95,6,3,0,0.6600654125213623
96,6,3,0,0.40888094902038574
97,0,2,0,0.6118762493133545
98,0,0,1,0.6548914313316345
99,7,0,0,0.8731371760368347
100,4,2,0,0.6434385180473328
101,5,0,0,0.49169808626174927
102,6,3,0,0.5247230529785156
103,3,3,1,0.6699360013008118
104,1,0,0,0.6392072439193726
105,1,0,0,0.6612385511398315
106,3,3,1,0.7185604572296143
107,6,0,0,0.32023295760154724
108,8,0,0,0.6736551523208618
109,7,3,0,0.6220744848251343
110,4,0,0,0.4219922721385956
111,0,0,1,0.7382839918136597
