sample_idx,true_label,pred_label,correct,confidence
0,3,3,1,0.7579727172851562
1,8,8,1,0.7564431428909302
2,8,8,1,0.7043405175209045
3,0,4,0,0.4218217134475708
4,6,6,1,0.868536651134491
5,6,6,1,0.9835463762283325
6,1,1,1,0.5421374440193176
7,6,2,0,0.4606696367263794
8,3,3,1,0.46328985691070557
9,1,1,1,0.800685465335846
10,0,0,1,0.60431969165802
11,9,9,1,0.8612236380577087
12,5,5,1,0.7827455997467041
13,7,3,0,0.5535405278205872
14,9,1,0,0.6350840330123901
15,8,8,1,0.6652505397796631
16,5,5,1,0.72010338306427
17,7,3,0,0.4397258460521698
18,8,1,0,0.5140815377235413
19,6,6,1,0.9925859570503235
20,7,2,0,0.41381269693374634
21,0,0,1,0.9500719308853149
22,4,4,1,0.5245593786239624
23,9,9,1,0.9157962203025818
24,5,2,0,0.6270673871040344
25,2,2,1,0.7210041284561157
26,4,2,0,0.44067540764808655
27,0,2,0,0.597599983215332
28,9,9,1,0.523616373538971
29,6,6,1,0.9022172689437866
30,6,6,1,0.9496722221374512
31,5,5,1,0.7229281067848206
32,4,4,1,0.7395411133766174
33,5,3,0,0.7340838313102722
34,9,1,0,0.45652225613594055
35,2,3,0,0.7133564949035645
36,4,5,0,0.4847518503665924
37,1,1,1,0.8254698514938354
38,9,9,1,0.9058678150177002
39,5,5,1,0.8518468141555786
40,4,0,0,0.7201972007751465
41,6,6,1,0.6126368045806885
42,5,3,0,0.5034681558609009
43,6,6,1,0.9583943486213684
44,0,0,1,0.8193573355674744
45,9,6,0,0.398896187543869
46,3,3,1,0.46896639466285706
47,9,1,0,0.4588238596916199
48,7,4,0,0.5381823778152466
49,6,6,1,0.8775763511657715
50,9,9,1,0.7209775447845459
51,8,8,1,0.7289286851882935
52,0,6,0,0.6528680920600891
53,3,6,0,0.7031163573265076
54,8,8,1,0.9208686351776123
55,8,2,0,0.6902544498443604
56,7,2,0,0.4725540578365326
57,7,3,0,0.40293872356414795
58,4,6,0,0.6249737739562988
59,6,5,0,0.8005744218826294
60,7,2,0,0.7755371332168579
61,3,5,0,0.6937609314918518
62,6,3,0,0.6498831510543823
63,3,3,1,0.6134344339370728
64,6,6,1,0.5583750009536743
65,2,6,0,0.84173583984375
66,1,1,1,0.7865203619003296
67,2,2,1,0.7210965752601624
68,3,3,1,0.4636997878551483
69,7,7,1,0.5408145785331726
70,2,2,1,0.6784576177597046
71,6,5,0,0.5886350870132446
72,8,0,0,0.8190531134605408
73,8,8,1,0.7216063737869263
74,0,5,0,0.5337905287742615
75,2,2,1,0.7835484147071838
76,9,6,0,0.7405176162719727
77,3,3,1,0.6894551515579224
78,3,5,0,0.608180046081543
79,8,8,1,0.5396664142608643
80,8,8,1,0.9089336395263672
81,1,1,1,0.6220020651817322
82,1,2,0,0.9380165934562683
83,7,7,1,0.7542668581008911
84,2,2,1,0.7325032353401184
85,5,2,0,0.4502119719982147
86,2,0,0,0.6169190406799316
87,7,2,0,0.6598433256149292
88,8,8,1,0.564742386341095
89,9,9,1,0.7457521557807922
90,0,5,0,0.689263105392456
91,3,2,0,0.5393268465995789
92,8,8,1,0.9455987811088562
93,6,6,1,0.9791299104690552
94,4,2,0,0.8767610192298889
95,6,6,1,0.861864447593689
96,6,4,0,0.4513964354991913
97,0,0,1,0.7251172065734863
98,0,0,1,0.8380386233329773
99,7,7,1,0.6731257438659668
100,4,4,1,0.5226731896400452
101,5,4,0,0.514400839805603
102,6,6,1,0.9104142189025879
103,3,3,1,0.7011882662773132
104,1,6,0,0.44310668110847473
105,1,2,0,0.5798079371452332
106,3,2,0,0.469800740480423
107,6,6,1,0.9983033537864685
108,8,6,0,0.849445104598999
109,7,5,0,0.38475552201271057
110,4,4,1,0.5566738843917847
111,0,5,0,0.7133156061172485
112,6,2,0,0.8441721796989441
113,2,2,1,0.9130889773368835
114,1,9,0,0.4532386064529419
115,3,6,0,0.7616479992866516
116,0,0,1,0.9846489429473877
117,4,3,0,0.5364022850990295
118,2,3,0,0.4411749541759491
119,7,5,0,0.5994603633880615
120,8,3,0,0.6025417447090149
121,3,3,1,0.7219922542572021
122,1,1,1,0.5294902920722961
123,2,2,1,0.9078136682510376
124,8,8,1,0.7214272618293762
125,0,6,0,0.7531546354293823
126,8,2,0,0.5558332204818726
127,3,6,0,0.7612979412078857
128,5,0,0,0.409292072057724
129,2,3,0,0.5832384824752808
130,4,2,0,0.7763351202011108
131,1,6,0,0.5515347719192505
132,8,8,1,0.43262943625450134
133,9,1,0,0.7453945279121399
134,1,3,0,0.6331718564033508
135,2,3,0,0.32357797026634216
136,9,7,0,0.47833922505378723
137,7,2,0,0.5681036710739136
138,2,2,1,0.6247341632843018
139,9,8,0,0.5848299860954285
140,6,6,1,0.8231529593467712
141,5,5,1,0.8653683066368103
142,6,3,0,0.5964564085006714
143,3,5,0,0.5326483249664307
144,8,8,1,0.6820007562637329
145,7,6,0,0.6289687752723694
146,6,6,1,0.8915820121765137
147,2,2,1,0.5483699440956116
148,5,5,1,0.5523319840431213
149,2,2,1,0.3955172896385193
150,8,5,0,0.7247599959373474
151,9,9,1,0.68407142162323
152,6,3,0,0.5546236634254456
153,0,1,0,0.5503169894218445
154,0,0,1,0.5487430691719055
155,5,3,0,0.6609352827072144
156,2,6,0,0.5513325333595276
157,9,9,1,0.9469825625419617
158,5,5,1,0.5477756261825562
159,4,4,1,0.947259247303009
160,2,0,0,0.8834693431854248
161,1,6,0,0.5834173560142517
162,6,5,0,0.5958815813064575
163,6,6,1,0.9342311024665833
164,8,3,0,0.7111773490905762
165,4,2,0,0.5731642246246338
166,8,0,0,0.4673319160938263
167,4,4,1,0.5557686686515808
168,5,9,0,0.555849552154541
169,0,0,1,0.8794023990631104
170,9,9,1,0.8606080412864685
171,9,6,0,0.8917139172554016
172,9,6,0,0.61238032579422
173,8,8,1,0.8095453977584839
174,9,6,0,0.8715303540229797
175,9,9,1,0.9281044602394104
176,3,3,1,0.6593587398529053
177,7,7,1,0.6432973146438599
178,5,3,0,0.5861616730690002
179,0,8,0,0.6454262733459473
180,0,0,1,0.6948472261428833
181,5,3,0,0.4887124300003052
182,2,2,1,0.7921106219291687
183,2,6,0,0.742455005645752
184,3,2,0,0.8302536606788635
185,8,2,0,0.5934224128723145
186,6,6,1,0.7198727130889893
187,3,3,1,0.7079986333847046
188,4,3,0,0.6894243359565735
189,0,3,0,0.3474530875682831
190,5,6,0,0.49937039613723755
191,8,8,1,0.6709867715835571
192,0,6,0,0.41300544142723083
193,1,1,1,0.8114835619926453
194,7,6,0,0.6463850736618042
195,2,2,1,0.4929586946964264
196,8,3,0,0.730741024017334
197,8,2,0,0.7351745367050171
198,7,2,0,0.6948315501213074
199,8,6,0,0.6540578007698059
200,5,2,0,0.4534029960632324
201,1,0,0,0.6504920721054077
202,8,2,0,0.406467080116272
203,7,7,1,0.5225258469581604
204,1,1,1,0.8088054060935974
205,3,3,1,0.7550115585327148
206,0,8,0,0.7653791308403015
207,5,5,1,0.5026623010635376
208,7,7,1,0.9392975568771362
