sample_idx,true_label,pred_label,correct,confidence
0,3,8,0,0.8116897344589233
1,8,2,0,0.5519676804542542
2,8,8,1,0.9580669403076172
3,0,8,0,0.5963941216468811
4,6,6,1,0.8590307831764221
5,6,6,1,0.7147176861763
6,1,3,0,0.6640543937683105
7,6,3,0,0.5536831021308899
8,3,4,0,0.506897509098053
9,1,9,0,0.556984007358551
10,0,8,0,0.48555687069892883
11,9,8,0,0.6856276392936707
12,5,5,1,0.7226597666740417
13,7,9,0,0.5287010669708252
14,9,8,0,0.6288976073265076
15,8,8,1,0.623691976070404
16,5,5,1,0.6304186582565308
17,7,1,0,0.6624915599822998
18,8,8,1,0.9688639640808105
19,6,6,1,0.9743559956550598
20,7,7,1,0.8717041015625
21,0,0,1,0.6692379117012024
22,4,2,0,0.7031150460243225
23,9,1,0,0.7235653400421143
24,5,2,0,0.5243943333625793
25,2,2,1,0.6615203619003296
26,4,3,0,0.5732370018959045
27,0,6,0,0.5889561176300049
28,9,5,0,0.5122073888778687
29,6,6,1,0.7370158433914185
30,6,4,0,0.5315773487091064
31,5,5,1,0.8383767604827881
32,4,6,0,0.6528289318084717
33,5,3,0,0.6110556125640869
34,9,2,0,0.5300889015197754
35,2,3,0,0.4671999216079712
36,4,4,1,0.423491895198822
37,1,9,0,0.4472329616546631
38,9,9,1,0.8828818798065186
39,5,5,1,0.7923087477684021
40,4,1,0,0.7787430286407471
41,6,6,1,0.8255507349967957
42,5,3,0,0.6945076584815979
43,6,6,1,0.7842673063278198
44,0,2,0,0.6542359590530396
45,9,1,0,0.7582194805145264
46,3,2,0,0.5527926683425903
47,9,1,0,0.5624105334281921
48,7,4,0,0.9298352003097534
49,6,6,1,0.7619048357009888
50,9,9,1,0.4735063910484314
51,8,8,1,0.5755112767219543
52,0,7,0,0.6593555808067322
53,3,6,0,0.8330895304679871
54,8,8,1,0.9151942133903503
55,8,2,0,0.4043213725090027
56,7,4,0,0.7674840092658997
57,7,3,0,0.7984537482261658
58,4,4,1,0.5765981078147888
59,6,4,0,0.3808785378932953
60,7,7,1,0.964430570602417
61,3,5,0,0.5353224873542786
62,6,6,1,0.6240893006324768
63,3,3,1,0.6501778364181519
64,6,3,0,0.5836994647979736
65,2,2,1,0.5801454782485962
66,1,3,0,0.5977261066436768
67,2,2,1,0.7049362063407898
68,3,8,0,0.7897180318832397
69,7,2,0,0.6827656030654907
70,2,6,0,0.49070772528648376
71,6,3,0,0.6661363244056702
72,8,8,1,0.62775719165802
73,8,8,1,0.6062763333320618
74,0,6,0,0.8166684508323669
75,2,2,1,0.8911783695220947
76,9,3,0,0.5615155100822449
77,3,3,1,0.6437774896621704
78,3,5,0,0.6274857521057129
79,8,0,0,0.42017728090286255
80,8,8,1,0.7525203227996826
81,1,1,1,0.5392797589302063
82,1,1,1,0.9490870237350464
83,7,7,1,0.7081803679466248
84,2,0,0,0.7446494102478027
85,5,2,0,0.5716913342475891
86,2,8,0,0.7488577365875244
87,7,7,1,0.4315090775489807
88,8,3,0,0.49743831157684326
89,9,1,0,0.7972804307937622
90,0,5,0,0.7151228785514832
91,3,4,0,0.56178879737854
92,8,2,0,0.37381884455680847
93,6,2,0,0.5102261304855347
94,4,2,0,0.4988894760608673
95,6,6,1,0.8873965740203857
96,6,6,1,0.8620091676712036
97,0,0,1,0.38705959916114807
98,0,3,0,0.45045650005340576
99,7,3,0,0.5944141745567322
100,4,4,1,0.7307026386260986
101,5,6,0,0.6217515468597412
102,6,6,1,0.8813362121582031
103,3,3,1,0.7538420557975769
104,1,5,0,0.6179226040840149
105,1,2,0,0.4189285635948181
106,3,8,0,0.7204866409301758
107,6,6,1,0.8800619840621948
108,8,8,1,0.7497238516807556
109,7,7,1,0.5229277014732361
110,4,3,0,0.7057713270187378
111,0,0,1,0.9163382053375244
112,6,6,1,0.718372642993927
113,2,3,0,0.7480132579803467
114,1,5,0,0.527858316898346
115,3,2,0,0.519639790058136
116,0,0,1,0.7666122913360596
117,4,4,1,0.4738764464855194
118,2,2,1,0.5180631279945374
119,7,5,0,0.40345337986946106
120,8,3,0,0.4461042582988739
121,3,0,0,0.7393587231636047
122,1,1,1,0.7775433659553528
123,2,2,1,0.7443018555641174
124,8,2,0,0.7827959656715393
125,0,1,0,0.7275365591049194
126,8,1,0,0.5295262336730957
127,3,3,1,0.5515114665031433
128,5,5,1,0.5105699300765991
129,2,3,0,0.6772010922431946
130,4,4,1,0.5166572332382202
131,1,1,1,0.9129237532615662
132,8,8,1,0.46485409140586853
133,9,3,0,0.6690050959587097
134,1,1,1,0.4865263104438782
135,2,2,1,0.5208039283752441
136,9,9,1,0.5561719536781311
137,7,0,0,0.26720353960990906
138,2,4,0,0.7083202004432678
139,9,0,0,0.4382840096950531
140,6,6,1,0.5550886392593384
141,5,5,1,0.9330207705497742
142,6,6,1,0.9280965328216553
143,3,1,0,0.6361756324768066
144,8,3,0,0.5355329513549805
145,7,9,0,0.8475810885429382
146,6,6,1,0.9220503568649292
147,2,9,0,0.4970739781856537
148,5,3,0,0.4182415306568146
149,2,5,0,0.812373161315918
150,8,3,0,0.4380713105201721
151,9,7,0,0.3373141288757324
152,6,3,0,0.545035183429718
153,0,1,0,0.38889721035957336
154,0,3,0,0.45280078053474426
155,5,3,0,0.6982421875
156,2,2,1,0.45105287432670593
157,9,9,1,0.857295572757721
158,5,5,1,0.4817735254764557
159,4,2,0,0.8093221783638
160,2,0,0,0.8335577249526978
161,1,1,1,0.8393217325210571
162,6,7,0,0.4366217255592346
163,6,6,1,0.6325454711914062
164,8,3,0,0.6264047026634216
165,4,2,0,0.5577725172042847
166,8,8,1,0.9433104991912842
167,4,6,0,0.82603919506073
168,5,5,1,0.8150935173034668
169,0,6,0,0.5020349025726318
170,9,8,0,0.45659831166267395
171,9,9,1,0.8969447612762451
172,9,1,0,0.3601911664009094
173,8,0,0,0.5397390723228455
174,9,9,1,0.6697869300842285
175,9,9,1,0.7552837133407593
176,3,6,0,0.9069896936416626
177,7,3,0,0.6155742406845093
178,5,3,0,0.5476211309432983
179,0,9,0,0.6412184238433838
180,0,1,0,0.58949214220047
181,5,3,0,0.6754627227783203
182,2,2,1,0.36983373761177063
183,2,6,0,0.790017306804657
184,3,6,0,0.5170722603797913
185,8,8,1,0.9690935015678406
186,6,6,1,0.6663264036178589
187,3,3,1,0.7474410533905029
188,4,3,0,0.6094469428062439
189,0,0,1,0.44661179184913635
190,5,6,0,0.7116838693618774
191,8,8,1,0.8758699893951416
192,0,2,0,0.5546140670776367
193,1,1,1,0.5691864490509033
194,7,6,0,0.569301187992096
195,2,7,0,0.41567033529281616
196,8,3,0,0.6530413627624512
197,8,8,1,0.7258950471878052
198,7,3,0,0.5379534959793091
199,8,8,1,0.9028929471969604
200,5,6,0,0.43025994300842285
