sample_idx,true_label,pred_label,correct,confidence
0,3,3,1,0.6996607780456543
1,8,8,1,0.5934087634086609
2,8,8,1,0.5759488940238953
3,0,3,0,0.4927330017089844
4,6,6,1,0.8950929641723633
5,6,6,1,0.8646889328956604
6,1,5,0,0.4621582329273224
7,6,6,1,0.7357262372970581
8,3,3,1,0.4800543189048767
9,1,3,0,0.4685716927051544
10,0,8,0,0.8944895267486572
11,9,9,1,0.9713711142539978
12,5,6,0,0.444914847612381
13,7,2,0,0.37621936202049255
14,9,1,0,0.5465828776359558
15,8,8,1,0.5889663696289062
16,5,1,0,0.4927436411380768
17,7,2,0,0.4511846899986267
18,8,8,1,0.842332124710083
19,6,6,1,0.9354984760284424
20,7,6,0,0.5617513656616211
21,0,0,1,0.8340510725975037
22,4,8,0,0.4577721953392029
23,9,1,0,0.4805387258529663
24,5,2,0,0.48479294776916504
25,2,2,1,0.6788745522499084
26,4,5,0,0.7179137468338013
27,0,2,0,0.6086174249649048
28,9,9,1,0.5717480778694153
29,6,6,1,0.8964362740516663
30,6,6,1,0.9104384183883667
31,5,5,1,0.7423005700111389
32,4,4,1,0.5314911007881165
33,5,6,0,0.6921741962432861
34,9,9,1,0.921276867389679
35,2,2,1,0.48138102889060974
36,4,2,0,0.522706151008606
37,1,1,1,0.6371497511863708
38,9,9,1,0.9444332122802734
39,5,5,1,0.9327124357223511
40,4,0,0,0.6111177802085876
41,6,6,1,0.8576849699020386
42,5,5,1,0.6817662715911865
43,6,6,1,0.9479102492332458
44,0,2,0,0.8156489729881287
45,9,1,0,0.7447203993797302
46,3,2,0,0.6027945280075073
47,9,6,0,0.42723238468170166
48,7,7,1,0.4170743227005005
49,6,6,1,0.8510419726371765
50,9,1,0,0.8746934533119202
51,8,5,0,0.5262672901153564
52,0,5,0,0.36943596601486206
53,3,6,0,0.847981870174408
54,8,0,0,0.36504441499710083
55,8,6,0,0.6951188445091248
56,7,6,0,0.7859154343605042
57,7,6,0,0.7062234282493591
58,4,3,0,0.5931819677352905
59,6,2,0,0.49897441267967224
60,7,2,0,0.5678772330284119
61,3,3,1,0.6145960092544556
62,6,0,0,0.44441044330596924
63,3,8,0,0.5609482526779175
64,6,2,0,0.5230438113212585
65,2,6,0,0.8570122718811035
66,1,5,0,0.4010772407054901
67,2,2,1,0.5056300759315491
68,3,6,0,0.8157563805580139
69,7,6,0,0.37616750597953796
70,2,2,1,0.48040395975112915
71,6,6,1,0.5033202171325684
72,8,0,0,0.8553885221481323
73,8,8,1,0.9574963450431824
74,0,0,1,0.5526585578918457
75,2,2,1,0.4763593375682831
76,9,3,0,0.5260797739028931
77,3,6,0,0.391745388507843
78,3,5,0,0.5265287756919861
79,8,8,1,0.9104353189468384
80,8,0,0,0.410039484500885
81,1,2,0,0.6047247648239136
82,1,2,0,0.8972254991531372
83,7,0,0,0.7293161749839783
84,2,0,0,0.44321340322494507
85,5,2,0,0.7682533860206604
86,2,5,0,0.49103954434394836
87,7,3,0,0.5363603830337524
88,8,8,1,0.7791483402252197
89,9,9,1,0.8337427973747253
90,0,5,0,0.4765205979347229
91,3,6,0,0.7197296023368835
92,8,2,0,0.6336635947227478
93,6,6,1,0.9326242208480835
94,4,2,0,0.6961193680763245
95,6,6,1,0.9048317074775696
96,6,6,1,0.859189510345459
97,0,0,1,0.7160917520523071
98,0,2,0,0.511222243309021
99,7,5,0,0.8058804273605347
100,4,2,0,0.5765758156776428
101,5,2,0,0.5610112547874451
102,6,6,1,0.9032093286514282
103,3,6,0,0.7980241775512695
104,1,1,1,0.9654757380485535
105,1,1,1,0.9359832406044006
106,3,3,1,0.6776672005653381
107,6,6,1,0.7100843191146851
108,8,4,0,0.4174644649028778
109,7,0,0,0.4955613315105438
110,4,4,1,0.6166301369667053
111,0,0,1,0.6554211974143982
112,6,4,0,0.5812318921089172
113,2,6,0,0.4687240421772003
114,1,0,0,0.7341813445091248
115,3,3,1,0.5501677393913269
116,0,0,1,0.6661784052848816
117,4,2,0,0.8136887550354004
118,2,6,0,0.6824696660041809
119,7,7,1,0.7383623123168945
120,8,5,0,0.5667353272438049
121,3,1,0,0.6635468602180481
122,1,1,1,0.8792967796325684
123,2,2,1,0.7946510910987854
124,8,0,0,0.6048570275306702
125,0,2,0,0.4898627996444702
126,8,2,0,0.5283538699150085
127,3,3,1,0.6869040727615356
128,5,3,0,0.5464785099029541
129,2,8,0,0.4744521975517273
130,4,4,1,0.8867902159690857
131,1,1,1,0.9127637147903442
132,8,1,0,0.8395954370498657
133,9,9,1,0.8725699782371521
134,1,0,0,0.5144932270050049
135,2,3,0,0.3989933133125305
136,9,7,0,0.532528817653656
137,7,9,0,0.7793523073196411
138,2,2,1,0.8380645513534546
139,9,1,0,0.6782799959182739
140,6,9,0,0.48948508501052856
141,5,1,0,0.44769081473350525
142,6,3,0,0.557040274143219
143,3,5,0,0.4997895658016205
144,8,8,1,0.8428775072097778
145,7,3,0,0.6083899736404419
146,6,6,1,0.6970677375793457
147,2,6,0,0.6305633783340454
148,5,6,0,0.43177756667137146
149,2,2,1,0.6994726657867432
150,8,1,0,0.35394906997680664
151,9,7,0,0.38088905811309814
152,6,6,1,0.6671297550201416
153,0,0,1,0.7148944735527039
154,0,3,0,0.6119301915168762
155,5,5,1,0.8058111071586609
156,2,3,0,0.8865796327590942
157,9,9,1,0.5828577280044556
158,5,3,0,0.6343450546264648
159,4,2,0,0.725881040096283
160,2,2,1,0.8789680004119873
161,1,1,1,0.8163182735443115
162,6,6,1,0.6328679919242859
163,6,6,1,0.5984750390052795
164,8,8,1,0.5425208210945129
165,4,2,0,0.5991511940956116
166,8,8,1,0.5911000967025757
167,4,6,0,0.777310311794281
168,5,5,1,0.6368549466133118
169,0,2,0,0.5369508862495422
170,9,6,0,0.6487693190574646
171,9,3,0,0.36364132165908813
172,9,2,0,0.4946330487728119
173,8,0,0,0.6380313038825989
174,9,6,0,0.9323770999908447
175,9,3,0,0.5740401744842529
176,3,3,1,0.6036498546600342
177,7,7,1,0.5572955012321472
178,5,3,0,0.4287028908729553
179,0,5,0,0.34024903178215027
180,0,6,0,0.5230848789215088
181,5,6,0,0.6096096634864807
182,2,6,0,0.642565906047821
183,2,2,1,0.4066934287548065
184,3,3,1,0.6277377009391785
185,8,2,0,0.7520001530647278
186,6,6,1,0.8366861343383789
187,3,3,1,0.6252467632293701
188,4,2,0,0.8019592761993408
189,0,0,1,0.7284010052680969
190,5,5,1,0.4376038908958435
191,8,6,0,0.8012718558311462
192,0,6,0,0.6763500571250916
193,1,6,0,0.3743869364261627
194,7,6,0,0.6275864839553833
195,2,6,0,0.4606339931488037
196,8,8,1,0.8317970633506775
197,8,8,1,0.4985616207122803
198,7,7,1,0.6248769164085388
199,8,8,1,0.9116272926330566
200,5,6,0,0.8016487956047058
201,1,5,0,0.5158133506774902
202,8,1,0,0.659263014793396
203,7,7,1,0.4292459785938263
204,1,1,1,0.6882094740867615
205,3,6,0,0.49400103092193604
206,0,8,0,0.6291550993919373
207,5,4,0,0.6639398336410522
208,7,7,1,0.9613867998123169
209,9,3,0,0.6889384984970093
210,7,5,0,0.4798249900341034
211,4,0,0,0.3711276948451996
212,5,2,0,0.3996598720550537
213,9,5,0,0.6214794516563416
214,8,3,0,0.7127582430839539
215,0,4,0,0.5787390470504761
216,7,3,0,0.4760274291038513
217,9,9,1,0.7404334545135498
218,8,2,0,0.49213463068008423
219,2,7,0,0.5920217633247375
220,7,6,0,0.6180161237716675
221,6,3,0,0.6075915098190308
