sample_idx,true_label,pred_label,correct,confidence
0,3,3,1,0.491716206073761
1,8,8,1,0.6962300539016724
2,8,8,1,0.6234375834465027
3,0,0,1,0.5206641554832458
4,6,6,1,0.8330996632575989
5,6,6,1,0.7508103251457214
6,1,1,1,0.8570941090583801
7,6,6,1,0.7471233606338501
8,3,3,1,0.909760594367981
9,1,1,1,0.7917084693908691
10,0,0,1,0.5896339416503906
11,9,9,1,0.9217929244041443
12,5,5,1,0.6898481845855713
13,7,7,1,0.7201811671257019
14,9,9,1,0.8791338205337524
15,8,8,1,0.8995555639266968
16,5,3,0,0.7438965439796448
17,7,7,1,0.7129042744636536
18,8,8,1,0.9764080047607422
19,6,6,1,0.9939813613891602
20,7,3,0,0.48389357328414917
21,0,0,1,0.9527347087860107
22,4,4,1,0.6379949450492859
23,9,9,1,0.9347282648086548
24,5,4,0,0.8334355354309082
25,2,2,1,0.4105575978755951
26,4,4,1,0.5114433765411377
27,0,0,1,0.5327284932136536
28,9,9,1,0.8063229918479919
29,6,6,1,0.9504063129425049
30,6,6,1,0.8552247285842896
31,5,5,1,0.9447595477104187
32,4,2,0,0.4786469340324402
33,5,3,0,0.4968154728412628
34,9,9,1,0.9391186833381653
35,2,3,0,0.786257803440094
36,4,4,1,0.5745404362678528
37,1,1,1,0.5418741106987
38,9,9,1,0.8763473629951477
39,5,3,0,0.4139275550842285
40,4,0,0,0.704707682132721
41,6,6,1,0.8561761975288391
42,5,5,1,0.507642388343811
43,6,6,1,0.9641293287277222
44,0,0,1,0.7842326760292053
45,9,1,0,0.48843279480934143
46,3,3,1,0.7254740595817566
47,9,9,1,0.4414985775947571
48,7,4,0,0.7677862644195557
49,6,6,1,0.5419406294822693
50,9,8,0,0.6527063250541687
51,8,9,0,0.680069088935852
52,0,0,1,0.49038568139076233
53,3,6,0,0.6689996719360352
54,8,8,1,0.8565059304237366
55,8,8,1,0.9558352828025818
56,7,7,1,0.7381253242492676
57,7,3,0,0.4416275918483734
58,4,3,0,0.5417775511741638
59,6,7,0,0.7378305196762085
60,7,7,1,0.9736596345901489
61,3,5,0,0.8826854825019836
62,6,6,1,0.4523957669734955
63,3,8,0,0.37826985120773315
64,6,6,1,0.7652390599250793
65,2,2,1,0.7279366850852966
66,1,8,0,0.7304208278656006
67,2,2,1,0.7304356694221497
68,3,3,1,0.509564995765686
69,7,2,0,0.5211280584335327
70,2,2,1,0.5480495095252991
71,6,3,0,0.7159623503684998
72,8,8,1,0.9291397929191589
73,8,8,1,0.8942409753799438
74,0,0,1,0.7559199929237366
75,2,2,1,0.9963870644569397
76,9,0,0,0.6419420838356018
77,3,3,1,0.8555417656898499
78,3,5,0,0.708398699760437
79,8,8,1,0.9502673745155334
80,8,8,1,0.9445545077323914
81,1,8,0,0.7295179963111877
82,1,1,1,0.9786258339881897
83,7,7,1,0.5890578627586365
84,2,2,1,0.8331648111343384
85,5,7,0,0.6801579594612122
86,2,2,1,0.5993313789367676
87,7,7,1,0.7614994645118713
88,8,8,1,0.9502232670783997
89,9,9,1,0.8735167384147644
90,0,0,1,0.8956966996192932
91,3,3,1,0.5769079327583313
92,8,8,1,0.8583048582077026
93,6,6,1,0.9735090136528015
94,4,4,1,0.9043444991111755
95,6,6,1,0.5411426424980164
96,6,6,1,0.9085806608200073
97,0,0,1,0.8847095966339111
98,0,0,1,0.882785439491272
99,7,9,0,0.5296217203140259
100,4,4,1,0.8639811873435974
101,5,3,0,0.6820036768913269
102,6,6,1,0.6611237525939941
103,3,2,0,0.6416333317756653
104,1,9,0,0.7962690591812134
105,1,1,1,0.9512603282928467
106,3,6,0,0.938766598701477
107,6,6,1,0.9485675096511841
108,8,6,0,0.5541032552719116
109,7,7,1,0.704854428768158
110,4,4,1,0.7074774503707886
111,0,0,1,0.8492120504379272
112,6,2,0,0.641913652420044
113,2,2,1,0.9253038763999939
114,1,1,1,0.929993212223053
115,3,3,1,0.7997061610221863
116,0,0,1,0.6233579516410828
117,4,7,0,0.5040395259857178
118,2,3,0,0.6114870309829712
119,7,5,0,0.7944974303245544
120,8,8,1,0.6989072561264038
121,3,3,1,0.5562618970870972
122,1,1,1,0.402328222990036
123,2,3,0,0.7749831080436707
124,8,8,1,0.8907336592674255
125,0,0,1,0.4511062502861023
126,8,8,1,0.867780327796936
127,3,3,1,0.749869704246521
128,5,3,0,0.45439156889915466
129,2,2,1,0.8278623819351196
130,4,4,1,0.9733221530914307
131,1,1,1,0.9326196908950806
132,8,8,1,0.6883044242858887
133,9,9,1,0.9490758180618286
134,1,1,1,0.8118588924407959
135,2,2,1,0.7183757424354553
136,9,9,1,0.9105802774429321
137,7,7,1,0.8825818300247192
138,2,2,1,0.7446650862693787
139,9,8,0,0.6951914429664612
140,6,6,1,0.5768247842788696
141,5,3,0,0.5905607342720032
142,6,6,1,0.6285832524299622
143,3,5,0,0.7089442014694214
144,8,8,1,0.8646870255470276
145,7,6,0,0.331930547952652
146,6,6,1,0.8023138046264648
147,2,5,0,0.6054653525352478
148,5,6,0,0.5387250185012817
149,2,2,1,0.7624855041503906
150,8,8,1,0.6174819469451904
