sample_idx,true_label,pred_label,correct,confidence
0,1,1,1,0.8693882822990417
1,1,0,0,0.7885522246360779
2,1,1,1,0.7869060635566711
3,1,1,1,0.8686858415603638
4,1,1,1,0.8649978637695312
5,1,1,1,0.9448933601379395
6,1,1,1,0.7341275215148926
7,1,1,1,0.9024635553359985
8,1,1,1,0.9751956462860107
9,1,1,1,0.9408774971961975
10,1,1,1,0.9290653467178345
11,1,1,1,0.9162774682044983
12,1,1,1,0.8205822110176086
13,1,1,1,0.8769668936729431
14,1,1,1,0.8964860439300537
15,1,1,1,0.9373511075973511
16,1,1,1,0.9071701169013977
17,1,1,1,0.7799171209335327
18,1,1,1,0.9274154305458069
19,1,1,1,0.6637771725654602
20,1,1,1,0.6438841223716736
21,1,1,1,0.9013010263442993
22,1,1,1,0.8659071326255798
23,1,1,1,0.7930518984794617
24,1,1,1,0.9314672946929932
25,1,1,1,0.9363171458244324
26,1,1,1,0.9080966114997864
27,1,1,1,0.8367229104042053
28,1,1,1,0.8528286814689636
29,1,1,1,0.854956865310669
30,1,1,1,0.9375655055046082
31,1,1,1,0.9425821900367737
32,1,1,1,0.9269765615463257
33,1,1,1,0.9340837597846985
34,1,1,1,0.9278444051742554
35,1,1,1,0.9363031387329102
36,1,1,1,0.9019842147827148
37,1,1,1,0.8891865015029907
38,1,1,1,0.946097731590271
39,1,1,1,0.9246398210525513
40,1,1,1,0.9186269640922546
41,1,1,1,0.8227485418319702
42,1,1,1,0.939005434513092
43,1,1,1,0.9465301632881165
44,1,1,1,0.9437581896781921
45,1,1,1,0.9308997988700867
46,1,1,1,0.9573437571525574
47,1,1,1,0.9231132864952087
48,1,1,1,0.9276959896087646
49,1,1,1,0.8356685042381287
50,1,0,0,0.7150313258171082
51,1,1,1,0.9172874093055725
52,1,1,1,0.9118592739105225
53,1,1,1,0.9308376312255859
54,1,1,1,0.925324559211731
55,1,1,1,0.926133930683136
56,1,1,1,0.9605461955070496
57,1,1,1,0.9268369674682617
58,1,1,1,0.9343562722206116
59,1,1,1,0.9191609621047974
60,1,1,1,0.9579349160194397
61,1,1,1,0.698313295841217
62,1,1,1,0.9506466388702393
63,1,1,1,0.8873978853225708
64,1,1,1,0.8906403183937073
65,1,1,1,0.8855936527252197
66,1,1,1,0.8861082792282104
67,1,1,1,0.9226133227348328
68,1,1,1,0.9267310500144958
69,1,1,1,0.900327742099762
70,1,1,1,0.9067793488502502
71,1,1,1,0.9116516709327698
72,1,1,1,0.9152664542198181
73,1,1,1,0.796259343624115
74,1,1,1,0.9166790246963501
75,1,1,1,0.9218188524246216
76,1,1,1,0.9089837670326233
77,1,1,1,0.9024060964584351
78,1,1,1,0.950395405292511
79,1,1,1,0.8995751142501831
80,1,0,0,0.6773613691329956
81,1,1,1,0.9189718961715698
82,1,1,1,0.8994240760803223
83,1,1,1,0.9179297685623169
84,1,1,1,0.8943489789962769
85,1,1,1,0.8605310916900635
86,1,1,1,0.9539355635643005
87,1,1,1,0.9150840640068054
88,1,1,1,0.9253635406494141
89,1,1,1,0.9280253052711487
90,1,1,1,0.8550554513931274
91,1,1,1,0.7069565057754517
92,1,1,1,0.7278298139572144
93,1,1,1,0.7756778597831726
94,1,1,1,0.9416132569313049
95,1,1,1,0.9512557983398438
96,1,1,1,0.9512189626693726
97,1,1,1,0.9459266662597656
98,1,1,1,0.941602885723114
99,1,1,1,0.9467818737030029
100,1,1,1,0.9522084593772888
101,1,1,1,0.951874315738678
102,1,1,1,0.9227776527404785
103,1,1,1,0.9482950568199158
104,1,1,1,0.951190173625946
105,1,1,1,0.9558151960372925
106,1,1,1,0.954140305519104
107,1,1,1,0.9494261145591736
108,1,1,1,0.9402157664299011
109,1,1,1,0.9465301036834717
110,1,1,1,0.9476277828216553
111,1,1,1,0.9304385185241699
112,1,0,0,0.8848314881324768
113,1,1,1,0.9508029818534851
114,1,1,1,0.9541569948196411
115,1,1,1,0.9472415447235107
116,1,1,1,0.9465355277061462
117,1,1,1,0.9274775385856628
118,1,1,1,0.9373265504837036
119,1,1,1,0.9398193359375
120,1,1,1,0.9434515833854675
121,1,1,1,0.9499282836914062
122,1,1,1,0.9461076855659485
123,1,1,1,0.9363502264022827
124,1,1,1,0.8391169309616089
125,1,1,1,0.8181251883506775
126,1,1,1,0.950284481048584
127,1,1,1,0.9501623511314392
128,1,1,1,0.9460003972053528
129,1,1,1,0.9291408658027649
130,1,1,1,0.9489297866821289
131,1,1,1,0.912166178226471
132,1,1,1,0.9469300508499146
133,1,1,1,0.9190241694450378
134,1,1,1,0.9376080632209778
135,1,1,1,0.9480747580528259
136,1,1,1,0.9436900615692139
137,1,1,1,0.9447001814842224
138,1,1,1,0.944621205329895
139,1,1,1,0.9456355571746826
140,1,1,1,0.9487921595573425
141,1,1,1,0.9458878040313721
142,1,1,1,0.8904025554656982
143,1,1,1,0.8853488564491272
144,1,1,1,0.9339318871498108
145,1,1,1,0.9494722485542297
146,1,1,1,0.9430862069129944
147,1,1,1,0.9427613615989685
148,1,1,1,0.9040443897247314
149,1,1,1,0.9401062726974487
150,1,1,1,0.936712384223938
151,1,1,1,0.9329759478569031
152,1,1,1,0.8808600902557373
153,1,1,1,0.9480950236320496
154,1,1,1,0.9651924967765808
155,1,1,1,0.9476584196090698
156,1,1,1,0.954667329788208
157,1,1,1,0.9500742554664612
158,1,1,1,0.9299049973487854
159,1,1,1,0.9336937665939331
160,1,1,1,0.9469789862632751
161,1,1,1,0.8869504332542419
162,1,1,1,0.9372448921203613
163,1,1,1,0.9199323654174805
164,1,1,1,0.9438799023628235
165,1,1,1,0.9489850401878357
166,1,1,1,0.9077917337417603
167,1,1,1,0.933804452419281
168,1,1,1,0.9285014271736145
169,1,1,1,0.9212293028831482
170,1,1,1,0.9266083240509033
171,1,1,1,0.9313598871231079
172,1,1,1,0.9369637966156006
173,1,1,1,0.8967985510826111
174,1,1,1,0.914472222328186
175,1,1,1,0.9024885892868042
176,1,1,1,0.940924882888794
177,1,1,1,0.9410752058029175
178,1,1,1,0.9475242495536804
179,1,1,1,0.9437559843063354
180,1,1,1,0.9307047724723816
181,1,1,1,0.8872313499450684
182,1,1,1,0.9219415187835693
183,1,1,1,0.9346106052398682
184,1,1,1,0.9327183961868286
185,1,1,1,0.930591881275177
186,1,1,1,0.9339991807937622
187,1,1,1,0.9353180527687073
188,1,1,1,0.9351741075515747
189,1,1,1,0.9184315800666809
190,1,1,1,0.9184320569038391
191,1,1,1,0.8938673138618469
192,1,1,1,0.8719162940979004
193,1,1,1,0.9355405569076538
194,1,1,1,0.939749002456665
195,1,1,1,0.9389356374740601
196,1,1,1,0.9130436182022095
197,1,1,1,0.9226627945899963
198,1,1,1,0.9002553820610046
199,1,1,1,0.9108598232269287
200,1,1,1,0.9075638651847839
201,1,1,1,0.912342369556427
202,1,1,1,0.9468856453895569
203,1,1,1,0.8854538798332214
204,1,1,1,0.9351877570152283
205,1,1,1,0.951657772064209
206,1,1,1,0.8982012271881104
207,1,1,1,0.8299236297607422
208,1,1,1,0.7949855923652649
209,1,1,1,0.9193843007087708
210,1,1,1,0.9128853678703308
211,1,1,1,0.9017096757888794
212,1,1,1,0.9133204817771912
213,1,1,1,0.900007963180542
214,1,1,1,0.8845698833465576
215,1,1,1,0.9197420477867126
216,1,1,1,0.9658805727958679
217,1,1,1,0.9270960688591003
218,1,1,1,0.9531694054603577
219,1,1,1,0.9410474300384521
220,1,1,1,0.9120901226997375
221,1,1,1,0.9030826687812805
222,1,1,1,0.9206053614616394
223,1,1,1,0.9310629963874817
224,1,1,1,0.9292615652084351
225,1,1,1,0.9310062527656555
226,1,1,1,0.9316749572753906
227,1,1,1,0.927219569683075
228,1,1,1,0.9413702487945557
229,1,1,1,0.9256088137626648
230,1,1,1,0.9170137047767639
231,1,1,1,0.9272921681404114
232,1,1,1,0.9210479259490967
233,1,1,1,0.9108772277832031
234,1,1,1,0.9019384384155273
235,1,1,1,0.9175516366958618
236,1,1,1,0.916805624961853
237,1,1,1,0.9161011576652527
238,1,1,1,0.9378348588943481
239,1,1,1,0.912125289440155
240,1,1,1,0.9243470430374146
241,1,1,1,0.9296435117721558
242,1,1,1,0.9431224465370178
243,1,1,1,0.875340461730957
244,1,1,1,0.8994952440261841
245,1,1,1,0.9419971704483032
246,1,1,1,0.923882007598877
247,1,1,1,0.9288104176521301
248,1,1,1,0.8436279892921448
249,1,1,1,0.9184908866882324
250,1,1,1,0.9237967729568481
251,1,1,1,0.9640809297561646
252,1,1,1,0.9368185997009277
253,1,1,1,0.9188641309738159
254,1,1,1,0.9173168540000916
255,0,0,1,0.9324809312820435
256,1,1,1,0.9421431422233582
257,1,1,1,0.9171541929244995
258,1,1,1,0.9175040125846863
259,1,1,1,0.9049534797668457
260,1,1,1,0.6980859041213989
261,1,1,1,0.9068193435668945
262,1,1,1,0.9236351251602173
263,1,1,1,0.9318894147872925
264,1,1,1,0.9371191263198853
265,1,1,1,0.9187799096107483
266,1,1,1,0.9133707284927368
267,1,1,1,0.9084612131118774
268,1,1,1,0.9231765270233154
269,1,1,1,0.9381811022758484
270,1,1,1,0.9473996758460999
271,1,1,1,0.8911818861961365
272,1,1,1,0.8431538343429565
273,1,1,1,0.8393128514289856
274,1,1,1,0.8506829738616943
275,1,1,1,0.858389675617218
276,1,1,1,0.8735172748565674
277,1,1,1,0.7403491139411926
278,1,1,1,0.7905408143997192
279,1,1,1,0.7557876110076904
280,1,1,1,0.7847760915756226
281,1,1,1,0.7151453495025635
282,1,1,1,0.8811628818511963
283,1,1,1,0.8792761564254761
284,1,1,1,0.8286842107772827
285,1,1,1,0.8626596927642822
286,1,1,1,0.8488052487373352
287,1,1,1,0.7100774645805359
288,1,1,1,0.7114047408103943
289,1,1,1,0.8323164582252502
290,1,1,1,0.8719427585601807
291,1,1,1,0.8115167021751404
292,1,1,1,0.7121618986129761
293,1,1,1,0.7997068166732788
294,1,1,1,0.8869925141334534
295,1,1,1,0.8390939831733704
296,1,1,1,0.8223420977592468
297,1,1,1,0.8220563530921936
298,1,1,1,0.8374735713005066
299,1,1,1,0.803359866142273
300,1,1,1,0.7346789240837097
301,1,1,1,0.780879020690918
302,1,1,1,0.8040231466293335
303,1,1,1,0.8052549362182617
304,1,1,1,0.8270978927612305
305,1,1,1,0.9059417247772217
306,1,1,1,0.8713235855102539
307,1,1,1,0.904500424861908
308,1,1,1,0.9130340814590454
309,1,1,1,0.9005690217018127
310,1,1,1,0.9515793919563293
311,1,1,1,0.9218228459358215
312,1,1,1,0.9110443592071533
313,1,1,1,0.8879767060279846
314,1,1,1,0.8690108060836792
315,1,1,1,0.9615276455879211
316,1,1,1,0.9652934670448303
317,1,1,1,0.8693428635597229
318,1,1,1,0.8956813216209412
319,1,1,1,0.8671454787254333
320,1,1,1,0.8745932579040527
321,1,1,1,0.9212048649787903
322,1,1,1,0.936294674873352
323,1,1,1,0.9066200852394104
324,1,1,1,0.9212579727172852
325,1,1,1,0.9199574589729309
326,1,1,1,0.9013766646385193
327,1,1,1,0.9075863361358643
328,1,1,1,0.9010275602340698
329,1,1,1,0.8569333553314209
330,1,1,1,0.8782641291618347
331,1,1,1,0.9013246893882751
332,1,1,1,0.9217155575752258
333,1,1,1,0.9516344666481018
334,1,1,1,0.9170721769332886
335,1,1,1,0.9182722568511963
336,1,1,1,0.8781521916389465
337,1,1,1,0.8473525643348694
338,1,1,1,0.8396098017692566
339,1,1,1,0.9036706686019897
340,1,1,1,0.9238526821136475
341,1,1,1,0.838523268699646
342,1,1,1,0.8435357213020325
343,1,1,1,0.8848620057106018
344,1,1,1,0.9347254633903503
345,1,1,1,0.9306055307388306
346,1,1,1,0.9186610579490662
347,1,1,1,0.7997514605522156
348,1,1,1,0.8260507583618164
349,1,1,1,0.7112412452697754
350,1,1,1,0.7002882361412048
351,1,1,1,0.9241819381713867
352,1,1,1,0.8526130318641663
353,1,1,1,0.8076224327087402
354,1,1,1,0.9288478493690491
355,1,1,1,0.9516726136207581
356,1,1,1,0.8458493947982788
357,1,1,1,0.9250538349151611
358,1,1,1,0.9647760987281799
359,1,1,1,0.9583145976066589
360,1,1,1,0.9297984838485718
361,1,1,1,0.9441586136817932
362,1,1,1,0.9417206645011902
363,1,1,1,0.9481730461120605
364,1,1,1,0.8716581463813782
365,1,1,1,0.9494622945785522
366,1,1,1,0.9576660990715027
367,1,1,1,0.9697572588920593
368,1,1,1,0.960148811340332
369,1,1,1,0.9664607048034668
370,1,1,1,0.9706590175628662
371,1,1,1,0.9198647141456604
372,1,1,1,0.9387264847755432
373,1,1,1,0.9566914439201355
374,1,1,1,0.9560040235519409
375,1,1,1,0.9545736312866211
376,1,1,1,0.9496831893920898
377,1,1,1,0.9535501003265381
378,1,1,1,0.9468287825584412
379,1,1,1,0.9600533843040466
380,1,1,1,0.9633129239082336
381,1,1,1,0.9675853848457336
382,1,1,1,0.9672424793243408
383,1,1,1,0.9375259876251221
384,1,1,1,0.9691035151481628
385,1,1,1,0.9631804823875427
386,1,1,1,0.9473517537117004
387,1,1,1,0.9476622939109802
388,1,1,1,0.9620053172111511
389,1,1,1,0.9408736228942871
390,1,1,1,0.9698053598403931
391,1,1,1,0.9055319428443909
392,1,1,1,0.9571803212165833
393,1,1,1,0.9482618570327759
394,1,1,1,0.9720876812934875
395,1,1,1,0.9458374977111816
396,1,1,1,0.9223673343658447
397,1,1,1,0.9456661343574524
398,1,1,1,0.9523962736129761
399,1,1,1,0.9552883505821228
400,1,1,1,0.9558108448982239
401,1,1,1,0.9680731892585754
402,1,1,1,0.9566670656204224
403,1,1,1,0.944185733795166
404,1,1,1,0.9312187433242798
405,1,1,1,0.9441648721694946
406,1,1,1,0.9558725953102112
407,1,1,1,0.8435357213020325
408,1,1,1,0.9206340312957764
409,1,1,1,0.9587735533714294
410,1,1,1,0.9437139630317688
411,1,1,1,0.95023113489151
412,1,1,1,0.8272250890731812
413,1,1,1,0.843268096446991
414,1,1,1,0.942101240158081
415,1,1,1,0.9392858147621155
416,1,1,1,0.962148904800415
417,1,1,1,0.9514535665512085
418,1,1,1,0.9505652785301208
419,1,1,1,0.9541401863098145
420,1,1,1,0.9523826837539673
421,1,1,1,0.946838915348053
422,1,1,1,0.9455508589744568
423,1,1,1,0.9368857145309448
424,1,1,1,0.933096706867218
425,1,1,1,0.9422610402107239
426,1,1,1,0.9522308707237244
427,1,1,1,0.9579577445983887
428,1,1,1,0.9510734677314758
429,1,1,1,0.9554635882377625
430,1,1,1,0.9482470154762268
431,1,1,1,0.9450428485870361
432,1,1,1,0.9409104585647583
433,1,1,1,0.9407798051834106
434,1,1,1,0.9414382576942444
435,1,1,1,0.9403196573257446
436,1,1,1,0.9400471448898315
437,1,1,1,0.8706079721450806
438,1,1,1,0.8847532272338867
439,1,1,1,0.876975417137146
440,1,1,1,0.8555682897567749
441,1,1,1,0.9133073091506958
442,1,1,1,0.8814281821250916
443,1,1,1,0.8623127937316895
444,1,1,1,0.865450918674469
445,1,1,1,0.889076292514801
446,1,1,1,0.9157938957214355
447,1,1,1,0.9116610288619995
448,1,1,1,0.9130549430847168
449,1,1,1,0.9195613861083984
450,1,1,1,0.8994719982147217
451,1,1,1,0.8820959329605103
452,1,1,1,0.8777129650115967
453,1,1,1,0.9505654573440552
454,1,1,1,0.9334629774093628
455,1,1,1,0.9159016013145447
456,1,1,1,0.918534517288208
457,1,1,1,0.8497954607009888
458,1,1,1,0.9119017124176025
459,1,1,1,0.8949682116508484
460,1,1,1,0.9465065598487854
461,1,1,1,0.9165289998054504
462,1,1,1,0.950638473033905
463,1,1,1,0.9018926024436951
464,1,1,1,0.962338924407959
465,1,1,1,0.9191221594810486
466,1,1,1,0.9623009562492371
467,1,1,1,0.9604803323745728
468,1,1,1,0.9151579737663269
469,1,1,1,0.9628880023956299
470,1,1,1,0.9655492901802063
471,1,1,1,0.9516620635986328
472,1,1,1,0.9122727513313293
473,1,1,1,0.9337400197982788
474,1,1,1,0.9358426332473755
475,1,1,1,0.9451475143432617
476,1,1,1,0.9529977440834045
477,1,1,1,0.941968560218811
478,1,1,1,0.9675769209861755
479,1,1,1,0.9686418175697327
480,1,1,1,0.9653896689414978
481,1,1,1,0.9548731446266174
482,1,1,1,0.9579635858535767
483,1,1,1,0.9597415924072266
484,1,1,1,0.9640563130378723
485,1,1,1,0.9582108855247498
486,1,1,1,0.9603485465049744
487,1,1,1,0.958916425704956
488,1,1,1,0.9706699252128601
489,1,1,1,0.930463433265686
490,1,1,1,0.9722694158554077
491,1,1,1,0.9206740856170654
492,1,1,1,0.9718911051750183
493,1,1,1,0.9690948724746704
494,1,1,1,0.9673746824264526
495,1,1,1,0.9711083173751831
496,1,1,1,0.9715180397033691
497,1,1,1,0.970797061920166
498,1,1,1,0.9711921811103821
499,1,1,1,0.9727164506912231
500,1,1,1,0.9688992500305176
501,1,1,1,0.9655960202217102
502,1,1,1,0.971340000629425
503,1,1,1,0.9690932631492615
504,1,1,1,0.9684955477714539
505,1,1,1,0.9675419330596924
506,1,1,1,0.967279314994812
507,1,1,1,0.9685176610946655
508,1,1,1,0.9693854451179504
509,1,1,1,0.9718598127365112
510,1,1,1,0.9199193716049194
511,1,1,1,0.9686050415039062
512,1,1,1,0.9651715159416199
513,1,1,1,0.9669535756111145
514,1,1,1,0.9658063054084778
515,1,1,1,0.9662680625915527
516,1,1,1,0.9262761473655701
517,1,1,1,0.9608778357505798
518,1,1,1,0.9564717411994934
519,1,1,1,0.9633026719093323
520,1,1,1,0.9647760987281799
521,1,1,1,0.9605953097343445
522,1,1,1,0.9583146572113037
523,1,1,1,0.9695452451705933
524,1,1,1,0.9569178223609924
525,1,1,1,0.9523441791534424
526,1,1,1,0.9565218091011047
527,1,1,1,0.9668290019035339
528,1,1,1,0.9629938006401062
529,1,1,1,0.9397326111793518
530,1,1,1,0.8653973937034607
531,1,1,1,0.920017659664154
532,1,1,1,0.9385555386543274
533,1,1,1,0.9216729998588562
534,1,1,1,0.919645369052887
535,1,1,1,0.8951981663703918
536,1,1,1,0.9396910071372986
537,1,1,1,0.9346266388893127
538,1,1,1,0.9115647077560425
539,1,1,1,0.9461072683334351
540,1,1,1,0.9420315027236938
541,1,1,1,0.9453359246253967
542,1,1,1,0.9462194442749023
543,1,1,1,0.9439674019813538
544,1,1,1,0.9460487365722656
545,1,1,1,0.8673897385597229
546,1,1,1,0.9395003318786621
547,1,1,1,0.9410335421562195
548,1,1,1,0.9456590414047241
549,1,1,1,0.8239548802375793
550,1,1,1,0.9488785862922668
551,1,1,1,0.9364638924598694
552,1,1,1,0.9401932954788208
553,1,1,1,0.938607931137085
554,1,1,1,0.9387538433074951
555,1,1,1,0.9368546009063721
556,1,1,1,0.9366448521614075
557,1,1,1,0.9238346815109253
558,1,1,1,0.9338388442993164
559,1,1,1,0.8896746039390564
560,1,1,1,0.9370250105857849
561,1,1,1,0.933068573474884
562,1,1,1,0.9084178805351257
563,1,1,1,0.9480597376823425
564,1,1,1,0.9315803647041321
565,1,1,1,0.9238561987876892
566,1,1,1,0.935738742351532
567,1,1,1,0.9360396862030029
568,1,1,1,0.8667475581169128
569,1,1,1,0.9345986247062683
570,1,1,1,0.8953545093536377
571,1,1,1,0.9628961682319641
572,1,0,0,0.6681571006774902
573,1,1,1,0.9551523327827454
574,1,1,1,0.9580957293510437
575,1,1,1,0.9527271389961243
576,1,1,1,0.9464157819747925
577,1,1,1,0.9503198862075806
578,1,1,1,0.9291249513626099
579,1,1,1,0.9282655119895935
580,1,1,1,0.9477424621582031
581,1,1,1,0.9305455684661865
