sample_idx,true_label,pred_label,correct,confidence
0,1,0,0,0.72509765625
1,1,0,0,0.8633166551589966
2,1,0,0,0.8477338552474976
3,1,0,0,0.7165435552597046
4,1,0,0,0.8555120825767517
5,1,0,0,0.864833414554596
6,1,0,0,0.8828038573265076
7,1,0,0,0.838796854019165
8,1,0,0,0.8154714703559875
9,1,0,0,0.910233199596405
10,1,0,0,0.934166669845581
11,1,0,0,0.7853100895881653
12,1,1,1,0.6672048568725586
13,1,0,0,0.8582104444503784
14,1,0,0,0.8177179098129272
15,1,0,0,0.9711706638336182
16,1,0,0,0.8438737988471985
17,1,1,1,0.8845873475074768
18,1,0,0,0.9347122311592102
19,1,0,0,0.8249298334121704
20,1,0,0,0.8800464272499084
21,1,0,0,0.926329493522644
22,1,0,0,0.9028265476226807
23,1,0,0,0.9144067764282227
24,1,0,0,0.7613497376441956
25,1,0,0,0.8936668634414673
26,1,0,0,0.6171299815177917
27,1,1,1,0.8293978571891785
28,1,0,0,0.942417562007904
29,1,1,1,0.7934232354164124
30,1,1,1,0.8677524328231812
31,1,0,0,0.8364081382751465
32,1,0,0,0.7351205348968506
33,1,0,0,0.82420814037323
34,1,1,1,0.64129638671875
35,1,0,0,0.80631023645401
36,1,0,0,0.82037353515625
37,1,0,0,0.7105857133865356
38,1,0,0,0.8088854551315308
39,1,0,0,0.9237437844276428
40,1,1,1,0.6587533950805664
41,1,0,0,0.7845829129219055
42,1,0,0,0.7522444725036621
43,1,1,1,0.8727771639823914
44,1,1,1,0.7777823209762573
45,1,1,1,0.7363514304161072
46,1,0,0,0.658379316329956
47,1,0,0,0.863276481628418
48,1,1,1,0.5936344265937805
49,1,1,1,0.8773915767669678
50,1,0,0,0.87815260887146
51,1,1,1,0.6951118111610413
52,1,0,0,0.7036320567131042
53,1,1,1,0.7095707654953003
54,1,0,0,0.8396920561790466
55,1,0,0,0.8314961791038513
56,1,0,0,0.8951407670974731
57,1,0,0,0.8015850782394409
58,1,1,1,0.5786139369010925
59,1,0,0,0.9081851840019226
60,1,0,0,0.9304068684577942
61,1,0,0,0.9722317457199097
62,1,0,0,0.9732879400253296
63,1,1,1,0.7573091983795166
64,1,0,0,0.853952944278717
65,1,0,0,0.9530880451202393
66,1,0,0,0.8674505352973938
67,1,0,0,0.6855764985084534
68,1,0,0,0.6581885814666748
69,1,1,1,0.7191528081893921
70,1,0,0,0.8369746804237366
71,1,0,0,0.6789329648017883
72,1,0,0,0.5864546298980713
73,1,1,1,0.9031765460968018
74,1,0,0,0.6879115104675293
75,1,1,1,0.9620332717895508
76,1,0,0,0.5973128080368042
77,1,0,0,0.9342643618583679
78,1,0,0,0.7565517425537109
79,1,0,0,0.7992506623268127
80,1,1,1,0.8223995566368103
81,1,0,0,0.7261083126068115
82,1,0,0,0.7774104475975037
83,1,0,0,0.8773516416549683
84,1,1,1,0.627464771270752
85,1,0,0,0.8550888895988464
86,1,0,0,0.6069179773330688
87,1,0,0,0.8185912370681763
88,1,0,0,0.7550362348556519
89,1,1,1,0.7948320508003235
90,1,0,0,0.7604454159736633
91,1,0,0,0.893643856048584
92,1,0,0,0.6945841312408447
93,1,0,0,0.6356761455535889
94,1,0,0,0.6135849356651306
95,1,0,0,0.8379666209220886
96,1,0,0,0.940950334072113
