sample_idx,true_label,pred_label,correct,confidence
0,1,1,1,0.9600574374198914
1,1,1,1,0.8836212158203125
2,1,1,1,0.8039162755012512
3,1,1,1,0.9375552535057068
4,1,1,1,0.7881224155426025
5,1,1,1,0.9686203002929688
6,1,0,0,0.7823559045791626
7,1,1,1,0.9526699781417847
8,1,1,1,0.9520222544670105
9,1,1,1,0.9539027214050293
10,1,1,1,0.9769816994667053
11,1,1,1,0.962307870388031
12,1,1,1,0.8742247819900513
13,1,1,1,0.8948107361793518
14,1,1,1,0.8895096778869629
15,1,1,1,0.9515780210494995
16,1,1,1,0.9601760506629944
17,1,1,1,0.7937285304069519
18,1,1,1,0.9511303305625916
19,1,0,0,0.7406424880027771
20,1,0,0,0.7217675447463989
21,1,1,1,0.9383906126022339
22,1,1,1,0.9531217217445374
23,1,1,1,0.897140622138977
24,1,1,1,0.8808373212814331
25,1,1,1,0.871396541595459
26,1,1,1,0.9513304233551025
27,1,1,1,0.901860773563385
28,1,1,1,0.8863820433616638
29,1,1,1,0.8979927897453308
30,1,1,1,0.9566059112548828
31,1,1,1,0.9493352174758911
32,1,1,1,0.9520106911659241
33,1,1,1,0.9615069627761841
34,1,1,1,0.930489182472229
35,1,1,1,0.9518681764602661
36,1,1,1,0.8839992880821228
37,1,1,1,0.9380972385406494
38,1,1,1,0.9740201234817505
39,1,1,1,0.9626078009605408
40,1,1,1,0.9545938372612
41,1,1,1,0.7515266537666321
42,1,1,1,0.9605355858802795
43,1,1,1,0.9536550641059875
44,1,1,1,0.9624034762382507
45,1,1,1,0.9575327634811401
46,1,1,1,0.9652331471443176
47,1,1,1,0.9353445172309875
48,1,1,1,0.9217126369476318
49,1,1,1,0.8994301557540894
50,1,1,1,0.8370170593261719
51,1,1,1,0.9245045185089111
52,1,1,1,0.9613271951675415
53,1,1,1,0.958721399307251
54,1,1,1,0.9578301906585693
55,1,1,1,0.9711257219314575
56,1,1,1,0.9630901217460632
57,1,1,1,0.9466711282730103
58,1,1,1,0.9465084671974182
59,1,1,1,0.9068892598152161
60,1,1,1,0.9636091589927673
61,1,1,1,0.8096612095832825
62,1,1,1,0.9672096967697144
63,1,1,1,0.8989331126213074
64,1,1,1,0.8999187350273132
65,1,1,1,0.9463655352592468
66,1,1,1,0.9018759727478027
67,1,1,1,0.9399864673614502
68,1,1,1,0.9453122019767761
69,1,1,1,0.9160696864128113
70,1,1,1,0.9077923893928528
71,1,1,1,0.9006953239440918
72,1,1,1,0.9473918676376343
73,1,0,0,0.7933924198150635
74,1,1,1,0.944528341293335
75,1,1,1,0.9654636383056641
76,1,1,1,0.9197856783866882
77,1,1,1,0.9135288000106812
78,1,1,1,0.9300714135169983
79,1,1,1,0.8967140316963196
80,1,0,0,0.9463091492652893
81,1,1,1,0.9576578736305237
82,1,1,1,0.9124417901039124
83,1,1,1,0.9071775078773499
84,1,1,1,0.9151901602745056
85,1,1,1,0.9455653429031372
86,1,1,1,0.9256511926651001
87,1,1,1,0.9173251986503601
88,1,1,1,0.9519939422607422
89,1,1,1,0.9632745981216431
90,1,1,1,0.768930196762085
91,1,0,0,0.6375452280044556
92,1,0,0,0.6579965949058533
93,1,0,0,0.6368958353996277
94,1,1,1,0.9460768699645996
95,1,1,1,0.9477286338806152
96,1,1,1,0.947781503200531
97,1,1,1,0.9440169930458069
98,1,1,1,0.938075065612793
99,1,1,1,0.94375079870224
100,1,1,1,0.9427177309989929
101,1,1,1,0.9598797559738159
102,1,1,1,0.9612089991569519
103,1,1,1,0.9494062066078186
104,1,1,1,0.9468170404434204
105,1,1,1,0.9409596920013428
106,1,1,1,0.9401583671569824
107,1,1,1,0.9671685099601746
108,1,1,1,0.9700244069099426
109,1,1,1,0.9444006681442261
110,1,1,1,0.9631288051605225
111,1,1,1,0.9599741101264954
112,1,0,0,0.7328428030014038
113,1,1,1,0.9485764503479004
114,1,1,1,0.9465185403823853
115,1,1,1,0.9439164400100708
116,1,1,1,0.938480794429779
117,1,1,1,0.905021607875824
118,1,1,1,0.9647811055183411
119,1,1,1,0.9496743083000183
120,1,1,1,0.9557909965515137
121,1,1,1,0.9409482479095459
122,1,1,1,0.9465401768684387
123,1,1,1,0.9161909222602844
124,1,1,1,0.7538132071495056
125,1,1,1,0.8102242350578308
126,1,1,1,0.9465219974517822
127,1,1,1,0.9409811496734619
128,1,1,1,0.9476481676101685
129,1,1,1,0.9601572155952454
130,1,1,1,0.935886800289154
131,1,1,1,0.8473650813102722
132,1,1,1,0.9540785551071167
133,1,1,1,0.9585199356079102
