sample_idx,true_label,pred_label,correct,confidence
0,1,0,0,0.7411428093910217
1,1,1,1,0.9061456322669983
2,1,0,0,0.9496802687644958
3,1,0,0,0.8172060251235962
4,1,1,1,0.6793226599693298
5,1,0,0,0.8375977873802185
6,1,1,1,0.742824912071228
7,1,1,1,0.6793838739395142
8,1,1,1,0.7650119066238403
9,1,0,0,0.8063480257987976
10,1,0,0,0.5571810007095337
11,1,0,0,0.8884904384613037
12,1,1,1,0.7410960793495178
13,1,0,0,0.8933394551277161
14,1,0,0,0.619326114654541
15,1,1,1,0.7363296747207642
16,1,1,1,0.7467605471611023
17,1,1,1,0.7803553938865662
18,1,1,1,0.7029154896736145
19,1,0,0,0.8510596752166748
20,1,0,0,0.9369483590126038
21,1,0,0,0.836778461933136
22,1,1,1,0.8411413431167603
23,1,0,0,0.9500374794006348
24,1,0,0,0.9414337277412415
25,1,1,1,0.8755263090133667
26,1,0,0,0.8276274800300598
27,1,0,0,0.7595660090446472
28,1,1,1,0.8626759052276611
29,1,1,1,0.8559194207191467
30,1,0,0,0.737701416015625
31,1,1,1,0.7246014475822449
32,1,1,1,0.8439695835113525
33,1,1,1,0.7472574710845947
34,1,1,1,0.956114649772644
35,1,0,0,0.7922802567481995
36,1,1,1,0.7153183817863464
37,1,0,0,0.6482979655265808
38,1,1,1,0.9103773236274719
39,1,0,0,0.5225412845611572
40,1,0,0,0.7103222012519836
41,1,1,1,0.767600953578949
42,1,1,1,0.9720672965049744
43,1,1,1,0.942172646522522
44,1,1,1,0.8239484429359436
45,1,1,1,0.8238521814346313
46,1,1,1,0.8794001936912537
47,1,1,1,0.7454171776771545
48,1,1,1,0.9130234122276306
49,1,1,1,0.7875797748565674
50,1,1,1,0.764197826385498
51,1,1,1,0.7110273838043213
52,1,0,0,0.598319947719574
53,1,1,1,0.8657816648483276
54,1,0,0,0.7412288188934326
55,1,0,0,0.7458018660545349
56,1,1,1,0.8358474969863892
57,1,1,1,0.8946261405944824
58,1,1,1,0.7777029871940613
59,1,0,0,0.8379655480384827
60,1,1,1,0.9110279679298401
61,1,0,0,0.7044512033462524
62,1,0,0,0.7008234262466431
63,1,1,1,0.7891350984573364
64,1,1,1,0.8976645469665527
65,1,1,1,0.7081519961357117
66,1,0,0,0.5850542783737183
67,1,1,1,0.8897814154624939
68,1,1,1,0.6470302939414978
69,1,1,1,0.9348220825195312
70,1,0,0,0.8852015733718872
71,1,1,1,0.6542161703109741
72,1,0,0,0.6796212196350098
73,1,1,1,0.9204110503196716
74,1,0,0,0.8983399868011475
75,1,0,0,0.6745630502700806
76,1,0,0,0.8875019550323486
77,1,0,0,0.7399699091911316
78,1,0,0,0.7906126976013184
79,1,0,0,0.9603084921836853
80,1,0,0,0.7603922486305237
81,1,1,1,0.8880795836448669
82,1,0,0,0.9323840737342834
83,1,0,0,0.7357089519500732
84,1,1,1,0.9073964357376099
85,1,1,1,0.6427047848701477
86,1,0,0,0.8095439076423645
87,1,1,1,0.7716068029403687
88,1,1,1,0.883662223815918
89,1,1,1,0.7174078226089478
90,1,0,0,0.6231217384338379
91,1,0,0,0.8089207410812378
92,1,1,1,0.7701498866081238
93,1,0,0,0.6215161085128784
94,1,1,1,0.8868994116783142
95,1,0,0,0.7239446043968201
96,1,1,1,0.8132675886154175
97,1,1,1,0.8817540407180786
98,1,1,1,0.7158441543579102
99,1,0,0,0.864436686038971
100,1,0,0,0.8872323632240295
101,1,1,1,0.9339756369590759
102,1,1,1,0.9316546320915222
103,1,0,0,0.8824151158332825
104,1,1,1,0.6559380292892456
105,1,1,1,0.9294800162315369
106,1,1,1,0.9146178364753723
107,1,0,0,0.8436222672462463
108,1,1,1,0.6995413303375244
109,1,0,0,0.9067661166191101
110,1,1,1,0.8921889066696167
111,1,0,0,0.9033433198928833
112,1,0,0,0.9327685832977295
113,1,0,0,0.8518620133399963
114,1,1,1,0.6813582181930542
115,1,0,0,0.9108008742332458
116,1,1,1,0.9131953716278076
117,1,1,1,0.885411262512207
118,1,1,1,0.5908870100975037
119,1,0,0,0.8201208114624023
120,1,0,0,0.7601284980773926
121,1,0,0,0.8591095805168152
122,1,1,1,0.9134393334388733
123,1,0,0,0.8035717606544495
124,1,0,0,0.9405145645141602
125,1,1,1,0.6724160313606262
126,1,0,0,0.9169523119926453
127,1,0,0,0.7139057517051697
128,1,1,1,0.88266921043396
129,1,0,0,0.9255485534667969
130,1,1,1,0.9362015128135681
131,1,1,1,0.733689546585083
132,1,1,1,0.6486489772796631
133,1,1,1,0.8575171232223511
134,1,1,1,0.714804470539093
135,1,0,0,0.8623303771018982
136,1,1,1,0.9257540106773376
137,1,0,0,0.705843448638916
138,1,0,0,0.6126988530158997
139,1,1,1,0.8944622278213501
140,1,0,0,0.9024481177330017
141,1,1,1,0.5751739144325256
142,1,0,0,0.8332148194313049
143,1,0,0,0.6861335635185242
144,1,1,1,0.8446571826934814
145,1,1,1,0.7741897106170654
146,1,1,1,0.8914319276809692
147,1,1,1,0.9046057462692261
148,1,0,0,0.711264967918396
149,1,0,0,0.6764912009239197
150,1,1,1,0.9419872760772705
151,1,1,1,0.7096226215362549
152,1,0,0,0.838627815246582
153,1,0,0,0.9120100140571594
154,1,0,0,0.8397712707519531
155,1,0,0,0.7901265621185303
156,1,1,1,0.6208207011222839
157,1,1,1,0.8909717202186584
158,1,1,1,0.8961079716682434
159,1,1,1,0.9135653376579285
160,1,0,0,0.6779323816299438
161,1,1,1,0.9292711615562439
162,1,0,0,0.8820663690567017
163,1,0,0,0.6769108176231384
164,1,0,0,0.9530857801437378
165,1,1,1,0.9424368739128113
166,1,0,0,0.6795073747634888
167,1,1,1,0.6799063682556152
168,1,1,1,0.6497893929481506
169,1,0,0,0.8177424669265747
170,1,0,0,0.8903478980064392
171,1,0,0,0.7759896516799927
172,1,0,0,0.9325624704360962
173,1,1,1,0.9112750291824341
174,1,0,0,0.8003007769584656
175,1,1,1,0.9509570002555847
176,1,0,0,0.8027079701423645
177,1,1,1,0.8752930760383606
178,1,1,1,0.8988003730773926
179,1,0,0,0.9050214886665344
180,1,0,0,0.6613245010375977
181,1,1,1,0.8398669362068176
182,1,0,0,0.6847221851348877
183,1,1,1,0.636102020740509
184,1,0,0,0.901486873626709
185,1,1,1,0.8213004469871521
186,1,1,1,0.9193822145462036
187,1,1,1,0.9355051517486572
188,1,1,1,0.6689816117286682
189,1,1,1,0.765199601650238
190,1,0,0,0.9199395179748535
191,1,0,0,0.8144134879112244
192,1,1,1,0.7854747772216797
193,1,1,1,0.9152376651763916
194,1,1,1,0.6606771945953369
195,1,1,1,0.8758631944656372
196,1,0,0,0.8632481694221497
197,1,0,0,0.8226493000984192
198,1,0,0,0.8536185622215271
199,1,0,0,0.882147490978241
200,1,0,0,0.8102692365646362
201,1,0,0,0.8470962047576904
202,1,1,1,0.8810028433799744
203,1,1,1,0.8893387913703918
204,1,1,1,0.8760483264923096
205,1,0,0,0.6894989609718323
206,1,1,1,0.6292321085929871
207,1,1,1,0.8174850344657898
208,1,1,1,0.7204789519309998
209,1,0,0,0.897946298122406
210,1,1,1,0.8024917840957642
211,1,1,1,0.7864194512367249
212,1,1,1,0.6682528853416443
213,1,0,0,0.8143590092658997
214,1,1,1,0.797971785068512
215,1,1,1,0.8726890087127686
216,1,1,1,0.8542096614837646
217,1,0,0,0.7673205733299255
218,1,0,0,0.8931900262832642
219,1,1,1,0.9283386468887329
220,1,0,0,0.8578101396560669
221,1,0,0,0.8463805913925171
222,1,1,1,0.8336089849472046
223,1,1,1,0.7343571186065674
224,1,1,1,0.8371610045433044
225,1,1,1,0.6187331676483154
226,1,1,1,0.8931774497032166
227,1,1,1,0.8406522870063782
228,1,1,1,0.7759031057357788
229,1,1,1,0.8671562671661377
230,1,1,1,0.7896873950958252
231,1,1,1,0.8074303865432739
232,1,1,1,0.6578159928321838
233,1,1,1,0.6236889958381653
234,1,0,0,0.8292768597602844
235,1,0,0,0.9352678656578064
236,1,1,1,0.7008969783782959
237,1,1,1,0.7246086597442627
238,1,1,1,0.8345568776130676
239,1,1,1,0.819807767868042
240,1,1,1,0.6572916507720947
241,1,1,1,0.9209906458854675
242,1,1,1,0.8880007266998291
243,1,1,1,0.8856475949287415
244,1,0,0,0.9104729890823364
245,1,1,1,0.8268277049064636
246,1,0,0,0.904003381729126
247,1,0,0,0.8032206296920776
248,1,0,0,0.7017611861228943
249,1,0,0,0.927402913570404
250,1,0,0,0.902279257774353
251,1,1,1,0.7765219211578369
252,1,0,0,0.7137439250946045
253,1,0,0,0.7685966491699219
254,1,0,0,0.9439748525619507
255,0,0,1,0.889870285987854
256,1,0,0,0.7494433522224426
257,1,0,0,0.8640329241752625
258,1,1,1,0.8783640265464783
259,1,0,0,0.9031040072441101
260,1,0,0,0.9360401630401611
261,1,0,0,0.7009874582290649
262,1,1,1,0.8276665806770325
263,1,0,0,0.8641881942749023
264,1,1,1,0.5987799763679504
265,1,0,0,0.9450356364250183
266,1,0,0,0.8551965355873108
267,1,1,1,0.7716183066368103
268,1,1,1,0.7120717167854309
269,1,1,1,0.6202957630157471
270,1,1,1,0.7221129536628723
271,1,1,1,0.811975359916687
272,1,0,0,0.9019614458084106
273,1,0,0,0.8751923441886902
274,1,0,0,0.7668042778968811
275,1,0,0,0.941483199596405
276,1,1,1,0.9214618802070618
277,1,1,1,0.9286187291145325
278,1,0,0,0.8908705711364746
279,1,0,0,0.9042091369628906
280,1,1,1,0.8507017493247986
281,1,0,0,0.8061603903770447
282,1,0,0,0.6743479371070862
283,1,0,0,0.8940532207489014
284,1,1,1,0.9033963084220886
285,1,1,1,0.8349289298057556
286,1,0,0,0.9162001013755798
287,1,0,0,0.7101074457168579
288,1,0,0,0.87694251537323
289,1,1,1,0.7591049075126648
290,1,0,0,0.8687423467636108
291,1,0,0,0.9624507427215576
292,1,0,0,0.9206004738807678
293,1,1,1,0.814588189125061
294,1,0,0,0.8450421690940857
295,1,1,1,0.6594801545143127
296,1,0,0,0.8556762933731079
297,1,1,1,0.667343020439148
298,1,1,1,0.7028030157089233
299,1,0,0,0.9535939693450928
300,1,1,1,0.6669908761978149
301,1,0,0,0.909190833568573
302,1,0,0,0.9164360761642456
303,1,0,0,0.912050187587738
304,1,1,1,0.5885239839553833
305,1,1,1,0.9351449012756348
306,1,0,0,0.7964076995849609
307,1,0,0,0.9459108114242554
308,1,0,0,0.7165365815162659
309,1,1,1,0.886805534362793
310,1,0,0,0.8659380078315735
311,1,1,1,0.737804651260376
312,1,0,0,0.6566680073738098
313,1,0,0,0.7257583141326904
314,1,0,0,0.8457198739051819
315,1,1,1,0.8618517518043518
316,1,0,0,0.7205507159233093
317,1,1,1,0.9045706987380981
318,1,1,1,0.6840289831161499
319,1,0,0,0.8704589605331421
320,1,0,0,0.6919546127319336
321,1,1,1,0.8095933794975281
322,1,0,0,0.7894975543022156
323,1,1,1,0.8156334757804871
324,1,1,1,0.938018798828125
325,1,1,1,0.9236477613449097
326,1,1,1,0.7666100263595581
327,1,0,0,0.8792425990104675
328,1,1,1,0.642151415348053
329,1,1,1,0.6875560879707336
330,1,1,1,0.9093430638313293
331,1,1,1,0.81711345911026
332,1,1,1,0.6960986852645874
333,1,0,0,0.7316415905952454
334,1,0,0,0.7563111782073975
335,1,1,1,0.9528095126152039
336,1,1,1,0.6236169934272766
337,1,1,1,0.7557394504547119
338,1,1,1,0.746401846408844
339,1,0,0,0.6730472445487976
340,1,0,0,0.7433233857154846
341,1,1,1,0.9122255444526672
342,1,0,0,0.9224223494529724
343,1,1,1,0.7067945003509521
344,1,1,1,0.9271299242973328
345,1,1,1,0.8235686421394348
346,1,1,1,0.9738755226135254
347,1,1,1,0.7837451100349426
348,1,0,0,0.723285436630249
349,1,1,1,0.6514125466346741
350,1,1,1,0.8395839929580688
351,1,1,1,0.9094635248184204
352,1,1,1,0.7930755615234375
353,1,1,1,0.8792429566383362
354,1,1,1,0.8214465379714966
355,1,0,0,0.8805360794067383
356,1,1,1,0.8059206008911133
357,1,1,1,0.7558002471923828
358,1,1,1,0.981632649898529
359,1,1,1,0.6258221864700317
360,1,1,1,0.8917526602745056
361,1,1,1,0.797994077205658
362,1,1,1,0.9218024611473083
363,1,1,1,0.7978357076644897
364,1,0,0,0.7504957318305969
365,1,1,1,0.8798532485961914
366,1,1,1,0.8035747408866882
367,1,1,1,0.826279878616333
368,1,1,1,0.9798455834388733
369,1,1,1,0.9406453967094421
370,1,1,1,0.9714628458023071
371,1,1,1,0.6740382313728333
372,1,0,0,0.6864849328994751
373,1,1,1,0.6082031726837158
374,1,0,0,0.6707922220230103
375,1,1,1,0.9218683242797852
376,1,1,1,0.6819567680358887
377,1,1,1,0.9004328846931458
378,1,1,1,0.9194493889808655
379,1,1,1,0.9573227763175964
380,1,0,0,0.8902649283409119
381,1,0,0,0.859493613243103
382,1,0,0,0.9124894142150879
383,1,0,0,0.648501455783844
384,1,1,1,0.8577533960342407
385,1,0,0,0.9051082730293274
386,1,1,1,0.9710560441017151
387,1,1,1,0.9352265000343323
388,1,1,1,0.7722747325897217
389,1,1,1,0.6176946759223938
390,1,0,0,0.8314768671989441
391,1,0,0,0.6781322956085205
392,1,1,1,0.8122299313545227
393,1,1,1,0.9441644549369812
394,1,1,1,0.9711772799491882
395,1,0,0,0.7759701609611511
396,1,1,1,0.9733259081840515
397,1,1,1,0.9519003629684448
398,1,0,0,0.6313247680664062
399,1,1,1,0.8952290415763855
400,1,1,1,0.7315888404846191
401,1,1,1,0.9575285315513611
402,1,0,0,0.6706163883209229
403,1,1,1,0.7066669464111328
404,1,1,1,0.6748926639556885
405,1,0,0,0.7204515933990479
406,1,1,1,0.733988344669342
407,1,0,0,0.7711959481239319
408,1,0,0,0.9364672899246216
409,1,1,1,0.9033029675483704
410,1,1,1,0.9452288150787354
411,1,1,1,0.9209492802619934
412,1,0,0,0.775493860244751
413,1,1,1,0.8677628040313721
414,1,1,1,0.8580666184425354
415,1,0,0,0.7279168367385864
416,1,0,0,0.7097370028495789
417,1,1,1,0.8922570943832397
418,1,1,1,0.8438268899917603
419,1,0,0,0.8486542105674744
420,1,0,0,0.8885676264762878
421,1,0,0,0.6165249943733215
422,1,1,1,0.8142285943031311
423,1,1,1,0.9151821732521057
424,1,1,1,0.9028745293617249
425,1,1,1,0.8968257308006287
426,1,0,0,0.7606041431427002
427,1,0,0,0.7091674208641052
428,1,0,0,0.912652313709259
429,1,0,0,0.8523421883583069
430,1,1,1,0.9338698387145996
431,1,0,0,0.937311053276062
432,1,1,1,0.9748409986495972
433,1,0,0,0.8580284118652344
434,1,0,0,0.8213902711868286
435,1,1,1,0.9295457601547241
436,1,1,1,0.9443323612213135
437,1,1,1,0.7907658219337463
438,1,0,0,0.8373319506645203
439,1,1,1,0.8892554640769958
440,1,1,1,0.7049128413200378
