sample_idx,true_label,pred_label,correct,confidence
0,1,0,0,0.5834037661552429
1,1,0,0,0.8747293949127197
2,1,1,1,0.6299086213111877
3,1,1,1,0.7042825222015381
4,1,0,0,0.8677279353141785
5,1,0,0,0.7722461819648743
6,1,0,0,0.8173601627349854
7,1,0,0,0.7053541541099548
8,1,1,1,0.957423210144043
9,1,1,1,0.7752893567085266
10,1,1,1,0.8060740232467651
11,1,0,0,0.861910879611969
12,1,1,1,0.931705117225647
13,1,1,1,0.8012118339538574
14,1,0,0,0.79389488697052
15,1,0,0,0.6096493005752563
16,1,0,0,0.6278538107872009
17,1,1,1,0.7099958062171936
18,1,1,1,0.6197584867477417
19,1,1,1,0.8052788972854614
20,1,0,0,0.9158213138580322
21,1,1,1,0.6640618443489075
22,1,0,0,0.8364048004150391
23,1,0,0,0.8805857300758362
24,1,1,1,0.8813145756721497
25,1,1,1,0.6749320030212402
26,1,1,1,0.6150346398353577
27,1,0,0,0.7068700790405273
28,1,1,1,0.9415378570556641
29,1,0,0,0.7543967366218567
30,1,1,1,0.8943116068840027
31,1,1,1,0.8761921525001526
32,1,0,0,0.9248244166374207
33,1,1,1,0.6051270365715027
34,1,1,1,0.906097948551178
35,1,0,0,0.7235362529754639
36,1,1,1,0.7367699146270752
37,1,0,0,0.736923098564148
38,1,1,1,0.9604608416557312
39,1,0,0,0.6868472099304199
40,1,1,1,0.7999565601348877
41,1,0,0,0.6343491077423096
42,1,1,1,0.8611029386520386
43,1,1,1,0.9442687630653381
44,1,1,1,0.9570415019989014
45,1,1,1,0.8249611258506775
46,1,1,1,0.9377228617668152
47,1,1,1,0.8765009045600891
48,1,1,1,0.8481799960136414
49,1,0,0,0.707770049571991
50,1,0,0,0.6782712340354919
51,1,0,0,0.7829023599624634
52,1,1,1,0.8140086531639099
53,1,1,1,0.7232338190078735
54,1,1,1,0.8068327307701111
55,1,1,1,0.85160893201828
56,1,0,0,0.8297653794288635
57,1,1,1,0.6183480620384216
58,1,0,0,0.8899444341659546
59,1,0,0,0.8383802771568298
60,1,0,0,0.6525734066963196
61,1,1,1,0.7081920504570007
62,1,1,1,0.8975544571876526
63,1,0,0,0.7702953815460205
64,1,0,0,0.8882522583007812
65,1,0,0,0.7287628054618835
66,1,0,0,0.6775429844856262
67,1,1,1,0.9495518207550049
68,1,1,1,0.8564072251319885
69,1,0,0,0.797968327999115
70,1,1,1,0.9194719195365906
71,1,1,1,0.6877210140228271
72,1,1,1,0.7870486378669739
73,1,1,1,0.7671565413475037
74,1,0,0,0.7587732076644897
75,1,1,1,0.8854790329933167
76,1,1,1,0.7185959219932556
77,1,0,0,0.8000611066818237
