sample_idx,true_label,pred_label,correct,confidence
0,1,0,0,0.7746461629867554
1,1,1,1,0.7789589166641235
2,1,0,0,0.860598623752594
3,1,1,1,0.845577597618103
4,1,0,0,0.8407126069068909
5,1,0,0,0.834500253200531
6,1,0,0,0.5480381846427917
7,1,0,0,0.8357433676719666
8,1,1,1,0.8886043429374695
9,1,1,1,0.8779392242431641
10,1,1,1,0.9376529455184937
11,1,0,0,0.7234703898429871
12,1,0,0,0.7518960237503052
13,1,1,1,0.7986933588981628
14,1,0,0,0.8055217266082764
15,1,1,1,0.7975881695747375
16,1,1,1,0.9144485592842102
17,1,0,0,0.6865805983543396
18,1,0,0,0.8764360547065735
19,1,0,0,0.8683658242225647
20,1,1,1,0.9063534140586853
21,1,0,0,0.670944094657898
22,1,1,1,0.8947641253471375
23,1,0,0,0.8312304019927979
24,1,1,1,0.8735578656196594
25,1,1,1,0.8995171189308167
26,1,0,0,0.6932582259178162
27,1,0,0,0.810627281665802
28,1,1,1,0.8183901906013489
29,1,1,1,0.9609619975090027
30,1,0,0,0.8225328326225281
31,1,1,1,0.9670515060424805
32,1,1,1,0.9591220021247864
33,1,1,1,0.9294642210006714
34,1,1,1,0.8525398373603821
35,1,0,0,0.7479071021080017
36,1,1,1,0.8207961320877075
37,1,1,1,0.8068515658378601
38,1,1,1,0.9256889224052429
39,1,1,1,0.9373195767402649
40,1,1,1,0.8892287015914917
41,1,0,0,0.8063479065895081
42,1,1,1,0.807892918586731
43,1,1,1,0.9613968729972839
44,1,1,1,0.9631380438804626
45,1,1,1,0.9462486505508423
46,1,1,1,0.9626249074935913
47,1,1,1,0.9069862365722656
48,1,1,1,0.77352374792099
49,1,1,1,0.7840208411216736
50,1,0,0,0.801663339138031
51,1,1,1,0.758206307888031
52,1,1,1,0.7586238384246826
53,1,1,1,0.6947303414344788
54,1,0,0,0.7527056932449341
55,1,1,1,0.9392834901809692
56,1,1,1,0.9675886631011963
57,1,1,1,0.9185121655464172
58,1,1,1,0.8006924390792847
59,1,0,0,0.7552319169044495
60,1,1,1,0.7678477764129639
61,1,1,1,0.6506041288375854
62,1,0,0,0.6564152240753174
63,1,1,1,0.7293211221694946
64,1,0,0,0.7351216673851013
65,1,0,0,0.7805814743041992
66,1,0,0,0.8183158040046692
67,1,0,0,0.7578454613685608
68,1,1,1,0.8500798344612122
69,1,1,1,0.6940443515777588
70,1,0,0,0.7782063484191895
71,1,1,1,0.7721861600875854
72,1,1,1,0.8844311237335205
73,1,1,1,0.752549946308136
74,1,1,1,0.8188101053237915
75,1,1,1,0.8085839748382568
76,1,0,0,0.8232630491256714
77,1,1,1,0.807441234588623
78,1,0,0,0.9169319868087769
79,1,1,1,0.7646588683128357
80,1,0,0,0.7915862798690796
81,1,0,0,0.7342798709869385
82,1,0,0,0.6831328868865967
83,1,1,1,0.818902313709259
84,1,1,1,0.7117348313331604
85,1,1,1,0.9384016394615173
86,1,0,0,0.9162296652793884
87,1,1,1,0.6613026857376099
88,1,1,1,0.6110392808914185
89,1,1,1,0.6048420071601868
90,1,1,1,0.8725583553314209
91,1,1,1,0.9309021830558777
92,1,1,1,0.8481528759002686
93,1,0,0,0.809493899345398
94,1,1,1,0.9327130317687988
95,1,0,0,0.8799415826797485
96,1,0,0,0.7251054048538208
97,1,0,0,0.8930164575576782
98,1,0,0,0.8757070302963257
99,1,1,1,0.9373329877853394
100,1,1,1,0.942982017993927
101,1,0,0,0.7927247881889343
102,1,0,0,0.7259765863418579
103,1,1,1,0.934739351272583
104,1,1,1,0.8123146891593933
105,1,0,0,0.8223056197166443
106,1,1,1,0.6843356490135193
107,1,1,1,0.9223339557647705
108,1,0,0,0.9275632500648499
109,1,0,0,0.7426348328590393
110,1,0,0,0.6873892545700073
111,1,1,1,0.8394594192504883
112,1,1,1,0.8392749428749084
113,1,0,0,0.815432608127594
114,1,0,0,0.670613706111908
115,1,0,0,0.8518704771995544
116,1,1,1,0.9368348121643066
117,1,0,0,0.8745056390762329
118,1,1,1,0.7855063080787659
119,1,1,1,0.8538015484809875
120,1,0,0,0.8643583059310913
121,1,1,1,0.9307546019554138
122,1,1,1,0.9492803812026978
123,1,1,1,0.895262598991394
124,1,1,1,0.8773956894874573
125,1,1,1,0.8339411616325378
126,1,1,1,0.9190359115600586
127,1,0,0,0.7739894986152649
128,1,1,1,0.7943440675735474
129,1,1,1,0.9227588772773743
130,1,0,0,0.8863212466239929
