sample_idx,true_label,pred_label,correct,confidence
0,1,0,0,0.6374104022979736
1,1,1,1,0.857383668422699
2,1,0,0,0.7293125987052917
3,1,0,0,0.6907861232757568
4,1,1,1,0.8506888151168823
5,1,0,0,0.7480879426002502
6,1,0,0,0.803571879863739
7,1,1,1,0.9249833226203918
8,1,1,1,0.9243696928024292
9,1,0,0,0.6789648532867432
10,1,1,1,0.7260405421257019
11,1,1,1,0.8375780582427979
12,1,0,0,0.833138108253479
13,1,0,0,0.6217111349105835
14,1,0,0,0.8422932028770447
15,1,1,1,0.67648845911026
16,1,1,1,0.8804464340209961
17,1,0,0,0.6564943194389343
18,1,1,1,0.8041626214981079
19,1,0,0,0.740419328212738
20,1,0,0,0.8337973356246948
21,1,0,0,0.6619160175323486
22,1,0,0,0.9013566970825195
23,1,0,0,0.8159095048904419
24,1,1,1,0.801594614982605
25,1,1,1,0.8165947198867798
26,1,0,0,0.6344650983810425
27,1,0,0,0.760688304901123
28,1,1,1,0.6425275802612305
29,1,1,1,0.8665337562561035
30,1,1,1,0.8846213221549988
31,1,1,1,0.888943612575531
32,1,1,1,0.8179842233657837
33,1,1,1,0.8071504235267639
34,1,1,1,0.7544282078742981
35,1,1,1,0.8552870154380798
36,1,1,1,0.6675577163696289
37,1,1,1,0.8382262587547302
38,1,1,1,0.9477254152297974
39,1,1,1,0.6706880331039429
40,1,1,1,0.858389675617218
41,1,0,0,0.7156710624694824
42,1,1,1,0.6887019872665405
43,1,1,1,0.8815557360649109
44,1,1,1,0.8933935761451721
45,1,1,1,0.7397570610046387
46,1,1,1,0.9474036693572998
47,1,1,1,0.8570109605789185
48,1,1,1,0.8749423623085022
49,1,0,0,0.6909089088439941
50,1,0,0,0.7968122959136963
51,1,1,1,0.7558876872062683
52,1,0,0,0.675208568572998
53,1,1,1,0.9216105341911316
54,1,1,1,0.9039893746376038
55,1,1,1,0.8569048643112183
56,1,1,1,0.9005479216575623
57,1,1,1,0.8797444105148315
58,1,1,1,0.9305042624473572
59,1,1,1,0.8391620516777039
60,1,1,1,0.8352584838867188
61,1,1,1,0.8811593651771545
62,1,1,1,0.903157651424408
63,1,1,1,0.7149156332015991
64,1,1,1,0.9110372066497803
65,1,1,1,0.6434654593467712
66,1,1,1,0.8524019718170166
67,1,1,1,0.8650236129760742
68,1,0,0,0.6345202922821045
69,1,1,1,0.7338348031044006
70,1,0,0,0.6585584878921509
71,1,1,1,0.9182350635528564
72,1,1,1,0.9172316789627075
73,1,1,1,0.8603866696357727
74,1,0,0,0.6418579816818237
75,1,1,1,0.8819562196731567
76,1,1,1,0.7976675629615784
77,1,0,0,0.6637102365493774
78,1,0,0,0.9023510217666626
79,1,1,1,0.6123884916305542
80,1,0,0,0.719612181186676
81,1,1,1,0.6366428136825562
82,1,1,1,0.8929250240325928
83,1,0,0,0.7504254579544067
84,1,0,0,0.8478050827980042
85,1,0,0,0.6071476340293884
86,1,1,1,0.8485147953033447
87,1,1,1,0.6397064328193665
88,1,0,0,0.6382374167442322
89,1,0,0,0.6451019048690796
90,1,1,1,0.7215620875358582
91,1,1,1,0.692047655582428
92,1,1,1,0.7375118732452393
93,1,1,1,0.7036421298980713
94,1,0,0,0.7779626250267029
95,1,0,0,0.7378584146499634
96,1,0,0,0.7880915403366089
97,1,0,0,0.6642236709594727
98,1,1,1,0.610399067401886
99,1,1,1,0.6611906290054321
100,1,0,0,0.766628086566925
101,1,0,0,0.7828607559204102
102,1,1,1,0.8812485933303833
103,1,0,0,0.655990481376648
104,1,0,0,0.7082059383392334
105,1,0,0,0.6642136573791504
