sample_idx,true_label,pred_label,correct,confidence
0,1,1,1,0.8357174396514893
1,1,1,1,0.8561381101608276
2,1,1,1,0.8712975978851318
3,1,1,1,0.6803067326545715
4,1,1,1,0.8482978343963623
5,1,0,0,0.7839162945747375
6,1,0,0,0.8466615080833435
7,1,1,1,0.9312123656272888
8,1,1,1,0.9361530542373657
9,1,1,1,0.7676170468330383
10,1,1,1,0.9512550830841064
11,1,1,1,0.940247654914856
12,1,0,0,0.6611230969429016
13,1,1,1,0.7178477644920349
14,1,1,1,0.8830960392951965
15,1,1,1,0.7625697255134583
16,1,1,1,0.8764446377754211
17,1,0,0,0.8186759352684021
18,1,1,1,0.7624214887619019
19,1,1,1,0.7954351305961609
20,1,1,1,0.7855516672134399
21,1,1,1,0.8780971169471741
22,1,1,1,0.8925846219062805
23,1,1,1,0.7909756898880005
24,1,1,1,0.9543285965919495
25,1,1,1,0.95488440990448
26,1,1,1,0.8606151938438416
27,1,1,1,0.8036895990371704
28,1,1,1,0.9416905641555786
29,1,1,1,0.9336146712303162
30,1,1,1,0.9534335732460022
31,1,1,1,0.9535464644432068
32,1,1,1,0.9520553946495056
33,1,1,1,0.9506211280822754
34,1,1,1,0.9185153245925903
35,1,1,1,0.9522561430931091
36,1,1,1,0.7261980175971985
37,1,1,1,0.9479616284370422
38,1,1,1,0.9464682936668396
39,1,1,1,0.9565528035163879
40,1,1,1,0.9549630284309387
41,1,0,0,0.6779118776321411
42,1,1,1,0.9590679407119751
43,1,1,1,0.9447298645973206
44,1,1,1,0.9559373259544373
45,1,1,1,0.9507091641426086
46,1,1,1,0.9602108597755432
47,1,1,1,0.9453810453414917
48,1,1,1,0.942287266254425
49,1,1,1,0.9264386296272278
50,1,0,0,0.6814051866531372
51,1,0,0,0.6796011924743652
52,1,1,1,0.9636943340301514
53,1,1,1,0.9531323313713074
54,1,1,1,0.9490058422088623
55,1,1,1,0.9526374340057373
56,1,1,1,0.9527931213378906
57,1,1,1,0.9461938142776489
58,1,1,1,0.9462443590164185
59,1,1,1,0.9399264454841614
60,1,1,1,0.9523530006408691
61,1,1,1,0.8816840648651123
62,1,1,1,0.9487336277961731
63,1,1,1,0.9371811151504517
64,1,1,1,0.9419564604759216
65,1,1,1,0.8511049151420593
66,1,1,1,0.9356428980827332
67,1,1,1,0.9493446946144104
68,1,1,1,0.9027237296104431
69,1,1,1,0.9002242684364319
70,1,1,1,0.9038851857185364
71,1,1,1,0.9236400127410889
72,1,1,1,0.9404147863388062
73,1,1,1,0.9190871715545654
74,1,1,1,0.9425766468048096
75,1,1,1,0.9293394684791565
76,1,1,1,0.942672610282898
77,1,1,1,0.9442792534828186
78,1,1,1,0.9473158717155457
79,1,0,0,0.6772598028182983
80,1,0,0,0.7917702794075012
81,1,1,1,0.9372762441635132
82,1,1,1,0.8091604709625244
83,1,0,0,0.6390008926391602
84,1,1,1,0.9297199249267578
85,1,1,1,0.9247772097587585
86,1,1,1,0.8672717213630676
87,1,1,1,0.8879392743110657
88,1,1,1,0.9278201460838318
89,1,1,1,0.931204080581665
90,1,1,1,0.7794982194900513
91,1,1,1,0.8189762830734253
92,1,1,1,0.815902829170227
93,1,1,1,0.8206220269203186
94,1,1,1,0.8469262719154358
95,1,1,1,0.8399076461791992
96,1,1,1,0.8534359335899353
97,1,1,1,0.8359664082527161
98,1,1,1,0.8586148023605347
99,1,1,1,0.8679478168487549
100,1,1,1,0.870980441570282
101,1,1,1,0.881793737411499
102,1,1,1,0.8430519104003906
103,1,1,1,0.8614000082015991
104,1,1,1,0.8739081025123596
105,1,1,1,0.8621217608451843
106,1,1,1,0.8787797093391418
107,1,1,1,0.9308681488037109
108,1,1,1,0.9294047951698303
109,1,1,1,0.8858529329299927
110,1,1,1,0.822081983089447
111,1,1,1,0.9052384495735168
112,1,1,1,0.851656973361969
113,1,1,1,0.8669072985649109
114,1,1,1,0.8662310242652893
115,1,1,1,0.8749734163284302
116,1,1,1,0.86915522813797
117,1,1,1,0.8298988938331604
118,1,1,1,0.8135305047035217
119,1,1,1,0.8626949787139893
120,1,1,1,0.8530219197273254
121,1,1,1,0.8685555458068848
122,1,1,1,0.8686721920967102
123,1,1,1,0.9178183674812317
124,1,1,1,0.7546452879905701
125,1,1,1,0.7809807062149048
126,1,1,1,0.8648717999458313
127,1,1,1,0.866190493106842
128,1,1,1,0.8907817006111145
129,1,1,1,0.8452545404434204
130,1,1,1,0.8586984872817993
131,1,1,1,0.760205864906311
132,1,1,1,0.845832347869873
133,1,1,1,0.8857713937759399
134,1,1,1,0.8913789987564087
135,1,1,1,0.789223849773407
136,1,1,1,0.8478087782859802
137,1,1,1,0.8863411545753479
138,1,1,1,0.8831992745399475
139,1,1,1,0.8485596179962158
140,1,1,1,0.8564403653144836
141,1,1,1,0.8519981503486633
142,1,1,1,0.8617165684700012
143,1,1,1,0.8755865693092346
144,1,1,1,0.8359804153442383
145,1,1,1,0.8531970381736755
146,1,1,1,0.8147061467170715
147,1,1,1,0.8504480719566345
148,1,1,1,0.8552432656288147
149,1,1,1,0.9216664433479309
150,1,1,1,0.9225672483444214
151,1,1,1,0.9237439632415771
152,1,1,1,0.7340020537376404
153,1,1,1,0.8766013979911804
154,1,1,1,0.9343596696853638
155,1,1,1,0.801696240901947
156,1,1,1,0.8498539924621582
157,1,1,1,0.8799396753311157
158,1,1,1,0.9075887203216553
159,1,1,1,0.9110754132270813
160,1,1,1,0.8500619530677795
161,1,1,1,0.9248099327087402
162,1,1,1,0.6742176413536072
163,1,1,1,0.8927638530731201
164,1,1,1,0.8772200345993042
165,1,1,1,0.87724769115448
166,1,1,1,0.918117880821228
167,1,1,1,0.9066147208213806
168,1,1,1,0.9003019332885742
169,1,1,1,0.8917833566665649
170,1,1,1,0.9069339036941528
171,1,1,1,0.9026373028755188
172,1,1,1,0.9039007425308228
173,1,1,1,0.9050801396369934
174,1,1,1,0.9054920673370361
175,1,1,1,0.9072803258895874
176,1,1,1,0.8813885450363159
177,1,1,1,0.8771687746047974
178,1,1,1,0.879159688949585
179,1,1,1,0.8785489797592163
180,1,1,1,0.9006326794624329
181,1,1,1,0.8931850790977478
182,1,1,1,0.9096051454544067
183,1,1,1,0.885397732257843
184,1,1,1,0.8829397559165955
185,1,1,1,0.8204269409179688
186,1,1,1,0.890034556388855
187,1,1,1,0.9067515730857849
188,1,1,1,0.8812762498855591
189,1,1,1,0.9078840613365173
190,1,1,1,0.9082269668579102
191,1,1,1,0.8995963335037231
192,1,1,1,0.701353132724762
193,1,1,1,0.910180389881134
194,1,1,1,0.8824911713600159
195,1,1,1,0.8852769136428833
196,1,1,1,0.8886744976043701
197,1,1,1,0.9102071523666382
198,1,1,1,0.9079563021659851
199,1,1,1,0.8973186016082764
200,1,1,1,0.8847852349281311
201,1,1,1,0.8873230814933777
202,1,1,1,0.9238077998161316
203,1,1,1,0.8592920303344727
204,1,1,1,0.756766676902771
205,1,1,1,0.9246113896369934
206,1,1,1,0.8822935223579407
207,1,1,1,0.8478065729141235
208,1,1,1,0.8151146769523621
209,1,0,0,0.6194828152656555
210,1,1,1,0.6278839707374573
211,1,1,1,0.6586451530456543
212,1,1,1,0.745749831199646
213,1,1,1,0.7149346470832825
214,1,1,1,0.6953034400939941
215,1,1,1,0.7322062849998474
216,1,1,1,0.9171689748764038
217,1,1,1,0.8079043626785278
218,1,1,1,0.7461786270141602
219,1,1,1,0.908631443977356
220,1,1,1,0.663289487361908
221,1,1,1,0.8678051829338074
222,1,1,1,0.7749636173248291
223,1,1,1,0.7656273245811462
224,1,1,1,0.7794148325920105
225,1,1,1,0.7726370692253113
226,1,1,1,0.8980379700660706
227,1,1,1,0.892702579498291
228,1,1,1,0.8729032278060913
229,1,1,1,0.8441320657730103
230,1,1,1,0.7427093386650085
231,1,1,1,0.7348625659942627
232,1,1,1,0.7452577352523804
233,1,1,1,0.9056790471076965
234,1,1,1,0.9024302959442139
235,1,1,1,0.8165630102157593
236,1,1,1,0.9001758098602295
237,1,1,1,0.8994547128677368
238,1,1,1,0.7039564251899719
239,1,1,1,0.9014188051223755
240,1,1,1,0.9084874987602234
241,1,1,1,0.9073724150657654
242,1,1,1,0.8394481539726257
243,1,1,1,0.7183437943458557
244,1,1,1,0.7115185856819153
245,1,1,1,0.9059305787086487
246,1,1,1,0.8705905675888062
247,1,1,1,0.8520134687423706
248,1,0,0,0.6992946863174438
249,1,0,0,0.6127826571464539
250,1,0,0,0.5989775657653809
251,1,1,1,0.9496676921844482
252,1,1,1,0.8982576727867126
253,1,1,1,0.7006567120552063
254,1,1,1,0.9528327584266663
255,0,0,1,0.7900300025939941
256,1,1,1,0.8818069696426392
257,1,1,1,0.8892900943756104
258,1,1,1,0.8828843235969543
259,1,1,1,0.8624855875968933
260,1,0,0,0.6160228252410889
261,1,1,1,0.9019936323165894
262,1,1,1,0.903363823890686
263,1,1,1,0.9087347388267517
264,1,1,1,0.9088336229324341
265,1,1,1,0.7907384037971497
266,1,1,1,0.7616056799888611
267,1,1,1,0.9020498991012573
268,1,1,1,0.9045659303665161
269,1,1,1,0.9055352210998535
270,1,1,1,0.930597722530365
271,1,1,1,0.6123505234718323
272,1,1,1,0.8810840845108032
273,1,1,1,0.8771563768386841
274,1,1,1,0.8673722147941589
275,1,1,1,0.8444953560829163
276,1,1,1,0.8448113203048706
277,1,1,1,0.8101965188980103
278,1,1,1,0.8026577830314636
279,1,1,1,0.8072035908699036
280,1,1,1,0.8996467590332031
281,1,1,1,0.8193765878677368
282,1,1,1,0.9352632761001587
283,1,1,1,0.938015878200531
284,1,1,1,0.9179150462150574
285,1,1,1,0.9365139007568359
286,1,1,1,0.9540885090827942
287,1,1,1,0.8626489043235779
288,1,1,1,0.8589189052581787
289,1,1,1,0.9456908106803894
290,1,1,1,0.9523778557777405
291,1,1,1,0.9459515810012817
292,1,1,1,0.8901844024658203
293,1,1,1,0.8851127028465271
294,1,1,1,0.9389045834541321
295,1,1,1,0.9205265641212463
296,1,1,1,0.9076581001281738
297,1,1,1,0.8853161334991455
298,1,1,1,0.883212149143219
299,1,1,1,0.7639395594596863
300,1,1,1,0.712826669216156
301,1,1,1,0.7599669098854065
302,1,1,1,0.7964252829551697
303,1,1,1,0.8672704100608826
304,1,1,1,0.6893194317817688
305,1,1,1,0.8683277368545532
306,1,1,1,0.8453943729400635
307,1,0,0,0.6416180729866028
308,1,1,1,0.728285014629364
309,1,1,1,0.9558311700820923
310,1,1,1,0.7988606095314026
311,1,1,1,0.8996720314025879
312,1,1,1,0.8980914354324341
313,1,1,1,0.9564142823219299
314,1,1,1,0.9535951018333435
315,1,1,1,0.9515984058380127
316,1,1,1,0.9527919292449951
317,1,1,1,0.7799732685089111
318,1,1,1,0.9634900689125061
319,1,1,1,0.931806743144989
320,1,1,1,0.7928271889686584
321,1,1,1,0.8486024141311646
322,1,1,1,0.8563477993011475
323,1,1,1,0.9519409537315369
324,1,1,1,0.9505406618118286
325,1,1,1,0.8963841199874878
326,1,1,1,0.8885820508003235
327,1,1,1,0.937828004360199
328,1,1,1,0.8841421008110046
329,1,1,1,0.9298281073570251
330,1,1,1,0.7157792448997498
331,1,1,1,0.8639747500419617
332,1,1,1,0.8075513243675232
333,1,1,1,0.8016908764839172
334,1,1,1,0.9037330746650696
335,1,1,1,0.9144823551177979
336,1,1,1,0.9158186912536621
337,1,1,1,0.8180119395256042
338,1,0,0,0.84921795129776
339,1,1,1,0.9384963512420654
340,1,1,1,0.918867290019989
341,1,1,1,0.7947688698768616
342,1,1,1,0.8038613796234131
343,1,1,1,0.9256518483161926
344,1,1,1,0.9587540030479431
345,1,1,1,0.9566331505775452
346,1,1,1,0.9545009732246399
347,1,1,1,0.8086722493171692
348,1,1,1,0.8222262859344482
349,1,1,1,0.7489433288574219
350,1,1,1,0.7785103917121887
351,1,1,1,0.937273383140564
352,1,0,0,0.6651946902275085
353,1,1,1,0.7781367897987366
354,1,1,1,0.9607716202735901
355,1,1,1,0.793878972530365
356,1,1,1,0.8471680283546448
357,1,1,1,0.9204931855201721
358,1,1,1,0.9574652910232544
359,1,1,1,0.9607824683189392
360,1,1,1,0.950657844543457
361,1,1,1,0.9537222981452942
362,1,1,1,0.94692063331604
363,1,1,1,0.9560479521751404
364,1,1,1,0.9324198961257935
365,1,1,1,0.9516248106956482
366,1,1,1,0.9586840271949768
367,1,1,1,0.963347852230072
368,1,1,1,0.943089485168457
369,1,1,1,0.9421563148498535
370,1,1,1,0.9617786407470703
371,1,1,1,0.8577039241790771
372,1,1,1,0.946887195110321
373,1,1,1,0.9528895020484924
374,1,1,1,0.9549668431282043
375,1,1,1,0.9575662612915039
376,1,1,1,0.9544885158538818
377,1,1,1,0.9532267451286316
378,1,1,1,0.9509195685386658
379,1,1,1,0.9541569948196411
380,1,1,1,0.8662125468254089
381,1,1,1,0.8891658782958984
382,1,1,1,0.8930422067642212
383,1,1,1,0.860368013381958
384,1,1,1,0.9627854228019714
385,1,1,1,0.8704327940940857
386,1,1,1,0.9386618137359619
387,1,1,1,0.947842001914978
388,1,1,1,0.9460838437080383
389,1,1,1,0.9372981190681458
390,1,1,1,0.9180702567100525
391,1,1,1,0.9240484833717346
392,1,1,1,0.9431933164596558
393,1,1,1,0.9438309073448181
394,1,1,1,0.9622294902801514
395,1,1,1,0.9422821402549744
396,1,1,1,0.9377185702323914
397,1,1,1,0.9559093713760376
398,1,1,1,0.9561508297920227
399,1,1,1,0.9290627241134644
400,1,1,1,0.9427419900894165
401,1,1,1,0.9622069597244263
402,1,1,1,0.950800359249115
403,1,1,1,0.9548524022102356
404,1,1,1,0.950750470161438
405,1,1,1,0.9518190622329712
406,1,1,1,0.8613873720169067
407,1,1,1,0.9320673942565918
408,1,1,1,0.8881334662437439
409,1,1,1,0.9438871145248413
410,1,1,1,0.929524838924408
411,1,1,1,0.9411182403564453
412,1,1,1,0.81536465883255
413,1,1,1,0.815960168838501
414,1,1,1,0.9204710721969604
415,1,1,1,0.9226663112640381
416,1,1,1,0.88859623670578
417,1,1,1,0.8835927844047546
418,1,1,1,0.9197751879692078
419,1,1,1,0.9197643399238586
420,1,1,1,0.9270765781402588
421,1,1,1,0.9250496625900269
422,1,1,1,0.9319328665733337
423,1,1,1,0.9451809525489807
424,1,1,1,0.9452120661735535
425,1,1,1,0.9244490265846252
426,1,1,1,0.9317223429679871
427,1,1,1,0.9300106763839722
428,1,1,1,0.932929277420044
429,1,1,1,0.9139514565467834
430,1,1,1,0.9060690402984619
431,1,1,1,0.9140985012054443
432,1,1,1,0.9164401292800903
433,1,1,1,0.7824205160140991
434,1,1,1,0.8534274101257324
435,1,1,1,0.8353559374809265
436,1,1,1,0.8512024879455566
437,1,1,1,0.9448256492614746
438,1,1,1,0.8271494507789612
439,1,1,1,0.8132995367050171
440,1,1,1,0.7855775952339172
441,1,1,1,0.9448297023773193
442,1,1,1,0.7981025576591492
443,1,1,1,0.8142966032028198
444,1,1,1,0.8247710466384888
445,1,1,1,0.6881284713745117
446,1,1,1,0.6935065388679504
447,1,1,1,0.7169703245162964
448,1,1,1,0.6994684338569641
449,1,1,1,0.6671715974807739
450,1,1,1,0.6701638698577881
451,1,0,0,0.6695675849914551
452,1,1,1,0.6634219884872437
453,1,1,1,0.9557585120201111
454,1,1,1,0.9040992856025696
455,1,1,1,0.9492180943489075
456,1,1,1,0.9474036693572998
457,1,1,1,0.7766613960266113
458,1,1,1,0.8033726215362549
459,1,1,1,0.7930524945259094
