sample_idx,true_label,pred_label,correct,confidence
0,1,1,1,0.8124263286590576
1,1,1,1,0.8716148734092712
2,1,1,1,0.7400410771369934
3,1,1,1,0.9174238443374634
4,1,1,1,0.7202066779136658
5,1,1,1,0.7381819486618042
6,1,1,1,0.864642322063446
7,1,1,1,0.8671369552612305
8,1,1,1,0.8081544637680054
9,1,1,1,0.859723687171936
10,1,1,1,0.6657001376152039
11,1,1,1,0.944337785243988
12,1,1,1,0.8448584079742432
13,1,1,1,0.8335294723510742
14,1,1,1,0.6637279391288757
15,1,1,1,0.7600252032279968
16,1,1,1,0.6873267292976379
17,1,0,0,0.7550954818725586
18,1,0,0,0.6961456537246704
19,1,1,1,0.8741179704666138
20,1,1,1,0.7824629545211792
21,1,1,1,0.8384693264961243
22,1,0,0,0.8140753507614136
23,1,1,1,0.8809112310409546
24,1,1,1,0.8680996894836426
25,1,1,1,0.8385105729103088
26,1,0,0,0.7276299595832825
27,1,1,1,0.7193464636802673
28,1,0,0,0.7860193252563477
29,1,1,1,0.9117497205734253
30,1,1,1,0.7467187643051147
31,1,1,1,0.7814604640007019
32,1,1,1,0.8703210353851318
33,1,0,0,0.6449210047721863
34,1,1,1,0.8188356161117554
35,1,1,1,0.9416608214378357
36,1,1,1,0.7042274475097656
37,1,1,1,0.9686903953552246
38,1,1,1,0.9482560753822327
39,1,1,1,0.6275219917297363
40,1,1,1,0.9489819407463074
41,1,1,1,0.9329966306686401
42,1,1,1,0.9102319478988647
43,1,1,1,0.9039098024368286
44,1,1,1,0.842887282371521
45,1,1,1,0.945118248462677
46,1,1,1,0.8116902709007263
47,1,1,1,0.9162706732749939
48,1,1,1,0.9240328073501587
49,1,1,1,0.9199480414390564
50,1,0,0,0.9107195138931274
51,1,1,1,0.805554986000061
52,1,1,1,0.8825658559799194
53,1,1,1,0.6495201587677002
54,1,1,1,0.9244827032089233
55,1,1,1,0.9243762493133545
56,1,1,1,0.7754887342453003
57,1,1,1,0.7946466207504272
58,1,1,1,0.9394108653068542
59,1,0,0,0.6690153479576111
60,1,1,1,0.8263294696807861
61,1,0,0,0.6936745047569275
62,1,1,1,0.9414139986038208
63,1,1,1,0.6670125126838684
64,1,1,1,0.7512196898460388
65,1,1,1,0.907426655292511
66,1,0,0,0.7250430583953857
67,1,1,1,0.8035364747047424
68,1,1,1,0.8483893275260925
69,1,1,1,0.8143218755722046
70,1,1,1,0.7714703679084778
71,1,1,1,0.6616991758346558
72,1,1,1,0.922669529914856
73,1,1,1,0.6515693664550781
74,1,1,1,0.8631570935249329
75,1,1,1,0.7750356197357178
76,1,1,1,0.7604416012763977
77,1,1,1,0.9027494192123413
78,1,1,1,0.8614327907562256
79,1,0,0,0.6777752637863159
80,1,1,1,0.7531863451004028
81,1,1,1,0.711804211139679
82,1,0,0,0.7644940614700317
83,1,1,1,0.8999213576316833
84,1,0,0,0.803536593914032
85,1,1,1,0.8736393451690674
86,1,1,1,0.9360960125923157
87,1,0,0,0.8011648654937744
88,1,0,0,0.6850898861885071
89,1,1,1,0.6974223256111145
90,1,0,0,0.6181181073188782
91,1,0,0,0.7805674076080322
92,1,1,1,0.8390045166015625
93,1,0,0,0.6610138416290283
94,1,1,1,0.8254432678222656
95,1,1,1,0.8229888081550598
96,1,1,1,0.8928540945053101
97,1,1,1,0.8806447386741638
98,1,1,1,0.9246149659156799
99,1,1,1,0.6485918760299683
100,1,1,1,0.8478941321372986
101,1,0,0,0.8237040042877197
102,1,1,1,0.8234813809394836
103,1,1,1,0.7882539629936218
104,1,1,1,0.822834312915802
105,1,1,1,0.7574480772018433
106,1,0,0,0.809916615486145
107,1,0,0,0.7740775942802429
108,1,1,1,0.811618447303772
109,1,0,0,0.7334854602813721
110,1,1,1,0.8184305429458618
111,1,0,0,0.8470723628997803
112,1,1,1,0.8012118339538574
113,1,1,1,0.824821949005127
114,1,1,1,0.7109197378158569
115,1,1,1,0.8552036881446838
116,1,1,1,0.7990179061889648
117,1,0,0,0.7158500552177429
118,1,0,0,0.6646012663841248
119,1,1,1,0.8925855159759521
120,1,1,1,0.8724921345710754
121,1,1,1,0.8960427641868591
122,1,1,1,0.7530266642570496
123,1,1,1,0.8809318542480469
124,1,1,1,0.7928118705749512
125,1,1,1,0.7311950325965881
126,1,1,1,0.8319764733314514
127,1,0,0,0.6644511818885803
128,1,1,1,0.8628576397895813
129,1,1,1,0.8004714846611023
130,1,1,1,0.9081506133079529
131,1,1,1,0.8033618330955505
132,1,1,1,0.8614475727081299
133,1,1,1,0.9445595741271973
134,1,0,0,0.7356756329536438
135,1,1,1,0.8355578184127808
136,1,1,1,0.8446287512779236
137,1,1,1,0.6822638511657715
138,1,1,1,0.9278334975242615
139,1,1,1,0.8692305088043213
140,1,1,1,0.8539396524429321
141,1,1,1,0.9416605234146118
142,1,0,0,0.7962760925292969
143,1,1,1,0.9055424332618713
144,1,1,1,0.8785997033119202
145,1,0,0,0.9020154476165771
146,1,1,1,0.84017413854599
147,1,1,1,0.8254007697105408
148,1,0,0,0.7346124649047852
149,1,1,1,0.7930620908737183
150,1,1,1,0.7789109349250793
151,1,0,0,0.7530669569969177
152,1,1,1,0.9205505847930908
153,1,0,0,0.6553469300270081
154,1,1,1,0.9187127351760864
155,1,0,0,0.8588570356369019
156,1,1,1,0.8084639310836792
157,1,1,1,0.7339884638786316
158,1,1,1,0.6514279842376709
159,1,1,1,0.7857243418693542
160,1,1,1,0.8199000358581543
161,1,1,1,0.7841141819953918
162,1,1,1,0.8501798510551453
163,1,0,0,0.7561456561088562
164,1,1,1,0.833574116230011
165,1,1,1,0.7999727129936218
166,1,1,1,0.6517356634140015
167,1,0,0,0.7481593489646912
168,1,1,1,0.7357378602027893
169,1,0,0,0.8270549178123474
170,1,1,1,0.8428539633750916
171,1,1,1,0.8763489127159119
172,1,1,1,0.8506529927253723
173,1,1,1,0.7417797446250916
174,1,0,0,0.7144296169281006
175,1,0,0,0.6589629650115967
176,1,1,1,0.8691402673721313
177,1,0,0,0.7977328300476074
178,1,0,0,0.7843371629714966
179,1,1,1,0.9366480708122253
180,1,1,1,0.8713533282279968
181,1,1,1,0.8457252383232117
182,1,1,1,0.7900328636169434
183,1,1,1,0.6823499202728271
184,1,1,1,0.8894556164741516
185,1,1,1,0.8716686367988586
186,1,1,1,0.8912215828895569
187,1,0,0,0.7738311290740967
188,1,1,1,0.8916080594062805
189,1,1,1,0.9076168537139893
190,1,1,1,0.8846189379692078
191,1,1,1,0.8371025323867798
192,1,1,1,0.8687602877616882
193,1,0,0,0.7385697364807129
194,1,1,1,0.6863834261894226
195,1,1,1,0.870060384273529
196,1,1,1,0.8855629563331604
197,1,0,0,0.8167740106582642
198,1,1,1,0.8123435974121094
199,1,1,1,0.7535259127616882
200,1,0,0,0.7308189868927002
201,1,0,0,0.8019252419471741
202,1,1,1,0.8859624266624451
203,1,0,0,0.8046852946281433
204,1,0,0,0.9010186791419983
205,1,1,1,0.8213454484939575
206,1,1,1,0.8955173492431641
207,1,1,1,0.7277150750160217
208,1,1,1,0.8414406776428223
209,1,0,0,0.8077466487884521
210,1,1,1,0.8683161735534668
211,1,0,0,0.7602720856666565
212,1,1,1,0.7851904630661011
213,1,1,1,0.7847045660018921
214,1,0,0,0.7893603444099426
215,1,1,1,0.8342476487159729
216,1,1,1,0.8788716793060303
217,1,0,0,0.7993892431259155
218,1,1,1,0.771120548248291
219,1,1,1,0.8369633555412292
220,1,0,0,0.8337865471839905
221,1,1,1,0.8794944882392883
222,1,1,1,0.5991954207420349
223,1,1,1,0.7473642826080322
224,1,1,1,0.9380878806114197
225,1,1,1,0.9089117050170898
226,1,1,1,0.9312607645988464
227,1,1,1,0.8252326846122742
228,1,1,1,0.8905802965164185
229,1,1,1,0.9534857273101807
230,1,1,1,0.810006320476532
231,1,0,0,0.7728258967399597
232,1,1,1,0.8596562147140503
233,1,1,1,0.8704462647438049
234,1,1,1,0.8662817478179932
235,1,1,1,0.9076423048973083
236,1,1,1,0.8254642486572266
237,1,1,1,0.8628287315368652
238,1,0,0,0.7126893401145935
239,1,0,0,0.7402385473251343
240,1,1,1,0.8188037276268005
241,1,0,0,0.7290416955947876
242,1,1,1,0.8131282925605774
243,1,1,1,0.6878247261047363
244,1,1,1,0.9320204854011536
245,1,1,1,0.725665271282196
246,1,1,1,0.732032835483551
247,1,1,1,0.8790604472160339
248,1,1,1,0.7817167043685913
249,1,0,0,0.8726328015327454
250,1,1,1,0.9068560004234314
251,1,1,1,0.57799232006073
252,1,1,1,0.8515620231628418
253,1,0,0,0.903439462184906
254,1,1,1,0.7773500680923462
255,0,1,0,0.6980482935905457
256,1,1,1,0.8970519304275513
257,1,1,1,0.9513317346572876
258,1,1,1,0.8097851872444153
259,1,1,1,0.7434738278388977
260,1,1,1,0.9725742936134338
261,1,1,1,0.9416743516921997
262,1,1,1,0.7103400826454163
263,1,1,1,0.718940019607544
264,1,1,1,0.847972571849823
265,1,1,1,0.7697213888168335
266,1,1,1,0.9494677782058716
267,1,1,1,0.9451341032981873
268,1,0,0,0.6351510882377625
269,1,1,1,0.9177426099777222
270,1,1,1,0.9300349950790405
271,1,1,1,0.9321113228797913
272,1,1,1,0.7635055184364319
273,1,1,1,0.9530543088912964
274,1,1,1,0.9174060225486755
275,1,0,0,0.7516775131225586
276,1,1,1,0.8536036610603333
277,1,1,1,0.8179964423179626
278,1,1,1,0.6935871243476868
279,1,1,1,0.8890699148178101
280,1,1,1,0.6750875115394592
281,1,0,0,0.8786512613296509
282,1,1,1,0.8874481320381165
283,1,1,1,0.758002758026123
284,1,1,1,0.7148544192314148
285,1,1,1,0.8997621536254883
286,1,1,1,0.8043949604034424
287,1,1,1,0.7735560536384583
288,1,1,1,0.6144405603408813
289,1,1,1,0.7080602645874023
290,1,1,1,0.8082476854324341
291,1,0,0,0.7508534789085388
292,1,1,1,0.8318989872932434
293,1,0,0,0.8353092074394226
294,1,1,1,0.8158347606658936
295,1,0,0,0.7791958451271057
296,1,1,1,0.7941992282867432
297,1,1,1,0.7553750872612
298,1,1,1,0.6999945640563965
299,1,1,1,0.6713311076164246
300,1,1,1,0.8694352507591248
301,1,0,0,0.7814945578575134
302,1,1,1,0.7576465010643005
303,1,0,0,0.7887756824493408
304,1,1,1,0.6676434874534607
305,1,1,1,0.9491047859191895
306,1,1,1,0.9357607960700989
307,1,1,1,0.8776340484619141
308,1,1,1,0.6836519241333008
309,1,1,1,0.8957394361495972
310,1,1,1,0.8557249307632446
311,1,0,0,0.8723242878913879
312,1,1,1,0.7991650104522705
313,1,1,1,0.915518581867218
314,1,0,0,0.6679063439369202
315,1,1,1,0.9413771629333496
316,1,1,1,0.932823121547699
317,1,1,1,0.6770570874214172
318,1,1,1,0.9209645390510559
319,1,0,0,0.9043201208114624
320,1,1,1,0.9121098518371582
321,1,1,1,0.8588926792144775
322,1,0,0,0.906508207321167
323,1,1,1,0.8227565884590149
324,1,1,1,0.7914507389068604
325,1,1,1,0.7513802647590637
326,1,1,1,0.7598023414611816
327,1,1,1,0.9416075944900513
328,1,1,1,0.9555898308753967
329,1,1,1,0.7737612128257751
330,1,1,1,0.8150663375854492
331,1,1,1,0.8817878365516663
332,1,0,0,0.762247622013092
333,1,0,0,0.7477262020111084
334,1,0,0,0.5741265416145325
335,1,1,1,0.7968282699584961
336,1,1,1,0.7796998620033264
337,1,1,1,0.8390504121780396
338,1,0,0,0.5775418281555176
339,1,1,1,0.8357505202293396
340,1,1,1,0.7711259126663208
341,1,1,1,0.8321489095687866
342,1,1,1,0.7302213311195374
343,1,0,0,0.8604437112808228
344,1,1,1,0.9259966015815735
345,1,1,1,0.9532665014266968
346,1,1,1,0.7557427287101746
347,1,1,1,0.7966643571853638
348,1,0,0,0.703890323638916
349,1,1,1,0.7564353346824646
350,1,1,1,0.770172119140625
351,1,1,1,0.8930918574333191
352,1,1,1,0.8428512811660767
353,1,0,0,0.787940263748169
354,1,1,1,0.7778684496879578
355,1,1,1,0.7700567841529846
356,1,0,0,0.9444089531898499
357,1,1,1,0.7823739647865295
358,1,0,0,0.7498948574066162
359,1,1,1,0.7899389863014221
360,1,1,1,0.8075338006019592
361,1,1,1,0.7815990447998047
362,1,1,1,0.9001671671867371
363,1,1,1,0.8184447884559631
364,1,1,1,0.733793318271637
365,1,1,1,0.9134968519210815
366,1,0,0,0.7462550401687622
367,1,1,1,0.9138585329055786
368,1,1,1,0.9106009006500244
369,1,1,1,0.7694780826568604
370,1,1,1,0.9515801072120667
371,1,1,1,0.8547744154930115
372,1,1,1,0.8759151101112366
373,1,1,1,0.9590480327606201
374,1,1,1,0.853020966053009
375,1,1,1,0.8837009072303772
376,1,1,1,0.9194329380989075
377,1,1,1,0.7882547378540039
378,1,1,1,0.8407496213912964
379,1,1,1,0.7882320284843445
380,1,1,1,0.8101049661636353
381,1,1,1,0.786445140838623
382,1,1,1,0.7125428915023804
383,1,0,0,0.6846328377723694
384,1,1,1,0.8524479866027832
385,1,1,1,0.7635952234268188
386,1,1,1,0.7182360887527466
387,1,1,1,0.9309864640235901
388,1,1,1,0.7120124697685242
389,1,1,1,0.7419999241828918
390,1,1,1,0.8563793301582336
391,1,1,1,0.8392001986503601
392,1,1,1,0.9312611818313599
393,1,1,1,0.7989630103111267
394,1,1,1,0.8701812028884888
395,1,1,1,0.8085508942604065
396,1,1,1,0.8655534982681274
397,1,1,1,0.8582644462585449
398,1,1,1,0.8872942328453064
399,1,1,1,0.7688241004943848
400,1,1,1,0.8389322757720947
401,1,1,1,0.8504205942153931
402,1,1,1,0.9336897730827332
403,1,1,1,0.9192178249359131
404,1,1,1,0.8681772351264954
405,1,1,1,0.9311798214912415
406,1,0,0,0.5882235169410706
407,1,0,0,0.6310355067253113
408,1,1,1,0.8109362125396729
409,1,1,1,0.6772804856300354
410,1,0,0,0.6603853106498718
411,1,0,0,0.705157995223999
412,1,1,1,0.8781242966651917
413,1,1,1,0.7195627093315125
414,1,1,1,0.9144258499145508
415,1,1,1,0.9167135953903198
416,1,1,1,0.8823626637458801
417,1,1,1,0.9428054094314575
418,1,1,1,0.7586273550987244
419,1,0,0,0.9160279631614685
420,1,1,1,0.9380373358726501
421,1,1,1,0.9059067964553833
422,1,1,1,0.8196676969528198
423,1,0,0,0.860112190246582
424,1,1,1,0.6368603706359863
425,1,1,1,0.9541477560997009
426,1,1,1,0.8743557333946228
427,1,1,1,0.9512173533439636
428,1,1,1,0.9267469644546509
429,1,1,1,0.8180766701698303
430,1,1,1,0.727729082107544
431,1,1,1,0.8965239524841309
432,1,1,1,0.923618495464325
433,1,0,0,0.7070509791374207
434,1,1,1,0.8728488683700562
435,1,1,1,0.9364264011383057
436,1,0,0,0.6603186726570129
437,1,0,0,0.7105186581611633
438,1,1,1,0.6893079876899719
439,1,0,0,0.6957287788391113
440,1,1,1,0.8807881474494934
441,1,1,1,0.7446791529655457
442,1,0,0,0.6162310838699341
443,1,1,1,0.8747885227203369
444,1,1,1,0.8846455216407776
445,1,1,1,0.8706615567207336
446,1,1,1,0.8891901969909668
447,1,1,1,0.6410519480705261
448,1,1,1,0.9734886884689331
449,1,0,0,0.863207995891571
450,1,1,1,0.8561372756958008
451,1,1,1,0.5937379002571106
452,1,1,1,0.683979332447052
453,1,1,1,0.8117323517799377
454,1,1,1,0.80437171459198
455,1,1,1,0.7436839938163757
456,1,0,0,0.6671668887138367
457,1,0,0,0.8747697472572327
458,1,1,1,0.8291096687316895
459,1,1,1,0.8944019079208374
460,1,1,1,0.8149899244308472
461,1,1,1,0.8500427603721619
462,1,1,1,0.7704236507415771
463,1,1,1,0.9004709124565125
464,1,1,1,0.7954541444778442
465,1,1,1,0.7729998230934143
466,1,1,1,0.7960603833198547
467,1,1,1,0.799345850944519
468,1,1,1,0.7971146702766418
469,1,1,1,0.8024063110351562
470,1,1,1,0.8108978867530823
471,1,1,1,0.8995903730392456
472,1,1,1,0.8960776329040527
473,1,1,1,0.8619604110717773
474,1,1,1,0.8914110064506531
475,1,1,1,0.8952991962432861
476,1,0,0,0.712014377117157
477,1,1,1,0.8864210247993469
478,1,1,1,0.8956944346427917
479,1,1,1,0.9533645510673523
480,1,1,1,0.8035249710083008
481,1,1,1,0.9365044236183167
482,1,1,1,0.942801833152771
483,1,1,1,0.7891910672187805
484,1,1,1,0.8967020511627197
485,1,1,1,0.7706928253173828
486,1,1,1,0.8197632431983948
487,1,1,1,0.6979765295982361
488,1,0,0,0.8009882569313049
489,1,1,1,0.78352952003479
490,1,1,1,0.8502548336982727
491,1,1,1,0.6469367146492004
492,1,1,1,0.9137847423553467
493,1,1,1,0.7108566164970398
494,1,1,1,0.9165450930595398
495,1,1,1,0.7857847809791565
496,1,1,1,0.922796905040741
497,1,1,1,0.8772960901260376
498,1,1,1,0.8051374554634094
499,1,1,1,0.9187816977500916
500,1,1,1,0.8711813688278198
501,1,1,1,0.6874117851257324
502,1,1,1,0.7284941077232361
503,1,1,1,0.8964464068412781
504,1,1,1,0.7339422106742859
505,1,0,0,0.5752172470092773
506,1,1,1,0.7685354948043823
507,1,1,1,0.7127150297164917
508,1,1,1,0.8442608714103699
509,1,1,1,0.7188474535942078
510,1,1,1,0.8304978609085083
511,1,1,1,0.8416890501976013
512,1,1,1,0.8664003610610962
513,1,1,1,0.9239040613174438
514,1,1,1,0.8591793179512024
515,1,0,0,0.7908715605735779
516,1,1,1,0.7571362257003784
517,1,1,1,0.8284515738487244
518,1,1,1,0.654481828212738
519,1,1,1,0.941167950630188
520,1,1,1,0.9624444246292114
521,1,1,1,0.8703892827033997
522,1,1,1,0.944156289100647
523,1,1,1,0.8201547861099243
524,1,1,1,0.808733344078064
525,1,1,1,0.8309400677680969
526,1,0,0,0.7119871973991394
527,1,1,1,0.9238328337669373
528,1,1,1,0.8881602883338928
529,1,0,0,0.7809362411499023
530,1,1,1,0.8091196417808533
531,1,1,1,0.7684110999107361
532,1,1,1,0.9466526508331299
533,1,1,1,0.6642999649047852
534,1,0,0,0.7384487390518188
535,1,1,1,0.8831877708435059
536,1,1,1,0.8803250193595886
537,1,1,1,0.7626733779907227
538,1,1,1,0.9500436782836914
539,1,1,1,0.7868590354919434
540,1,0,0,0.7228508591651917
541,1,1,1,0.9355557560920715
542,1,1,1,0.8095530271530151
543,1,1,1,0.9183220863342285
544,1,1,1,0.8397901058197021
545,1,1,1,0.9061479568481445
546,1,1,1,0.8791137337684631
547,1,1,1,0.7573332190513611
548,1,1,1,0.907471239566803
549,1,1,1,0.766499400138855
550,1,1,1,0.9572464823722839
551,1,0,0,0.7560208439826965
552,1,1,1,0.7248372435569763
553,1,1,1,0.9126873016357422
554,1,1,1,0.9409489631652832
555,1,1,1,0.8660663962364197
556,1,1,1,0.6706570386886597
557,1,1,1,0.9142441749572754
558,1,1,1,0.7494562268257141
559,1,1,1,0.8297335505485535
560,1,1,1,0.8395608067512512
561,1,1,1,0.9129624962806702
562,1,1,1,0.8094593286514282
563,1,1,1,0.9285849332809448
564,1,1,1,0.7206132411956787
565,1,1,1,0.8492357134819031
566,1,1,1,0.9003722667694092
567,1,1,1,0.9046412110328674
568,1,1,1,0.8881098031997681
569,1,1,1,0.6652176380157471
570,1,0,0,0.9583979249000549
571,1,0,0,0.749308705329895
572,1,0,0,0.8809105753898621
573,1,1,1,0.8805354237556458
574,1,1,1,0.7606221437454224
575,1,1,1,0.8548910021781921
576,1,1,1,0.6960101127624512
577,1,0,0,0.6656613945960999
578,1,1,1,0.8337526321411133
579,1,1,1,0.8691737651824951
580,1,1,1,0.8915889859199524
581,1,1,1,0.9075588583946228
582,1,0,0,0.9282954931259155
583,1,0,0,0.7921603918075562
584,1,1,1,0.7564878463745117
585,1,0,0,0.6803587675094604
586,1,0,0,0.6901252865791321
587,1,0,0,0.6213590502738953
588,1,1,1,0.8171271681785583
589,1,1,1,0.8560357093811035
590,1,0,0,0.8892819881439209
591,1,1,1,0.7550451159477234
592,1,0,0,0.6752882599830627
593,1,1,1,0.8914987444877625
594,1,1,1,0.941835880279541
595,1,1,1,0.9260382056236267
596,1,1,1,0.6339782476425171
597,1,1,1,0.9333706498146057
598,1,1,1,0.7087520360946655
599,1,1,1,0.9120436906814575
600,1,1,1,0.9165180325508118
601,1,1,1,0.8563192486763
602,1,1,1,0.8018463253974915
603,1,1,1,0.9469665288925171
604,1,1,1,0.946909487247467
605,1,1,1,0.8584685921669006
606,1,1,1,0.8698930144309998
607,1,1,1,0.9561260342597961
608,1,1,1,0.9464024305343628
609,1,1,1,0.9108095169067383
610,1,1,1,0.8412472605705261
611,1,1,1,0.9283574223518372
612,1,0,0,0.8864360451698303
613,1,1,1,0.8101161122322083
614,1,1,1,0.9203863739967346
615,1,1,1,0.876548707485199
616,1,1,1,0.860409677028656
617,1,1,1,0.7771105170249939
618,1,0,0,0.7849105000495911
619,1,1,1,0.9113801121711731
620,1,1,1,0.9443168640136719
621,1,1,1,0.9808446764945984
622,1,1,1,0.9344021081924438
623,1,1,1,0.9173934459686279
624,1,1,1,0.8649256825447083
625,1,1,1,0.8578099012374878
626,1,1,1,0.8078755736351013
627,1,1,1,0.9024012088775635
628,1,0,0,0.6915244460105896
629,1,1,1,0.9241653084754944
630,1,1,1,0.9528093338012695
631,1,1,1,0.941095232963562
632,1,1,1,0.9142730832099915
633,1,1,1,0.7741706967353821
634,1,1,1,0.7391287088394165
635,1,1,1,0.8303918838500977
636,1,1,1,0.9237338304519653
637,1,1,1,0.6943181753158569
638,1,1,1,0.7997038960456848
639,1,1,1,0.8706024885177612
640,1,1,1,0.8659384846687317
641,1,1,1,0.8980774283409119
642,1,1,1,0.9454665184020996
643,1,1,1,0.9485762715339661
644,1,1,1,0.9287834167480469
645,1,1,1,0.8694943785667419
646,1,0,0,0.7682202458381653
647,1,1,1,0.9195377230644226
648,1,1,1,0.8811213970184326
649,1,1,1,0.9171434044837952
650,1,1,1,0.8783164024353027
651,1,1,1,0.8951871991157532
652,1,1,1,0.8912880420684814
653,1,0,0,0.7060267329216003
654,1,1,1,0.7411645650863647
655,1,1,1,0.8150041103363037
656,1,0,0,0.7746638655662537
657,1,1,1,0.8766111731529236
658,1,1,1,0.8019626140594482
659,1,1,1,0.8418496251106262
660,1,0,0,0.6599215865135193
661,1,1,1,0.8155556917190552
662,1,0,0,0.960344135761261
663,1,1,1,0.7656065225601196
664,1,1,1,0.7056705355644226
665,1,1,1,0.8675513863563538
666,1,1,1,0.8996206521987915
667,1,1,1,0.8735435605049133
668,1,1,1,0.920451283454895
669,1,1,1,0.7366165518760681
670,1,1,1,0.9379440546035767
671,1,1,1,0.887371301651001
672,1,1,1,0.8796270489692688
673,1,1,1,0.6502046585083008
674,1,1,1,0.8796830773353577
675,1,1,1,0.86488938331604
676,1,1,1,0.9036988019943237
677,1,1,1,0.8258846998214722
678,1,1,1,0.869963526725769
679,1,1,1,0.709312915802002
680,1,1,1,0.8885310888290405
681,1,0,0,0.7170258164405823
682,1,1,1,0.8345061540603638
683,1,1,1,0.9586260914802551
684,1,1,1,0.8674787282943726
685,1,0,0,0.752027153968811
686,1,1,1,0.8559504747390747
687,1,1,1,0.9210559129714966
688,1,1,1,0.8298927545547485
689,1,1,1,0.8040015697479248
690,1,1,1,0.9326927065849304
691,1,1,1,0.8388199210166931
692,1,1,1,0.9278441667556763
693,1,1,1,0.9483981728553772
694,1,1,1,0.8735194802284241
695,1,1,1,0.7634377479553223
696,1,1,1,0.8688505291938782
697,1,1,1,0.8561875224113464
698,1,1,1,0.9280301332473755
699,1,1,1,0.7799080610275269
700,1,1,1,0.7610224485397339
701,1,1,1,0.8555137515068054
702,1,1,1,0.7828612923622131
703,1,1,1,0.805505096912384
704,1,1,1,0.805701494216919
705,1,1,1,0.6254147291183472
706,1,1,1,0.7099465131759644
