sample_idx,true_label,pred_label,correct,confidence
0,3,6,0,1.0989512205123901
1,8,1,0,5.320037364959717
2,8,1,0,2.1251940727233887
3,0,8,0,2.0421416759490967
4,6,2,0,3.1947643756866455
5,6,2,0,0.46377941966056824
6,1,6,0,2.878572702407837
7,6,2,0,2.8516814708709717
8,3,1,0,5.194991111755371
9,1,9,0,1.7219455242156982
10,0,0,1,1.374376893043518
11,9,1,0,8.080046653747559
12,5,5,1,0.17423273622989655
13,7,0,0,2.549396276473999
14,9,9,1,4.448667049407959
15,8,6,0,3.3280155658721924
16,5,3,0,4.663477897644043
17,7,1,0,3.732508420944214
18,8,9,0,5.157412528991699
19,6,6,1,4.5578389167785645
20,7,2,0,1.649090051651001
21,0,1,0,2.479231357574463
22,4,2,0,2.765378713607788
23,9,1,0,4.527556419372559
24,5,2,0,1.532962441444397
25,2,6,0,0.31104937195777893
26,4,3,0,2.7784812450408936
27,0,0,1,1.8958617448806763
28,9,1,0,1.656232237815857
29,6,6,1,1.3284492492675781
30,6,6,1,3.511345624923706
31,5,3,0,2.1587259769439697
32,4,6,0,0.9821051359176636
33,5,2,0,0.8744748830795288
34,9,9,1,3.4535815715789795
35,2,9,0,2.490403413772583
36,4,3,0,1.0721156597137451
37,1,1,1,1.6562024354934692
38,9,9,1,3.9753615856170654
39,5,5,1,0.34721583127975464
40,4,0,0,2.2106564044952393
41,6,8,0,0.44204699993133545
42,5,3,0,1.104896903038025
43,6,6,1,6.464365005493164
44,0,1,0,1.8879071474075317
45,9,9,1,4.725069999694824
46,3,3,1,0.39201804995536804
47,9,9,1,3.292522668838501
48,7,7,1,5.737604141235352
49,6,2,0,1.0232264995574951
50,9,2,0,1.1676819324493408
51,8,2,0,2.1123039722442627
52,0,7,0,3.972310781478882
53,3,6,0,3.834721326828003
54,8,8,1,6.168164253234863
55,8,0,0,0.24777856469154358
56,7,7,1,2.893766164779663
57,7,0,0,1.9433786869049072
58,4,3,0,0.705295979976654
59,6,5,0,1.4097038507461548
60,7,2,0,3.3316118717193604
61,3,3,1,4.667651653289795
62,6,3,0,1.3859649896621704
63,3,3,1,1.1060068607330322
64,6,3,0,2.1637134552001953
65,2,6,0,2.929659843444824
66,1,1,1,3.4726650714874268
67,2,9,0,6.187919616699219
68,3,5,0,1.404492735862732
69,7,9,0,3.4446542263031006
70,2,3,0,2.1919491291046143
71,6,0,0,0.7955125570297241
72,8,7,0,1.5647900104522705
73,8,8,1,3.998384714126587
74,0,9,0,2.0522406101226807
75,2,2,1,3.273928165435791
76,9,0,0,3.2663094997406006
77,3,1,0,1.0871456861495972
78,3,3,1,1.0632879734039307
79,8,2,0,0.5781474113464355
80,8,8,1,4.312048435211182
81,1,1,1,3.0744078159332275
82,1,3,0,0.3095096945762634
83,7,1,0,4.235501289367676
84,2,5,0,0.40783002972602844
85,5,7,0,0.8911392688751221
86,2,1,0,2.429189920425415
87,7,2,0,1.4220284223556519
88,8,0,0,0.37611088156700134
89,9,9,1,8.51089096069336
90,0,0,1,2.488460063934326
91,3,5,0,1.3411110639572144
92,8,0,0,2.463641405105591
93,6,2,0,1.5983530282974243
94,4,7,0,0.6221669912338257
95,6,3,0,4.161923408508301
96,6,0,0,0.5939580798149109
97,0,0,1,2.865661382675171
98,0,7,0,3.4377334117889404
99,7,1,0,0.6700053811073303
100,4,2,0,0.8604339361190796
101,5,5,1,3.034400701522827
102,6,3,0,1.8733716011047363
103,3,3,1,3.8788788318634033
104,1,1,1,3.419848918914795
105,1,2,0,2.076112985610962
106,3,0,0,1.688660740852356
107,6,6,1,6.4283833503723145
108,8,3,0,2.6874489784240723
109,7,5,0,3.924405336380005
110,4,6,0,3.30234694480896
111,0,1,0,5.006563663482666
112,6,2,0,3.1995134353637695
113,2,2,1,4.529360294342041
114,1,3,0,0.29706379771232605
115,3,5,0,-0.0561765655875206
116,0,2,0,0.8924795389175415
117,4,7,0,2.7662734985351562
118,2,3,0,3.43119215965271
119,7,3,0,1.5461734533309937
120,8,8,1,2.9197771549224854
121,3,0,0,3.604431390762329
122,1,1,1,2.736145496368408
123,2,6,0,2.8963305950164795
124,8,2,0,1.193043828010559
125,0,9,0,5.081267833709717
126,8,0,0,1.7749040126800537
127,3,3,1,3.786323308944702
128,5,3,0,1.0143951177597046
129,2,2,1,1.8793203830718994
130,4,1,0,5.6680707931518555
131,1,9,0,2.9602391719818115
132,8,1,0,2.2443127632141113
133,9,9,1,9.341115951538086
134,1,0,0,1.110511064529419
135,2,1,0,1.6039553880691528
136,9,9,1,3.074692964553833
137,7,9,0,2.7768170833587646
138,2,2,1,4.913325786590576
139,9,1,0,3.1481544971466064
140,6,3,0,4.542473793029785
141,5,5,1,3.6656994819641113
142,6,7,0,1.89432954788208
143,3,9,0,2.3033859729766846
144,8,1,0,4.637996196746826
145,7,1,0,0.8156394362449646
146,6,3,0,1.4134507179260254
