sample_idx,true_label,pred_label,correct,confidence
0,3,6,0,2.0387797355651855
1,8,1,0,4.084114074707031
2,8,0,0,1.05179762840271
3,0,0,1,1.6974773406982422
4,6,6,1,4.838467597961426
5,6,6,1,1.8652880191802979
6,1,9,0,2.6274774074554443
7,6,6,1,3.576694965362549
8,3,3,1,3.4995951652526855
9,1,2,0,0.8166082501411438
10,0,3,0,1.0944228172302246
11,9,9,1,0.9208440780639648
12,5,3,0,3.3931620121002197
13,7,6,0,2.2507028579711914
14,9,9,1,4.961777687072754
15,8,6,0,1.1885948181152344
16,5,3,0,1.236901044845581
17,7,6,0,0.905302882194519
18,8,1,0,1.9123766422271729
19,6,3,0,4.842104911804199
20,7,6,0,-0.05012683570384979
21,0,0,1,3.8615217208862305
22,4,0,0,1.822922706604004
23,9,9,1,5.412663459777832
24,5,2,0,3.104641914367676
25,2,6,0,1.5760629177093506
26,4,3,0,2.8229827880859375
27,0,6,0,1.0238234996795654
28,9,2,0,0.20086073875427246
29,6,3,0,2.3643970489501953
30,6,6,1,1.4849083423614502
31,5,5,1,2.4772348403930664
32,4,3,0,2.9113941192626953
33,5,3,0,3.7199625968933105
34,9,6,0,1.388728380203247
35,2,3,0,3.678840398788452
36,4,3,0,2.446554660797119
37,1,1,1,3.861562967300415
38,9,9,1,2.323084592819214
39,5,3,0,2.2239975929260254
40,4,0,0,0.4407607913017273
41,6,6,1,3.3984997272491455
42,5,3,0,0.8812249302864075
43,6,3,0,2.568714141845703
44,0,2,0,0.5604047179222107
45,9,1,0,0.8501591682434082
46,3,3,1,1.8806571960449219
47,9,6,0,3.6598024368286133
48,7,5,0,3.461732864379883
49,6,6,1,2.8838882446289062
50,9,7,0,0.44207584857940674
51,8,6,0,2.4163870811462402
52,0,2,0,2.204080104827881
53,3,6,0,3.316589117050171
54,8,0,0,1.1616472005844116
55,8,8,1,1.1728546619415283
56,7,0,0,-0.09713290631771088
57,7,3,0,2.468449831008911
58,4,3,0,2.255871295928955
59,6,3,0,2.2814199924468994
60,7,7,1,4.210999011993408
61,3,5,0,4.056249141693115
62,6,3,0,3.555222272872925
63,3,6,0,2.6404502391815186
64,6,6,1,3.9579086303710938
65,2,6,0,3.128018617630005
66,1,6,0,1.8998949527740479
67,2,2,1,2.5914306640625
68,3,6,0,1.644587755203247
69,7,1,0,0.8695799112319946
70,2,5,0,0.6975805759429932
71,6,3,0,1.9679514169692993
72,8,0,0,1.9758129119873047
73,8,6,0,2.121035575866699
