sample_idx,true_label,pred_label,correct,confidence
0,3,6,0,5.473043918609619
1,8,9,0,1.0077118873596191
2,8,8,1,2.103804588317871
3,0,8,0,1.1644891500473022
4,6,3,0,1.2851014137268066
5,6,6,1,3.0218727588653564
6,1,6,0,1.0962140560150146
7,6,3,0,1.6370571851730347
8,3,3,1,3.6039059162139893
9,1,6,0,1.6876426935195923
10,0,1,0,0.29712486267089844
11,9,3,0,0.5143855214118958
12,5,3,0,0.06024599447846413
13,7,6,0,3.063967704772949
14,9,9,1,5.541269302368164
15,8,6,0,2.443739175796509
16,5,7,0,1.012330412864685
17,7,1,0,3.3676517009735107
18,8,3,0,1.156815767288208
19,6,6,1,3.172633647918701
20,7,3,0,0.1630513072013855
21,0,3,0,2.1157467365264893
22,4,2,0,1.079018473625183
23,9,1,0,4.297759532928467
24,5,3,0,2.152005672454834
25,2,2,1,-0.016814935952425003
26,4,3,0,1.6220579147338867
27,0,3,0,-0.06562028080224991
28,9,7,0,-0.24260535836219788
29,6,3,0,2.3194801807403564
30,6,3,0,3.478419542312622
31,5,1,0,3.2820661067962646
32,4,6,0,2.663731575012207
33,5,3,0,2.029162645339966
34,9,3,0,2.759124994277954
35,2,6,0,1.7479323148727417
36,4,8,0,2.584815740585327
37,1,8,0,1.108839988708496
38,9,1,0,0.7525392174720764
39,5,1,0,2.7526586055755615
40,4,6,0,2.419605016708374
41,6,6,1,2.0384104251861572
42,5,1,0,1.3096261024475098
43,6,6,1,6.16847038269043
44,0,1,0,2.1516151428222656
45,9,8,0,2.9214084148406982
46,3,6,0,3.781827926635742
47,9,6,0,3.353266954421997
48,7,6,0,0.9465692043304443
49,6,6,1,2.0747032165527344
50,9,5,0,0.9176785349845886
51,8,2,0,2.3181676864624023
52,0,3,0,1.8606717586517334
53,3,7,0,1.0001822710037231
54,8,8,1,5.3309173583984375
55,8,6,0,0.8416452407836914
56,7,6,0,2.2230262756347656
57,7,5,0,2.9607062339782715
58,4,6,0,2.278796672821045
59,6,1,0,0.25039196014404297
60,7,9,0,-0.10378323495388031
61,3,6,0,1.454179286956787
62,6,2,0,2.6352827548980713
63,3,5,0,2.4428551197052
64,6,7,0,0.9950044751167297
65,2,6,0,1.0623319149017334
66,1,3,0,1.8340041637420654
67,2,1,0,0.40845778584480286
68,3,1,0,0.39194735884666443
69,7,6,0,1.2354422807693481
70,2,3,0,2.1102638244628906
71,6,6,1,1.1121370792388916
72,8,3,0,0.5366497039794922
73,8,8,1,6.290638446807861
74,0,6,0,1.9360225200653076
75,2,9,0,0.7100074291229248
76,9,6,0,3.831907272338867
77,3,6,0,4.138974189758301
78,3,3,1,1.179109811782837
79,8,3,0,2.129100799560547
80,8,0,0,0.2238961160182953
81,1,1,1,2.121809244155884
82,1,1,1,4.111193656921387
83,7,3,0,1.2512190341949463
84,2,1,0,0.3887740969657898
85,5,2,0,3.8717634677886963
86,2,1,0,2.5615005493164062
87,7,3,0,0.9711165428161621
88,8,3,0,0.062022749334573746
89,9,6,0,3.0152366161346436
90,0,0,1,2.0790200233459473
91,3,5,0,2.8394148349761963
92,8,9,0,-0.9183140397071838
93,6,6,1,4.433448791503906
94,4,3,0,1.5503013134002686
95,6,6,1,3.258760929107666
96,6,1,0,1.1195344924926758
97,0,9,0,2.024066209793091
98,0,7,0,0.8576512336730957
99,7,3,0,-0.06226203963160515
100,4,7,0,1.0057750940322876
101,5,6,0,1.6833162307739258
102,6,8,0,4.872247695922852
103,3,3,1,-0.11088026314973831
104,1,1,1,1.1284102201461792
105,1,8,0,1.2384721040725708
106,3,6,0,0.25555580854415894
107,6,6,1,7.580477714538574
108,8,3,0,1.474036693572998
109,7,7,1,1.626604437828064
110,4,8,0,-0.2914353311061859
111,0,1,0,0.16846361756324768
112,6,6,1,2.857501268386841
113,2,3,0,2.578705072402954
114,1,1,1,0.47582823038101196
115,3,6,0,0.3778139650821686
116,0,3,0,1.2458117008209229
117,4,3,0,0.40011897683143616
118,2,3,0,2.1445140838623047
119,7,6,0,4.61260461807251
120,8,8,1,1.1273622512817383
121,3,3,1,1.4954643249511719
122,1,6,0,4.367863655090332
123,2,3,0,-0.1149832233786583
124,8,3,0,1.9114677906036377
125,0,2,0,1.355311632156372
126,8,9,0,0.3459315598011017
127,3,6,0,3.352712392807007
128,5,6,0,1.4534971714019775
129,2,3,0,-0.06726673990488052
130,4,6,0,1.8413068056106567
131,1,9,0,-0.1938113570213318
132,8,1,0,1.1817455291748047
133,9,1,0,0.22491462528705597
134,1,1,1,2.322418689727783
135,2,2,1,0.90854811668396
136,9,6,0,1.6053446531295776
137,7,1,0,3.422142267227173
138,2,6,0,5.568211078643799
139,9,1,0,1.9834073781967163
140,6,3,0,0.450541615486145
141,5,3,0,0.07828723639249802
142,6,6,1,5.801416873931885
143,3,6,0,0.7241904735565186
144,8,8,1,2.5958356857299805
145,7,7,1,0.6007387042045593
146,6,6,1,2.6982290744781494
147,2,8,0,1.7630767822265625
148,5,6,0,3.1076011657714844
149,2,8,0,1.8699970245361328
150,8,0,0,2.3462541103363037
151,9,3,0,-0.3223632872104645
152,6,3,0,2.8534672260284424
153,0,1,0,1.189191222190857
154,0,3,0,1.885892391204834
155,5,3,0,0.8201119899749756
156,2,6,0,1.1101332902908325
157,9,6,0,4.039335250854492
158,5,6,0,0.5142861604690552
159,4,1,0,0.2438139170408249
160,2,3,0,1.542267084121704
161,1,8,0,1.8377807140350342
162,6,1,0,2.598290205001831
163,6,6,1,2.0398733615875244
164,8,9,0,1.095137596130371
165,4,1,0,2.330570697784424
166,8,5,0,1.3205679655075073
167,4,8,0,0.5647456645965576
168,5,6,0,1.7370469570159912
169,0,4,0,0.6353729963302612
170,9,3,0,-0.10314852744340897
171,9,3,0,2.218588352203369
172,9,3,0,0.9487615823745728
173,8,3,0,0.8703688383102417
174,9,6,0,2.756112813949585
175,9,5,0,0.2623872458934784
176,3,9,0,0.4801226854324341
177,7,7,1,0.7808998227119446
178,5,5,1,2.824604034423828
179,0,6,0,1.2398569583892822
180,0,3,0,1.3316454887390137
181,5,5,1,2.607407331466675
182,2,9,0,-1.1560875177383423
183,2,3,0,1.2448222637176514
184,3,7,0,1.9336224794387817
185,8,3,0,0.3068990409374237
186,6,6,1,9.535225868225098
187,3,3,1,1.7340837717056274
188,4,3,0,3.7930657863616943
189,0,2,0,1.1174169778823853
190,5,6,0,1.846885323524475
191,8,3,0,1.4586485624313354
192,0,2,0,-0.04161118343472481
193,1,1,1,2.095376491546631
194,7,9,0,1.3818942308425903
195,2,6,0,0.9749737977981567
196,8,6,0,2.359768867492676
197,8,8,1,1.9675002098083496
198,7,6,0,0.861758828163147
199,8,9,0,3.2011659145355225
200,5,3,0,2.087641954421997
201,1,6,0,2.3418757915496826
202,8,9,0,1.255807638168335
203,7,3,0,1.6102513074874878
204,1,3,0,-0.21287405490875244
205,3,8,0,1.4483709335327148
206,0,3,0,-0.2530845105648041
207,5,6,0,4.238853454589844
208,7,0,0,0.7407134175300598
209,9,6,0,2.7966256141662598
210,7,6,0,1.296505093574524
211,4,2,0,0.6437084078788757
212,5,5,1,1.9861557483673096
213,9,3,0,-0.0325615219771862
214,8,6,0,4.006839275360107
215,0,3,0,0.04903038218617439
216,7,7,1,1.4856340885162354
217,9,6,0,1.521559715270996
218,8,7,0,2.0507187843322754
219,2,9,0,0.7596452832221985
220,7,7,1,0.7188974618911743
221,6,3,0,0.4532812833786011
222,9,6,0,2.1385393142700195
223,4,6,0,2.025195598602295
224,3,3,1,1.0069541931152344
225,9,9,1,0.16865131258964539
226,6,6,1,1.0245554447174072
227,4,3,0,0.5105584263801575
228,7,3,0,0.15195058286190033
229,6,6,1,1.6807692050933838
230,5,8,0,3.058405637741089
231,1,1,1,4.149722576141357
232,5,6,0,-0.1675763577222824
233,8,8,1,3.123577117919922
234,8,6,0,0.9382205009460449
235,0,0,1,1.8058547973632812
236,4,9,0,0.9053429961204529
237,0,3,0,0.030743781477212906
238,5,3,0,0.9201821088790894
239,5,6,0,1.8827887773513794
240,1,1,1,7.62236213684082
241,1,6,0,2.298281192779541
242,8,7,0,2.524418830871582
243,9,5,0,3.0615665912628174
244,0,2,0,0.10223309695720673
245,3,3,1,1.5651304721832275
246,1,2,0,2.448579788208008
247,9,3,0,1.5586435794830322
248,2,2,1,1.2618207931518555
249,2,8,0,4.752440452575684
250,5,7,0,0.03604540973901749
251,3,8,0,3.2102630138397217
252,9,8,0,-0.02124101296067238
253,9,6,0,2.4732556343078613
254,4,6,0,1.8110634088516235
255,0,5,0,2.195164918899536
256,3,3,1,1.3696857690811157
257,0,8,0,0.9289527535438538
258,0,3,0,3.089292526245117
259,9,3,0,1.8175885677337646
260,8,7,0,-0.018266523256897926
261,1,6,0,2.8092074394226074
262,5,8,0,0.2656210660934448
263,7,6,0,2.3915934562683105
264,0,2,0,0.7057049870491028
265,8,5,0,2.0959761142730713
266,2,3,0,1.6981533765792847
267,4,6,0,5.557148456573486
268,7,3,0,0.5904678106307983
269,0,3,0,1.9341598749160767
270,2,2,1,-0.5959411263465881
271,3,6,0,0.6424934267997742
272,6,6,1,5.577308654785156
273,3,7,0,1.8393936157226562
274,8,2,0,2.323751926422119
275,5,8,0,0.08882734924554825
276,0,9,0,1.0276716947555542
277,3,1,0,5.514368057250977
278,4,7,0,0.7310260534286499
279,3,3,1,0.6871843934059143
280,9,6,0,3.5978384017944336
281,0,3,0,0.8790735006332397
282,6,3,0,1.5933620929718018
283,1,9,0,1.5074009895324707
284,0,3,0,0.6223616003990173
285,9,6,0,3.1216602325439453
286,1,1,1,1.0125502347946167
287,0,0,1,2.8064093589782715
288,7,7,1,0.8392701745033264
289,9,9,1,0.05109996348619461
290,1,6,0,0.6824889183044434
291,2,6,0,0.517126739025116
292,6,3,0,0.9488102793693542
293,9,6,0,1.8398325443267822
294,3,7,0,0.24105949699878693
295,4,8,0,0.013432856649160385
296,6,6,1,4.746029853820801
297,0,2,0,2.0660815238952637
298,0,2,0,0.25740504264831543
299,6,6,1,7.464459419250488
300,6,3,0,0.11659090965986252
301,6,9,0,1.0163524150848389
302,3,3,1,0.5086995363235474
303,2,6,0,0.9819956421852112
304,6,3,0,0.07440396398305893
305,1,9,0,0.7808781862258911
306,8,1,0,1.4134435653686523
307,2,3,0,1.4498445987701416
308,1,3,0,0.12032666057348251
309,6,3,0,1.09279465675354
310,8,1,0,1.3738059997558594
311,6,6,1,6.640286922454834
312,8,2,0,3.2966084480285645
313,0,8,0,3.5697858333587646
314,4,8,0,1.189558744430542
315,0,5,0,-0.11180758476257324
316,7,6,0,1.6661579608917236
317,7,6,0,0.9230490922927856
318,5,3,0,0.3099862337112427
319,5,6,0,2.0598795413970947
320,3,3,1,1.3880105018615723
321,5,3,0,0.40949031710624695
322,2,6,0,4.630825996398926
323,3,6,0,5.19188928604126
324,4,1,0,-0.506193995475769
325,1,7,0,4.045719623565674
326,7,7,1,0.9555277824401855
327,5,6,0,2.293511152267456
328,4,3,0,0.4532321095466614
329,6,6,1,2.756457805633545
330,1,6,0,3.157078742980957
331,9,1,0,0.8944151401519775
332,3,3,1,1.566161870956421
333,6,3,0,0.46226608753204346
334,6,3,0,1.947998285293579
335,9,6,0,2.2685389518737793
336,3,3,1,1.0163778066635132
337,8,8,1,0.5765725374221802
338,0,3,0,-0.09668765217065811
339,7,5,0,2.1261684894561768
340,2,6,0,0.25088977813720703
341,6,6,1,4.649293422698975
342,2,2,1,-0.29317429661750793
343,5,3,0,2.152524709701538
344,8,7,0,1.3788034915924072
345,5,2,0,-0.4420469105243683
346,4,6,0,-0.7148714661598206
347,6,6,1,3.844055652618408
348,8,9,0,1.6497044563293457
349,9,6,0,1.753714919090271
350,9,6,0,1.7728376388549805
351,1,7,0,0.3380482792854309
352,0,8,0,0.7428259253501892
353,2,7,0,1.6921957731246948
354,2,6,0,0.0041351234540343285
355,7,6,0,4.308993339538574
356,3,2,0,-0.10696308314800262
357,2,5,0,-0.014575224369764328
358,8,6,0,4.191751956939697
359,0,8,0,0.42764440178871155
360,9,9,1,1.6005939245224
361,5,3,0,1.5497097969055176
362,8,8,1,0.23016497492790222
363,1,6,0,2.0186262130737305
364,9,9,1,4.014050006866455
365,4,7,0,-0.8009513020515442
366,1,6,0,0.33753761649131775
367,3,3,1,0.9130452275276184
368,8,3,0,-0.3507172763347626
369,1,6,0,0.7002408504486084
370,4,2,0,1.22166109085083
371,7,7,1,3.742677688598633
372,9,3,0,0.7255182862281799
