sample_idx,true_label,pred_label,correct,confidence
0,3,5,0,3.480699300765991
1,8,8,1,9.48991584777832
2,8,8,1,2.511167049407959
3,0,0,1,2.568206548690796
4,6,6,1,7.108550548553467
5,6,6,1,4.220900535583496
6,1,1,1,3.2410740852355957
7,6,6,1,4.451652526855469
8,3,3,1,3.9666335582733154
9,1,1,1,5.437744617462158
10,0,4,0,1.115639567375183
11,9,9,1,12.651802062988281
12,5,4,0,1.0116957426071167
13,7,7,1,3.36370587348938
14,9,9,1,9.890726089477539
15,8,8,1,3.2591214179992676
16,5,5,1,4.661590099334717
17,7,7,1,0.7856404781341553
18,8,8,1,7.627518653869629
19,6,6,1,9.427223205566406
20,7,4,0,2.1159939765930176
21,0,0,1,4.675774097442627
22,4,4,1,5.775697708129883
23,9,9,1,10.66910171508789
24,5,2,0,3.769131660461426
25,2,2,1,2.4455628395080566
26,4,2,0,2.5416364669799805
27,0,0,1,2.4851765632629395
28,9,9,1,7.238265037536621
29,6,6,1,5.080318450927734
30,6,6,1,2.7255916595458984
31,5,5,1,5.044458389282227
32,4,2,0,4.245070457458496
33,5,5,1,3.0018584728240967
34,9,9,1,7.701168060302734
35,2,9,0,1.9754328727722168
36,4,4,1,6.233424186706543
37,1,9,0,5.615481376647949
38,9,9,1,11.423712730407715
39,5,5,1,5.837482452392578
40,4,2,0,1.7651383876800537
41,6,6,1,7.840734958648682
42,5,2,0,1.75510573387146
43,6,6,1,4.520486831665039
44,0,0,1,5.582690238952637
45,9,9,1,11.047375679016113
46,3,3,1,3.0153911113739014
47,9,9,1,2.6101138591766357
48,7,4,0,7.249463081359863
49,6,6,1,4.2329864501953125
50,9,9,1,6.254249572753906
51,8,8,1,6.192882537841797
52,0,2,0,1.4471497535705566
53,3,3,1,2.9465839862823486
54,8,8,1,9.290160179138184
55,8,8,1,6.230196952819824
56,7,7,1,3.1923437118530273
57,7,3,0,0.7359653115272522
58,4,5,0,1.8423832654953003
59,6,6,1,0.06202537566423416
60,7,4,0,6.666343688964844
61,3,3,1,2.941359281539917
62,6,6,1,3.9056928157806396
63,3,3,1,2.097261428833008
64,6,6,1,1.8284813165664673
