sample_idx,true_label,pred_label,correct,confidence
0,3,0,0,2.8594555854797363
1,8,0,0,3.4889848232269287
2,8,0,0,2.3725295066833496
3,0,2,0,3.771160364151001
4,6,0,0,1.5469708442687988
5,6,2,0,2.0694873332977295
6,1,1,1,0.7269418239593506
7,6,0,0,1.0568572282791138
8,3,2,0,0.23701849579811096
9,1,2,0,3.145296335220337
10,0,0,1,0.778969943523407
11,9,0,0,1.5078872442245483
12,5,0,0,1.7866933345794678
13,7,2,0,2.6049468517303467
14,9,0,0,3.7446868419647217
15,8,0,0,3.453005075454712
16,5,0,0,2.310037612915039
17,7,0,0,4.7047271728515625
18,8,3,0,1.1772794723510742
19,6,0,0,2.566164493560791
20,7,2,0,2.2310988903045654
21,0,0,1,3.6772990226745605
22,4,0,0,2.0178606510162354
23,9,0,0,2.5295920372009277
24,5,0,0,1.0867795944213867
25,2,0,0,1.9000661373138428
26,4,2,0,1.9496803283691406
27,0,0,1,3.8790078163146973
28,9,2,0,1.8874728679656982
29,6,2,0,1.9982856512069702
30,6,2,0,2.473900079727173
31,5,2,0,2.3030543327331543
32,4,2,0,3.7900705337524414
33,5,2,0,3.191620111465454
34,9,0,0,2.095679521560669
35,2,2,1,1.3595025539398193
36,4,0,0,0.9639339447021484
37,1,0,0,3.404174327850342
38,9,0,0,2.461880683898926
39,5,0,0,1.8433085680007935
40,4,2,0,2.7619059085845947
41,6,2,0,2.257138967514038
42,5,2,0,0.5526795387268066
43,6,2,0,2.636713981628418
44,0,2,0,3.6479413509368896
45,9,0,0,3.3017570972442627
46,3,2,0,2.0557074546813965
47,9,2,0,3.1221706867218018
48,7,3,0,1.0604019165039062
49,6,2,0,2.4823145866394043
50,9,2,0,2.4106383323669434
51,8,0,0,1.9680819511413574
52,0,2,0,0.8369808197021484
53,3,2,0,1.859721302986145
54,8,0,0,2.6218769550323486
55,8,0,0,3.6898515224456787
56,7,0,0,1.7483922243118286
57,7,2,0,0.7266563177108765
58,4,2,0,2.5709965229034424
59,6,0,0,1.9272197484970093
60,7,0,0,3.0508432388305664
61,3,3,1,1.362323522567749
62,6,6,1,2.2397634983062744
63,3,0,0,3.1649813652038574
64,6,0,0,3.102386951446533
65,2,2,1,3.83292818069458
66,1,2,0,3.3096258640289307
67,2,0,0,2.7469539642333984
68,3,2,0,3.6023199558258057
69,7,2,0,4.057233810424805
70,2,2,1,2.305656909942627
71,6,0,0,2.0441763401031494
72,8,0,0,1.78829026222229
73,8,0,0,2.4166369438171387
74,0,2,0,0.38535815477371216
75,2,0,0,3.858668327331543
76,9,0,0,4.039735317230225
77,3,2,0,2.4362223148345947
78,3,2,0,2.58833384513855
79,8,0,0,4.8392438888549805
80,8,2,0,4.972083568572998
81,1,2,0,1.0824065208435059
82,1,0,0,4.0500922203063965
83,7,0,0,0.8945502042770386
84,2,0,0,1.6655832529067993
85,5,2,0,1.2621198892593384
86,2,2,1,0.12084624171257019
87,7,2,0,1.695904016494751
88,8,0,0,3.0086092948913574
89,9,0,0,1.707824468612671
90,0,2,0,3.8848540782928467
91,3,0,0,0.4343002736568451
92,8,0,0,2.800267457962036
93,6,0,0,1.6277719736099243
94,4,2,0,2.9215428829193115
95,6,0,0,1.7356334924697876
96,6,2,0,1.379354476928711
97,0,2,0,1.5601279735565186
98,0,0,1,0.9999899864196777
99,7,0,0,1.2468475103378296
100,4,0,0,2.7226696014404297
101,5,0,0,2.2913408279418945
102,6,2,0,2.737168550491333
103,3,0,0,2.2017126083374023
104,1,2,0,2.5221874713897705
105,1,3,0,0.6968843936920166
106,3,2,0,1.752333641052246
107,6,2,0,2.7289602756500244
108,8,2,0,3.051222562789917
109,7,3,0,0.7769748568534851
110,4,2,0,2.868192672729492
111,0,2,0,3.97979736328125
112,6,0,0,2.9318647384643555
113,2,0,0,0.7459621429443359
114,1,0,0,1.9529070854187012
115,3,0,0,3.1436967849731445
116,0,0,1,2.7636168003082275
117,4,2,0,2.5897881984710693
118,2,2,1,3.377910852432251
119,7,3,0,1.4451267719268799
120,8,0,0,2.839921712875366
121,3,2,0,1.9068021774291992
122,1,3,0,0.31239765882492065
123,2,0,0,2.01345157623291
124,8,2,0,3.7356433868408203
125,0,0,1,3.2652876377105713
126,8,0,0,2.6501212120056152
127,3,2,0,2.7165069580078125
128,5,2,0,1.732192039489746
129,2,0,0,2.9714765548706055
130,4,0,0,2.8747758865356445
131,1,0,0,2.7016263008117676
132,8,0,0,0.8537218570709229
133,9,7,0,0.9872430562973022
134,1,0,0,2.5634965896606445
135,2,0,0,2.3808813095092773
136,9,2,0,3.63485050201416
137,7,0,0,4.187406539916992
138,2,2,1,3.5348892211914062
139,9,0,0,1.6431792974472046
140,6,0,0,3.8018627166748047
141,5,0,0,2.767634868621826
142,6,0,0,3.4418444633483887
143,3,0,0,3.2952542304992676
144,8,0,0,3.5288853645324707
145,7,2,0,3.039987802505493
146,6,2,0,2.072206735610962
147,2,0,0,1.7893060445785522
148,5,2,0,1.3360997438430786
