sample_idx,true_label,pred_label,correct,confidence
0,3,3,1,3.759805917739868
1,8,8,1,7.804402828216553
2,8,8,1,2.289106607437134
3,0,0,1,2.9553489685058594
4,6,6,1,5.146483421325684
5,6,6,1,7.175505638122559
6,1,1,1,4.892121315002441
7,6,6,1,2.5499799251556396
8,3,3,1,4.2003350257873535
9,1,1,1,6.061357498168945
10,0,0,1,1.6041738986968994
11,9,9,1,11.551361083984375
12,5,4,0,3.355152130126953
13,7,7,1,6.5342607498168945
14,9,9,1,7.773520469665527
15,8,8,1,2.521066904067993
16,5,5,1,3.488778591156006
17,7,7,1,3.1128034591674805
18,8,8,1,9.473082542419434
19,6,6,1,7.915533542633057
20,7,7,1,1.4035019874572754
21,0,0,1,5.499231338500977
22,4,4,1,4.221406936645508
23,9,9,1,10.442605018615723
24,5,4,0,2.0365684032440186
25,2,2,1,0.898889422416687
26,4,4,1,2.843348264694214
27,0,0,1,4.20994234085083
28,9,9,1,6.1076555252075195
29,6,6,1,5.134058475494385
30,6,6,1,2.376237630844116
31,5,5,1,4.950322151184082
32,4,4,1,3.319742441177368
33,5,6,0,1.5330220460891724
34,9,9,1,9.290840148925781
35,2,8,0,1.817354440689087
36,4,4,1,4.9444899559021
37,1,1,1,2.8324201107025146
38,9,9,1,10.857723236083984
39,5,5,1,5.439657211303711
40,4,4,1,3.2334024906158447
41,6,6,1,5.613830089569092
42,5,3,0,1.6552643775939941
43,6,6,1,5.532443523406982
44,0,0,1,7.754816055297852
45,9,9,1,8.672487258911133
46,3,3,1,3.449913740158081
47,9,9,1,2.520472288131714
48,7,7,1,8.629532814025879
49,6,2,0,3.35561203956604
50,9,9,1,6.920019149780273
51,8,8,1,7.99878454208374
52,0,7,0,1.177380084991455
53,3,3,1,2.320714235305786
54,8,8,1,9.12769889831543
55,8,8,1,7.929631233215332
56,7,7,1,2.1497244834899902
57,7,3,0,2.110443592071533
58,4,5,0,1.2193613052368164
59,6,3,0,0.9475945234298706
60,7,7,1,6.513152122497559
61,3,5,0,3.681506395339966
62,6,6,1,3.3219690322875977
63,3,3,1,2.8654448986053467
64,6,3,0,0.6513524055480957
65,2,2,1,3.953359365463257
66,1,1,1,8.409464836120605
67,2,2,1,4.755443096160889
68,3,3,1,3.191666841506958
69,7,7,1,2.6631290912628174
70,2,2,1,2.837390899658203
71,6,3,0,2.288707971572876
72,8,8,1,8.617425918579102
73,8,8,1,9.187772750854492
74,0,0,1,5.940324783325195
75,2,2,1,6.028434753417969
76,9,0,0,5.252923011779785
77,3,3,1,3.177809000015259
78,3,5,0,3.1038081645965576
79,8,8,1,6.19877290725708
80,8,8,1,5.927850246429443
81,1,9,0,5.124927043914795
82,1,1,1,10.370003700256348
83,7,7,1,2.9148147106170654
84,2,2,1,4.475367546081543
85,5,7,0,1.4785308837890625
86,2,2,1,0.13504531979560852
87,7,7,1,1.0975247621536255
88,8,8,1,9.584497451782227
89,9,9,1,8.302505493164062
90,0,0,1,8.499156951904297
91,3,6,0,3.356567144393921
92,8,8,1,10.327003479003906
93,6,6,1,7.422048568725586
94,4,4,1,4.917026519775391
95,6,6,1,5.049046516418457
96,6,6,1,3.2146809101104736
97,0,0,1,3.3903937339782715
98,0,0,1,3.981499433517456
99,7,7,1,2.4731245040893555
100,4,4,1,4.80545711517334
101,5,5,1,1.225682020187378
102,6,6,1,2.9621634483337402
103,3,3,1,4.003167629241943
104,1,1,1,14.461068153381348
105,1,1,1,11.150812149047852
106,3,2,0,0.47868862748146057
107,6,6,1,8.5281400680542
108,8,8,1,7.250404357910156
109,7,7,1,7.220101356506348
110,4,4,1,3.6306984424591064
111,0,0,1,7.575098991394043
112,6,2,0,4.092169284820557
113,2,2,1,5.850621223449707
114,1,1,1,5.24696683883667
115,3,3,1,1.9408910274505615
116,0,0,1,4.107363700866699
117,4,4,1,5.9453864097595215
118,2,2,1,2.2016327381134033
119,7,7,1,4.062448024749756
120,8,8,1,4.699710369110107
121,3,3,1,1.2403159141540527
122,1,1,1,10.595510482788086
123,2,2,1,4.183000087738037
124,8,8,1,7.715668678283691
125,0,2,0,2.827010154724121
126,8,8,1,4.649759769439697
127,3,3,1,2.57706618309021
128,5,6,0,0.49443909525871277
129,2,2,1,3.715074300765991
130,4,2,0,4.075337886810303
131,1,1,1,10.870274543762207
132,8,8,1,7.674861431121826
133,9,9,1,10.435101509094238
134,1,1,1,3.686241388320923
135,2,2,1,4.22553014755249
136,9,9,1,6.517514228820801
137,7,7,1,6.804442405700684
138,2,6,0,2.8319132328033447
139,9,8,0,6.576741695404053
140,6,6,1,4.775579929351807
141,5,5,1,5.9580230712890625
142,6,6,1,3.6105122566223145
143,3,7,0,2.419706344604492
144,8,8,1,4.995497226715088
145,7,7,1,0.8880568146705627
146,6,6,1,7.408450603485107
147,2,6,0,2.8712069988250732
148,5,3,0,-0.100843645632267
149,2,5,0,2.677907705307007
150,8,8,1,2.1830451488494873
151,9,9,1,5.2945451736450195
152,6,6,1,3.6221377849578857
153,0,0,1,3.386927843093872
154,0,2,0,1.9689593315124512
155,5,5,1,3.6729965209960938
156,2,2,1,4.81833028793335
157,9,9,1,7.4679179191589355
158,5,3,0,2.922483444213867
159,4,4,1,8.152547836303711
160,2,2,1,1.8865009546279907
161,1,1,1,13.953108787536621
162,6,6,1,2.5789225101470947
163,6,6,1,5.132722854614258
164,8,0,0,2.7826719284057617
165,4,4,1,4.904708385467529
166,8,8,1,5.049595355987549
167,4,4,1,5.211784362792969
168,5,7,0,3.0369558334350586
169,0,0,1,4.529973983764648
170,9,9,1,6.356889724731445
171,9,0,0,2.9599263668060303
172,9,9,1,3.8042805194854736
173,8,8,1,4.8924784660339355
174,9,9,1,7.312112331390381
175,9,9,1,8.315720558166504
176,3,3,1,5.287531852722168
177,7,7,1,5.094916343688965
178,5,3,0,4.446521759033203
179,0,0,1,4.614113807678223
180,0,0,1,2.1559605598449707
181,5,5,1,3.6945977210998535
182,2,2,1,6.033251762390137
183,2,2,1,2.199448347091675
184,3,3,1,0.5104556083679199
185,8,8,1,13.750042915344238
186,6,6,1,4.0364179611206055
187,3,3,1,3.8125152587890625
188,4,3,0,2.6540443897247314
189,0,0,1,3.1801464557647705
190,5,5,1,2.8591198921203613
191,8,8,1,5.02140474319458
192,0,0,1,1.8803670406341553
193,1,1,1,2.907883405685425
194,7,3,0,1.5142645835876465
195,2,2,1,0.6173197627067566
196,8,8,1,7.512058734893799
197,8,8,1,5.429231643676758
198,7,7,1,2.4505233764648438
199,8,8,1,6.294134616851807
200,5,5,1,3.359992742538452
201,1,1,1,5.664769172668457
202,8,8,1,10.647384643554688
