sample_idx,true_label,pred_label,correct,confidence
0,3,3,1,3.380854845046997
1,8,8,1,5.908446311950684
2,8,8,1,2.6414241790771484
3,0,0,1,3.3801558017730713
4,6,6,1,13.226031303405762
5,6,6,1,3.199004888534546
6,1,1,1,3.723536491394043
7,6,6,1,5.281161785125732
8,3,3,1,1.6352355480194092
9,1,1,1,7.2674479484558105
10,0,0,1,2.336768627166748
11,9,9,1,7.150280475616455
12,5,5,1,9.20494270324707
13,7,7,1,6.553431987762451
14,9,9,1,2.394263505935669
15,8,0,0,-0.003549814224243164
16,5,1,0,2.2765960693359375
17,7,7,1,2.759751558303833
18,8,8,1,10.242303848266602
19,6,6,1,7.73494291305542
20,7,7,1,3.7584307193756104
21,0,3,0,0.7074649930000305
22,4,4,1,5.465566635131836
23,9,9,1,11.016746520996094
24,5,3,0,0.11947619915008545
25,2,2,1,3.798527240753174
26,4,4,1,0.7722194790840149
27,0,2,0,-0.3996032476425171
28,9,9,1,4.902163982391357
29,6,6,1,12.454646110534668
30,6,6,1,4.024077892303467
31,5,3,0,4.714481353759766
32,4,4,1,3.696249485015869
33,5,3,0,4.2572832107543945
34,9,9,1,12.346561431884766
35,2,1,0,2.306511402130127
36,4,5,0,6.542669296264648
37,1,1,1,9.3883638381958
38,9,9,1,4.153283596038818
39,5,5,1,8.522180557250977
40,4,4,1,2.5394792556762695
41,6,6,1,6.092366695404053
42,5,5,1,2.329143524169922
43,6,6,1,10.782723426818848
44,0,0,1,8.06052017211914
45,9,3,0,1.4312270879745483
46,3,3,1,5.014369487762451
47,9,9,1,2.5043463706970215
48,7,7,1,14.193543434143066
49,6,4,0,3.24564790725708
50,9,9,1,6.061347961425781
51,8,8,1,4.764898300170898
52,0,2,0,1.2662956714630127
53,3,3,1,2.293585777282715
54,8,8,1,8.776432991027832
55,8,8,1,5.89149808883667
56,7,7,1,1.1921768188476562
57,7,3,0,3.1628806591033936
58,4,5,0,2.3549065589904785
59,6,3,0,0.636604905128479
60,7,7,1,4.628127574920654
61,3,5,0,4.518294334411621
62,6,6,1,6.099630832672119
63,3,3,1,2.555990695953369
64,6,6,1,2.139709711074829
65,2,6,0,4.451260566711426
66,1,9,0,1.0567741394042969
67,2,6,0,6.80736780166626
68,3,3,1,2.118394374847412
69,7,7,1,4.253413200378418
70,2,0,0,0.9453710317611694
71,6,6,1,2.802168369293213
72,8,8,1,12.894726753234863
73,8,8,1,2.1830122470855713
74,0,0,1,4.720193862915039
75,2,2,1,8.11697006225586
76,9,9,1,6.4198079109191895
77,3,3,1,3.2422518730163574
78,3,5,0,3.5203402042388916
79,8,0,0,1.6208560466766357
80,8,8,1,2.850125551223755
81,1,1,1,6.185922145843506
82,1,1,1,2.4775469303131104
83,7,2,0,0.6754655838012695
84,2,3,0,2.628715753555298
85,5,3,0,0.3278923034667969
86,2,1,0,0.6852920651435852
87,7,7,1,2.0991969108581543
88,8,8,1,2.4304442405700684
89,9,9,1,12.318105697631836
90,0,0,1,11.523200035095215
91,3,3,1,3.2290492057800293
92,8,8,1,12.115662574768066
