sample_idx,true_label,pred_label,correct,confidence
0,3,3,1,6.825171947479248
1,8,8,1,7.220797061920166
2,8,8,1,6.516921520233154
3,0,0,1,3.6381072998046875
4,6,6,1,8.554407119750977
5,6,6,1,2.21270751953125
6,1,1,1,9.234902381896973
7,6,6,1,7.84006404876709
8,3,4,0,-1.3917088508605957
9,1,1,1,2.9169867038726807
10,0,8,0,0.5000589489936829
11,9,9,1,3.807558059692383
12,5,6,0,-0.8978962302207947
13,7,7,1,8.853053092956543
14,9,9,1,5.41049337387085
15,8,8,1,6.848036289215088
16,5,5,1,9.714126586914062
17,7,7,1,0.0042875707149505615
18,8,8,1,11.693530082702637
19,6,6,1,4.381669998168945
20,7,7,1,1.8923671245574951
21,0,0,1,6.5662007331848145
22,4,4,1,5.703461170196533
23,9,9,1,11.286859512329102
24,5,0,0,-1.4474296569824219
25,2,3,0,-0.839164674282074
26,4,3,0,1.1894112825393677
27,0,0,1,8.001199722290039
28,9,9,1,5.659574508666992
29,6,6,1,8.414774894714355
30,6,2,0,-1.383520483970642
31,5,5,1,1.181514859199524
32,4,4,1,0.9032541513442993
33,5,3,0,1.0037506818771362
34,9,0,0,0.5282090902328491
35,2,9,0,2.3035266399383545
36,4,7,0,2.912766456604004
37,1,1,1,4.745237827301025
38,9,9,1,6.242529392242432
39,5,8,0,1.522194743156433
40,4,0,0,0.940234363079071
41,6,6,1,0.3748898506164551
42,5,3,0,2.2776870727539062
43,6,3,0,1.2321668863296509
44,0,0,1,8.573001861572266
45,9,9,1,14.582952499389648
46,3,3,1,3.299647331237793
47,9,9,1,1.0644975900650024
48,7,7,1,11.466471672058105
49,6,2,0,1.4582831859588623
50,9,9,1,4.211219787597656
51,8,8,1,8.115802764892578
52,0,0,1,2.758678436279297
53,3,2,0,1.8418612480163574
54,8,8,1,4.367215156555176
55,8,8,1,13.553364753723145
56,7,7,1,4.969096660614014
57,7,7,1,-0.19331830739974976
58,4,4,1,-0.8705893754959106
59,6,4,0,1.4807056188583374
60,7,7,1,10.943904876708984
61,3,5,0,7.259523868560791
62,6,0,0,2.6644175052642822
63,3,0,0,2.820922374725342
64,6,6,1,9.518978118896484
65,2,2,1,2.055069923400879
66,1,0,0,-0.2114972025156021
67,2,2,1,7.506535530090332
68,3,4,0,2.503819704055786
69,7,4,0,1.0693879127502441
70,2,3,0,0.7978049516677856
71,6,2,0,-1.2708989381790161
72,8,8,1,14.084219932556152
73,8,8,1,9.405068397521973
74,0,0,1,0.5503907203674316
75,2,2,1,3.2040538787841797
76,9,9,1,4.472561359405518
77,3,3,1,6.803896427154541
78,3,3,1,4.179603576660156
79,8,0,0,3.5238900184631348
80,8,8,1,3.661550760269165
81,1,1,1,4.519193172454834
82,1,1,1,12.230438232421875
83,7,1,0,2.9854018688201904
84,2,2,1,5.23624849319458
85,5,5,1,1.7761720418930054
86,2,2,1,-0.3064335286617279
87,7,7,1,1.277222752571106
88,8,8,1,12.232670783996582
89,9,9,1,9.472429275512695
90,0,0,1,8.488594055175781
91,3,3,1,6.928417682647705
92,8,1,0,0.17594806849956512
93,6,6,1,5.038649559020996
94,4,7,0,5.409792423248291
95,6,6,1,-0.9352320432662964
96,6,6,1,7.021049499511719
97,0,0,1,4.772186279296875
98,0,0,1,3.762197494506836
99,7,7,1,4.729508876800537
100,4,7,0,5.442337512969971
101,5,5,1,3.4877424240112305
102,6,6,1,-0.05755779147148132
103,3,3,1,3.5593361854553223
104,1,1,1,19.64886474609375
105,1,1,1,14.836915969848633
106,3,3,1,3.5036609172821045
107,6,6,1,2.127309799194336
108,8,8,1,2.7141060829162598
