sample_idx,true_label,pred_label,correct,confidence
0,3,3,1,2.3340375423431396
1,8,1,0,4.211834907531738
2,8,8,1,1.5383388996124268
3,0,1,0,1.2078516483306885
4,6,6,1,0.4652465283870697
5,6,6,1,4.411255836486816
6,1,9,0,2.9075794219970703
7,6,6,1,8.970800399780273
8,3,3,1,1.372077465057373
9,1,1,1,2.4929962158203125
10,0,0,1,2.89243745803833
11,9,9,1,12.880989074707031
12,5,5,1,4.2078399658203125
13,7,3,0,0.4983207881450653
14,9,9,1,3.1628971099853516
15,8,8,1,1.9811803102493286
16,5,7,0,2.476302146911621
17,7,9,0,0.7313741445541382
18,8,2,0,1.329699158668518
19,6,6,1,0.7765312194824219
20,7,7,1,2.9015941619873047
21,0,0,1,2.8754405975341797
22,4,8,0,2.161142349243164
23,9,9,1,6.6336517333984375
24,5,4,0,2.3908698558807373
25,2,2,1,0.30964502692222595
26,4,0,0,2.5394842624664307
27,0,2,0,-0.3764837384223938
28,9,1,0,-0.4318106770515442
29,6,2,0,2.8991189002990723
30,6,6,1,2.1684272289276123
31,5,3,0,1.0943524837493896
32,4,4,1,0.33114859461784363
33,5,9,0,0.8767069578170776
34,9,9,1,3.1977241039276123
35,2,9,0,3.634333372116089
36,4,2,0,-0.18859204649925232
37,1,9,0,1.3708723783493042
38,9,9,1,0.01737290434539318
39,5,5,1,6.571099281311035
40,4,0,0,-0.09366688877344131
41,6,9,0,-0.19127963483333588
42,5,5,1,1.203132152557373
43,6,6,1,3.604783296585083
44,0,2,0,5.449853897094727
45,9,1,0,1.94849693775177
46,3,3,1,2.2638330459594727
47,9,9,1,-0.4465591311454773
48,7,7,1,4.421342372894287
49,6,6,1,4.56610107421875
50,9,8,0,1.344762921333313
51,8,9,0,-0.9029909372329712
52,0,3,0,-0.19427819550037384
53,3,6,0,5.5098724365234375
54,8,8,1,3.93442440032959
55,8,0,0,3.0697054862976074
56,7,1,0,-0.32365474104881287
57,7,9,0,0.604492723941803
58,4,3,0,-0.3896699845790863
59,6,3,0,1.0471667051315308
60,7,7,1,8.273360252380371
61,3,5,0,6.755311012268066
62,6,4,0,1.8335508108139038
63,3,3,1,1.089514136314392
64,6,3,0,0.9703337550163269
65,2,6,0,4.185125827789307
66,1,1,1,4.844926357269287
67,2,2,1,1.9473683834075928
68,3,2,0,-0.34106209874153137
69,7,2,0,2.254549503326416
70,2,0,0,1.4411633014678955
71,6,6,1,2.359273910522461
72,8,0,0,3.454712152481079
73,8,8,1,1.0883445739746094
74,0,2,0,1.50809645652771
75,2,0,0,-0.12760592997074127
76,9,9,1,1.3601514101028442
77,3,3,1,3.1479814052581787
78,3,3,1,3.3012053966522217
79,8,0,0,3.8748390674591064
80,8,8,1,4.994476795196533
81,1,9,0,2.666304588317871
82,1,1,1,9.989730834960938
83,7,7,1,8.173580169677734
84,2,3,0,1.1404387950897217
85,5,3,0,1.9063138961791992
86,2,2,1,1.3051230907440186
87,7,3,0,0.9330616593360901
88,8,0,0,1.3511172533035278
89,9,9,1,3.5868072509765625
90,0,1,0,6.7109198570251465
91,3,6,0,1.578744649887085
92,8,8,1,3.096731424331665
93,6,3,0,0.16651584208011627
94,4,4,1,3.503939390182495
95,6,6,1,3.42623233795166
96,6,6,1,-0.5808966159820557
97,0,4,0,2.175330638885498
98,0,0,1,2.6331491470336914
99,7,7,1,7.266021728515625
100,4,4,1,5.934978008270264
101,5,3,0,1.4853217601776123
