sample_idx,true_label,pred_label,correct,confidence
0,3,3,1,7.9929609298706055
1,8,8,1,9.969948768615723
2,8,8,1,7.391029357910156
3,0,4,0,-1.7301676273345947
4,6,6,1,6.205840110778809
5,6,5,0,3.2901363372802734
6,1,9,0,0.7599345445632935
7,6,6,1,1.4126262664794922
8,3,3,1,4.740766525268555
9,1,1,1,8.073301315307617
10,0,0,1,-1.2513331174850464
11,9,9,1,3.723062038421631
12,5,5,1,2.8606247901916504
13,7,7,1,8.577446937561035
14,9,2,0,1.0696521997451782
15,8,2,0,2.656069755554199
16,5,3,0,2.108454465866089
17,7,7,1,4.7444963455200195
18,8,8,1,9.70858097076416
19,6,6,1,12.979940414428711
20,7,0,0,-0.87271648645401
21,0,0,1,9.303911209106445
22,4,4,1,4.2552008628845215
23,9,5,0,0.5055097341537476
24,5,2,0,2.1839070320129395
25,2,2,1,-0.6945663094520569
26,4,3,0,2.6863725185394287
27,0,0,1,2.0631918907165527
28,9,5,0,1.1316431760787964
29,6,6,1,12.18741512298584
30,6,6,1,5.113624572753906
31,5,5,1,7.787331581115723
32,4,2,0,6.745299816131592
33,5,6,0,4.411340236663818
34,9,9,1,2.681670904159546
35,2,3,0,-2.7896907329559326
36,4,5,0,1.8033483028411865
37,1,3,0,-1.3717342615127563
38,9,9,1,9.155105590820312
39,5,5,1,10.131253242492676
40,4,4,1,6.377893924713135
41,6,6,1,2.583940029144287
42,5,2,0,-0.4081752598285675
43,6,6,1,6.118792533874512
44,0,2,0,2.6323561668395996
45,9,9,1,11.457401275634766
46,3,2,0,2.54616117477417
47,9,1,0,-0.3499460220336914
48,7,4,0,4.1002068519592285
49,6,6,1,4.612209320068359
50,9,9,1,5.9250874519348145
51,8,2,0,1.594740629196167
52,0,2,0,-1.5529910326004028
53,3,3,1,3.771865129470825
54,8,8,1,19.372764587402344
55,8,2,0,1.4607493877410889
56,7,7,1,3.118370532989502
57,7,5,0,3.4237561225891113
58,4,5,0,1.1609517335891724
59,6,3,0,-0.11772123724222183
60,7,7,1,5.028278827667236
61,3,5,0,6.045470237731934
62,6,6,1,4.395227432250977
63,3,5,0,0.9554338455200195
64,6,6,1,4.641820907592773
65,2,2,1,6.766873836517334
66,1,8,0,1.8222594261169434
67,2,2,1,0.7858336567878723
68,3,3,1,1.3698762655258179
69,7,7,1,7.6602983474731445
70,2,0,0,0.8232831954956055
71,6,6,1,9.65963077545166
72,8,0,0,2.499098777770996
73,8,8,1,4.062572479248047
74,0,6,0,1.0154855251312256
75,2,2,1,5.203442573547363
76,9,3,0,-0.5438077449798584
77,3,3,1,2.7575111389160156
78,3,3,1,4.357532978057861
79,8,8,1,9.079471588134766
80,8,0,0,3.9110608100891113
81,1,1,1,5.187502861022949
82,1,1,1,8.474739074707031
83,7,2,0,0.8518684506416321
84,2,2,1,4.205009460449219
85,5,2,0,-0.5154649615287781
86,2,2,1,-0.7102310061454773
87,7,3,0,1.5725460052490234
88,8,8,1,1.7996997833251953
89,9,9,1,11.753802299499512
90,0,8,0,3.0094804763793945
91,3,2,0,2.1156413555145264
92,8,0,0,0.6809913516044617
93,6,6,1,4.259346008300781
94,4,4,1,5.8014936447143555
95,6,6,1,2.823119640350342
96,6,6,1,3.0795164108276367
97,0,0,1,4.2647318840026855
98,0,0,1,5.095719337463379
99,7,4,0,4.494268894195557
100,4,4,1,6.285706996917725
101,5,5,1,3.742764472961426
102,6,6,1,9.301607131958008
103,3,3,1,5.411400318145752
104,1,1,1,7.864637851715088
105,1,1,1,11.099356651306152
106,3,3,1,7.012396335601807
107,6,6,1,11.983015060424805
108,8,8,1,0.5346645712852478
109,7,7,1,10.74609375
110,4,4,1,5.4820170402526855
111,0,0,1,1.7261857986450195
112,6,6,1,4.823062896728516
113,2,2,1,2.737100839614868
114,1,1,1,7.827305316925049
115,3,3,1,-0.8369209170341492
116,0,0,1,5.87401008605957
117,4,4,1,2.217426300048828
118,2,6,0,2.905637502670288
119,7,7,1,6.343924045562744
120,8,8,1,2.791510581970215
121,3,2,0,2.2255473136901855
122,1,2,0,0.05479159206151962
123,2,2,1,2.991767406463623
124,8,2,0,0.5742625594139099
125,0,0,1,-0.5595189332962036
126,8,8,1,2.145785093307495
127,3,0,0,-2.166139602661133
128,5,3,0,2.2251436710357666
129,2,2,1,-0.8996685147285461
130,4,4,1,5.875766754150391
131,1,1,1,1.9380344152450562
132,8,8,1,5.990833282470703
133,9,9,1,9.599565505981445
134,1,9,0,-0.7259471416473389
135,2,2,1,5.558403491973877
136,9,6,0,1.4871737957000732
137,7,2,0,0.7382960915565491
138,2,2,1,3.5545156002044678
139,9,2,0,1.7030104398727417
140,6,7,0,1.3291529417037964
141,5,3,0,-1.2575863599777222
142,6,6,1,2.190258502960205
143,3,5,0,3.1224663257598877
144,8,8,1,1.209350347518921
145,7,7,1,1.9672685861587524
146,6,6,1,2.4270222187042236
147,2,9,0,-0.6034008264541626
148,5,7,0,2.1095662117004395
149,2,2,1,6.300619125366211
150,8,8,1,6.517744541168213
151,9,5,0,-1.1664291620254517
152,6,6,1,2.502134084701538
153,0,9,0,2.0756914615631104
154,0,3,0,1.3579574823379517
155,5,5,1,4.7416887283325195
156,2,3,0,2.033104181289673
157,9,9,1,1.2391613721847534
158,5,3,0,4.737805366516113
159,4,2,0,5.749075412750244
160,2,0,0,6.0627546310424805
161,1,1,1,3.771982431411743
162,6,6,1,2.4866011142730713
163,6,6,1,11.565673828125
164,8,2,0,0.08116402477025986
165,4,4,1,0.7236251831054688
166,8,5,0,-1.071474313735962
167,4,2,0,3.9364688396453857
168,5,5,1,7.636049270629883
169,0,3,0,-0.25704583525657654
170,9,9,1,9.324075698852539
171,9,6,0,1.6076953411102295
172,9,9,1,7.0072455406188965
173,8,8,1,6.879238605499268
174,9,9,1,0.3019496202468872
175,9,2,0,-0.8143269419670105
176,3,3,1,4.626062870025635
177,7,5,0,0.6771183013916016
178,5,3,0,4.044312953948975
179,0,0,1,0.5872436761856079
180,0,0,1,4.357762336730957
181,5,5,1,9.7359037399292
182,2,2,1,6.934639930725098
183,2,2,1,0.7971766591072083
184,3,3,1,5.9552321434021
185,8,2,0,1.2068650722503662
186,6,6,1,5.880114555358887
187,3,3,1,0.8696576952934265
188,4,2,0,4.527103900909424
189,0,8,0,2.2121548652648926
190,5,5,1,7.285058975219727
191,8,8,1,1.8691182136535645
192,0,0,1,-0.2638794183731079
193,1,1,1,3.5175766944885254
194,7,7,1,5.658114910125732
195,2,2,1,1.6246445178985596
196,8,3,0,0.46022742986679077
197,8,3,0,2.331342935562134
198,7,7,1,11.288505554199219
199,8,6,0,0.8513227105140686
200,5,6,0,2.442826509475708
201,1,0,0,-0.3548968434333801
202,8,8,1,6.7925333976745605
203,7,1,0,-1.0861835479736328
204,1,1,1,12.955775260925293
205,3,3,1,6.680290699005127
206,0,0,1,-0.5415047407150269
207,5,5,1,2.8778982162475586
208,7,7,1,17.086763381958008
209,9,9,1,-1.2418212890625
210,7,5,0,1.652024507522583
211,4,3,0,2.35221791267395
212,5,5,1,8.21073055267334
213,9,9,1,0.16766658425331116
214,8,8,1,3.91039776802063
215,0,0,1,0.4615204334259033
216,7,3,0,-0.1919982135295868
217,9,9,1,10.356500625610352
218,8,3,0,1.7629789113998413
219,2,2,1,10.905722618103027
220,7,6,0,1.5237419605255127
221,6,6,1,3.1144137382507324
222,9,9,1,10.077413558959961
223,4,6,0,1.8970253467559814
224,3,3,1,0.44260627031326294
225,9,9,1,7.712886810302734
226,6,6,1,-0.6336422562599182
227,4,4,1,2.7841012477874756
228,7,7,1,8.266268730163574
229,6,6,1,1.5822865962982178
230,5,5,1,-1.5895096063613892
231,1,1,1,2.348986864089966
232,5,7,0,0.7009297013282776
233,8,8,1,6.046069622039795
234,8,8,1,4.097355842590332
235,0,0,1,4.815127849578857
236,4,3,0,3.7576849460601807
237,0,3,0,-2.0732381343841553
238,5,5,1,3.4906933307647705
239,5,3,0,4.927433967590332
240,1,1,1,18.38082504272461
241,1,1,1,15.252793312072754
242,8,5,0,0.5231841802597046
243,9,7,0,2.874772071838379
244,0,0,1,4.106190204620361
245,3,2,0,6.432299613952637
246,1,1,1,10.280291557312012
247,9,8,0,3.2792367935180664
248,2,2,1,-1.3682893514633179
249,2,2,1,3.449918746948242
250,5,5,1,9.006877899169922
251,3,3,1,4.477786540985107
252,9,6,0,-0.38987743854522705
253,9,9,1,0.7690999507904053
254,4,4,1,4.31805419921875
255,0,0,1,1.2378251552581787
256,3,3,1,5.724417209625244
257,0,3,0,1.9556331634521484
258,0,3,0,1.6292498111724854
259,9,9,1,4.100553035736084
260,8,2,0,1.0500540733337402
261,1,9,0,0.7577674984931946
262,5,3,0,2.317972183227539
263,7,2,0,2.556593894958496
264,0,8,0,8.011451721191406
265,8,8,1,2.6131482124328613
266,2,7,0,-1.801874041557312
267,4,2,0,3.436084032058716
268,7,7,1,1.5022398233413696
269,0,0,1,3.792872428894043
270,2,2,1,1.5501359701156616
271,3,3,1,1.6673619747161865
272,6,6,1,10.67105770111084
273,3,5,0,2.0872766971588135
274,8,0,0,-0.7334708571434021
275,5,2,0,-1.775753378868103
276,0,0,1,6.5212788581848145
277,3,2,0,1.0377968549728394
278,4,5,0,0.6602982878684998
279,3,3,1,1.6711702346801758
280,9,9,1,10.209877014160156
281,0,2,0,4.677248001098633
282,6,6,1,10.301080703735352
283,1,1,1,17.802274703979492
284,0,9,0,0.426807701587677
285,9,9,1,0.5478255152702332
286,1,2,0,-0.16525325179100037
287,0,8,0,4.787845134735107
288,7,3,0,0.44043225049972534
289,9,9,1,2.672914981842041
290,1,3,0,-2.5288379192352295
291,2,2,1,6.997337818145752
292,6,6,1,9.064672470092773
293,9,1,0,10.153111457824707
294,3,3,1,6.3925557136535645
295,4,4,1,7.409152984619141
296,6,6,1,6.0826592445373535
297,0,0,1,2.6911721229553223
298,0,0,1,4.284362316131592
299,6,6,1,9.984857559204102
300,6,4,0,4.047438144683838
301,6,6,1,2.780850410461426
302,3,2,0,3.3416709899902344
303,2,2,1,0.02073272317647934
304,6,6,1,5.640192985534668
305,1,1,1,2.34991192817688
306,8,8,1,-1.4665549993515015
307,2,2,1,4.041032791137695
308,1,9,0,5.297129154205322
309,6,2,0,3.9765396118164062
310,8,0,0,1.0257397890090942
311,6,6,1,4.960446834564209
312,8,0,0,7.438056468963623
313,0,2,0,5.525116920471191
314,4,7,0,1.4686450958251953
315,0,0,1,7.7431769371032715
316,7,6,0,1.1934430599212646
317,7,2,0,0.7781224250793457
318,5,6,0,0.6911187767982483
319,5,5,1,7.215057849884033
320,3,3,1,3.9643163681030273
321,5,5,1,2.2171432971954346
322,2,2,1,-1.2760192155838013
323,3,6,0,0.7692080736160278
324,4,3,0,0.04455544799566269
325,1,1,1,1.9831585884094238
326,7,3,0,2.1958208084106445
327,5,6,0,1.821030855178833
328,4,4,1,4.1066670417785645
329,6,6,1,8.82626724243164
330,1,3,0,2.4658703804016113
331,9,0,0,0.28003042936325073
332,3,3,1,5.508676052093506
333,6,6,1,8.848984718322754
334,6,6,1,10.708189964294434
335,9,9,1,4.929779052734375
336,3,3,1,12.741515159606934
337,8,8,1,2.166266918182373
338,0,0,1,2.1784682273864746
339,7,7,1,5.679214954376221
340,2,2,1,2.537888765335083
341,6,6,1,-0.5440139174461365
342,2,2,1,8.43881607055664
343,5,5,1,7.221139430999756
344,8,0,0,2.9763050079345703
345,5,5,1,2.4269907474517822
346,4,4,1,4.968434810638428
347,6,6,1,2.991823673248291
348,8,8,1,5.1729631423950195
349,9,1,0,8.462861061096191
350,9,9,1,11.375234603881836
351,1,7,0,0.7321189641952515
352,0,7,0,-0.30643412470817566
353,2,2,1,9.193968772888184
354,2,6,0,4.849867343902588
355,7,6,0,1.0186426639556885
356,3,3,1,3.077651262283325
357,2,2,1,2.1782705783843994
358,8,8,1,-0.2182644009590149
359,0,0,1,5.33220911026001
360,9,6,0,0.5892678499221802
361,5,5,1,7.2480316162109375
362,8,5,0,3.6980035305023193
363,1,1,1,4.179747581481934
364,9,9,1,8.103522300720215
365,4,4,1,7.9328932762146
366,1,2,0,1.7433640956878662
367,3,9,0,-0.6618235111236572
368,8,2,0,1.1771265268325806
369,1,1,1,2.37074875831604
370,4,4,1,1.1370033025741577
371,7,2,0,1.2360559701919556
372,9,9,1,2.2455577850341797
373,4,4,1,4.928798675537109
