sample_idx,true_label,pred_label,correct,confidence
0,3,0,0,8.44716739654541
1,8,0,0,5.786673069000244
2,8,0,0,5.040698528289795
3,0,0,1,4.991128921508789
4,6,3,0,1.2111185789108276
5,6,3,0,4.795863151550293
6,1,0,0,2.682990074157715
7,6,0,0,2.2938106060028076
8,3,0,0,4.604937553405762
9,1,3,0,2.188613176345825
10,0,0,1,3.688995122909546
11,9,0,0,5.4663004875183105
12,5,0,0,4.8221893310546875
13,7,3,0,2.3722119331359863
14,9,0,0,2.5810508728027344
15,8,0,0,3.6013009548187256
16,5,3,0,1.7718297243118286
17,7,5,0,3.9986653327941895
18,8,0,0,2.203148365020752
19,6,0,0,3.4101364612579346
20,7,0,0,3.610752820968628
21,0,0,1,5.734891414642334
22,4,0,0,5.497862339019775
23,9,0,0,2.6792802810668945
24,5,0,0,6.24088191986084
25,2,0,0,1.5105557441711426
26,4,2,0,3.0740926265716553
27,0,0,1,3.169909715652466
28,9,3,0,1.30767822265625
29,6,3,0,1.2584662437438965
30,6,0,0,3.41326904296875
31,5,0,0,4.850544452667236
32,4,0,0,6.721551895141602
33,5,0,0,2.6069107055664062
34,9,0,0,3.0078470706939697
35,2,0,0,4.968277931213379
36,4,0,0,8.767969131469727
37,1,0,0,1.3461503982543945
38,9,0,0,3.789350986480713
39,5,0,0,5.266801834106445
40,4,0,0,3.4022462368011475
41,6,2,0,4.000147342681885
42,5,2,0,3.749606132507324
43,6,0,0,5.689142227172852
44,0,0,1,3.0592093467712402
45,9,0,0,4.274237632751465
46,3,0,0,3.9116077423095703
47,9,0,0,2.16715145111084
48,7,3,0,2.6585869789123535
49,6,0,0,3.3277461528778076
50,9,0,0,5.564320087432861
51,8,2,0,-0.021051254123449326
52,0,0,1,4.244011878967285
53,3,0,0,4.490672588348389
54,8,0,0,5.201733112335205
55,8,0,0,1.1497400999069214
56,7,3,0,3.191972494125366
57,7,3,0,2.1840174198150635
58,4,0,0,3.4554150104522705
59,6,0,0,4.342020511627197
60,7,0,0,4.734614372253418
61,3,0,0,5.040498733520508
62,6,2,0,1.788914442062378
63,3,2,0,0.8977556228637695
64,6,3,0,1.6931226253509521
65,2,3,0,2.5256147384643555
66,1,3,0,0.8221231698989868
67,2,0,0,3.8865606784820557
