sample_idx,true_label,pred_label,correct,confidence
0,3,5,0,2.62460994720459
1,8,0,0,2.666205883026123
2,8,0,0,2.5484299659729004
3,0,0,1,2.621720790863037
4,6,2,0,2.7185792922973633
5,6,0,0,1.9745206832885742
6,1,0,0,2.0608997344970703
7,6,0,0,1.8901093006134033
8,3,0,0,2.6744322776794434
9,1,0,0,2.3637707233428955
10,0,0,1,1.733863353729248
11,9,0,0,1.2061176300048828
12,5,0,0,2.469371795654297
13,7,0,0,1.949691653251648
14,9,5,0,1.870653510093689
15,8,0,0,3.4613237380981445
16,5,5,1,2.5863544940948486
17,7,0,0,2.4101600646972656
18,8,0,0,1.31258225440979
19,6,0,0,2.1837551593780518
20,7,0,0,2.527977466583252
21,0,0,1,3.007920742034912
22,4,0,0,3.493436813354492
23,9,3,0,1.2726789712905884
24,5,2,0,3.0838398933410645
25,2,0,0,2.6153430938720703
26,4,0,0,2.6392524242401123
27,0,0,1,4.146554946899414
28,9,0,0,3.1079351902008057
29,6,0,0,3.5435595512390137
30,6,2,0,1.215970516204834
31,5,0,0,1.878981351852417
32,4,0,0,2.5799787044525146
33,5,0,0,1.387396216392517
34,9,0,0,2.5463924407958984
35,2,3,0,4.069993019104004
36,4,3,0,2.502880096435547
37,1,0,0,2.452646255493164
38,9,3,0,2.0312540531158447
39,5,0,0,2.6437885761260986
40,4,0,0,2.857150077819824
41,6,0,0,2.4596357345581055
42,5,2,0,1.4925014972686768
43,6,2,0,1.6440953016281128
44,0,8,0,2.474818229675293
45,9,0,0,2.4421334266662598
46,3,0,0,2.6059365272521973
47,9,2,0,1.5513813495635986
48,7,0,0,2.2324881553649902
49,6,2,0,1.7039306163787842
50,9,0,0,4.160519123077393
51,8,0,0,1.7012593746185303
52,0,2,0,2.162043809890747
53,3,0,0,5.229160785675049
54,8,0,0,2.612302780151367
55,8,0,0,3.6689200401306152
56,7,0,0,3.34767484664917
57,7,3,0,2.980325698852539
58,4,0,0,3.809473991394043
59,6,3,0,2.983386993408203
60,7,3,0,3.1713037490844727
61,3,0,0,3.821058750152588
62,6,6,1,2.4643380641937256
63,3,2,0,1.2282280921936035
64,6,0,0,2.4932971000671387
65,2,2,1,2.9342904090881348
66,1,5,0,2.509617567062378
67,2,0,0,2.8196117877960205
68,3,0,0,1.6227449178695679
69,7,0,0,3.2033333778381348
70,2,0,0,2.062027931213379
71,6,0,0,2.9906203746795654
72,8,0,0,4.279514312744141
73,8,0,0,4.168694496154785
74,0,0,1,1.1609150171279907
75,2,0,0,3.1362314224243164
76,9,0,0,1.5830714702606201
77,3,0,0,2.808445453643799
78,3,3,1,2.1752853393554688
79,8,4,0,1.2621409893035889
80,8,0,0,1.997623085975647
81,1,0,0,1.2156084775924683
82,1,0,0,2.5974597930908203
83,7,0,0,1.7092640399932861
84,2,0,0,2.594647169113159
85,5,0,0,1.9067981243133545
86,2,0,0,3.517625331878662
87,7,0,0,2.8862054347991943
88,8,0,0,4.6067352294921875
89,9,0,0,1.9893174171447754
90,0,0,1,1.5409126281738281
91,3,0,0,3.1567301750183105
92,8,0,0,2.81404447555542
93,6,3,0,1.7079977989196777
94,4,0,0,1.514439582824707
95,6,0,0,2.0012409687042236
96,6,0,0,1.4970979690551758
97,0,0,1,2.61655330657959
98,0,5,0,2.4823358058929443
99,7,0,0,2.412442207336426
100,4,0,0,3.7428297996520996
101,5,0,0,2.7797160148620605
102,6,0,0,1.5133965015411377
103,3,3,1,3.2134416103363037
104,1,2,0,1.6627535820007324
105,1,0,0,1.9268940687179565
106,3,0,0,2.445310592651367
107,6,2,0,1.5156166553497314
108,8,0,0,3.07901668548584
109,7,0,0,2.0245141983032227
110,4,0,0,2.823197603225708
111,0,0,1,2.1786205768585205
112,6,0,0,2.375298261642456
113,2,0,0,2.2797319889068604
114,1,0,0,2.4373977184295654
115,3,2,0,2.0910534858703613
116,0,0,1,2.8181374073028564
117,4,2,0,1.9562946557998657
118,2,2,1,2.299586772918701
119,7,2,0,2.376856565475464
120,8,0,0,2.1941657066345215
121,3,0,0,2.424178123474121
122,1,3,0,1.9800050258636475
123,2,0,0,2.049466609954834
124,8,0,0,2.641923666000366
125,0,0,1,3.7000060081481934
126,8,0,0,2.318410873413086
127,3,0,0,2.3422813415527344
128,5,3,0,3.421846866607666
129,2,0,0,2.2722179889678955
130,4,0,0,3.5877013206481934
131,1,0,0,1.5442050695419312
132,8,4,0,2.3519134521484375
133,9,3,0,2.3887999057769775
134,1,2,0,1.9406051635742188
135,2,0,0,3.29826021194458
136,9,3,0,2.6820154190063477
137,7,0,0,2.221703290939331
138,2,0,0,2.3610668182373047
139,9,0,0,1.686630129814148
140,6,0,0,1.8717516660690308
141,5,2,0,3.077889919281006
142,6,0,0,5.878681659698486
143,3,0,0,2.7414093017578125
144,8,0,0,3.718691825866699
145,7,0,0,3.313995361328125
146,6,0,0,1.1194522380828857
147,2,0,0,2.6982250213623047
148,5,0,0,5.224832534790039
149,2,2,1,1.7238386869430542
150,8,2,0,1.1693378686904907
151,9,2,0,2.552273988723755
152,6,0,0,1.7712230682373047
153,0,0,1,1.4462862014770508
154,0,0,1,1.8338954448699951
155,5,0,0,4.1830735206604
156,2,0,0,2.905251979827881
157,9,0,0,2.2447619438171387
158,5,3,0,2.841945171356201
159,4,0,0,2.352041006088257
160,2,8,0,2.2710912227630615
161,1,2,0,1.8162978887557983
162,6,0,0,2.3152904510498047
163,6,2,0,2.4228756427764893
164,8,0,0,3.029635429382324
165,4,0,0,3.0887022018432617
166,8,0,0,2.7021889686584473
167,4,0,0,3.008997917175293
168,5,2,0,1.7481553554534912
169,0,0,1,2.2995948791503906
170,9,0,0,2.1271533966064453
171,9,3,0,2.540370464324951
172,9,0,0,3.0282163619995117
173,8,0,0,2.412018060684204
174,9,0,0,2.8511600494384766
175,9,0,0,1.7429182529449463
176,3,0,0,5.23811149597168
177,7,3,0,2.3087143898010254
178,5,3,0,4.400674819946289
179,0,3,0,2.1473090648651123
180,0,0,1,4.212010860443115
181,5,0,0,3.389728546142578
182,2,2,1,2.4752206802368164
183,2,0,0,2.5533790588378906
184,3,0,0,2.7895147800445557
185,8,0,0,4.335456848144531
186,6,2,0,2.8966763019561768
187,3,0,0,3.0855820178985596
188,4,5,0,1.180765986442566
189,0,0,1,4.077988624572754
190,5,0,0,3.0069196224212646
191,8,0,0,3.1932332515716553
192,0,3,0,3.322056770324707
193,1,0,0,2.482738971710205
194,7,0,0,2.489164352416992
195,2,3,0,2.0020792484283447
196,8,0,0,2.2036497592926025
197,8,0,0,1.6994850635528564
198,7,0,0,2.044745922088623
199,8,0,0,3.0010457038879395
200,5,0,0,1.4437317848205566
201,1,0,0,2.9067115783691406
202,8,0,0,1.1058100461959839
203,7,3,0,2.9393811225891113
204,1,3,0,2.504026412963867
205,3,0,0,3.1509904861450195
206,0,0,1,3.3399276733398438
207,5,0,0,1.154704213142395
208,7,0,0,2.764960765838623
209,9,0,0,2.7147862911224365
210,7,0,0,2.575192451477051
211,4,0,0,1.7171889543533325
212,5,0,0,2.5808825492858887
213,9,0,0,2.640401601791382
214,8,0,0,2.5085299015045166
215,0,0,1,2.275751829147339
216,7,0,0,2.047492027282715
217,9,0,0,4.2397613525390625
218,8,0,0,2.6295385360717773
219,2,0,0,1.8486120700836182
220,7,0,0,2.2927839756011963
221,6,3,0,0.7709978818893433
222,9,0,0,1.7961525917053223
223,4,0,0,3.0816702842712402
224,3,3,1,3.240532398223877
225,9,0,0,2.705033540725708
226,6,0,0,4.241556644439697
227,4,2,0,2.2206878662109375
228,7,0,0,2.614043712615967
229,6,0,0,1.340727686882019
230,5,2,0,1.9145376682281494
231,1,0,0,2.4665985107421875
232,5,0,0,2.8209640979766846
233,8,3,0,2.5208804607391357
234,8,0,0,2.5788633823394775
235,0,0,1,2.2628726959228516
236,4,6,0,1.7664282321929932
237,0,0,1,2.9493231773376465
238,5,0,0,3.0842034816741943
239,5,0,0,1.7378029823303223
240,1,2,0,2.433483839035034
241,1,5,0,1.8298288583755493
242,8,0,0,3.0529351234436035
243,9,0,0,2.5276103019714355
244,0,0,1,2.153329849243164
245,3,0,0,4.128566265106201
246,1,0,0,1.9248780012130737
247,9,0,0,2.321639060974121
248,2,2,1,2.5941686630249023
249,2,0,0,1.105025291442871
250,5,0,0,3.4230732917785645
251,3,3,1,4.236712455749512
252,9,3,0,1.7310181856155396
253,9,3,0,2.3312010765075684
254,4,2,0,2.6143581867218018
255,0,0,1,1.5025286674499512
256,3,0,0,3.344780921936035
257,0,0,1,1.031498908996582
258,0,4,0,1.2968814373016357
259,9,0,0,2.145935535430908
260,8,0,0,1.965519905090332
261,1,0,0,3.3143093585968018
262,5,0,0,1.772178292274475
263,7,3,0,3.945716619491577
264,0,0,1,3.5871379375457764
265,8,0,0,3.9735264778137207
266,2,0,0,2.392274856567383
267,4,2,0,1.553807020187378
268,7,0,0,1.870129108428955
269,0,0,1,2.572140693664551
270,2,0,0,4.887096405029297
271,3,0,0,3.9493813514709473
272,6,5,0,2.8346505165100098
273,3,0,0,1.9504355192184448
274,8,0,0,2.3479955196380615
275,5,2,0,1.6360516548156738
276,0,0,1,1.7563462257385254
277,3,0,0,4.5937299728393555
278,4,2,0,2.9950647354125977
279,3,0,0,1.5587239265441895
280,9,2,0,1.344376802444458
281,0,2,0,2.0068166255950928
282,6,0,0,3.1331465244293213
283,1,0,0,2.518415927886963
284,0,0,1,4.3268632888793945
285,9,0,0,2.4881770610809326
286,1,0,0,3.073477029800415
287,0,0,1,2.8864455223083496
288,7,0,0,1.7345943450927734
289,9,5,0,2.072693109512329
290,1,0,0,4.154959201812744
291,2,0,0,4.706948280334473
292,6,3,0,1.070765495300293
293,9,2,0,1.8212687969207764
294,3,2,0,1.6632871627807617
295,4,0,0,3.092768669128418
296,6,2,0,2.917078733444214
297,0,0,1,2.8516342639923096
298,0,0,1,3.7504091262817383
299,6,0,0,5.215444564819336
300,6,0,0,2.186311960220337
301,6,2,0,2.1112451553344727
302,3,0,0,1.812432885169983
303,2,0,0,1.1575212478637695
304,6,2,0,2.041393756866455
305,1,0,0,4.2639031410217285
306,8,5,0,1.6543713808059692
307,2,0,0,1.6184346675872803
308,1,0,0,1.8255068063735962
309,6,0,0,3.0971126556396484
310,8,0,0,4.310832977294922
311,6,2,0,1.2073695659637451
312,8,0,0,2.271583080291748
313,0,0,1,2.0928142070770264
314,4,0,0,1.4421844482421875
315,0,3,0,1.4268975257873535
316,7,2,0,1.9268019199371338
317,7,0,0,3.353938579559326
318,5,3,0,2.268129825592041
319,5,0,0,2.5940005779266357
320,3,0,0,2.714625597000122
321,5,0,0,2.3039357662200928
322,2,3,0,3.8032023906707764
323,3,0,0,2.243927478790283
324,4,3,0,1.7646567821502686
325,1,0,0,2.282127857208252
326,7,0,0,2.458035945892334
327,5,3,0,4.081105709075928
328,4,0,0,1.8991649150848389
329,6,0,0,2.0286502838134766
330,1,2,0,2.615858316421509
331,9,0,0,3.2457351684570312
332,3,0,0,5.042385578155518
333,6,2,0,2.2868332862854004
334,6,4,0,0.6884061694145203
335,9,3,0,2.324026346206665
336,3,0,0,2.241894006729126
337,8,0,0,2.254767417907715
338,0,0,1,2.1776516437530518
339,7,0,0,1.308241844177246
340,2,5,0,1.4670721292495728
341,6,3,0,1.6564526557922363
342,2,0,0,2.5490055084228516
343,5,0,0,2.5433762073516846
344,8,0,0,2.7299294471740723
345,5,2,0,2.0638108253479004
346,4,2,0,1.4924111366271973
347,6,0,0,2.3023738861083984
348,8,0,0,3.3076701164245605
349,9,3,0,2.464359998703003
350,9,3,0,2.622096538543701
351,1,0,0,2.044966220855713
352,0,0,1,4.284354209899902
353,2,0,0,3.1274807453155518
354,2,5,0,1.6652148962020874
355,7,0,0,1.986483097076416
356,3,0,0,1.9905766248703003
357,2,0,0,1.7282143831253052
358,8,2,0,1.704573392868042
359,0,0,1,0.6819594502449036
360,9,0,0,3.6588120460510254
361,5,2,0,2.8763794898986816
362,8,3,0,1.6968621015548706
363,1,2,0,3.5168817043304443
364,9,0,0,2.3246312141418457
365,4,0,0,0.8948785662651062
366,1,0,0,3.683655261993408
367,3,0,0,3.0290932655334473
368,8,0,0,2.4008045196533203
369,1,0,0,3.1103551387786865
370,4,0,0,2.799365758895874
371,7,0,0,1.1814191341400146
372,9,0,0,4.513265132904053
373,4,0,0,2.2909159660339355
374,2,0,0,2.0590593814849854
375,7,2,0,2.765242338180542
376,0,0,1,2.058354377746582
377,7,0,0,3.8176255226135254
378,0,0,1,2.368926525115967
379,6,2,0,2.237149477005005
380,6,3,0,2.734997034072876
381,9,0,0,2.8514950275421143
382,0,0,1,2.254310131072998
383,9,0,0,4.046225547790527
384,2,0,0,3.472989320755005
385,8,0,0,3.914628028869629
386,7,3,0,2.4918100833892822
387,2,0,0,2.2081830501556396
388,2,0,0,3.256143808364868
389,5,0,0,1.652052640914917
390,1,0,0,2.05380916595459
391,2,0,0,1.6987347602844238
392,6,5,0,2.089264392852783
393,2,0,0,2.287205696105957
394,9,0,0,2.4495489597320557
395,6,0,0,2.0496397018432617
396,2,0,0,0.7849071621894836
397,3,0,0,3.403553009033203
398,0,0,1,2.8257226943969727
399,3,0,0,3.16079044342041
400,9,0,0,2.2437491416931152
401,8,0,0,2.4754395484924316
402,7,5,0,1.6336908340454102
403,8,0,0,2.740598440170288
404,8,0,0,4.872068405151367
405,4,0,0,2.459956645965576
406,0,0,1,2.751692295074463
407,1,0,0,2.6412038803100586
408,8,0,0,2.383451461791992
409,2,0,0,3.5802087783813477
410,7,0,0,1.4777436256408691
411,9,0,0,3.413684844970703
412,3,0,0,2.3527328968048096
413,6,4,0,1.0819295644760132
414,1,2,0,1.5664070844650269
415,9,0,0,1.7398161888122559
416,0,0,1,2.0528550148010254
417,7,6,0,1.4395865201950073
418,3,0,0,2.5435190200805664
419,7,0,0,3.1040916442871094
420,4,0,0,4.364001274108887
421,5,0,0,2.1840767860412598
422,0,0,1,4.722359657287598
423,0,2,0,1.082343578338623
424,2,0,0,4.7871270179748535
425,9,0,0,2.107347011566162
426,3,5,0,2.3972575664520264
427,4,0,0,2.2828214168548584
428,0,0,1,3.3149094581604004
429,6,3,0,2.3475589752197266
430,2,0,0,1.2915606498718262
431,5,0,0,3.05527400970459
432,3,0,0,1.6600576639175415
433,7,3,0,3.5453498363494873
434,3,0,0,1.447998285293579
435,7,3,0,2.0413804054260254
436,2,0,0,4.836894989013672
437,5,0,0,3.3143763542175293
438,3,0,0,1.8681131601333618
439,1,3,0,3.305863857269287
440,1,2,0,2.5347118377685547
441,4,0,0,3.4199037551879883
442,9,0,0,3.3360557556152344
443,9,0,0,2.3115971088409424
444,5,0,0,3.3805222511291504
445,7,2,0,1.4278475046157837
446,5,0,0,2.425305128097534
447,0,0,1,2.7122559547424316
448,2,0,0,3.881967067718506
449,2,0,0,2.7687978744506836
450,2,2,1,1.512109637260437
451,9,0,0,2.2956082820892334
452,7,3,0,4.729877471923828
453,3,0,0,3.879930019378662
454,9,0,0,2.3794820308685303
455,4,0,0,2.765972137451172
456,3,2,0,2.241131544113159
457,5,2,0,1.3270412683486938
458,4,0,0,4.565778732299805
459,6,0,0,1.632991075515747
460,5,0,0,2.765878200531006
461,6,0,0,1.944011926651001
462,1,2,0,1.7676607370376587
463,4,0,0,3.7023138999938965
464,3,3,1,1.0198290348052979
465,4,0,0,2.0563225746154785
466,4,2,0,2.3692500591278076
467,3,3,1,4.184686183929443
468,7,3,0,3.163499355316162
469,8,0,0,3.3001556396484375
470,3,3,1,3.1232309341430664
471,7,0,0,2.7513880729675293
472,8,0,0,3.0972962379455566
473,0,2,0,1.1104966402053833
474,5,3,0,2.826216697692871
475,7,0,0,2.1214940547943115
476,6,0,0,2.322258949279785
477,0,0,1,3.2443015575408936
478,5,0,0,3.0999484062194824
479,4,3,0,0.9067330360412598
480,8,0,0,2.257997512817383
481,6,0,0,2.3819265365600586
482,8,0,0,4.186429500579834
483,5,0,0,1.9298193454742432
484,5,0,0,3.136928081512451
485,9,0,0,2.515899658203125
486,9,0,0,4.506040573120117
487,9,3,0,1.9081240892410278
488,5,0,0,3.9879415035247803
489,0,0,1,1.9984780550003052
490,1,0,0,2.4354898929595947
491,0,2,0,2.717420816421509
492,8,3,0,1.8916337490081787
493,1,0,0,1.8011926412582397
494,1,0,0,3.0138206481933594
495,8,0,0,2.710601806640625
496,0,3,0,3.084892988204956
497,2,0,0,2.8333096504211426
498,2,0,0,2.072162628173828
499,0,3,0,2.014768600463867
500,4,0,0,3.0238161087036133
501,6,4,0,0.4896148443222046
502,5,0,0,2.133765935897827
503,4,0,0,2.858670711517334
504,9,0,0,4.617492198944092
505,4,0,0,2.4064953327178955
506,7,0,0,1.5816333293914795
507,9,3,0,1.9951280355453491
508,9,0,0,2.3852338790893555
509,4,2,0,1.4507942199707031
510,5,0,0,1.9194618463516235
511,6,3,0,1.3014520406723022
512,6,2,0,2.3248016834259033
513,1,0,0,3.4016475677490234
514,5,0,0,1.9173744916915894
515,3,0,0,1.0912903547286987
516,8,0,0,2.8705968856811523
517,9,0,0,2.6609435081481934
518,5,0,0,3.706080675125122
519,8,0,0,2.6721529960632324
520,5,0,0,3.2263073921203613
521,7,0,0,1.762940764427185
