sample_idx,true_label,pred_label,correct,confidence
0,3,3,1,2.270570755004883
1,8,3,0,2.221815586090088
2,8,8,1,1.482817530632019
3,0,0,1,2.9693055152893066
4,6,6,1,3.5659966468811035
5,6,6,1,4.95692253112793
6,1,9,0,3.265737771987915
7,6,6,1,4.742106914520264
8,3,3,1,3.858013391494751
9,1,1,1,2.4242639541625977
10,0,0,1,1.4359441995620728
11,9,4,0,0.7406116127967834
12,5,3,0,4.121877193450928
13,7,7,1,8.41855525970459
14,9,9,1,6.324957370758057
15,8,9,0,-0.25458860397338867
16,5,5,1,3.6626768112182617
17,7,9,0,2.1853935718536377
18,8,7,0,-0.02233644388616085
19,6,9,0,0.6608384847640991
20,7,2,0,1.2022945880889893
21,0,0,1,5.5247273445129395
22,4,4,1,2.4994659423828125
23,9,5,0,0.9801458716392517
24,5,2,0,0.2825864851474762
25,2,2,1,2.0485196113586426
26,4,3,0,1.6987190246582031
27,0,0,1,0.6678595542907715
28,9,3,0,2.6490705013275146
29,6,6,1,3.1840643882751465
30,6,6,1,5.462514400482178
31,5,5,1,3.6862244606018066
32,4,3,0,2.880744695663452
33,5,6,0,2.464071750640869
34,9,2,0,1.323175311088562
35,2,2,1,-0.2267903834581375
36,4,5,0,1.803703784942627
37,1,9,0,2.333404302597046
38,9,9,1,8.48374080657959
39,5,5,1,2.2108240127563477
40,4,3,0,3.999345302581787
41,6,6,1,3.6296987533569336
42,5,7,0,1.194079041481018
43,6,6,1,3.44718861579895
44,0,0,1,1.8880029916763306
45,9,3,0,-0.20491743087768555
46,3,3,1,3.1995737552642822
47,9,0,0,0.1753450632095337
48,7,7,1,6.224239826202393
49,6,6,1,2.207645893096924
50,9,9,1,0.0940139889717102
51,8,6,0,1.532140851020813
52,0,4,0,1.4414591789245605
53,3,3,1,2.3829782009124756
54,8,8,1,4.556859016418457
55,8,0,0,3.083109140396118
56,7,2,0,-0.6373584270477295
57,7,3,0,0.31679293513298035
58,4,4,1,1.8981775045394897
59,6,6,1,0.7218263149261475
60,7,6,0,0.7696020603179932
61,3,0,0,0.08716963976621628
62,6,6,1,3.175225019454956
63,3,3,1,4.396844863891602
64,6,6,1,6.098808288574219
65,2,2,1,3.7036116123199463
66,1,7,0,0.033907994627952576
67,2,2,1,0.6973025798797607
68,3,6,0,0.39003846049308777
69,7,7,1,2.4940290451049805
70,2,2,1,1.5184224843978882
71,6,6,1,2.001558780670166
72,8,8,1,8.845915794372559
73,8,8,1,2.663342237472534
74,0,0,1,1.5053719282150269
75,2,2,1,5.069447994232178
76,9,2,0,1.44291353225708
77,3,3,1,2.171221971511841
78,3,0,0,0.15424573421478271
79,8,3,0,1.6767503023147583
80,8,3,0,0.486908495426178
81,1,1,1,2.1023011207580566
82,1,2,0,-0.1132969781756401
83,7,3,0,1.6408909559249878
84,2,3,0,2.9686732292175293
85,5,3,0,1.3274171352386475
86,2,3,0,0.30933502316474915
87,7,3,0,4.1211113929748535
88,8,2,0,0.6596338748931885
89,9,9,1,5.450220108032227
90,0,8,0,1.8875333070755005
91,3,3,1,1.8389991521835327
92,8,9,0,2.762301445007324
93,6,3,0,2.7774131298065186
94,4,4,1,2.3785364627838135
95,6,6,1,4.094846725463867
96,6,6,1,3.354179620742798
97,0,0,1,4.6131911277771
98,0,0,1,4.7758941650390625
99,7,3,0,1.3600502014160156
100,4,7,0,1.8802114725112915
101,5,2,0,2.5157389640808105
102,6,6,1,3.343116044998169
103,3,2,0,3.7031538486480713
104,1,9,0,0.8948714137077332
105,1,1,1,8.136313438415527
106,3,2,0,0.7898440361022949
107,6,6,1,4.243295192718506
108,8,3,0,0.40643104910850525
109,7,0,0,0.3741249740123749
110,4,4,1,2.1138081550598145
111,0,0,1,1.2711098194122314
112,6,2,0,5.395633697509766
113,2,0,0,0.37503230571746826
114,1,1,1,11.186033248901367
115,3,3,1,1.5732276439666748
116,0,0,1,2.5926084518432617
117,4,2,0,1.0013054609298706
118,2,6,0,1.5545604228973389
119,7,6,0,1.1836193799972534
120,8,0,0,-0.4866955876350403
121,3,3,1,2.3939619064331055
122,1,3,0,2.246676206588745
123,2,2,1,3.0340983867645264
124,8,0,0,3.579072952270508
125,0,3,0,1.0076076984405518
126,8,3,0,2.8776514530181885
127,3,3,1,3.1062450408935547
128,5,3,0,2.0946478843688965
129,2,3,0,2.467554807662964
130,4,6,0,0.6029312610626221
131,1,5,0,0.7550981640815735
132,8,9,0,2.8409883975982666
133,9,5,0,2.5548887252807617
134,1,9,0,0.3569256663322449
135,2,2,1,4.2209320068359375
136,9,9,1,4.125087738037109
137,7,6,0,1.511916160583496
138,2,6,0,2.1910839080810547
139,9,8,0,2.6364591121673584
140,6,4,0,0.018903817981481552
141,5,5,1,0.5363171100616455
142,6,6,1,5.657744884490967
143,3,5,0,1.8477258682250977
144,8,3,0,0.7767329216003418
145,7,3,0,0.8380995988845825
146,6,6,1,2.1083014011383057
147,2,6,0,1.8243204355239868
148,5,2,0,0.4919484555721283
149,2,2,1,2.064544916152954
150,8,0,0,1.757556676864624
151,9,9,1,8.609090805053711
152,6,6,1,3.29278302192688
153,0,0,1,0.02478698641061783
154,0,2,0,1.444342017173767
155,5,3,0,4.550755977630615
156,2,2,1,2.9406931400299072
157,9,3,0,2.551875591278076
158,5,3,0,2.8596975803375244
159,4,1,0,2.6822967529296875
160,2,2,1,3.259722948074341
161,1,1,1,1.78298819065094
162,6,3,0,1.0628000497817993
163,6,6,1,5.902472019195557
164,8,3,0,1.6794893741607666
165,4,2,0,2.8961117267608643
166,8,8,1,3.8243768215179443
167,4,2,0,3.387112855911255
168,5,5,1,7.149367332458496
169,0,3,0,1.388547658920288
170,9,3,0,1.5865468978881836
171,9,3,0,2.864553928375244
172,9,9,1,2.5626394748687744
173,8,2,0,0.05447980388998985
174,9,9,1,5.19821834564209
175,9,9,1,10.534485816955566
176,3,3,1,2.3955016136169434
177,7,7,1,-0.01313353143632412
178,5,5,1,4.375941276550293
179,0,2,0,1.9013508558273315
180,0,0,1,1.6471679210662842
181,5,7,0,1.2556073665618896
182,2,2,1,10.179803848266602
183,2,2,1,0.9289363622665405
184,3,3,1,1.037226676940918
185,8,8,1,2.518225908279419
186,6,6,1,3.1402180194854736
187,3,3,1,5.8061017990112305
188,4,2,0,3.2345407009124756
189,0,0,1,5.008800506591797
190,5,6,0,-0.015038227662444115
191,8,8,1,3.7298974990844727
192,0,0,1,0.2007235288619995
193,1,3,0,2.3383638858795166
194,7,6,0,3.3815362453460693
195,2,4,0,1.304878830909729
196,8,8,1,4.1268086433410645
197,8,8,1,1.0005097389221191
198,7,3,0,1.2152031660079956
199,8,3,0,1.6944379806518555
200,5,5,1,1.297231674194336
201,1,5,0,5.092952251434326
202,8,2,0,1.1938225030899048
203,7,7,1,1.332802414894104
204,1,3,0,0.35436272621154785
205,3,8,0,2.3076109886169434
206,0,0,1,0.44595086574554443
207,5,2,0,-0.3559340834617615
208,7,7,1,14.291300773620605
209,9,2,0,0.552539587020874
210,7,5,0,2.030916929244995
211,4,3,0,0.697127103805542
212,5,3,0,2.1697893142700195
213,9,9,1,1.988677740097046
214,8,6,0,2.924570083618164
215,0,2,0,1.7707643508911133
216,7,4,0,2.4655885696411133
217,9,9,1,5.897497653961182
218,8,0,0,0.9680799245834351
219,2,2,1,3.403660535812378
220,7,7,1,2.5104868412017822
221,6,2,0,3.245586633682251
222,9,9,1,3.97925066947937
223,4,3,0,1.7297413349151611
224,3,4,0,-0.42041635513305664
225,9,2,0,0.4911700189113617
226,6,7,0,0.599033534526825
227,4,4,1,0.515535831451416
228,7,3,0,1.7108991146087646
229,6,6,1,2.6196603775024414
230,5,9,0,0.9680137634277344
