sample_idx,true_label,pred_label,correct,confidence
0,3,2,0,2.9917309284210205
1,8,7,0,-0.39236316084861755
2,8,5,0,-0.24669620394706726
3,0,8,0,1.9371472597122192
4,6,6,1,6.710239887237549
5,6,6,1,7.075909614562988
6,1,1,1,8.219922065734863
7,6,6,1,3.2367260456085205
8,3,3,1,4.919741630554199
9,1,3,0,1.4803639650344849
10,0,0,1,5.256844997406006
11,9,9,1,9.122273445129395
12,5,2,0,0.580978274345398
13,7,7,1,12.620950698852539
14,9,9,1,2.5921790599823
15,8,8,1,7.309871673583984
16,5,3,0,4.1714863777160645
17,7,7,1,-1.8637351989746094
18,8,8,1,6.425144672393799
19,6,6,1,9.112417221069336
20,7,5,0,0.015130100771784782
21,0,0,1,7.815455436706543
22,4,4,1,7.735072612762451
23,9,1,0,3.8383071422576904
24,5,5,1,5.3255486488342285
25,2,6,0,3.4112462997436523
26,4,6,0,2.600720167160034
27,0,0,1,1.419506311416626
28,9,1,0,1.1224801540374756
29,6,6,1,4.15884256362915
30,6,6,1,7.3804450035095215
31,5,5,1,6.155577659606934
32,4,4,1,3.9140403270721436
33,5,6,0,1.9860193729400635
34,9,9,1,-1.8819493055343628
35,2,3,0,1.9036115407943726
36,4,3,0,0.7652143836021423
37,1,6,0,-1.0184837579727173
38,9,9,1,3.5864667892456055
39,5,5,1,6.350436687469482
40,4,1,0,0.144847571849823
41,6,6,1,5.319508075714111
42,5,4,0,0.9822382926940918
43,6,6,1,6.992239475250244
44,0,1,0,1.2884368896484375
45,9,9,1,-0.3060433864593506
46,3,3,1,5.631441116333008
47,9,5,0,-0.15267232060432434
48,7,7,1,4.153040409088135
49,6,6,1,9.679010391235352
50,9,9,1,9.131621360778809
51,8,8,1,10.372920036315918
52,0,2,0,-0.9507145881652832
53,3,3,1,3.4544336795806885
54,8,0,0,0.3944564759731293
55,8,0,0,3.4765145778656006
56,7,8,0,-0.4442603886127472
57,7,5,0,2.6197614669799805
58,4,5,0,2.3438498973846436
59,6,6,1,0.6230480670928955
60,7,7,1,13.698332786560059
61,3,2,0,1.5274238586425781
62,6,6,1,3.901812791824341
63,3,3,1,4.01841402053833
64,6,6,1,9.717001914978027
65,2,6,0,5.6656646728515625
66,1,1,1,3.8892056941986084
67,2,2,1,3.349053144454956
68,3,6,0,3.394460916519165
69,7,7,1,4.288469314575195
70,2,2,1,1.7543538808822632
71,6,6,1,9.819686889648438
72,8,0,0,4.2761759757995605
73,8,8,1,2.7799386978149414
74,0,2,0,1.269052505493164
75,2,2,1,0.4966009557247162
76,9,1,0,1.0977661609649658
77,3,6,0,0.13336940109729767
78,3,5,0,4.433913707733154
79,8,8,1,-0.1898130476474762
80,8,3,0,1.364578127861023
81,1,1,1,5.840394496917725
82,1,1,1,7.90447998046875
83,7,7,1,4.736011028289795
84,2,0,0,0.0008549392223358154
85,5,5,1,-0.15186813473701477
86,2,2,1,1.5924720764160156
87,7,3,0,2.4759023189544678
88,8,8,1,9.021108627319336
89,9,9,1,4.255317211151123
90,0,7,0,1.2940700054168701
91,3,3,1,4.930897235870361
92,8,8,1,12.436817169189453
93,6,6,1,5.831780433654785
94,4,2,0,2.244260549545288
95,6,6,1,7.5855631828308105
96,6,6,1,6.235924243927002
97,0,0,1,4.445468425750732
98,0,0,1,3.700535297393799
99,7,7,1,7.5167317390441895
100,4,4,1,6.550841808319092
101,5,5,1,1.7519211769104004
102,6,6,1,5.993979454040527
103,3,3,1,3.3529393672943115
104,1,1,1,13.374321937561035
105,1,1,1,0.9552472233772278
106,3,2,0,2.1741058826446533
107,6,6,1,10.031730651855469
108,8,8,1,-0.145484060049057
109,7,7,1,5.106750011444092
110,4,3,0,1.3961938619613647
111,0,0,1,0.2745707333087921
112,6,6,1,5.818835258483887
113,2,3,0,2.4884636402130127
114,1,9,0,1.5696157217025757
115,3,2,0,3.942458391189575
116,0,0,1,9.865019798278809
117,4,4,1,6.881295204162598
118,2,2,1,2.7470061779022217
119,7,5,0,2.073591709136963
120,8,7,0,0.25903093814849854
121,3,2,0,-0.5502151846885681
122,1,5,0,-0.6017875671386719
123,2,2,1,1.41451895236969
124,8,8,1,9.813835144042969
125,0,2,0,1.8271716833114624
126,8,0,0,0.387277215719223
127,3,6,0,2.2550830841064453
128,5,6,0,2.056453227996826
129,2,0,0,1.1350516080856323
130,4,2,0,4.1990861892700195
131,1,1,1,20.176700592041016
132,8,8,1,2.913771629333496
133,9,9,1,1.1829249858856201
134,1,5,0,0.8503235578536987
135,2,3,0,-0.4201696515083313
136,9,7,0,0.6807396411895752
137,7,7,1,0.4606393575668335
138,2,6,0,7.08478307723999
139,9,2,0,-0.6403516530990601
140,6,6,1,3.314913034439087
141,5,5,1,0.750261127948761
142,6,6,1,3.806612014770508
143,3,3,1,7.760039329528809
144,8,8,1,3.5711309909820557
145,7,7,1,0.5495256185531616
146,6,6,1,2.077845811843872
147,2,6,0,0.9250504970550537
148,5,7,0,-0.1853637993335724
149,2,2,1,5.264411449432373
150,8,8,1,5.540250301361084
151,9,5,0,1.2965171337127686
152,6,6,1,5.749179363250732
153,0,0,1,0.5023839473724365
154,0,0,1,2.3455042839050293
155,5,5,1,5.387150287628174
156,2,2,1,3.2013118267059326
157,9,9,1,8.006807327270508
158,5,3,0,1.9774404764175415
159,4,2,0,2.9043524265289307
160,2,2,1,5.451833248138428
161,1,1,1,3.6197712421417236
162,6,6,1,1.7634941339492798
163,6,6,1,5.32395601272583
164,8,8,1,1.8647687435150146
165,4,2,0,1.3445682525634766
166,8,8,1,3.7266294956207275
167,4,4,1,2.358466148376465
168,5,5,1,7.100197792053223
169,0,3,0,2.9883596897125244
170,9,6,0,1.084598183631897
171,9,5,0,2.4230313301086426
172,9,6,0,2.813333749771118
173,8,3,0,-1.0276602506637573
174,9,9,1,7.1826629638671875
175,9,9,1,15.24928092956543
176,3,2,0,3.6887316703796387
177,7,7,1,4.294239044189453
178,5,3,0,3.9757187366485596
179,0,0,1,3.8168342113494873
180,0,0,1,1.512943983078003
181,5,5,1,-1.9414880275726318
182,2,2,1,8.355077743530273
183,2,3,0,1.1538370847702026
184,3,6,0,2.0243232250213623
185,8,8,1,1.7370637655258179
186,6,6,1,9.961221694946289
187,3,3,1,7.432498931884766
188,4,2,0,1.7769241333007812
189,0,9,0,-0.6972929239273071
190,5,2,0,0.5775131583213806
191,8,3,0,-0.010228928178548813
192,0,0,1,1.2845547199249268
193,1,1,1,7.279938697814941
194,7,3,0,2.254305601119995
195,2,6,0,-1.0677490234375
196,8,8,1,11.935651779174805
197,8,8,1,3.221226692199707
198,7,6,0,0.6207664012908936
199,8,7,0,1.0332911014556885
200,5,5,1,2.932502508163452
201,1,2,0,0.21183718740940094
202,8,2,0,3.619924306869507
203,7,5,0,-1.3099937438964844
204,1,1,1,11.408513069152832
205,3,2,0,2.839390993118286
206,0,2,0,1.8908579349517822
207,5,5,1,8.034173965454102
208,7,2,0,3.728800058364868
209,9,9,1,8.17011547088623
210,7,5,0,4.453744888305664
211,4,0,0,1.6905579566955566
212,5,5,1,5.730321407318115
213,9,7,0,-0.27745211124420166
214,8,6,0,0.8663023710250854
215,0,0,1,4.071786880493164
216,7,4,0,0.4350965917110443
217,9,9,1,2.491122007369995
218,8,8,1,5.306394577026367
219,2,2,1,5.758963108062744
220,7,2,0,-0.08340932428836823
221,6,2,0,1.8922909498214722
222,9,6,0,1.0967780351638794
223,4,4,1,2.0087413787841797
224,3,3,1,3.5271265506744385
225,9,6,0,-0.6840757131576538
226,6,5,0,-0.8066126108169556
227,4,3,0,0.822577178478241
228,7,7,1,4.046503067016602
229,6,6,1,3.234219551086426
230,5,5,1,-0.15279334783554077
231,1,9,0,6.321142196655273
232,5,0,0,0.2368803322315216
233,8,4,0,1.1035302877426147
234,8,8,1,11.831326484680176
235,0,2,0,4.700150012969971
236,4,4,1,10.862523078918457
237,0,6,0,1.1234121322631836
238,5,5,1,3.319948434829712
239,5,5,1,11.197966575622559
240,1,1,1,1.9553219079971313
241,1,1,1,8.805682182312012
242,8,0,0,-1.0730502605438232
243,9,9,1,2.022517204284668
244,0,0,1,6.019998073577881
245,3,0,0,0.82799232006073
246,1,1,1,-1.380469799041748
247,9,2,0,1.2863818407058716
248,2,2,1,6.2657575607299805
249,2,2,1,1.640197515487671
250,5,5,1,3.872476816177368
251,3,8,0,1.0147747993469238
252,9,1,0,0.4068104028701782
253,9,1,0,2.1782217025756836
254,4,4,1,4.060150146484375
255,0,0,1,-1.397733449935913
256,3,3,1,5.4421772956848145
257,0,7,0,-0.4507407248020172
258,0,8,0,5.029488563537598
259,9,9,1,8.255488395690918
260,8,5,0,1.792921781539917
261,1,6,0,2.3728606700897217
262,5,2,0,2.891918897628784
263,7,6,0,0.5423929691314697
264,0,0,1,3.3241705894470215
265,8,8,1,7.906787395477295
266,2,6,0,-1.586616039276123
267,4,6,0,2.4881668090820312
268,7,3,0,0.44664961099624634
269,0,0,1,4.255423545837402
270,2,2,1,1.531268835067749
271,3,3,1,0.9958628416061401
272,6,6,1,5.40324592590332
273,3,3,1,7.042847633361816
274,8,8,1,8.40185546875
275,5,5,1,-0.5059077143669128
276,0,0,1,2.140199661254883
277,3,2,0,-0.027837146073579788
278,4,6,0,1.4926519393920898
279,3,3,1,-1.0148833990097046
280,9,1,0,2.6653215885162354
281,0,9,0,0.6606564521789551
282,6,6,1,8.653321266174316
283,1,1,1,5.173553466796875
284,0,9,0,0.7952334880828857
285,9,9,1,8.734012603759766
286,1,1,1,0.3155249059200287
287,0,8,0,7.202038288116455
288,7,0,0,-0.09120431542396545
289,9,9,1,13.533886909484863
290,1,6,0,3.3262171745300293
291,2,2,1,4.7715935707092285
292,6,4,0,5.785740375518799
293,9,5,0,1.8240058422088623
294,3,3,1,-0.12484729290008545
295,4,4,1,3.6741220951080322
296,6,6,1,6.853785991668701
297,0,0,1,9.72692584991455
298,0,2,0,1.7944464683532715
299,6,6,1,8.842340469360352
300,6,6,1,8.431032180786133
301,6,6,1,5.922863006591797
302,3,3,1,2.4739091396331787
303,2,8,0,1.1543434858322144
304,6,3,0,1.8719080686569214
305,1,1,1,0.9173031449317932
306,8,8,1,3.5665650367736816
307,2,2,1,5.757472038269043
308,1,1,1,2.5734641551971436
309,6,6,1,3.6257331371307373
310,8,8,1,6.566677570343018
311,6,6,1,8.826961517333984
312,8,0,0,1.4670841693878174
313,0,0,1,2.877044677734375
314,4,4,1,2.143890857696533
315,0,0,1,5.01011848449707
316,7,7,1,4.060477256774902
317,7,7,1,7.074433326721191
318,5,5,1,7.24616003036499
319,5,3,0,0.9959837794303894
320,3,2,0,3.0497610569000244
321,5,3,0,3.018606662750244
322,2,2,1,5.101536750793457
323,3,3,1,2.8270175457000732
324,4,4,1,-0.31052646040916443
325,1,5,0,-0.21250486373901367
326,7,3,0,2.8603901863098145
327,5,5,1,0.09720919281244278
328,4,2,0,2.5232083797454834
329,6,6,1,8.88344955444336
330,1,3,0,2.2085764408111572
331,9,9,1,0.043648675084114075
332,3,3,1,1.2953165769577026
333,6,6,1,5.556375503540039
334,6,6,1,12.826212882995605
335,9,6,0,1.2567654848098755
336,3,3,1,3.6898739337921143
337,8,2,0,4.013286113739014
338,0,0,1,3.5116848945617676
339,7,7,1,-0.8809106349945068
340,2,6,0,2.56917142868042
341,6,6,1,4.4024977684021
342,2,2,1,6.649325847625732
343,5,3,0,0.3670269846916199
344,8,8,1,1.7221282720565796
345,5,5,1,9.061702728271484
346,4,4,1,7.965388298034668
347,6,6,1,4.729844093322754
348,8,8,1,11.024221420288086
349,9,9,1,6.819894790649414
350,9,9,1,4.681052207946777
351,1,9,0,1.8527623414993286
352,0,8,0,4.441160202026367
353,2,9,0,0.23644207417964935
354,2,6,0,4.124014377593994
355,7,2,0,3.3453381061553955
356,3,6,0,6.036854267120361
357,2,2,1,5.0792999267578125
358,8,8,1,2.888369560241699
359,0,0,1,0.02857789397239685
360,9,9,1,11.308890342712402
361,5,5,1,1.7468997240066528
362,8,8,1,10.5965576171875
363,1,1,1,-0.6152701377868652
364,9,9,1,13.706941604614258
365,4,4,1,-0.18687430024147034
366,1,2,0,3.7537288665771484
367,3,3,1,-1.2013280391693115
368,8,2,0,3.3321077823638916
369,1,9,0,0.46342483162879944
