sample_idx,true_label,pred_label,correct,confidence
0,3,3,1,0.7803369760513306
1,8,8,1,4.02234411239624
2,8,8,1,1.3351413011550903
3,0,8,0,0.6069441437721252
4,6,6,1,5.180546760559082
5,6,3,0,0.8342348337173462
6,1,1,1,9.7053804397583
7,6,6,1,3.2485604286193848
8,3,3,1,2.3475043773651123
9,1,6,0,-1.6304513216018677
10,0,0,1,-0.14755050837993622
11,9,9,1,1.1409051418304443
12,5,3,0,2.6436972618103027
13,7,9,0,-0.033030636608600616
14,9,9,1,4.6973161697387695
15,8,8,1,4.650462627410889
16,5,5,1,5.997374534606934
17,7,7,1,4.132523536682129
18,8,8,1,4.031195640563965
19,6,6,1,7.3959879875183105
20,7,7,1,0.5804072022438049
21,0,0,1,4.260018348693848
22,4,2,0,-0.013649608939886093
23,9,9,1,0.15025456249713898
24,5,6,0,0.8197309374809265
25,2,2,1,0.2030855119228363
26,4,7,0,-1.1990251541137695
27,0,0,1,0.48806849122047424
28,9,2,0,-0.29566460847854614
29,6,6,1,2.911775588989258
30,6,6,1,8.094354629516602
31,5,5,1,6.729297161102295
32,4,4,1,1.4462331533432007
33,5,5,1,2.6411914825439453
34,9,3,0,-0.3417274057865143
35,2,1,0,-0.4284548759460449
36,4,4,1,1.8889193534851074
37,1,1,1,-0.2872970700263977
38,9,1,0,3.6493282318115234
39,5,5,1,2.426943063735962
40,4,4,1,9.202200889587402
41,6,6,1,2.7290871143341064
42,5,3,0,4.0561299324035645
43,6,6,1,4.084197044372559
44,0,1,0,2.867095470428467
45,9,7,0,-1.0127182006835938
46,3,3,1,1.786039113998413
47,9,9,1,-1.1430960893630981
48,7,7,1,0.10104401409626007
49,6,6,1,1.115590214729309
50,9,9,1,6.418152809143066
51,8,8,1,0.6851935386657715
52,0,3,0,-1.6892956495285034
53,3,6,0,1.7845635414123535
54,8,8,1,9.025728225708008
55,8,8,1,6.44210958480835
56,7,7,1,2.9428253173828125
57,7,7,1,0.6256183981895447
58,4,3,0,0.138728529214859
59,6,3,0,0.6624078154563904
60,7,7,1,14.359868049621582
61,3,5,0,1.5924603939056396
62,6,4,0,1.1841758489608765
63,3,0,0,1.8598724603652954
64,6,6,1,1.709694504737854
65,2,2,1,1.1667214632034302
66,1,9,0,-0.12596358358860016
67,2,2,1,-0.6284146308898926
68,3,2,0,0.17988380789756775
69,7,2,0,-0.31719937920570374
70,2,9,0,0.23184464871883392
71,6,6,1,6.444300651550293
72,8,8,1,7.049235820770264
73,8,8,1,5.801168918609619
74,0,2,0,-0.4678107500076294
75,2,2,1,1.662718653678894
76,9,1,0,7.102291584014893
77,3,3,1,-0.05941566079854965
78,3,5,0,3.219083786010742
79,8,5,0,1.2014180421829224
80,8,8,1,3.558358907699585
81,1,9,0,1.7294769287109375
82,1,2,0,0.5640673041343689
83,7,7,1,3.313300132751465
84,2,3,0,1.5077975988388062
85,5,7,0,2.8158836364746094
86,2,3,0,-0.6572815179824829
87,7,3,0,0.3008515536785126
88,8,8,1,2.5944838523864746
89,9,9,1,6.3935370445251465
90,0,0,1,6.002338409423828
91,3,3,1,4.869521141052246
92,8,0,0,0.40616318583488464
93,6,6,1,1.2833359241485596
94,4,7,0,2.512845993041992
95,6,6,1,0.7791669368743896
96,6,2,0,1.0459469556808472
97,0,3,0,0.9832808375358582
98,0,0,1,3.2726521492004395
99,7,4,0,0.8541920781135559
100,4,4,1,-0.06824827194213867
101,5,5,1,3.1700382232666016
102,6,3,0,1.515509843826294
103,3,6,0,2.3321964740753174
104,1,1,1,9.008360862731934
105,1,9,0,1.465509057044983
106,3,3,1,1.5872273445129395
107,6,6,1,7.177946090698242
108,8,8,1,-0.2010980099439621
109,7,7,1,9.658230781555176
110,4,6,0,-0.22695691883563995
111,0,0,1,2.52591872215271
112,6,6,1,4.467188358306885
113,2,3,0,2.1408398151397705
114,1,9,0,-0.9216254949569702
115,3,6,0,-0.047574885189533234
116,0,0,1,4.0252251625061035
117,4,2,0,0.060294751077890396
118,2,3,0,2.2915103435516357
119,7,7,1,6.314682960510254
120,8,7,0,2.2499265670776367
121,3,3,1,2.9285950660705566
122,1,6,0,3.310370445251465
123,2,2,1,1.4950146675109863
124,8,0,0,1.2346582412719727
