sample_idx,true_label,pred_label,correct,confidence
0,3,3,1,2.315080165863037
1,8,8,1,8.521097183227539
2,8,8,1,5.842673301696777
3,0,4,0,1.7718288898468018
4,6,6,1,0.42026448249816895
5,6,6,1,12.019166946411133
6,1,1,1,6.870080471038818
7,6,6,1,4.139073371887207
8,3,3,1,5.772914886474609
9,1,6,0,-1.2050528526306152
10,0,0,1,5.7098388671875
11,9,9,1,4.57581901550293
12,5,2,0,0.1176573634147644
13,7,9,0,0.6703404784202576
14,9,1,0,-0.671038031578064
15,8,8,1,5.8297014236450195
16,5,5,1,-0.11744771152734756
17,7,9,0,0.018321923911571503
18,8,3,0,1.379677414894104
19,6,6,1,13.335137367248535
20,7,7,1,7.021620273590088
21,0,0,1,4.308449745178223
22,4,4,1,-0.24871701002120972
23,9,9,1,6.519703388214111
24,5,4,0,2.6575326919555664
25,2,9,0,-1.704127311706543
26,4,4,1,1.8464621305465698
27,0,0,1,2.7534406185150146
28,9,1,0,0.29372960329055786
29,6,6,1,1.9833335876464844
30,6,6,1,5.2262749671936035
31,5,5,1,8.880265235900879
32,4,4,1,2.5323758125305176
33,5,6,0,3.3813633918762207
34,9,9,1,1.8246636390686035
35,2,2,1,2.2264604568481445
36,4,4,1,0.7634646892547607
37,1,1,1,4.761958599090576
38,9,9,1,4.540698528289795
39,5,5,1,4.725741863250732
40,4,4,1,12.25174617767334
41,6,6,1,9.750900268554688
42,5,7,0,-1.178397297859192
43,6,6,1,7.606558799743652
44,0,0,1,8.277741432189941
45,9,9,1,3.147029399871826
46,3,6,0,2.4075756072998047
47,9,2,0,-2.8154654502868652
48,7,4,0,2.070046901702881
49,6,6,1,5.225892543792725
50,9,9,1,4.505288600921631
51,8,8,1,2.437623977661133
52,0,5,0,-1.6365777254104614
53,3,6,0,2.3258938789367676
54,8,8,1,3.8117835521698
55,8,0,0,1.9295648336410522
56,7,1,0,0.43790602684020996
57,7,7,1,-0.414488285779953
58,4,3,0,0.290679007768631
59,6,3,0,-0.12975767254829407
60,7,7,1,4.835190773010254
61,3,3,1,2.569701910018921
62,6,6,1,2.0648372173309326
63,3,3,1,3.0345890522003174
64,6,6,1,1.6021106243133545
65,2,2,1,4.079511642456055
66,1,8,0,3.1108617782592773
67,2,2,1,8.856853485107422
68,3,2,0,-0.16121819615364075
69,7,7,1,2.003904104232788
70,2,3,0,0.44283387064933777
71,6,6,1,10.8250093460083
72,8,0,0,3.5215771198272705
73,8,2,0,0.1490156650543213
74,0,0,1,5.81696081161499
75,2,2,1,9.61638069152832
76,9,9,1,2.2210693359375
77,3,3,1,2.725241184234619
78,3,5,0,2.0942604541778564
79,8,3,0,-1.1972228288650513
80,8,5,0,-2.731396198272705
81,1,9,0,7.056034088134766
82,1,1,1,12.64190673828125
83,7,0,0,0.8200967907905579
84,2,0,0,2.026015281677246
85,5,3,0,0.9637756943702698
86,2,8,0,-0.32843393087387085
87,7,7,1,1.1312602758407593
88,8,8,1,0.9558954834938049
89,9,9,1,2.540659189224243
90,0,0,1,3.44437313079834
91,3,3,1,6.047977924346924
92,8,8,1,1.2152107954025269
93,6,6,1,6.34761381149292
94,4,2,0,-0.07185520231723785
95,6,6,1,4.483975887298584
96,6,2,0,1.5051617622375488
97,0,0,1,4.648684024810791
98,0,0,1,5.059906482696533
99,7,7,1,11.940922737121582
100,4,4,1,8.227226257324219
101,5,5,1,2.1940300464630127
102,6,6,1,9.522822380065918
103,3,6,0,1.7642827033996582
104,1,1,1,21.547870635986328
105,1,1,1,1.003324031829834
106,3,3,1,5.8969268798828125
107,6,6,1,8.334099769592285
108,8,2,0,-1.687925100326538
109,7,7,1,16.280797958374023
110,4,2,0,2.0190205574035645
111,0,0,1,4.848989963531494
112,6,2,0,2.6641061305999756
113,2,3,0,2.0916571617126465
114,1,1,1,11.941422462463379
115,3,3,1,1.38242769241333
116,0,0,1,5.2347731590271
117,4,6,0,-2.9320662021636963
118,2,2,1,3.483983039855957
119,7,5,0,0.6760347485542297
120,8,3,0,-0.22078821063041687
121,3,3,1,1.7729121446609497
122,1,1,1,2.5694241523742676
123,2,2,1,9.728591918945312
124,8,8,1,9.02370834350586
125,0,0,1,2.09196400642395
126,8,8,1,3.0355279445648193
127,3,2,0,0.5388445258140564
128,5,5,1,2.833772659301758
129,2,2,1,1.539247989654541
130,4,4,1,7.533459663391113
131,1,1,1,14.109929084777832
132,8,8,1,-1.0402392148971558
133,9,9,1,9.410411834716797
134,1,9,0,-3.3235886096954346
135,2,2,1,2.164639949798584
136,9,9,1,10.048555374145508
137,7,7,1,3.8674042224884033
138,2,6,0,1.9408689737319946
139,9,8,0,2.5209896564483643
140,6,6,1,0.1284852921962738
141,5,1,0,2.376251697540283
142,6,6,1,2.638580560684204
143,3,3,1,5.898111820220947
144,8,8,1,1.4079420566558838
145,7,3,0,-1.1004995107650757
146,6,6,1,2.8722805976867676
147,2,3,0,0.8466248512268066
148,5,7,0,0.47675037384033203
149,2,2,1,3.1480748653411865
150,8,1,0,-1.010020136833191
151,9,9,1,8.801492691040039
152,6,6,1,0.2948819100856781
153,0,0,1,1.0402554273605347
154,0,6,0,1.359847068786621
155,5,5,1,5.257249355316162
156,2,3,0,0.6034504175186157
157,9,9,1,-0.8993461728096008
158,5,5,1,2.9254891872406006
159,4,4,1,8.856806755065918
160,2,2,1,5.500487327575684
161,1,1,1,0.09414032101631165
