sample_idx,true_label,pred_label,correct,confidence
0,3,3,1,9.336731910705566
1,8,8,1,9.394314765930176
2,8,8,1,7.108829021453857
3,0,0,1,1.379402995109558
4,6,6,1,12.198402404785156
5,6,6,1,11.443120002746582
6,1,1,1,7.205456733703613
7,6,6,1,7.041652202606201
8,3,3,1,8.22120475769043
9,1,9,0,5.3608198165893555
10,0,0,1,7.260749340057373
11,9,9,1,15.735418319702148
12,5,5,1,5.310272693634033
13,7,7,1,16.544719696044922
14,9,9,1,13.694458961486816
15,8,8,1,4.909883499145508
16,5,5,1,7.974137306213379
17,7,7,1,11.895063400268555
18,8,8,1,10.538664817810059
19,6,6,1,14.674528121948242
20,7,7,1,4.206121921539307
21,0,0,1,7.432828903198242
22,4,4,1,8.388708114624023
23,9,9,1,15.620582580566406
24,5,5,1,8.096814155578613
25,2,2,1,4.312925815582275
26,4,4,1,3.2766835689544678
27,0,0,1,8.227745056152344
28,9,9,1,8.738597869873047
29,6,6,1,10.22778606414795
30,6,6,1,6.7327680587768555
31,5,5,1,10.441605567932129
32,4,4,1,5.636635780334473
33,5,5,1,-2.057317018508911
34,9,9,1,16.31707191467285
35,2,2,1,5.317533016204834
36,4,4,1,8.818584442138672
37,1,1,1,4.633267402648926
38,9,9,1,11.750276565551758
39,5,5,1,8.993437767028809
40,4,4,1,12.715132713317871
41,6,6,1,9.338785171508789
42,5,5,1,1.4199880361557007
43,6,6,1,11.452173233032227
44,0,0,1,6.966674327850342
45,9,9,1,18.67147445678711
46,3,3,1,7.135479927062988
47,9,9,1,0.9568605422973633
48,7,7,1,16.027793884277344
49,6,6,1,5.8655805587768555
50,9,9,1,12.225398063659668
51,8,8,1,12.45382308959961
52,0,3,0,0.9224278330802917
53,3,3,1,7.437203884124756
54,8,8,1,15.770419120788574
55,8,8,1,15.807439804077148
56,7,7,1,6.478768348693848
57,7,5,0,1.0395702123641968
58,4,5,0,3.418797016143799
59,6,3,0,1.3528883457183838
60,7,7,1,15.401973724365234
61,3,3,1,4.640501022338867
62,6,6,1,7.60966157913208
63,3,3,1,3.932769775390625
64,6,6,1,10.741927146911621
65,2,2,1,10.886014938354492
66,1,1,1,1.5604674816131592
67,2,2,1,7.016550540924072
68,3,3,1,1.6288431882858276
69,7,7,1,8.601633071899414
70,2,3,0,-1.1636557579040527
71,6,6,1,12.479448318481445
72,8,8,1,12.232356071472168
73,8,8,1,11.523731231689453
74,0,0,1,5.019113540649414
75,2,2,1,13.230428695678711
76,9,9,1,10.049323081970215
77,3,3,1,7.394309997558594
78,3,5,0,3.422947406768799
79,8,8,1,10.985724449157715
80,8,8,1,13.591106414794922
81,1,1,1,4.855258941650391
82,1,1,1,16.375625610351562
83,7,7,1,13.887582778930664
84,2,2,1,2.9778249263763428
85,5,5,1,3.217275857925415
86,2,2,1,-2.3220293521881104
87,7,7,1,1.2630746364593506
88,8,8,1,12.612250328063965
89,9,9,1,13.435545921325684
90,0,0,1,8.201833724975586
91,3,3,1,8.409671783447266
92,8,8,1,9.70055103302002
93,6,6,1,8.884734153747559
94,4,4,1,6.460183620452881
95,6,6,1,6.104989528656006
96,6,6,1,7.789815902709961
97,0,0,1,7.45693826675415
98,0,0,1,4.52302885055542
99,7,7,1,18.872535705566406
100,4,4,1,8.621794700622559
101,5,5,1,4.145263671875
102,6,6,1,13.041016578674316
103,3,3,1,10.070927619934082
104,1,1,1,18.016788482666016
105,1,1,1,13.116708755493164
106,3,3,1,6.336158752441406
107,6,6,1,16.194324493408203
108,8,8,1,6.0019121170043945
109,7,7,1,17.309226989746094
110,4,4,1,5.472437858581543
111,0,0,1,11.458964347839355
112,6,6,1,7.142946243286133
113,2,2,1,11.248315811157227
114,1,1,1,15.583050727844238
115,3,3,1,3.1487207412719727
116,0,0,1,9.35185432434082
117,4,4,1,4.889311790466309
118,2,2,1,2.5719656944274902
119,7,7,1,6.214134216308594
120,8,8,1,7.5960187911987305
121,3,3,1,3.1584012508392334
