sample_idx,true_label,pred_label,correct,confidence
0,1,0,0,1.3514580726623535
1,1,1,1,0.5122156739234924
2,1,1,1,0.456756055355072
3,1,0,0,1.4575284719467163
4,1,0,0,2.2576866149902344
5,1,0,0,0.062258441001176834
6,1,0,0,0.8869795203208923
7,1,0,0,3.617048501968384
8,1,1,1,0.42778950929641724
9,1,0,0,0.3024107813835144
10,1,0,0,0.5735039114952087
11,1,0,0,0.23613883554935455
12,1,1,1,0.6508501172065735
13,1,0,0,-0.08393131196498871
14,1,0,0,1.4231510162353516
15,1,0,0,1.5825424194335938
16,1,1,1,-0.06100694090127945
17,1,0,0,0.5094727277755737
18,1,0,0,0.12221166491508484
19,1,1,1,1.2424522638320923
20,1,0,0,0.4525739848613739
21,1,1,1,-0.03982234746217728
22,1,0,0,4.025646686553955
23,1,1,1,-0.14178466796875
24,1,1,1,0.3102185130119324
25,1,1,1,1.5059592723846436
26,1,0,0,0.34516870975494385
27,1,1,1,1.9578968286514282
28,1,0,0,2.708184003829956
29,1,1,1,0.40860629081726074
30,1,1,1,2.1624062061309814
31,1,1,1,1.718125820159912
32,1,1,1,1.965623140335083
33,1,1,1,0.9884844422340393
34,1,1,1,1.0222928524017334
35,1,0,0,-0.24357184767723083
36,1,1,1,0.09096624702215195
37,1,1,1,0.4553210735321045
38,1,1,1,-0.08522464334964752
39,1,1,1,0.9779072403907776
40,1,0,0,1.8811782598495483
41,1,0,0,0.2594854235649109
42,1,0,0,-0.11650112271308899
43,1,0,0,0.13240136206150055
44,1,1,1,0.1664716601371765
45,1,0,0,-0.12067168951034546
46,1,0,0,0.8242621421813965
47,1,0,0,1.8586246967315674
48,1,0,0,1.5598206520080566
49,1,1,1,1.9719462394714355
50,1,1,1,0.1046842560172081
51,1,0,0,0.828046441078186
52,1,1,1,1.6817744970321655
53,1,0,0,0.8971675038337708
54,1,1,1,0.4602969288825989
55,1,0,0,0.2850370407104492
56,1,1,1,1.0228521823883057
57,1,1,1,0.314088374376297
58,1,0,0,1.6727408170700073
59,1,0,0,2.2386419773101807
60,1,0,0,1.2811994552612305
61,1,0,0,0.7618796229362488
62,1,0,0,1.040649652481079
63,1,0,0,0.6757965683937073
64,1,1,1,0.3625352382659912
65,1,0,0,0.7396160364151001
66,1,0,0,1.491219162940979
67,1,1,1,2.141113519668579
68,1,1,1,1.32609224319458
69,1,0,0,0.5141889452934265
70,1,0,0,1.6123396158218384
71,1,0,0,-0.2589527368545532
72,1,0,0,2.261913299560547
73,1,0,0,1.0938650369644165
74,1,0,0,1.9021908044815063
75,1,0,0,1.0718439817428589
76,1,1,1,0.7043820023536682
77,1,0,0,0.1941530704498291
78,1,0,0,0.7418999075889587
79,1,0,0,0.21079929172992706
80,1,1,1,1.0086063146591187
81,1,1,1,1.2424015998840332
82,1,0,0,3.6155567169189453
83,1,1,1,0.2522857189178467
84,1,0,0,-0.10681438446044922
85,1,0,0,-0.0036804936826229095
86,1,1,1,0.1117548868060112
87,1,1,1,-0.10402308404445648
88,1,1,1,-0.06611088663339615
89,1,0,0,0.87208092212677
90,1,0,0,2.4868814945220947
91,1,0,0,1.381864309310913
92,1,0,0,5.150230407714844
93,1,0,0,3.3981761932373047
94,1,1,1,0.6043108701705933
95,1,0,0,0.13274988532066345
96,1,0,0,0.38545751571655273
97,1,1,1,3.1694560050964355
98,1,0,0,2.1190569400787354
99,1,0,0,3.783430814743042
100,1,0,0,2.1157898902893066
101,1,1,1,0.27585434913635254
102,1,0,0,1.0143147706985474
103,1,0,0,1.7778897285461426
104,1,0,0,0.031724024564027786
105,1,0,0,1.3406513929367065
106,1,0,0,3.1390304565429688
107,1,1,1,0.46323326230049133
108,1,1,1,0.04958127439022064
109,1,0,0,0.4468212127685547
110,1,1,1,2.1136105060577393
111,1,1,1,-0.11513171344995499
112,1,0,0,0.01607397571206093
113,1,1,1,-0.09656985104084015
114,1,0,0,0.9121408462524414
115,1,1,1,1.3998441696166992
116,1,0,0,0.31582576036453247
117,1,1,1,2.280538320541382
118,1,1,1,0.8724032044410706
119,1,0,0,0.732154130935669
120,1,0,0,0.2797662019729614
121,1,0,0,0.6296746730804443
122,1,0,0,1.8247648477554321
123,1,1,1,0.2996577024459839
124,1,0,0,-0.23880696296691895
125,1,1,1,1.66691255569458
126,1,1,1,1.4586387872695923
127,1,0,0,1.8888758420944214
128,1,0,0,1.6760965585708618
129,1,1,1,-0.16931405663490295
130,1,0,0,1.453262209892273
131,1,1,1,0.07115738838911057
132,1,0,0,0.4009847044944763
133,1,0,0,0.6015282869338989
134,1,0,0,0.3724297285079956
135,1,1,1,1.1787407398223877
136,1,1,1,0.9698259234428406
137,1,0,0,2.35544490814209
138,1,0,0,4.310035228729248
139,1,0,0,3.4240448474884033
140,1,1,1,2.432288646697998
141,1,0,0,-0.020788725465536118
142,1,0,0,0.18635109066963196
143,1,1,1,1.9966704845428467
144,1,0,0,1.3251595497131348
145,1,0,0,1.852396845817566
146,1,0,0,1.4747101068496704
147,1,0,0,0.4012530744075775
148,1,0,0,1.9869556427001953
149,1,1,1,0.5619724988937378
150,1,0,0,0.12061062455177307
151,1,0,0,0.68311607837677
152,1,0,0,1.9890186786651611
153,1,1,1,0.3312565088272095
154,1,0,0,1.2419143915176392
155,1,0,0,2.2746810913085938
156,1,0,0,0.7291076183319092
157,1,1,1,0.5719895362854004
158,1,1,1,0.660698652267456
159,1,0,0,2.3900563716888428
160,1,0,0,0.7989692687988281
161,1,1,1,-0.15346571803092957
162,1,0,0,0.7050997018814087
163,1,0,0,1.1060903072357178
164,1,0,0,1.4010083675384521
165,1,0,0,0.8059698343276978
166,1,1,1,0.7812786102294922
167,1,0,0,0.8094403743743896
168,1,0,0,1.4674981832504272
169,1,0,0,3.764849901199341
170,1,1,1,0.47038835287094116
171,1,0,0,0.5832710266113281
172,1,0,0,0.820900559425354
173,1,1,1,0.7097523808479309
174,1,0,0,3.0217840671539307
175,1,1,1,1.6573436260223389
176,1,0,0,2.970773935317993
177,1,0,0,2.3309526443481445
178,1,0,0,0.7061358094215393
179,1,0,0,-0.07159087061882019
180,1,1,1,1.3197909593582153
181,1,1,1,2.2193989753723145
182,1,1,1,0.34499841928482056
183,1,0,0,1.0006622076034546
184,1,0,0,2.4867773056030273
185,1,0,0,1.1076600551605225
186,1,0,0,-0.14806866645812988
187,1,1,1,-0.024988386780023575
188,1,1,1,1.9478628635406494
189,1,1,1,2.1958718299865723
190,1,1,1,3.2194552421569824
191,1,0,0,2.316044807434082
192,1,1,1,1.0553491115570068
193,1,1,1,1.0690275430679321
194,1,0,0,0.9443793892860413
195,1,1,1,-0.2645627558231354
196,1,0,0,0.6039978265762329
197,1,1,1,2.012664794921875
198,1,1,1,0.29095566272735596
199,1,0,0,1.510849118232727
200,1,0,0,0.02480858936905861
201,1,1,1,-0.10446289926767349
202,1,0,0,0.6554950475692749
