sample_idx,true_label,pred_label,correct,confidence
0,1,1,1,2.5620267391204834
1,1,0,0,1.266648530960083
2,1,1,1,1.3440042734146118
3,1,1,1,1.9409433603286743
4,1,0,0,0.6740619540214539
5,1,0,0,1.3894877433776855
6,1,1,1,1.3368868827819824
7,1,1,1,1.1622291803359985
8,1,0,0,1.857649326324463
9,1,1,1,1.5964094400405884
10,1,0,0,1.1845436096191406
11,1,1,1,1.2622641324996948
12,1,1,1,0.26494765281677246
13,1,1,1,2.2762291431427
14,1,0,0,1.3468894958496094
15,1,1,1,0.9090901017189026
16,1,0,0,0.14430291950702667
17,1,0,0,0.2987658381462097
18,1,1,1,2.110137939453125
19,1,0,0,0.5214056372642517
20,1,1,1,1.243016242980957
21,1,1,1,0.6874122023582458
22,1,1,1,2.06925630569458
23,1,0,0,0.5439532399177551
24,1,1,1,1.4974852800369263
25,1,1,1,2.516082763671875
26,1,1,1,1.2284621000289917
27,1,1,1,1.8733502626419067
28,1,1,1,2.9973056316375732
29,1,1,1,2.4663658142089844
30,1,1,1,0.941398561000824
31,1,1,1,1.0856937170028687
32,1,1,1,1.0430567264556885
33,1,1,1,1.7634613513946533
34,1,1,1,1.5203500986099243
35,1,1,1,1.0549503564834595
36,1,1,1,1.6386491060256958
37,1,0,0,0.2383715808391571
38,1,1,1,2.4088428020477295
39,1,1,1,3.4733054637908936
40,1,0,0,0.5519134998321533
41,1,1,1,0.5932974815368652
42,1,1,1,0.6776555180549622
43,1,1,1,1.9170148372650146
44,1,1,1,0.986134946346283
45,1,1,1,1.5835813283920288
46,1,1,1,1.8191449642181396
47,1,0,0,0.8750988841056824
48,1,1,1,1.3753031492233276
49,1,1,1,1.5190014839172363
50,1,1,1,2.2817749977111816
51,1,0,0,0.5129799842834473
52,1,1,1,0.33923718333244324
53,1,1,1,1.2275724411010742
54,1,0,0,0.34111717343330383
55,1,0,0,0.8828259110450745
56,1,1,1,0.9048381447792053
57,1,1,1,1.494475245475769
58,1,1,1,0.7074408531188965
59,1,1,1,1.7686249017715454
60,1,1,1,2.792494535446167
61,1,1,1,2.7152488231658936
62,1,1,1,0.6269959807395935
63,1,0,0,0.38203445076942444
64,1,1,1,3.741830825805664
65,1,1,1,1.2412527799606323
66,1,0,0,1.2114309072494507
67,1,1,1,0.21801245212554932
68,1,1,1,0.5336018800735474
69,1,1,1,1.0979150533676147
70,1,1,1,2.515573501586914
71,1,1,1,2.537787437438965
72,1,0,0,1.9856334924697876
73,1,1,1,1.3601857423782349
74,1,0,0,1.0782101154327393
75,1,1,1,1.6181038618087769
76,1,0,0,0.5202699899673462
77,1,0,0,1.2740317583084106
78,1,1,1,1.9342230558395386
79,1,0,0,0.648784875869751
80,1,0,0,0.6610997915267944
81,1,0,0,0.5227066278457642
82,1,1,1,0.8430982232093811
83,1,1,1,0.4272359311580658
84,1,1,1,2.5338406562805176
85,1,0,0,0.6709980368614197
86,1,0,0,1.7562543153762817
87,1,1,1,1.0513650178909302
88,1,1,1,0.6294018626213074
89,1,0,0,0.480747252702713
90,1,1,1,2.361974000930786
91,1,0,0,1.2255233526229858
92,1,1,1,0.911969780921936
93,1,0,0,2.4990789890289307
94,1,1,1,2.2400052547454834
95,1,1,1,1.8618227243423462
96,1,0,0,1.0334168672561646
97,1,0,0,0.4769095480442047
98,1,1,1,1.4294551610946655
99,1,1,1,0.7691344618797302
100,1,1,1,1.7409592866897583
101,1,0,0,0.515442430973053
102,1,1,1,1.1468514204025269
103,1,1,1,1.6047511100769043
104,1,0,0,2.034839391708374
105,1,1,1,0.8266509175300598
106,1,1,1,1.369376301765442
107,1,0,0,0.5361490845680237
108,1,0,0,1.8488291501998901
109,1,1,1,1.2258100509643555
110,1,1,1,1.4026130437850952
111,1,1,1,1.6256413459777832
112,1,0,0,0.5330212116241455
113,1,1,1,0.6854892373085022
114,1,1,1,1.5190913677215576
115,1,1,1,0.19827887415885925
116,1,1,1,0.991489589214325
117,1,1,1,1.667924165725708
118,1,1,1,1.5115184783935547
119,1,0,0,0.31227725744247437
120,1,0,0,0.400832861661911
121,1,0,0,0.7330161929130554
122,1,1,1,1.5067795515060425
123,1,1,1,1.2966275215148926
124,1,1,1,1.9551348686218262
125,1,1,1,0.9435707926750183
126,1,1,1,2.1798665523529053
127,1,1,1,0.6212790608406067
128,1,0,0,0.38258951902389526
129,1,0,0,0.46278196573257446
130,1,0,0,1.2601231336593628
131,1,1,1,0.3220079839229584
132,1,1,1,1.3100391626358032
133,1,1,1,2.307671546936035
134,1,1,1,1.432192325592041
135,1,1,1,2.4839088916778564
136,1,0,0,0.6255987882614136
137,1,1,1,1.0179773569107056
138,1,0,0,1.5601624250411987
139,1,1,1,1.3220568895339966
140,1,1,1,1.637201189994812
141,1,1,1,2.539837121963501
142,1,0,0,1.3148378133773804
143,1,1,1,0.6202316880226135
144,1,0,0,1.51613450050354
145,1,1,1,0.8711902499198914
146,1,1,1,2.2323005199432373
147,1,1,1,1.378748893737793
148,1,1,1,3.016876220703125
149,1,1,1,1.6975470781326294
150,1,1,1,0.9354026913642883
151,1,1,1,1.7691363096237183
152,1,1,1,1.4918566942214966
153,1,1,1,0.7836306691169739
154,1,1,1,1.9000307321548462
155,1,1,1,2.9853456020355225
156,1,0,0,1.601941466331482
157,1,0,0,2.061464548110962
158,1,0,0,0.35974374413490295
159,1,1,1,0.9307461380958557
160,1,1,1,1.28466796875
161,1,1,1,1.7093902826309204
