sample_idx,true_label,pred_label,correct,confidence
0,1,1,1,1.2750545740127563
1,1,1,1,1.2483984231948853
2,1,1,1,1.817922592163086
3,1,1,1,3.412914276123047
4,1,1,1,2.1795382499694824
5,1,1,1,3.061377763748169
6,1,1,1,3.1454904079437256
7,1,0,0,4.858911991119385
8,1,1,1,1.1250847578048706
9,1,1,1,0.5296959280967712
10,1,1,1,2.799600839614868
11,1,1,1,1.003039002418518
12,1,0,0,1.7039642333984375
13,1,0,0,0.41790109872817993
14,1,1,1,1.4577120542526245
15,1,1,1,0.5768278241157532
16,1,1,1,0.6886520981788635
17,1,0,0,0.22871847450733185
18,1,0,0,0.7584556341171265
19,1,1,1,3.2145540714263916
20,1,0,0,0.44672664999961853
21,1,1,1,1.8389403820037842
22,1,1,1,1.8286755084991455
23,1,1,1,1.1487716436386108
24,1,1,1,3.357170820236206
25,1,1,1,2.8453195095062256
26,1,1,1,1.4337244033813477
27,1,1,1,1.569201111793518
28,1,1,1,2.4673855304718018
29,1,1,1,0.7041069865226746
30,1,1,1,0.0725490152835846
31,1,1,1,3.938023328781128
32,1,1,1,2.7895641326904297
33,1,1,1,0.8997247815132141
34,1,1,1,3.007744073867798
35,1,0,0,0.40172383189201355
36,1,1,1,1.2830581665039062
37,1,1,1,7.774735927581787
38,1,1,1,2.4810640811920166
39,1,1,1,6.65050745010376
40,1,0,0,1.7353389263153076
41,1,1,1,5.976095199584961
42,1,1,1,2.9435343742370605
43,1,1,1,2.6331756114959717
44,1,1,1,2.1668004989624023
45,1,1,1,6.8830952644348145
46,1,1,1,4.8935160636901855
47,1,1,1,0.8198663592338562
48,1,1,1,5.7631916999816895
49,1,1,1,0.24646581709384918
50,1,0,0,0.6886849403381348
51,1,1,1,2.3436827659606934
52,1,1,1,3.068695306777954
53,1,1,1,3.244389057159424
54,1,1,1,3.229003667831421
55,1,1,1,2.865206003189087
56,1,1,1,3.1049411296844482
57,1,1,1,0.2911110520362854
58,1,0,0,0.697880744934082
59,1,0,0,1.6860967874526978
60,1,0,0,2.938290596008301
61,1,0,0,1.2405242919921875
62,1,0,0,1.0813368558883667
63,1,1,1,0.9724066853523254
64,1,1,1,0.974560558795929
65,1,0,0,2.1426632404327393
66,1,1,1,1.7993931770324707
67,1,1,1,6.003345012664795
68,1,1,1,0.962739884853363
69,1,1,1,2.855701208114624
70,1,1,1,0.5217600464820862
71,1,1,1,7.012327671051025
72,1,1,1,2.634697675704956
73,1,1,1,7.928530693054199
74,1,1,1,5.751286029815674
75,1,1,1,8.048774719238281
76,1,1,1,2.9177281856536865
77,1,0,0,2.6802570819854736
78,1,1,1,6.099158763885498
79,1,1,1,0.9621235728263855
80,1,1,1,2.452674388885498
81,1,0,0,0.22688744962215424
82,1,1,1,0.9919626116752625
83,1,1,1,2.0110247135162354
84,1,0,0,0.4252009689807892
85,1,1,1,2.6532609462738037
86,1,1,1,1.7034803628921509
87,1,0,0,0.9947429895401001
88,1,0,0,1.7079663276672363
89,1,1,1,2.5716066360473633
90,1,1,1,2.0262298583984375
91,1,0,0,2.5436007976531982
92,1,0,0,2.014251947402954
93,1,0,0,0.06721892207860947
94,1,1,1,4.0257086753845215
95,1,1,1,0.3460484743118286
96,1,1,1,1.6051521301269531
97,1,1,1,4.546925067901611
98,1,1,1,1.5780497789382935
99,1,1,1,3.0601274967193604
100,1,1,1,2.64223051071167
101,1,1,1,2.276608467102051
102,1,1,1,0.2565581202507019
103,1,1,1,0.06736324727535248
104,1,1,1,1.7155240774154663
105,1,1,1,2.7632863521575928
106,1,1,1,3.71921706199646
107,1,1,1,4.230108261108398
108,1,1,1,2.9657344818115234
109,1,1,1,0.5308614373207092
110,1,0,0,3.1219656467437744
111,1,1,1,4.031046390533447
112,1,1,1,0.7834650874137878
113,1,1,1,1.7287248373031616
114,1,1,1,0.8030010461807251
115,1,0,0,1.8339097499847412
116,1,1,1,1.8613181114196777
117,1,1,1,1.9888169765472412
118,1,0,0,1.003766655921936
119,1,1,1,2.0156757831573486
120,1,1,1,3.42202091217041
121,1,1,1,4.652547359466553
122,1,1,1,2.333519220352173
123,1,1,1,3.935835123062134
124,1,1,1,2.0310163497924805
125,1,0,0,2.0217525959014893
126,1,1,1,4.084234714508057
127,1,1,1,2.2138800621032715
128,1,1,1,0.42408090829849243
129,1,1,1,3.86750864982605
130,1,1,1,4.735110759735107
131,1,1,1,2.089928388595581
132,1,1,1,2.1341512203216553
133,1,1,1,4.292535305023193
134,1,0,0,0.6485490798950195
135,1,1,1,2.5374841690063477
136,1,1,1,0.04544588923454285
137,1,1,1,2.364365816116333
138,1,1,1,2.8307180404663086
139,1,1,1,0.4974063038825989
140,1,1,1,3.324354410171509
141,1,1,1,2.1438488960266113
142,1,1,1,4.993735313415527
143,1,1,1,5.329366683959961
144,1,0,0,0.07903918623924255
145,1,1,1,0.7323402762413025
146,1,1,1,1.0564258098602295
147,1,0,0,0.2801229655742645
148,1,1,1,0.5288764238357544
149,1,0,0,2.5259735584259033
150,1,1,1,3.264272451400757
151,1,0,0,0.8463466167449951
152,1,1,1,1.9900169372558594
153,1,1,1,4.522257328033447
154,1,1,1,3.732900857925415
155,1,1,1,0.05458223819732666
156,1,1,1,1.1508015394210815
157,1,1,1,2.876422166824341
158,1,1,1,4.25367546081543
159,1,1,1,5.515079975128174
160,1,0,0,1.4625321626663208
161,1,1,1,2.877246618270874
162,1,1,1,3.1120688915252686
163,1,1,1,2.6348321437835693
164,1,1,1,1.9163533449172974
165,1,1,1,5.449134349822998
166,1,0,0,0.46418890357017517
167,1,1,1,4.742465972900391
168,1,1,1,1.7525873184204102
169,1,1,1,3.5092387199401855
170,1,1,1,2.298025131225586
171,1,1,1,0.4458048343658447
172,1,1,1,3.6537561416625977
173,1,0,0,0.06302961707115173
174,1,1,1,5.32978630065918
175,1,1,1,3.223994731903076
176,1,1,1,0.969572126865387
177,1,1,1,2.3457181453704834
178,1,1,1,5.289388656616211
179,1,1,1,2.439878463745117
180,1,1,1,3.332075834274292
181,1,1,1,3.391111135482788
182,1,1,1,1.674744963645935
183,1,1,1,4.919886589050293
184,1,1,1,3.088282823562622
185,1,1,1,3.0806162357330322
186,1,1,1,4.842288017272949
187,1,1,1,0.7201467752456665
188,1,1,1,3.0421407222747803
189,1,1,1,1.822102427482605
190,1,1,1,2.491168975830078
191,1,1,1,4.403807163238525
192,1,1,1,1.0124768018722534
193,1,0,0,4.654030799865723
194,1,1,1,0.675160825252533
195,1,0,0,0.18396703898906708
196,1,1,1,2.0715925693511963
197,1,0,0,0.46042099595069885
198,1,1,1,4.155018329620361
199,1,1,1,1.8981812000274658
200,1,1,1,4.439029693603516
201,1,0,0,1.428097128868103
202,1,1,1,4.809764385223389
203,1,0,0,1.3983007669448853
204,1,0,0,2.6750407218933105
205,1,1,1,5.013204574584961
206,1,0,0,1.3102067708969116
207,1,0,0,0.9404754042625427
208,1,0,0,0.5479766726493835
209,1,1,1,0.3880313038825989
210,1,1,1,0.054049260914325714
211,1,1,1,2.0442254543304443
212,1,1,1,0.1990191638469696
