sample_idx,true_label,pred_label,correct,confidence
0,1,0,0,0.095824234187603
1,1,1,1,1.8829950094223022
2,1,0,0,3.1598691940307617
3,1,0,0,0.06174028664827347
4,1,0,0,3.1389105319976807
5,1,1,1,0.4053282141685486
6,1,1,1,2.383331060409546
7,1,0,0,0.6153310537338257
8,1,0,0,0.386362761259079
9,1,1,1,0.10079486668109894
10,1,1,1,0.7392988801002502
11,1,0,0,0.04293996840715408
12,1,1,1,2.559191942214966
13,1,0,0,4.022398471832275
14,1,1,1,0.21637806296348572
15,1,1,1,1.6422700881958008
16,1,0,0,1.620429277420044
17,1,1,1,3.228330373764038
18,1,1,1,1.996380090713501
19,1,1,1,2.050494909286499
20,1,1,1,1.754887580871582
21,1,1,1,0.33435529470443726
22,1,1,1,0.0062583982944488525
23,1,1,1,3.1307477951049805
24,1,0,0,1.0711697340011597
25,1,1,1,3.3242928981781006
26,1,1,1,0.7387529015541077
27,1,0,0,0.8423460721969604
28,1,1,1,2.3977813720703125
29,1,1,1,0.484295129776001
30,1,1,1,0.6474015712738037
31,1,1,1,1.610230803489685
32,1,0,0,1.4176785945892334
33,1,0,0,0.3783339560031891
34,1,1,1,2.0867018699645996
35,1,0,0,2.0547449588775635
36,1,1,1,0.8684400916099548
37,1,1,1,0.6402832269668579
38,1,1,1,3.355257987976074
39,1,1,1,2.8999924659729004
40,1,1,1,5.936962127685547
41,1,0,0,1.9151558876037598
42,1,1,1,2.3307974338531494
43,1,1,1,2.609421968460083
44,1,1,1,0.6756972670555115
45,1,1,1,0.03949765861034393
46,1,1,1,1.5174787044525146
47,1,0,0,3.5418777465820312
48,1,0,0,3.5686118602752686
49,1,0,0,0.3436458706855774
50,1,1,1,3.7402305603027344
51,1,0,0,1.3781968355178833
52,1,0,0,2.141942024230957
53,1,1,1,0.4411908984184265
54,1,1,1,-0.1318235993385315
55,1,0,0,1.2692724466323853
56,1,0,0,2.060786008834839
57,1,0,0,6.3359150886535645
58,1,0,0,0.47161632776260376
59,1,1,1,0.23879742622375488
60,1,1,1,3.0949606895446777
61,1,0,0,0.7920643091201782
62,1,0,0,0.2687567472457886
63,1,0,0,0.1513793021440506
64,1,0,0,3.452270984649658
65,1,1,1,1.6102163791656494
66,1,1,1,0.7208154797554016
67,1,0,0,3.8576385974884033
68,1,1,1,0.06106583774089813
69,1,1,1,-0.18503448367118835
70,1,1,1,0.27784326672554016
71,1,0,0,0.22347673773765564
72,1,1,1,0.7407334446907043
73,1,1,1,2.913983106613159
74,1,0,0,-0.07743876427412033
75,1,0,0,1.213955283164978
76,1,1,1,3.406532049179077
77,1,1,1,0.7936195135116577
78,1,1,1,1.850358486175537
79,1,0,0,0.09518671780824661
80,1,0,0,0.14926260709762573
81,1,0,0,0.30289745330810547
82,1,1,1,1.087416172027588
83,1,0,0,2.253430128097534
84,1,1,1,0.7418936491012573
85,1,0,0,1.5696545839309692
86,1,1,1,1.2029459476470947
87,1,1,1,0.8012369275093079
88,1,1,1,1.279498815536499
89,1,0,0,1.4729652404785156
90,1,0,0,4.001601696014404
91,1,0,0,4.817315101623535
92,1,0,0,4.916253566741943
93,1,0,0,4.386519908905029
94,1,0,0,-0.19078019261360168
95,1,1,1,0.4728930592536926
96,1,1,1,5.078352928161621
97,1,0,0,0.7891904711723328
98,1,1,1,-0.05962679907679558
99,1,0,0,5.798576831817627
100,1,1,1,1.910876750946045
101,1,0,0,4.207248687744141
102,1,1,1,2.7576639652252197
103,1,0,0,1.4239652156829834
104,1,0,0,0.5385223627090454
105,1,1,1,1.1414105892181396
106,1,1,1,-0.2548947036266327
107,1,1,1,0.8084627985954285
108,1,1,1,2.5958285331726074
109,1,1,1,0.9991759061813354
110,1,0,0,2.8354830741882324
111,1,0,0,0.9179269671440125
112,1,0,0,2.0650687217712402
113,1,1,1,2.696657180786133
114,1,0,0,3.323136329650879
115,1,0,0,4.227318286895752
116,1,1,1,0.19970819354057312
117,1,1,1,0.157332643866539
118,1,1,1,2.70585560798645
119,1,0,0,0.7155823707580566
120,1,0,0,0.8911405801773071
121,1,0,0,3.8731210231781006
122,1,1,1,0.5399570465087891
123,1,0,0,-0.20177359879016876
124,1,1,1,0.1381501853466034
125,1,1,1,0.26413923501968384
126,1,1,1,0.06946011632680893
127,1,0,0,5.28410530090332
128,1,0,0,2.459165096282959
129,1,1,1,1.950225830078125
130,1,0,0,1.0770741701126099
131,1,0,0,0.6108719706535339
132,1,1,1,2.5335323810577393
133,1,1,1,3.3721954822540283
134,1,0,0,-0.047626689076423645
135,1,1,1,0.8848414421081543
136,1,0,0,2.515411853790283
137,1,1,1,1.0440293550491333
138,1,0,0,2.539032220840454
139,1,1,1,0.6564805507659912
140,1,1,1,0.28975188732147217
141,1,0,0,0.3752446472644806
142,1,1,1,1.823435664176941
143,1,1,1,1.061039924621582
144,1,1,1,0.25713568925857544
145,1,0,0,2.0929555892944336
146,1,0,0,-0.11200623959302902
147,1,0,0,2.509718656539917
148,1,0,0,1.4574780464172363
149,1,1,1,0.6936927437782288
150,1,1,1,1.059937596321106
151,1,0,0,2.7410857677459717
152,1,1,1,2.0845088958740234
153,1,0,0,1.6494449377059937
154,1,1,1,4.2317399978637695
155,1,1,1,0.012894272804260254
156,1,1,1,2.5223824977874756
157,1,0,0,3.1216437816619873
158,1,0,0,1.4452807903289795
159,1,1,1,0.6050786972045898
160,1,0,0,3.576385021209717
161,1,0,0,2.7161343097686768
162,1,1,1,1.2989277839660645
163,1,1,1,1.6708961725234985
164,1,0,0,0.8704320788383484
165,1,0,0,1.8741459846496582
166,1,1,1,2.1104109287261963
167,1,0,0,2.110490322113037
168,1,0,0,-0.13772794604301453
169,1,0,0,2.833033800125122
170,1,1,1,-0.21242016553878784
171,1,0,0,1.8654018640518188
172,1,0,0,1.6993236541748047
173,1,0,0,3.5228371620178223
174,1,0,0,5.114285945892334
175,1,1,1,-0.21471482515335083
176,1,0,0,0.6192123889923096
177,1,1,1,0.5007882118225098
178,1,1,1,0.2896060049533844
179,1,0,0,-0.1298627257347107
180,1,0,0,1.5777947902679443
181,1,1,1,0.7348277568817139
182,1,1,1,1.077414631843567
183,1,1,1,0.15711136162281036
184,1,0,0,2.2501940727233887
185,1,0,0,0.8631137013435364
186,1,1,1,0.8464060425758362
187,1,0,0,1.0809712409973145
188,1,1,1,3.9192349910736084
189,1,0,0,5.8860764503479
190,1,1,1,1.1593565940856934
191,1,1,1,2.8273632526397705
192,1,1,1,2.4330952167510986
193,1,1,1,3.533839702606201
194,1,0,0,0.7675021886825562
195,1,0,0,2.627769947052002
196,1,0,0,-0.029519060626626015
197,1,1,1,1.0228008031845093
198,1,0,0,0.3471076786518097
199,1,0,0,0.8363602757453918
200,1,0,0,-0.0635058730840683
201,1,1,1,0.4927328824996948
202,1,1,1,2.395214319229126
203,1,0,0,-0.18262991309165955
204,1,0,0,-0.04496883600950241
205,1,0,0,1.1494719982147217
206,1,1,1,0.23714184761047363
207,1,1,1,0.38146284222602844
208,1,1,1,1.2830262184143066
209,1,0,0,0.7220504879951477
210,1,1,1,0.6781826615333557
211,1,0,0,2.7591207027435303
212,1,1,1,2.5744786262512207
213,1,0,0,5.055136680603027
214,1,0,0,-0.057916365563869476
215,1,1,1,0.08256836235523224
216,1,1,1,3.3291006088256836
217,1,0,0,-0.0026753637939691544
218,1,1,1,4.149928092956543
219,1,0,0,0.534184455871582
220,1,0,0,0.5374675989151001
221,1,1,1,1.9814236164093018
222,1,1,1,-0.07854267209768295
223,1,1,1,-0.10341626405715942
224,1,1,1,0.4727123975753784
225,1,0,0,3.5921788215637207
226,1,1,1,0.733749270439148
227,1,0,0,0.755867063999176
228,1,0,0,3.1699464321136475
229,1,0,0,2.2080719470977783
230,1,1,1,1.0863263607025146
231,1,1,1,2.263707399368286
232,1,0,0,0.9215658903121948
233,1,0,0,-0.22531351447105408
234,1,0,0,3.096686840057373
235,1,0,0,2.918761730194092
236,1,0,0,0.42980635166168213
237,1,0,0,3.008007526397705
238,1,0,0,1.164660930633545
239,1,0,0,0.6799254417419434
240,1,1,1,-0.05133137106895447
241,1,0,0,2.3657901287078857
242,1,0,0,0.7373477220535278
243,1,1,1,0.7630157470703125
244,1,1,1,0.10806234180927277
245,1,1,1,1.6456291675567627
246,1,0,0,3.512369155883789
247,1,1,1,3.5080254077911377
248,1,0,0,2.264577627182007
249,1,0,0,2.548313856124878
250,1,0,0,0.6017100811004639
251,1,1,1,2.974066972732544
252,1,1,1,1.0253987312316895
253,1,0,0,4.8300395011901855
254,1,1,1,1.4015990495681763
255,0,1,0,2.864414691925049
256,1,1,1,1.6176587343215942
257,1,1,1,-0.1311507523059845
258,1,0,0,4.521580696105957
259,1,1,1,-0.16191157698631287
260,1,1,1,1.3657439947128296
261,1,1,1,1.2724099159240723
262,1,0,0,0.6002551317214966
263,1,0,0,-0.16774673759937286
264,1,0,0,0.6344082355499268
265,1,0,0,2.3838412761688232
266,1,1,1,0.10470831394195557
267,1,0,0,2.1212973594665527
268,1,0,0,1.0176318883895874
269,1,1,1,0.42545855045318604
270,1,0,0,1.5787864923477173
271,1,1,1,0.5994178056716919
272,1,1,1,3.1718573570251465
273,1,1,1,0.9664749503135681
274,1,0,0,1.3636547327041626
275,1,1,1,0.2419436275959015
276,1,0,0,0.38390347361564636
277,1,0,0,1.101534128189087
278,1,0,0,2.375486373901367
279,1,0,0,0.542887806892395
280,1,0,0,0.5747002363204956
281,1,1,1,1.7348778247833252
282,1,1,1,0.8010200262069702
283,1,0,0,-0.22026687860488892
284,1,0,0,2.095285415649414
285,1,0,0,0.11431041359901428
286,1,0,0,0.48236143589019775
287,1,1,1,2.4405057430267334
288,1,0,0,0.15873786807060242
289,1,0,0,3.2117161750793457
290,1,1,1,1.8476495742797852
291,1,1,1,1.3722867965698242
292,1,1,1,4.807741165161133
293,1,0,0,1.7243465185165405
294,1,1,1,-0.08543512970209122
295,1,0,0,0.4666338264942169
296,1,1,1,0.13776496052742004
297,1,0,0,0.4908740520477295
298,1,0,0,1.0879768133163452
299,1,0,0,1.0130507946014404
300,1,1,1,1.2823293209075928
301,1,0,0,1.177370309829712
302,1,1,1,0.3228621780872345
303,1,1,1,0.7721803188323975
304,1,1,1,0.1519126147031784
305,1,1,1,2.1892499923706055
306,1,0,0,1.1416294574737549
307,1,0,0,0.46218740940093994
308,1,0,0,1.3937618732452393
309,1,1,1,0.795269250869751
310,1,0,0,3.3946099281311035
311,1,1,1,1.910359263420105
312,1,0,0,0.7247366309165955
313,1,1,1,2.4712510108947754
314,1,1,1,0.09992234408855438
315,1,1,1,2.2481324672698975
316,1,1,1,1.194507360458374
317,1,0,0,0.3827783167362213
318,1,1,1,0.7947807312011719
319,1,0,0,-0.045303888618946075
320,1,1,1,2.2999913692474365
321,1,1,1,0.6350505948066711
322,1,1,1,1.2696822881698608
323,1,1,1,2.6134397983551025
324,1,1,1,0.9435502290725708
325,1,1,1,0.40826302766799927
326,1,1,1,1.8667429685592651
327,1,1,1,0.37244904041290283
328,1,0,0,1.5340311527252197
329,1,0,0,0.6195580363273621
330,1,0,0,1.7929129600524902
331,1,1,1,2.1789515018463135
332,1,0,0,4.203896522521973
333,1,1,1,0.0013761669397354126
334,1,0,0,0.5827797055244446
335,1,1,1,0.19645372033119202
336,1,1,1,2.031238079071045
337,1,1,1,0.267451673746109
338,1,1,1,1.0663739442825317
339,1,0,0,0.9970905184745789
340,1,1,1,2.520012378692627
341,1,0,0,0.1574782133102417
342,1,0,0,0.7732643485069275
343,1,1,1,2.7355504035949707
344,1,1,1,1.2415597438812256
345,1,1,1,0.7057365775108337
346,1,1,1,1.1875134706497192
347,1,1,1,1.2541263103485107
348,1,0,0,0.0393112376332283
349,1,0,0,1.6359660625457764
350,1,0,0,0.4562033414840698
351,1,1,1,2.2441060543060303
352,1,1,1,2.4737813472747803
353,1,1,1,1.952161431312561
354,1,0,0,0.5277262330055237
355,1,0,0,2.6873741149902344
356,1,1,1,-0.23943164944648743
357,1,1,1,3.516444206237793
358,1,0,0,0.4432944655418396
359,1,1,1,1.1476390361785889
360,1,1,1,1.644396424293518
361,1,0,0,0.06983876973390579
362,1,1,1,1.6300654411315918
363,1,0,0,1.8133288621902466
364,1,1,1,1.7024115324020386
365,1,1,1,0.02416807785630226
366,1,0,0,0.9272373914718628
367,1,1,1,2.4518301486968994
368,1,0,0,1.4402650594711304
369,1,1,1,0.4558678865432739
370,1,1,1,1.3741825819015503
371,1,1,1,-0.015289951115846634
372,1,1,1,1.6013085842132568
373,1,1,1,2.9312875270843506
374,1,1,1,0.5659571886062622
375,1,1,1,4.078819274902344
376,1,1,1,2.1337544918060303
377,1,1,1,1.4848437309265137
378,1,0,0,2.201647996902466
379,1,1,1,3.653268575668335
380,1,1,1,5.356954574584961
381,1,0,0,0.5007144808769226
382,1,1,1,3.2860283851623535
383,1,0,0,1.7457634210586548
384,1,1,1,2.962106466293335
385,1,1,1,2.0856785774230957
386,1,1,1,1.0493696928024292
387,1,0,0,0.5009600520133972
388,1,1,1,1.0529701709747314
389,1,1,1,3.1950907707214355
390,1,0,0,0.2763110101222992
391,1,0,0,3.4627480506896973
392,1,1,1,0.6723453998565674
393,1,0,0,1.490858793258667
394,1,1,1,2.516986131668091
