sample_idx,true_label,pred_label,correct,confidence
0,1,1,1,2.895571231842041
1,1,1,1,1.2949477434158325
2,1,0,0,7.497786521911621
3,1,1,1,1.271985650062561
4,1,1,1,4.021324157714844
5,1,1,1,6.16140604019165
6,1,1,1,2.0892727375030518
7,1,0,0,0.5424146056175232
8,1,1,1,1.8636912107467651
9,1,1,1,2.0214219093322754
10,1,1,1,3.669088125228882
11,1,1,1,4.664419651031494
12,1,1,1,1.0747240781784058
13,1,1,1,0.30084994435310364
14,1,0,0,1.4879064559936523
15,1,1,1,0.6335327625274658
16,1,1,1,3.6548242568969727
17,1,0,0,0.7886093258857727
18,1,1,1,0.7029769420623779
19,1,0,0,0.23486405611038208
20,1,1,1,3.6674060821533203
21,1,1,1,3.5140116214752197
22,1,1,1,4.082668781280518
23,1,1,1,4.086406707763672
24,1,1,1,6.631208896636963
25,1,1,1,6.427436351776123
26,1,1,1,0.6539692878723145
27,1,1,1,0.5694847702980042
28,1,1,1,4.217046737670898
29,1,1,1,1.9864788055419922
30,1,1,1,1.5432599782943726
31,1,1,1,0.5683274269104004
32,1,1,1,1.5706652402877808
33,1,1,1,1.0393742322921753
34,1,1,1,3.9952211380004883
35,1,1,1,2.469479560852051
36,1,1,1,1.71147882938385
37,1,1,1,6.074268817901611
38,1,1,1,13.214598655700684
39,1,1,1,7.836437702178955
40,1,1,1,7.272552967071533
41,1,0,0,0.7119728326797485
42,1,1,1,6.35085391998291
43,1,1,1,1.4833910465240479
44,1,1,1,5.978797435760498
45,1,1,1,2.520212411880493
46,1,1,1,9.08558464050293
47,1,0,0,0.27686262130737305
48,1,1,1,0.5718939304351807
49,1,1,1,8.049575805664062
50,1,0,0,0.6124646067619324
51,1,1,1,0.9676509499549866
52,1,1,1,2.5936381816864014
53,1,1,1,1.2338566780090332
54,1,1,1,3.0051259994506836
55,1,1,1,4.843269348144531
56,1,0,0,2.195826768875122
57,1,1,1,1.2953718900680542
58,1,0,0,2.1050705909729004
59,1,1,1,2.2839293479919434
60,1,1,1,0.25768768787384033
61,1,0,0,1.4838266372680664
62,1,1,1,0.6731066107749939
63,1,0,0,2.7203211784362793
64,1,1,1,0.8904585242271423
65,1,1,1,3.0462825298309326
66,1,1,1,1.5982728004455566
67,1,1,1,4.636773586273193
68,1,1,1,2.6618127822875977
69,1,1,1,3.768109083175659
70,1,1,1,0.40113288164138794
71,1,1,1,4.339858055114746
72,1,0,0,2.1206188201904297
73,1,1,1,4.868442058563232
74,1,1,1,2.5507445335388184
75,1,1,1,4.468403339385986
76,1,1,1,2.4865236282348633
77,1,1,1,0.29804012179374695
78,1,1,1,0.7248676419258118
79,1,1,1,0.7240902185440063
80,1,0,0,3.7058846950531006
81,1,1,1,3.8718185424804688
82,1,1,1,3.5351006984710693
83,1,0,0,0.9149264693260193
84,1,1,1,0.8746477961540222
85,1,1,1,2.034770965576172
86,1,1,1,2.7416739463806152
87,1,1,1,0.252988338470459
88,1,1,1,5.637735843658447
89,1,1,1,0.8713139295578003
90,1,1,1,1.9366143941879272
91,1,0,0,1.4263560771942139
92,1,1,1,2.3754215240478516
93,1,0,0,0.7150686979293823
94,1,1,1,2.015049934387207
95,1,1,1,6.346866130828857
96,1,1,1,1.6860308647155762
97,1,1,1,1.094671368598938
98,1,1,1,1.0675798654556274
99,1,1,1,2.5612053871154785
100,1,1,1,1.1451414823532104
101,1,0,0,1.2762069702148438
102,1,1,1,1.5527232885360718
103,1,1,1,2.1461341381073
104,1,1,1,1.1348896026611328
105,1,1,1,2.4228169918060303
106,1,1,1,6.21150541305542
107,1,1,1,3.6513237953186035
108,1,1,1,4.697300434112549
109,1,0,0,0.9999297261238098
110,1,1,1,1.537859559059143
111,1,1,1,3.5437135696411133
112,1,1,1,2.403115749359131
113,1,1,1,0.1748719960451126
114,1,1,1,3.319929599761963
115,1,1,1,2.5996127128601074
116,1,1,1,5.306457996368408
117,1,1,1,2.2051029205322266
118,1,1,1,2.1532347202301025
119,1,1,1,0.8183968663215637
120,1,1,1,1.3007737398147583
121,1,0,0,1.874131202697754
122,1,1,1,5.945314884185791
123,1,1,1,7.699787139892578
124,1,1,1,0.6938169598579407
125,1,1,1,2.7175188064575195
126,1,1,1,1.062387466430664
127,1,0,0,3.454146146774292
128,1,1,1,2.2896413803100586
129,1,0,0,1.4117549657821655
130,1,1,1,4.686769008636475
131,1,1,1,2.8220467567443848
132,1,1,1,3.6953635215759277
133,1,0,0,2.3119349479675293
134,1,1,1,1.9490395784378052
135,1,1,1,4.37455415725708
136,1,1,1,2.1829724311828613
137,1,1,1,1.4423819780349731
138,1,1,1,3.1448302268981934
139,1,1,1,2.137211561203003
140,1,1,1,1.3265820741653442
141,1,1,1,1.2074021100997925
142,1,1,1,5.959864616394043
143,1,1,1,4.942220687866211
144,1,0,0,0.45024794340133667
145,1,0,0,0.36781731247901917
146,1,1,1,0.6635907888412476
147,1,1,1,0.6515739560127258
148,1,1,1,2.929218292236328
149,1,1,1,2.477530002593994
150,1,1,1,3.1912572383880615
151,1,1,1,4.046218395233154
152,1,1,1,3.5189223289489746
153,1,0,0,0.0927506759762764
154,1,0,0,1.1989235877990723
155,1,1,1,5.781966686248779
156,1,1,1,0.6544939875602722
157,1,1,1,3.6554977893829346
158,1,1,1,3.3700523376464844
159,1,1,1,3.945244312286377
160,1,1,1,0.6399196982383728
161,1,1,1,6.523537635803223
162,1,0,0,0.19223713874816895
163,1,1,1,1.3199436664581299
164,1,1,1,1.4103026390075684
165,1,1,1,0.671389102935791
166,1,1,1,8.162885665893555
167,1,1,1,0.9532915353775024
168,1,1,1,3.4085729122161865
169,1,0,0,0.5443294048309326
170,1,1,1,0.6202023029327393
171,1,1,1,0.8962323665618896
172,1,1,1,2.1318845748901367
173,1,1,1,4.888099193572998
174,1,1,1,3.0414981842041016
175,1,1,1,3.284400224685669
176,1,1,1,2.7425537109375
177,1,1,1,1.0675548315048218
178,1,0,0,2.1755998134613037
179,1,1,1,3.7027015686035156
180,1,0,0,1.679626703262329
181,1,1,1,2.5477499961853027
182,1,1,1,2.067600965499878
183,1,1,1,12.56805419921875
184,1,1,1,3.8271679878234863
185,1,0,0,0.620440661907196
186,1,1,1,5.6377949714660645
187,1,1,1,6.390604496002197
188,1,1,1,9.604182243347168
189,1,1,1,1.4297401905059814
190,1,1,1,5.3616743087768555
191,1,0,0,0.10915613919496536
192,1,1,1,0.5357070565223694
193,1,1,1,9.103103637695312
194,1,1,1,1.9092532396316528
195,1,1,1,0.5327006578445435
196,1,1,1,0.47097647190093994
197,1,1,1,4.732550621032715
198,1,1,1,6.1855149269104
199,1,1,1,1.2811312675476074
200,1,1,1,0.8251782059669495
201,1,0,0,0.595648467540741
202,1,1,1,4.289560794830322
