sample_idx,true_label,pred_label,correct,confidence
0,1,0,0,1.6206375360488892
1,1,0,0,1.4227938652038574
2,1,0,0,1.2545822858810425
3,1,0,0,3.1740562915802
4,1,1,1,1.239961862564087
5,1,1,1,1.248555064201355
6,1,1,1,2.4800333976745605
7,1,1,1,3.8688483238220215
8,1,1,1,1.0815497636795044
9,1,1,1,3.827755928039551
10,1,0,0,0.78317791223526
11,1,1,1,1.5322152376174927
12,1,1,1,3.1174957752227783
13,1,1,1,2.1045923233032227
14,1,0,0,0.7320634126663208
15,1,0,0,4.1620564460754395
16,1,1,1,0.8576379418373108
17,1,1,1,2.2535500526428223
18,1,0,0,0.8156912922859192
19,1,0,0,0.8291878700256348
20,1,0,0,4.474503040313721
21,1,0,0,2.3871407508850098
22,1,1,1,0.6759921908378601
23,1,1,1,1.177552342414856
24,1,1,1,4.8119330406188965
25,1,1,1,8.045424461364746
26,1,1,1,0.4368269443511963
27,1,0,0,2.8957862854003906
28,1,1,1,1.3793609142303467
29,1,0,0,5.901381492614746
30,1,1,1,0.8094363212585449
31,1,0,0,0.30153948068618774
32,1,1,1,1.2518080472946167
33,1,1,1,1.9205909967422485
34,1,0,0,3.3013806343078613
35,1,1,1,1.0262906551361084
36,1,1,1,0.09897646307945251
37,1,0,0,0.9567402601242065
38,1,1,1,8.141786575317383
39,1,0,0,4.920734405517578
40,1,0,0,0.5787768959999084
41,1,0,0,1.1905083656311035
42,1,1,1,8.270831108093262
43,1,1,1,0.1954403668642044
44,1,1,1,3.3644227981567383
45,1,0,0,3.5643415451049805
46,1,1,1,1.734802484512329
47,1,0,0,0.9987427592277527
48,1,1,1,1.652350664138794
49,1,1,1,1.279771089553833
50,1,0,0,2.3422815799713135
51,1,1,1,1.598865270614624
52,1,1,1,0.5024141073226929
53,1,1,1,7.830259799957275
54,1,0,0,1.4043357372283936
55,1,1,1,1.0239917039871216
56,1,1,1,0.5934991836547852
57,1,0,0,1.0127966403961182
58,1,0,0,0.6536278128623962
59,1,1,1,0.8101475834846497
60,1,1,1,0.0674603134393692
61,1,1,1,0.10024504363536835
62,1,1,1,2.734333038330078
63,1,1,1,3.3279147148132324
64,1,0,0,0.3999648094177246
65,1,1,1,4.114302158355713
66,1,0,0,0.9970678687095642
67,1,1,1,1.3654731512069702
68,1,0,0,9.006717681884766
69,1,0,0,2.2634544372558594
70,1,1,1,3.3956379890441895
71,1,0,0,2.6236698627471924
72,1,0,0,2.008376121520996
73,1,1,1,2.3937137126922607
74,1,0,0,1.838893175125122
75,1,1,1,2.9470105171203613
76,1,1,1,3.129077196121216
77,1,0,0,0.7141762971878052
78,1,1,1,1.3744276762008667
79,1,0,0,0.9889861941337585
80,1,0,0,0.47240665555000305
81,1,0,0,1.0767710208892822
82,1,0,0,1.486462950706482
83,1,1,1,2.0838425159454346
84,1,1,1,2.3813180923461914
85,1,1,1,0.6580758690834045
86,1,1,1,1.8698948621749878
87,1,1,1,0.9991977214813232
88,1,1,1,0.31901484727859497
89,1,0,0,3.8888678550720215
90,1,1,1,2.956725597381592
91,1,0,0,3.2380752563476562
92,1,0,0,2.571784257888794
93,1,0,0,1.9587440490722656
94,1,0,0,4.131836891174316
95,1,0,0,5.752313137054443
96,1,1,1,1.6650758981704712
97,1,0,0,4.35480260848999
98,1,0,0,1.7272926568984985
99,1,1,1,1.695879340171814
100,1,1,1,1.7892318964004517
