sample_idx,true_label,pred_label,correct,confidence
0,1,1,1,0.5518565773963928
1,1,0,0,3.851637363433838
2,1,0,0,2.67990779876709
3,1,0,0,5.6737518310546875
4,1,0,0,3.2178099155426025
5,1,0,0,3.7756543159484863
6,1,0,0,5.347533226013184
7,1,0,0,4.397574424743652
8,1,1,1,3.0883123874664307
9,1,0,0,6.656993865966797
10,1,1,1,0.07871042191982269
11,1,1,1,0.4565163552761078
12,1,0,0,1.0675266981124878
13,1,0,0,4.275864601135254
14,1,1,1,0.7150823473930359
15,1,0,0,0.3647180497646332
16,1,0,0,0.507631242275238
17,1,0,0,0.24171072244644165
18,1,1,1,1.2569626569747925
19,1,1,1,4.1021409034729
20,1,0,0,1.3988035917282104
21,1,0,0,7.40672492980957
22,1,0,0,5.56856632232666
23,1,1,1,0.6280287504196167
24,1,0,0,-0.0453265979886055
25,1,0,0,2.9875478744506836
26,1,1,1,0.30623766779899597
27,1,0,0,9.0220365524292
28,1,0,0,0.08840285986661911
29,1,0,0,-0.16232216358184814
30,1,1,1,3.536667585372925
31,1,1,1,1.677944540977478
32,1,1,1,2.790081262588501
33,1,0,0,3.4944162368774414
34,1,0,0,1.048598289489746
35,1,1,1,1.9361432790756226
36,1,1,1,1.6094048023223877
37,1,1,1,3.7793545722961426
38,1,1,1,3.9057374000549316
39,1,0,0,0.9748839735984802
40,1,1,1,1.1317501068115234
41,1,0,0,5.025882244110107
42,1,1,1,3.216829776763916
43,1,1,1,1.1681650876998901
44,1,1,1,3.4514074325561523
45,1,0,0,10.572173118591309
46,1,1,1,1.5018951892852783
47,1,0,0,1.4080548286437988
48,1,0,0,0.011759333312511444
49,1,1,1,1.8490217924118042
50,1,1,1,0.9181697964668274
51,1,1,1,0.7245196104049683
52,1,1,1,1.7606011629104614
53,1,0,0,3.370445728302002
54,1,1,1,0.19485150277614594
55,1,0,0,1.3266133069992065
56,1,0,0,2.7932779788970947
57,1,0,0,0.41989967226982117
58,1,0,0,0.9244142174720764
59,1,1,1,0.43016353249549866
60,1,0,0,2.051217555999756
61,1,0,0,3.1036088466644287
62,1,0,0,2.151029109954834
63,1,0,0,1.487681269645691
64,1,1,1,2.9600830078125
65,1,1,1,4.307703495025635
66,1,1,1,1.9501311779022217
67,1,0,0,6.012385368347168
68,1,0,0,4.956581115722656
69,1,0,0,2.711672782897949
70,1,0,0,4.4575724601745605
71,1,0,0,4.355071067810059
72,1,0,0,0.18587279319763184
73,1,0,0,0.23850083351135254
74,1,0,0,1.28009831905365
75,1,1,1,5.128313064575195
76,1,1,1,1.7315040826797485
77,1,0,0,7.318840026855469
78,1,0,0,5.160406589508057
79,1,0,0,3.209538698196411
80,1,1,1,0.8604812026023865
81,1,0,0,0.9557474255561829
82,1,0,0,3.3610589504241943
83,1,0,0,3.274777412414551
84,1,1,1,3.08557391166687
85,1,1,1,0.9624828100204468
86,1,0,0,5.453678131103516
87,1,1,1,3.1883797645568848
88,1,0,0,4.587320327758789
89,1,0,0,7.2468743324279785
90,1,1,1,4.376162528991699
91,1,0,0,6.053722381591797
92,1,0,0,3.396329879760742
93,1,0,0,0.8027269244194031
94,1,0,0,3.9778926372528076
95,1,0,0,9.675889015197754
96,1,1,1,2.883166790008545
97,1,1,1,0.7294103503227234
98,1,1,1,0.08891730010509491
99,1,1,1,2.0994720458984375
100,1,0,0,7.635499000549316
101,1,0,0,0.765857994556427
102,1,1,1,1.3854094743728638
103,1,1,1,3.4549546241760254
104,1,1,1,3.0436153411865234
105,1,0,0,5.378483772277832
106,1,0,0,3.181718111038208
107,1,1,1,4.403052806854248
108,1,1,1,4.50251579284668
109,1,1,1,4.704953670501709
110,1,0,0,1.3741480112075806
111,1,1,1,2.340930938720703
112,1,0,0,5.494422912597656
113,1,0,0,1.523058533668518
114,1,0,0,0.6333443522453308
115,1,1,1,0.09725461900234222
116,1,0,0,3.7415270805358887
117,1,1,1,2.826308012008667
118,1,0,0,4.388973236083984
119,1,0,0,1.7008132934570312
120,1,1,1,0.1339045614004135
121,1,0,0,4.038560390472412
122,1,0,0,1.2663202285766602
123,1,0,0,1.5624973773956299
124,1,0,0,-0.007903166115283966
125,1,1,1,1.8323894739151
126,1,0,0,1.3843892812728882
127,1,0,0,4.948733329772949
128,1,0,0,4.86702299118042
129,1,0,0,4.2876176834106445
130,1,0,0,0.6434996724128723
131,1,0,0,2.0297412872314453
132,1,0,0,1.7500773668289185
133,1,1,1,3.1623692512512207
134,1,0,0,0.20390748977661133
135,1,0,0,2.146925687789917
136,1,0,0,7.887921333312988
137,1,1,1,0.9909618496894836
138,1,1,1,0.32386526465415955
139,1,0,0,3.3909852504730225
140,1,1,1,3.4387905597686768
141,1,1,1,2.5196127891540527
142,1,1,1,4.2983527183532715
143,1,1,1,2.2212319374084473
144,1,0,0,1.8552542924880981
145,1,1,1,-0.11366100609302521
146,1,1,1,1.461909532546997
147,1,0,0,-0.024141915142536163
148,1,1,1,4.613346099853516
149,1,0,0,4.6700921058654785
150,1,0,0,5.972344398498535
151,1,0,0,2.4936816692352295
152,1,0,0,0.09500586241483688
153,1,1,1,-0.18682415783405304
154,1,0,0,3.955233335494995
155,1,1,1,3.2244391441345215
156,1,0,0,3.9581589698791504
157,1,0,0,0.8589425086975098
158,1,0,0,4.11149787902832
159,1,0,0,5.668877124786377
160,1,0,0,0.9684360027313232
161,1,1,1,2.203246593475342
162,1,0,0,4.047609329223633
163,1,1,1,0.5397367477416992
164,1,0,0,-0.06716806441545486
165,1,0,0,5.150030136108398
166,1,0,0,1.1144262552261353
167,1,0,0,2.608877182006836
168,1,0,0,5.997366428375244
169,1,1,1,0.4326142966747284
170,1,0,0,0.7891175746917725
171,1,0,0,0.17790788412094116
172,1,0,0,2.609569787979126
173,1,1,1,-0.14508993923664093
174,1,1,1,1.0675265789031982
175,1,0,0,4.240222454071045
176,1,1,1,0.4243241250514984
177,1,1,1,4.0821638107299805
178,1,0,0,2.4194672107696533
179,1,0,0,0.427151083946228
180,1,0,0,3.355116128921509
181,1,0,0,0.6235525012016296
182,1,1,1,2.381286382675171
183,1,1,1,1.5402719974517822
184,1,1,1,0.9268204569816589
185,1,1,1,1.2555183172225952
186,1,1,1,0.5402141809463501
187,1,0,0,0.8090817332267761
188,1,0,0,0.6165840029716492
189,1,0,0,2.5967812538146973
190,1,0,0,4.532602787017822
191,1,0,0,7.052187919616699
192,1,0,0,4.641242980957031
193,1,1,1,0.2826327979564667
194,1,0,0,4.078327178955078
195,1,0,0,2.843456268310547
196,1,0,0,7.45292329788208
197,1,1,1,0.2554713785648346
198,1,1,1,1.908652901649475
199,1,1,1,3.5483458042144775
200,1,0,0,0.6674326062202454
201,1,1,1,4.041781902313232
202,1,1,1,2.981678009033203
203,1,0,0,2.1075215339660645
204,1,0,0,1.0803662538528442
205,1,0,0,1.3337950706481934
206,1,0,0,4.188529014587402
207,1,0,0,-0.10073895007371902
208,1,1,1,0.3141067922115326
209,1,0,0,4.249378204345703
210,1,1,1,-0.05396737530827522
211,1,0,0,4.670688152313232
212,1,1,1,0.03175417706370354
213,1,0,0,1.2771018743515015
214,1,0,0,0.5032616257667542
215,1,0,0,0.15978235006332397
216,1,1,1,0.45377907156944275
217,1,0,0,0.25464165210723877
218,1,1,1,3.043856143951416
219,1,0,0,3.4821345806121826
220,1,1,1,2.218639850616455
221,1,1,1,0.0014577917754650116
222,1,0,0,1.9978207349777222
223,1,0,0,1.1241391897201538
224,1,0,0,1.557966947555542
225,1,1,1,0.10646097362041473
226,1,1,1,0.03490922972559929
227,1,0,0,1.5704809427261353
228,1,1,1,0.3465122878551483
229,1,1,1,3.749082088470459
230,1,1,1,4.853844165802002
231,1,1,1,2.5407228469848633
232,1,0,0,1.1213363409042358
233,1,1,1,3.698922634124756
234,1,1,1,2.4400248527526855
235,1,0,0,0.23075944185256958
236,1,0,0,2.5244932174682617
237,1,1,1,0.958049476146698
238,1,0,0,3.1994760036468506
239,1,0,0,5.853458404541016
240,1,0,0,1.3270683288574219
241,1,1,1,3.702542781829834
242,1,1,1,2.161345958709717
243,1,0,0,0.8566719889640808
244,1,1,1,1.4364616870880127
245,1,1,1,0.17163629829883575
246,1,0,0,0.19400501251220703
247,1,0,0,4.730434894561768
248,1,1,1,2.390180826187134
249,1,0,0,2.3204777240753174
250,1,0,0,4.0629730224609375
251,1,1,1,2.1477930545806885
252,1,0,0,5.017123699188232
253,1,0,0,5.655085563659668
254,1,0,0,3.247066020965576
255,0,1,0,3.7342472076416016
256,1,1,1,1.6412947177886963
257,1,0,0,0.7040360569953918
258,1,1,1,1.417671799659729
259,1,0,0,2.23190975189209
260,1,0,0,5.146517753601074
261,1,0,0,-0.0037726834416389465
262,1,0,0,2.6072511672973633
263,1,0,0,1.3745243549346924
264,1,1,1,0.0006700567901134491
265,1,1,1,0.9305246472358704
266,1,1,1,7.080276966094971
267,1,0,0,0.692345142364502
268,1,0,0,-0.14603525400161743
269,1,1,1,0.9554359316825867
270,1,1,1,1.5788259506225586
271,1,0,0,10.121561050415039
272,1,1,1,3.000737190246582
273,1,1,1,4.928521156311035
274,1,1,1,0.04310296103358269
275,1,1,1,4.03483247756958
276,1,0,0,5.017892837524414
277,1,0,0,5.435778617858887
278,1,1,1,3.212522029876709
279,1,1,1,-0.05675898864865303
280,1,1,1,4.947683811187744
281,1,0,0,2.793192148208618
282,1,0,0,6.750313758850098
283,1,1,1,0.7123963236808777
284,1,1,1,3.5965497493743896
285,1,0,0,0.78368079662323
286,1,0,0,1.0849937200546265
287,1,0,0,1.3882554769515991
288,1,0,0,1.5914899110794067
289,1,1,1,1.4958583116531372
290,1,1,1,-0.09578196704387665
291,1,1,1,3.4681649208068848
292,1,0,0,2.2087113857269287
293,1,0,0,0.7912325263023376
294,1,0,0,5.209595203399658
295,1,0,0,2.434434413909912
296,1,0,0,5.744959831237793
297,1,1,1,0.32646965980529785
298,1,0,0,5.856553077697754
299,1,0,0,4.084347724914551
300,1,0,0,0.33726274967193604
301,1,0,0,1.6214240789413452
302,1,1,1,0.17089886963367462
303,1,0,0,4.177043437957764
304,1,0,0,2.7052083015441895
305,1,0,0,3.170375347137451
306,1,1,1,0.5105928182601929
307,1,0,0,3.2877371311187744
308,1,0,0,0.3651488423347473
309,1,1,1,0.9423381686210632
310,1,0,0,0.717029869556427
311,1,0,0,-0.005582280457019806
312,1,0,0,2.4546101093292236
313,1,0,0,2.2301602363586426
314,1,1,1,2.046003580093384
315,1,0,0,0.6950470805168152
316,1,1,1,4.119801044464111
317,1,1,1,1.6040315628051758
318,1,0,0,2.4360995292663574
319,1,0,0,5.4979777336120605
320,1,1,1,-0.16963525116443634
321,1,1,1,3.638101100921631
322,1,0,0,0.06551193445920944
323,1,0,0,2.7949154376983643
324,1,1,1,1.3189599514007568
325,1,1,1,1.7620599269866943
326,1,0,0,2.2922205924987793
327,1,1,1,0.739334225654602
328,1,1,1,4.950065612792969
329,1,1,1,-0.001086551696062088
330,1,0,0,0.3506419062614441
331,1,0,0,5.001316547393799
332,1,0,0,0.0873064324259758
333,1,0,0,5.616415500640869
334,1,1,1,1.0236858129501343
335,1,0,0,0.828294038772583
336,1,0,0,1.2286559343338013
337,1,1,1,-0.06592632830142975
338,1,1,1,0.3504834771156311
339,1,0,0,3.343588352203369
340,1,0,0,1.420247197151184
341,1,1,1,4.238218784332275
342,1,1,1,1.9819384813308716
343,1,1,1,2.8521151542663574
344,1,0,0,1.00337553024292
345,1,1,1,2.168887138366699
346,1,0,0,3.005110025405884
347,1,1,1,-0.18989749252796173
348,1,0,0,2.5235815048217773
349,1,1,1,0.43917107582092285
350,1,0,0,3.0056536197662354
351,1,1,1,0.4402340352535248
352,1,0,0,4.79567813873291
353,1,1,1,0.7931350469589233
354,1,0,0,3.741309404373169
355,1,0,0,0.7667825818061829
356,1,1,1,1.542404294013977
357,1,1,1,3.2912681102752686
358,1,0,0,4.820862770080566
359,1,0,0,4.299125671386719
360,1,0,0,1.5885735750198364
361,1,1,1,3.82857346534729
362,1,0,0,0.7296578884124756
363,1,1,1,3.31201171875
364,1,0,0,3.4454843997955322
365,1,0,0,2.901209831237793
366,1,1,1,4.272823333740234
367,1,0,0,0.9853412508964539
368,1,1,1,0.24131636321544647
369,1,0,0,2.0937888622283936
370,1,0,0,2.1196231842041016
371,1,1,1,0.22764162719249725
372,1,1,1,3.7161221504211426
373,1,0,0,2.1229491233825684
374,1,1,1,8.519379615783691
375,1,1,1,0.529592752456665
376,1,1,1,1.0904746055603027
377,1,1,1,-0.18904204666614532
378,1,0,0,2.2070398330688477
379,1,1,1,3.1800425052642822
380,1,1,1,2.4164295196533203
381,1,1,1,6.429100513458252
382,1,1,1,3.622675895690918
383,1,0,0,2.2052440643310547
384,1,1,1,4.0270466804504395
385,1,0,0,0.45507651567459106
386,1,0,0,0.28157109022140503
387,1,1,1,4.0011796951293945
388,1,1,1,3.130795955657959
389,1,1,1,5.478663921356201
390,1,1,1,1.9104872941970825
391,1,0,0,1.6252528429031372
392,1,1,1,0.9643734693527222
393,1,0,0,0.6094668507575989
394,1,0,0,4.494433879852295
395,1,1,1,0.7394023537635803
396,1,0,0,3.69338321685791
