sample_idx,true_label,pred_label,correct,confidence
0,1,0,0,3.9259729385375977
1,1,0,0,0.3064364492893219
2,1,0,0,1.0892751216888428
3,1,1,1,1.1768194437026978
4,1,1,1,0.7523218989372253
5,1,0,0,0.7867165207862854
6,1,0,0,2.2266407012939453
7,1,1,1,1.4594131708145142
8,1,0,0,2.6649813652038574
9,1,1,1,0.8032870888710022
10,1,1,1,2.2869739532470703
11,1,1,1,0.7139621376991272
12,1,0,0,0.9705339074134827
13,1,0,0,0.03306819871068001
14,1,0,0,1.9421818256378174
15,1,0,0,0.7766479849815369
16,1,1,1,1.2820366621017456
17,1,0,0,1.7460250854492188
18,1,0,0,0.029247920960187912
19,1,1,1,1.7538700103759766
20,1,1,1,1.8908060789108276
21,1,1,1,0.07545942068099976
22,1,0,0,3.1495327949523926
23,1,0,0,1.153369665145874
24,1,0,0,0.14571192860603333
25,1,1,1,2.5448319911956787
26,1,0,0,0.545780599117279
27,1,0,0,4.06988525390625
28,1,0,0,0.3611029088497162
29,1,1,1,3.752261161804199
30,1,1,1,4.6077141761779785
31,1,1,1,1.6277763843536377
32,1,1,1,3.2365808486938477
33,1,1,1,3.1832120418548584
34,1,1,1,3.293133020401001
35,1,1,1,3.8320703506469727
36,1,1,1,1.8241106271743774
37,1,1,1,2.3431999683380127
38,1,1,1,5.349024295806885
39,1,0,0,1.9676865339279175
40,1,1,1,0.15011543035507202
41,1,0,0,1.8349320888519287
42,1,1,1,3.868025302886963
43,1,1,1,0.9976903200149536
44,1,0,0,0.9166019558906555
45,1,0,0,0.0994260311126709
46,1,1,1,3.0835280418395996
47,1,1,1,5.277204513549805
48,1,1,1,2.4156503677368164
49,1,1,1,2.8224289417266846
50,1,1,1,0.8233821988105774
51,1,0,0,2.9013278484344482
52,1,1,1,2.471313238143921
53,1,1,1,3.054630756378174
54,1,1,1,3.446753978729248
55,1,1,1,3.675172805786133
56,1,1,1,4.672553062438965
57,1,1,1,3.4870777130126953
58,1,1,1,2.210416316986084
59,1,1,1,4.325779438018799
60,1,1,1,2.3146183490753174
61,1,1,1,1.8045955896377563
62,1,1,1,3.8906097412109375
63,1,1,1,4.935703754425049
64,1,1,1,4.510837554931641
65,1,0,0,0.8020252585411072
66,1,1,1,0.8643884658813477
67,1,1,1,1.850225567817688
68,1,1,1,4.1866302490234375
69,1,1,1,1.3529750108718872
70,1,1,1,4.398134231567383
71,1,1,1,0.9169970750808716
72,1,0,0,0.42934679985046387
73,1,1,1,1.1707226037979126
74,1,1,1,4.241858005523682
75,1,1,1,2.8825345039367676
76,1,1,1,3.054069757461548
77,1,1,1,0.11435474455356598
78,1,0,0,1.3394079208374023
79,1,0,0,2.374788522720337
80,1,1,1,0.6056497097015381
81,1,1,1,3.0621137619018555
82,1,1,1,1.9649548530578613
83,1,0,0,3.041093349456787
84,1,0,0,0.7576742768287659
85,1,1,1,1.9570835828781128
86,1,0,0,3.402657985687256
87,1,0,0,1.3283406496047974
88,1,1,1,3.2534594535827637
89,1,1,1,0.9836249351501465
90,1,0,0,1.1508523225784302
91,1,1,1,0.9511446356773376
92,1,0,0,2.227818489074707
