sample_idx,true_label,pred_label,correct,confidence
0,1,1,1,4.593471050262451
1,1,1,1,1.3963741064071655
2,1,1,1,1.5212315320968628
3,1,1,1,1.042471170425415
4,1,1,1,2.5863423347473145
5,1,1,1,3.8226640224456787
6,1,1,1,2.921522617340088
7,1,1,1,6.234114170074463
8,1,1,1,4.22444486618042
9,1,1,1,4.506597518920898
10,1,1,1,6.898256778717041
11,1,1,1,6.201822757720947
12,1,1,1,1.5354270935058594
13,1,1,1,2.250833749771118
14,1,1,1,3.6250264644622803
15,1,1,1,0.9549388885498047
16,1,1,1,4.783097267150879
17,1,1,1,0.2863166332244873
18,1,1,1,0.7994545698165894
19,1,1,1,3.53169846534729
20,1,1,1,3.5651092529296875
21,1,1,1,2.1988275051116943
22,1,1,1,3.9345614910125732
23,1,1,1,3.9581286907196045
24,1,1,1,3.7100367546081543
25,1,1,1,3.748685598373413
26,1,1,1,1.9076781272888184
27,1,1,1,2.211702823638916
28,1,1,1,2.8880419731140137
29,1,1,1,2.6303086280822754
30,1,1,1,6.219175815582275
31,1,1,1,5.954380035400391
32,1,1,1,5.6977057456970215
33,1,1,1,6.2373948097229
34,1,1,1,5.784010410308838
35,1,1,1,6.230632781982422
36,1,1,1,1.5574612617492676
37,1,1,1,4.315338611602783
38,1,1,1,6.148514270782471
39,1,1,1,4.637388706207275
40,1,1,1,3.7699673175811768
41,1,1,1,0.8642827272415161
42,1,1,1,5.641233921051025
43,1,1,1,5.544007778167725
44,1,1,1,5.549627304077148
45,1,1,1,5.771054744720459
46,1,1,1,6.606269359588623
47,1,1,1,4.580648899078369
48,1,1,1,4.989899635314941
49,1,1,1,2.9444682598114014
50,1,0,0,0.15722106397151947
51,1,1,1,0.7541572451591492
52,1,1,1,4.566366672515869
53,1,1,1,5.557545185089111
54,1,1,1,6.235720157623291
55,1,1,1,6.620817184448242
56,1,1,1,6.429439067840576
57,1,1,1,6.453591346740723
58,1,1,1,6.0869059562683105
59,1,1,1,6.005120754241943
60,1,1,1,6.174197673797607
61,1,1,1,3.066751718521118
62,1,1,1,6.410167694091797
63,1,1,1,5.113326549530029
64,1,1,1,5.709361553192139
65,1,1,1,4.287267684936523
66,1,1,1,5.354095935821533
67,1,1,1,6.430239200592041
68,1,1,1,5.801894664764404
69,1,1,1,5.386733531951904
70,1,1,1,5.260240077972412
71,1,1,1,5.990060329437256
72,1,1,1,4.144642353057861
73,1,1,1,4.365696907043457
74,1,1,1,5.335559368133545
75,1,1,1,5.220917701721191
76,1,1,1,4.54948616027832
77,1,1,1,4.646256446838379
78,1,1,1,3.9930145740509033
79,1,1,1,1.4392318725585938
80,1,0,0,1.3359540700912476
81,1,1,1,4.953356742858887
82,1,1,1,3.803532123565674
83,1,1,1,1.9170165061950684
84,1,1,1,3.091742753982544
85,1,1,1,4.009373664855957
86,1,1,1,6.007412433624268
87,1,1,1,5.740408897399902
88,1,1,1,5.451858043670654
89,1,1,1,5.386327743530273
90,1,1,1,0.7429885268211365
91,1,1,1,1.061497449874878
92,1,1,1,0.94083571434021
93,1,1,1,0.7877979874610901
94,1,1,1,2.5932137966156006
95,1,1,1,2.45182728767395
96,1,1,1,2.5412445068359375
97,1,1,1,2.345473051071167
98,1,1,1,2.6216955184936523
99,1,1,1,3.065721035003662
100,1,1,1,2.9722189903259277
101,1,1,1,2.9459855556488037
102,1,1,1,2.9598886966705322
103,1,1,1,2.9524834156036377
104,1,1,1,2.9346745014190674
105,1,1,1,2.950025796890259
106,1,1,1,2.988581657409668
107,1,1,1,3.63832426071167
108,1,1,1,3.5183231830596924
109,1,1,1,2.85325026512146
110,1,1,1,2.1517655849456787
111,1,1,1,2.97334885597229
112,1,1,1,1.8022375106811523
113,1,1,1,2.6649491786956787
114,1,1,1,2.8108203411102295
115,1,1,1,2.9762818813323975
116,1,1,1,3.2040629386901855
117,1,1,1,1.8313486576080322
118,1,1,1,2.31131911277771
119,1,1,1,2.6536262035369873
120,1,1,1,2.613417387008667
121,1,1,1,2.7906415462493896
